failmsg,href,image_urls,name,ops,removed,side,time,timestamp
,https://twilightstrategy.com/2012/11/13/nixon-plays-the-china-card/,,Nixon Plays the China Card, 2, Yes, US, Mid War,
,https://twilightstrategy.com/2012/11/12/oas-founded/,,OAS Founded, 1, Yes, US, Mid War,
,https://twilightstrategy.com/2012/11/06/puppet-governments/,,Puppet Governments, 2, Yes, US, Mid War,
,https://twilightstrategy.com/2012/11/05/camp-david-accords/,,Camp David Accords, 2, Yes, US, Mid War,
,https://twilightstrategy.com/2012/10/30/lone-gunman/,,Lone Gunman, 1, Yes, USSR, Mid War,
,https://twilightstrategy.com/2012/11/09/latin-american-death-squads/,,Latin American Death Squads, 2, No, Neutral, Mid War,
,https://twilightstrategy.com/2012/10/29/opec/,,OPEC, 3, No, USSR, Mid War,
,https://twilightstrategy.com/2012/11/08/john-paul-ii-elected-pope/,,John Paul II Elected Pope, 2, Yes, US, Mid War,
,https://twilightstrategy.com/2012/11/01/colonial-rear-guards/,,Colonial Rear Guards, 2, No, US, Mid War,
,https://twilightstrategy.com/2012/10/26/u-2-incident/,,U-2 Incident, 3, Yes, USSR, Mid War,
,https://twilightstrategy.com/2012/10/25/flower-power/,,Flower Power, 4, Yes, USSR, Mid War,
,https://twilightstrategy.com/2012/10/23/abm-treaty/,,ABM Treaty, 4, No, Neutral, Mid War,
,https://twilightstrategy.com/2012/10/24/cultural-revolution/,,Cultural Revolution, 3, Yes, USSR, Mid War,
,https://twilightstrategy.com/2012/10/19/muslim-revolution/,,Muslim Revolution, 4, No, USSR, Mid War,
,https://twilightstrategy.com/2012/10/18/willy-brandt/,,Willy Brandt, 2, Yes, USSR, Mid War,
,https://twilightstrategy.com/2012/11/02/panama-canal-returned/,,Panama Canal Returned, 1, Yes, US, Mid War,
,https://twilightstrategy.com/2012/10/16/south-african-unrest/,,South African Unrest, 2, No, USSR, Mid War,
,https://twilightstrategy.com/2012/03/12/olympic-games/,,Olympic Games, 2, No, Neutral, Early War,
,https://twilightstrategy.com/2012/10/17/allende/,,Allende, 1, Yes, USSR, Mid War,
,https://twilightstrategy.com/2012/10/12/brezhnev-doctrine/,,Brezhnev Doctrine, 3, Yes, USSR, Mid War,
,https://twilightstrategy.com/2012/10/08/missile-envy/,,Missile Envy, 2, No, Neutral, Mid War,
,https://twilightstrategy.com/2012/09/26/how-i-learned-to-stop-worrying/,,How I Learned to Stop Worrying, 2, Yes, Neutral, Mid War,
,https://twilightstrategy.com/2012/10/10/we-will-bury-you/,,We Will Bury You, 4, Yes, USSR, Mid War,
,https://twilightstrategy.com/2012/10/03/kitchen-debates/,,Kitchen Debates, 1, Yes, US, Mid War,
,https://twilightstrategy.com/2012/09/24/summit/,,Summit, 1, No, Neutral, Mid War,
,https://twilightstrategy.com/2012/10/01/junta/,,Junta, 2, No, Neutral, Mid War,
,https://twilightstrategy.com/2012/09/19/bear-trap/,,Bear Trap, 3, Yes, US, Mid War,
,https://twilightstrategy.com/2012/09/10/nuclear-subs/,,Nuclear Subs, 2, Yes, US, Mid War,
,https://twilightstrategy.com/2012/09/12/quagmire/,,Quagmire, 3, Yes, USSR, Mid War,
,https://twilightstrategy.com/2012/09/05/arms-race/,,Arms Race, 3, No, Neutral, Mid War,
,https://twilightstrategy.com/2012/09/06/cuban-missile-crisis/,,Cuban Missile Crisis, 3, Yes, Neutral, Mid War,
,https://twilightstrategy.com/2012/09/17/salt-negotiations/,,SALT Negotiations, 3, Yes, Neutral, Mid War,
,https://twilightstrategy.com/2012/09/04/regions-central-america/,,Regions: Central America,,,,,
,https://twilightstrategy.com/2012/09/04/regions-southeast-asia/,,Regions: Southeast Asia,,,,,
,https://twilightstrategy.com/2012/09/04/brush-war/,,Brush War, 3, No, Neutral, Mid War,
,https://twilightstrategy.com/2012/07/09/defectors/,,Defectors, 2, No, US, Early War,
,https://twilightstrategy.com/2012/06/11/nuclear-test-ban/,,Nuclear Test Ban, 4, No, Neutral, Early War,
,https://twilightstrategy.com/2012/05/29/de-stalinization/,,De-Stalinization, 3, Yes, USSR, Early War,
,https://twilightstrategy.com/2012/02/24/de-gaulle-leads-france/,,De Gaulle Leads France, 3, Yes, USSR, Early War,
,https://twilightstrategy.com/2012/07/02/formosan-resolution/,,Formosan Resolution, 2, Yes, US, Early War,
,https://twilightstrategy.com/2012/02/06/nasser/,,Nasser, 1, Yes, USSR, Early War,
,https://twilightstrategy.com/2012/02/20/warsaw-pact-formed/,,Warsaw Pact Formed, 3, Yes, USSR, Early War,
,https://twilightstrategy.com/2012/01/24/comecon/,,Comecon,,,,1949–1991,
,https://twilightstrategy.com/2012/01/16/arab-israeli-war/,,Arab-Israeli War,,,,"1948–49, 1956, 1967, 1968-1970, 1973, 1982",
,https://twilightstrategy.com/2011/12/25/korean-war/,,Korean War, 2, Yes, USSR, Early War,
,https://twilightstrategy.com/2012/01/02/romanian-abdication/,,Romanian Abdication, 1, Yes, USSR, Early War,
,https://twilightstrategy.com/2011/12/14/fidel/,,Fidel, 2, Yes, USSR, Early War,
,https://twilightstrategy.com/2011/12/19/blockade/,,Blockade, 1, Yes, USSR, Early War,
,https://twilightstrategy.com/2011/12/16/vietnam-revolts/,,Vietnam Revolts, 2, Yes, USSR, Early War,
,https://twilightstrategy.com/2012/10/15/portuguese-empire-crumbles/,,Portuguese Empire Crumbles, 2, Yes, USSR, Mid War,
,https://twilightstrategy.com/2011/12/13/socialist-governments/,,Socialist Governments, 3, No, USSR, Early War,
,https://twilightstrategy.com/2011/12/12/five-year-plan/,,Five Year Plan, 3, No, US, Early War,
,https://twilightstrategy.com/2011/12/12/duck-and-cover/,,Duck and Cover, 3, No, US, Early War,
,https://twilightstrategy.com/2012/02/13/regions-middle-east/,,Regions: Middle East,,,,,
,https://twilightstrategy.com/2012/11/14/sadat-expels-soviets/,,Sadat Expels Soviets, 1, Yes, US, Mid War,
,https://twilightstrategy.com/2012/10/31/the-china-card/,,The China Card,,,,There are four main uses for the China Card:,
,https://twilightstrategy.com/2011/12/12/regions-europe/,,Regions: Europe,,,,,
,https://twilightstrategy.com/2012/11/07/grain-sales-to-soviets/,,Grain Sales to Soviets, 2, No, US, Mid War,
