topic,intro
Wikipedia:News,"There are various sources of news about Wikipedia, The Wikimedia Foundation that supports the project and other related Wikimedia projects."
Wikipedia:Reference desk,"For information on any topic, choose a category for your question:"
Wikipedia:Help desk,"— Preceding unsigned comment added by 24.211.166.130 (talk) 00:01, May 10, 2017 (UTC)"
Wikipedia:Community portal,
Main Page,
Wikipedia:Picture of the day/May 2017,
Wikipedia:Featured pictures,
Main Page,
Wikipedia:Local Embassy,This is the local embassy on the English Wikipedia. More embassies in other languages may be found at meta:Wikimedia Embassy.
Li Hongzhi,"Li Hongzhi (Chinese: 李洪志; pinyin: Lǐ Hóngzhì) is the founder and spiritual leader of Falun Gong (or Falun Dafa), a ""system of mind-body cultivation"" in the qigong tradition. Li Hongzhi began his public teachings of Falun Gong on 13 May 1992 in Changchun, and subsequently gave lectures and taught Falun Gong exercises across China. In 1995 Li began teaching Falun Gong abroad, and in 1998 he settled as a permanent resident in the United States. Li's Falun Gong movement gained significant popularity in the 1990s, including in government and qigong circles, but was suppressed by the Chinese government in 1999."
Main Page,» More Wikinews stories
Main Page,
Pope John Paul II assassination attempt,"The first attempted assassination of Pope John Paul II took place on Wednesday, 13 May 1981, in St. Peter's Square at Vatican City. The Pope was shot and wounded by Mehmet Ali Ağca while he was entering the square. The Pope was struck four times, and suffered severe blood loss. Ağca was apprehended immediately, and later sentenced to life in prison by an Italian court. The Pope later forgave Ağca for the assassination attempt.[1] He was pardoned by Italian president Carlo Azeglio Ciampi at the Pope's request and was deported to Turkey in June 2000."
Our Lady of Fátima,"Our Lady of Fátima (Portuguese: Nossa Senhora de Fátima, formally known as Our Lady of the Holy Rosary of Fátima Nossa Senhora do Rosário de Fátima European Portuguese: [ˈnɔsɐ sɨˈɲoɾɐ dɨ ˈfatimɐ] Brazilian Portuguese: [ˈnɔsɐ sĩˈȷ̃ɔɾɐ dʒi ˈfatʃimɐ]), is a Roman Catholic title of the Blessed Virgin Mary based on the famed Marian apparitions reported in 1917 by three shepherd children at the Cova da Iria, in Fátima, Portugal. The three children were Lúcia Santos and her cousins Jacinta and Francisco Marto."
War of the Bavarian Succession,"A Saxon–Prussian alliance fought the War of the Bavarian Succession (July 1778 – 21 May 1779) against the Austrian Habsburg Monarchy to prevent the Habsburgs from acquiring the Electorate of Bavaria. Although the war consisted of only a few minor skirmishes, thousands of soldiers died from disease and starvation, earning the conflict the name Kartoffelkrieg (Potato War) in Prussia and Saxony; in Habsburg Austria, it was sometimes called the Zwetschgenrummel (Plum Fuss)."
Main Page,
May 13,
Deaths in 2017,This is a chronology of deaths in 2017. Names are reported under the date of death. Names under each date are reported in alphabetical order by surname or pseudonym.
Red Fort,"The Red Fort is a historical fort in the city of Delhi in India. It was the main residence of the emperors of the Mughal dynasty for nearly 200 years, until 1857. It is located in the center of Delhi and houses a number of museums. In addition to accommodating the emperors and their households, it was the ceremonial and political centre of the Mughal state and the setting for events critically impacting the region.[1]"
2017 World Snooker Championship,"The 2017 World Snooker Championship (also referred to as the 2017 Betfred World Snooker Championship for the purposes of sponsorship) was a professional snooker tournament that took place from 15 April to 1 May 2017 at the Crucible Theatre in Sheffield, England.[1] It was the 19th and final ranking event of the 2016/2017 season."
Wikidata:Main Page,
Puerto Rican government-debt crisis,"The Puerto Rican debt crisis is an ongoing financial crisis related to the amount of debt owed by the government of Puerto Rico. The island has more than US$70 billion of outstanding debt, with a debt-to-GDP ratio of about 68%.[a] In February 2014, various American credit rating agencies downgraded the government's debt to non-investment grade."
Portal:Current events,Edit instructions
Comac C919,"The Comac C919 is a narrow-body twinjet airliner developed by Chinese aerospace manufacturer Comac. The programme was launched in 2008 and production of the prototype began in December 2011. It rolled out on 2 November 2015 and first flew on 5 May 2017, for a planned introduction in 2020. The aircraft is mainly made out of aluminium. It is powered by CFM International LEAP turbofan engines and can carry 156 to 168 passengers in a usual operating configuration up to 3,000 nautical miles (5,555 km). It is intended to compete with the Boeing 737 MAX and Airbus A320neo. As of November 2016, 570 aircraft have been ordered from 23 customers, mostly Chinese leasing companies or airlines."
2017 Afghanistan–Pakistan border skirmish,"The 2017 Afghanistan–Pakistan border skirmish involved an exchange of fire between Afghan and Pakistani security forces on 5 May, in the Chaman border area of Pakistan. At least 15 people died on both sides in the immediate border clash. It is one of a series of similar border-related incidents between the two countries."
2017 Kentucky Derby,"The 2017 Kentucky Derby (in full, the Kentucky Derby Presented by Yum! Brands, due to sponsorship[1]) was the 143rd running of the Kentucky Derby, and took place on Saturday, May 6, 2017.[2] The Kentucky Derby is a horse race held each year in Louisville, Kentucky, on the first Saturday in May, at the end of the two-week-long Kentucky Derby Festival. It is a Grade I stakes race for three-year-old Thoroughbreds at a distance of 1 1⁄4 miles (2.0 km), and has been run at Churchill Downs racetrack since its inception in 1875.[3] The race was broadcast by NBC with a scheduled post time of 6:34 PM ET.[4] The race went off at 6:52 PM ET[1] before a crowd of 158,070[5] and a television TAD of 16.5 million viewers,[6]. The winner was the post-time favorite, Always Dreaming.[1]"
"French presidential election, 2017",TRollnggg mofosss
Wikipedia:Your first article,Welcome to Wikipedia!
Template talk:Did you know,"This page is for nominations to appear in the ""Did you know"" section on the Main Page. For the discussion page see WT:DYK. Nominations that have been approved are moved to a staging area, from which the articles are promoted into the Queue."
Wikipedia:Recent additions,"This is a record of material that was recently featured on the Main Page as part of Did you know?. Recently created new articles, greatly expanded former stub articles, and recently promoted Good Articles are eligible, and you can submit them for consideration."
Lukas Lundin,"Lukas Henrik Lundin (born 1958) is a Swedish-Canadian billionaire businessman, based in Geneva, Switzerland. He is the chairman of Lundin Mining, Denison Mines, Lucara Diamond, NGEx Resources Inc, Lundin Gold Inc, the Lundin Foundation, and Vostok Gas. He is also the owner of a $100 million eco-friendly super-yacht, Savannah."
Pendulum car,"The pendulum car was an experimental tilting coach built by the Pacific Railway Equipment Company (PERC) in the early 1940s. It used an innovative coiled spring suspension system to reduce lateral motion, thus increasing passenger comfort. PERC built three cars which were tested on American railroads throughout the 1940s, but the advent of World War II, and their high cost relative to conventional equipment, prevented their wider adoption."
The Sixth Lie,"The Sixth Lie (stylized as THE SIXTH LIE) is a Japanese electronic rock band that formed in March 2015. The band are currently signed with euclid agency, and style their music as ""future rock"".[2]"
Occupational exposure banding,"Occupational exposure banding, also known as hazard banding, is a process intended to quickly and accurately assign chemicals into specific categories (bands), each corresponding to a range of exposure concentrations designed to protect worker health. These bands are assigned based on a chemical’s toxicological potency and the adverse health effects associated with exposure to the chemical.[1] The output of this process is an occupational exposure band (OEB). Occupational exposure banding has been used by the pharmaceutical sector and by some major chemical companies over the past several decades to establish exposure control limits or ranges for new or existing chemicals that do not have formal OELs.[2] Furthermore, occupational exposure banding has become an important component of the Hierarchy of Occupational Exposure Limits (OELs).[3][4]"
Main Page,
MediaWiki,
