exhibitor_name,email
Azienda Agricola Menegotti Antonio,info@menegotticantina.com
Azienda Agricola Marsuret,marsuret@marsuret.it
Azienda Agricola Mizzon di Perusi Nicola,info@cantinamizzon.com
Azienda Agricola Mario Torelli di Gianfranco Torelli,info@vinitorelli.it
Azienda Agricola Manzone Gian Paolo,
Azienda Agricola Malenchini di Diletta Malenchini,info@malenchini.it
Azienda Agricola Mirabella S.r.l.,info@mirabellafranciacorta.it
Azienda Agricola Malacari,info@malacari.it
AZIENDA AGRICOLA LODALI WALTER,lodali@lodali.it
Azienda Agricola Luigi Cataldi Madonna,amm.cataldimadonna@alice.it
Azienda Agricola Marco Benvenuti,info@poggiosacchetto.it
Azienda Agricola Marina Danieli EMMEGIO,info@marinadanieli.com
Azienda Agricola Maccagno Livio,vini@cantinamaccagno.it
Azienda Agricola Livon Societa Semplice,info@livon.it
Azienda Agricola Le Regge di Barbara Ferruzzi,info@leregge.it
Azienda Agricola le Ragose di M. e P. Galli e C. soc. agr.,leragose@leragose.com
Azienda AGRICOLA Le Macchiole,info@lemacchiole.it
Azienda Agricola Le Ginestre S. S. di Audasso Gianluca e C.,info@leginestre.com
Azienda agricola La Tosa di Pizzamiglio Ferruccio e Stefano s.s.,info@latosa.it
Azienda Agricola Lanciola Sa.ss. di C. Ercoli e.G. Guarnieri,info@lanciola.it
Azienda Agricola Le Fornacelle di Billi Stefano,info@fornacelle.it
Azienda Agricola La Tunella S.S.,info@latunella.it
Azienda Agricola La Scolca Societa Semplice,info@scolca.it
Azienda Agricola La Tunella S.S.,info@latunella.it
Azienda Agricola La Sclusa,info@lasclusa.it
Azienda Agricola la Salceta di Ettore Ciancico,mail@lasalceta.it
Azienda Agricola La Magnolia,info@vinilamagnolia.it
Azienda Agricola LA RAJADE,info@larajade.it
Azienda Agricola La Jara di Marion Massimo,info@lajara.it
Azienda Agricola La Ghidina di Benedetti Luisella,info@ancillalugana.it
Azienda Agricola La Chiara di Figini Silvana,info@lachiara.it
Azienda Agricola Il Roncal,info@ilroncal.it
Azienda Agricola Il Palazzo di Banelli Anna Maria,wine@tenutailpalazzo.it
Azienda Agricola Il Pignetto,ilpignetto@cantinailpignetto.com
Azienda Agricola Giuliani Vito Donato,info@vitivinicolagiuliani.com
Azienda Agricola Gini Sandro e Claudio,info@ginivini.com
Azienda Agricola Gianfranco Daino,info@vinidaino.it
Azienda Agricola I Campi di Flavio Prà,info@icampi.it
Azienda Agricola I Cacciagalli di Diana Iannaccone,info@icacciagalli.it
Azienda Agricola Giacomo Fenocchio S.S.A.,info@giacomofenocchio.com
Azienda Agricola Gini Sandro e Claudio,info@ginivini.com
Azienda Agricola Ghione Anna,info@ghionewine.com
Azienda Agricola GHIO Roberto - Vigneti Piemontemare,info@ghiovini.it
Azienda Agricola G. Milazzo S.R.L.,info@milazzovini.com
Azienda Agricola Ghiga Giovanni,info@ghiga.it
Azienda Agricola GABBAS GIUSEPPE,info@gabbas.it
Azienda Agricola Fraccaroli di Fraccaroli G. S.S.,info@fraccarolivini.it
Azienda Agricola Fratelli Muratori s.s,info@arcipelagomuratori.it
Azienda Agricola Fontodi di Giovanni e Marco Manetti S.agr.S.,fontodi@fontodi.com
Azienda Agricola Fontodi di Giovanni e Marco Manetti S.agr.S.,fontodi@fontodi.com
Azienda Agricola Ferraris Luca,info@lucaferraris.it
Azienda Agricola Flatio,fraccawine@libero.it
Azienda Agricola Fontefico del F.lli Altieri s.s.a.,na@fontefico.it
Azienda Agricola Feliciana di Sbruzzi Massimo,info@feliciana.it
Azienda Agricola Ermacora Dario e Luciano,info@ermacora.it
Azienda Agricola Fasoli Gino di Fasoli Amadio e Natalino Societá Agricola Semplice,fasoligino@fasoligino.com
Azienda Agricola Erbaluna s.s.a. di Oberto Andrea,biovini@erbaluna.it
Azienda Agricola Elio Altare di Silvia Altare,elioaltare@elioaltare.com
Azienda Agricola di Firmo Maria Le Cantorie,info@lecantorie.com
Azienda Agricola Dissegna Francesco,info@dissegnavini.com
Azienda Agricola Dionigi s.s.,info@cantinadionigi.it
Azienda Agricola Destro srl,info@destrovini.com
Azienda Agricola Domenico Fraccaroli,info@domenicofraccaroli.com
Azienda Agricola de Tarczal,info@detarczal.com
AZIENDA AGRICOLA DE MARCO GIUSEPPE CANTINA RICCIO,info@cantinariccio.it
Azienda Agricola Edi Keber,
Azienda Agricola Costantino L.e Figli ss,imfo@costantinowines.it
Azienda Agricola COSTANTINI ANTONIO,info@costantinivini.it
Azienda Agricola Dal Bello Antonio,info@dalbellovini.it
Azienda Agricola Cozzarolo Giovanni Battista,info@cozzarolo.it
Azienda Agricola Cortino Produttori Dianesi,info@produttoridianesi.com
Azienda Agricola Cornarea Società Semplice,info@cornarea.com
Azienda agricola Cocco Francesca,info@tenutesmeralda.it
Azienda Agricola Colognole di G. Spalletti Soc. Agr. R. L.,info@colognole.it
Azienda Agricola CONTI ZECCA di Agricola Soc. Coop,info@contizecca.it
Azienda Agricola Citari Di Gettuli Giovanna & C. S.S.,info@citari.it
Azienda Agricola Colle Manora S.S. die Giorgio Schon,info@collemanora.it
AZIENDA AGRICOLA CORINO GIOVANNI di Corino Giuliano,corinogiuliano@libero.it
Azienda Agricola Citari Di Gettuli Giovanna & C. S.S.,info@citari.it
Azienda Agricola Cianfagna,agricola@cianfagna.com
Azienda Agricola Ciccio Zaccagnini S.R.L.,info@cantinazaccagnini.it
Azienda Agricola Ceralti di Alfeo Iacopo,info@gmail.com
Azienda Agricola Casello Bondoni di Tomasi Gaetano S.S.,info@casellobondoni.it
Azienda Agricola Cavalier Bartolomeo di Borgogno Dario,info@cavalierbartolomeo.com
Azienda Agricola Castelvecchio,info@castelvecchio.com
Azienda Agricola Casale di Falchini sas,info@falchini.com
Azienda Agricola Cascina la Ghersa Massimo Pastura,info@laghersa.it
Azienda Agricola Carlo Revello & Figli,info@carlorevello.com
Azienda Agricola Casa di Monte,casadimonte@casadimonte.it
Azienda Agricola Cantine Tora di Rillo Concetta,info@cantinetora.it
Azienda Agricola Capoano,info@capoano.it
Azienda Agricola Camillo Montori,info@montorivini.it
AZIENDA AGRICOLA CAMERLENGO DI ANTONIO CASCARANO,info@camerlengodoc.it
Azienda Agricola CA' MAIOL S.S.,uffcio@camaiol.it
Azienda Agricola Camerani Marinella Adalia - Corte Sant'Alda,info@cortesantalda.it
Azienda Agricola Bulichella srl.,info@bulichella.it
Azienda Agricola Ca' Tullio,info@catullio.it
Azienda Agricola Buglioni S.A.,buglioni@buglioni.it
Azienda Agricola Bruscoli Marianna Tenuta Santi Giacomo e Filippo,vinibio@tenutasantigiacomoefilippo.it
Azienda Agricola Brigaldara S.A.S.,info@brigaldara.it
Azienda Agricola Boggero Giacomo,info@boggero.it
Azienda Agricola Biologica Centanni Giacomo,info@vinicentanni.it
Azienda Agricola Bertoldi,info@cantinebertoldi.it
Azienda Agricola Biasiotto S. Ag. S.,info@vinibiasiotto.it
Azienda Agricola Beppe Mo di Mo Ivano,mo.giuseppe2006@libero.it
Azienda Agricola Ascevi Luwa di Pintar Marjan,
Azienda Agricola Altavia s.s,formentinic@gmail.com
Azienda Agricola Baldi Societa Agricola A.R.L.,baldi@baldisas.com
Azienda Agricola ALTURIS,info@alturis.it
Azienda Agricola Angelini Paolo,viniangelini@viniangelini.it
Azienda Agricola Alessandro Moroder,info@moroder.wine
Azienda Agricola Albino Piona Società Agricola Semplice di Piona Albino & Figli,info@albinopiona.it
Azienda Agricola Aldo Adami e C.,aldoadami@cantinaaldoadami.com
Azienda Agraria Santa Liberata di Savini Giorgio,info@vinisantaliberata.it
Azienda Agricola Accordini Stefano di Accordini Giacomo e Filippi Eleonora Società Agricola s.s,info@accordinistefano.it
Azienda Agraria Giusti Piergiovanni,cantinaluigigiusti@virgilio.it
"Azienda Agricola ""Tenuta il Falchetto"" dei F.lli Forno s.s.a.",tenuta@ilfalchetto.com
Azienda Agraria Dott. Guerrieri Luca,info@aziendaguerrieri.it
Azienda Agraria Degli Azzoni Avogadro Carradori SS,info@degliazzoni.it
Azienda Agraria Motta Alberto,info@mottavini.com
Azienda Agraria Lisini s.s.,azienda@lisini.com
Azienda Agricola Abrigo Giovanni di Abrigo Giorgio,g.abrigo@abrigo.it
Azienda Agr. Marcampo di Del Duca Genuino,info@poderemarcampo.com
Aziagr. Riccardi Luigi Mora Bassa,
Azerbaijan Export & Investment Promotion Foundation,office@azpromo.az
Az.Agricola Sancin,sancin@sancin.com
AZ. AGRICOLA VIGNAMATO DI ANDREA CECIN,info@vignamato.com
Az. Agricola Val di Toro di Anna Maria Cruciata,valditoro@valditoro.it
Az. Vitivinicola Collestefano di Marchionni Fabio,info@collestefano.com
Az. Vinicola Follador di Rossi Italia S.n.c.,info@folladorprosecco.com
Az. Agricola Torre Fornello di Enrico Sgorbati,vini@torrefornello.it
Az. Agricola Tomasella di Tomasella Comm. Luigi & C. S.A.S.,cantina@tomasella.it
Az. Agricola Tollena die Bernardi Barbara & C. s.s s.a.,info@borgotellena.it
Az.Agricola Ronchi San Giuseppe,info@ronchisangiuseppe.com
Az. Agricola Terre d'Aglianico di Rillo Libero,info@terredaglianico.it
Az. Agricola Ippolio di Musso Angela,info@ippolitovini.com
Az. Agricola la Chimera d'Albegna di Iacopo Becherini,info@lachimeradalbegna.com
Az. Agricola Pravis,info@pravis.it
Az. Agricola Tenuta delle Terre Nere,info@tenutaterrenere.com
Az. Agricola Greco Romaldo,info@romaldogreco.it
Az. Agricola F.lli Degani di Degani Aldo,info@deganivini.it
Az. Agricola Ca dei Frati Dal Cero P. & Figli s.s.,info@cadeifrati.it
Az. Agricola Ellena Giuseppe die Matteo Ellena,info@ellenagiuseppe.it
Az. Agricola Blason di Blason Giovanni,info@blasonwines.com
Az. Agricola Baldi Pierfranco,info@vinibaldi.it
Az. Agricola Biologica Ca 'd Tantin,info@cadtantin.it
Az. Agr. Vicentini Agostino,vicentini@vinivicentini.com
Az. Agr. Valentina Cubi,info@valentinacubi.it
Az. Agr. Veglio Michelino e Figlio di Veglio Osvaldo,veglio@vegliomichelinoefiglio.com
Az. Agr. Viviani di Viviani Claudio,viviani@cantinaviviani.com
Az. Agr. Ventolaio di Fanti Luigi,info@ventolaio.it
Az. Agr. Vada Emilio,emilio.vada@hotmail.it
Az. Agr. Trabucchi di Fernanda Nanni Sparavieri,azienda.agricola@trabucchidillasi.it
Az. Agr. Titignano Agricola Spa,info@salviano.it
Az. Agr. Uccelliera Di Cortonesi Andrea,anco@uccelliera-montalcino.it
Az. Agr. Simone Scaletta Viticoltore,viniscaletta@alice.it
Az. Agr. Sordo Giovanni di Sordo Giorgio,info@sordogiovanni.it
Az. Agr. Stroppiana Dario,info@cantinastroppiana.com
Az. Agr. Scacciadiavoli Pambuffetti s.s.,info@scacciadiavoli.it
Az. Agr. Secondo Marco di Marco Speri,info@secondomarco.it
Az. Agr. San Salvatore di Pagano Giuseppe,commerciale@sansalvatore1988.it
Az. Agr. Ronchi di Manzano & C. Snc di Roberta Borghese,info@ronchidimanzano.com
Az. Agr. Roccapesta di Tanzini Alberto,info@roccapesta.it
Az. Agr. Rivetti Massimo,
Az. Agr. Pezzuoli S.S.,info@pezzuoli.it
Az. Agr. Poliziano Federico Carletti,info@carlettipoliziano.com
Az. Agr. Palazzone di Dubini e Locatelli,info@palazzone.com
Az. Agr. Pescaja Di Guido Giuseppe,info@pescaja.com
Az. Agr. PECCI CELESTINO,info@aziendapeccicelestino.com
Az. Agr. Pagani di Bottaro Beatrice,info@vinipagani.it
Az. Agr. Paitin s.s.a.,info@paitin.it
Az. Agr. Orlando Abrigo di Abrigo Giovanni,info@orlandoabrigo.it
Az. Agr. Nardin Walter s.s. Società Agricola,bevi@vinwalternardin.it
Az. Agr. Monte del Fra' di Bonomo Eligio Claudio e Marica ss.,info@montedelfra.it
Az. Agr. Montetondo S.S. di Magnabosco Gino e Maria Paola Società Agricola,info@montetondo.it
Az. Agr. Metinella di Stefano Sorlini,info@metinella.it
Az. Agr. Monte Faustino di Fornaser Paolo,info@fornaser.com
Az. Agr. Musso di Valter Musso,mussobarbaresco@gmail.com
Az. Agr. Mauro Veglio,mauroveglio@mauroveglio.com
Az. Agr. Matteo Correggia di Costa Ornella,cantina@matteocorreggia.com
Az. Agr. Margiotta Carlo Mario,info@margiottavini.it
Az. Agr. Martoccia di Brunelli Luca,info@tenutabrunelli.it
Az. Agr. le Marchesine S.S. di Biatta Giovanni ec.,info@lemarchesine.it
Az. Agr. Masut da Rive,info@masutdarive.com
Az. Agr. Lorenzon,info@ifeudidiromans.it
Az. Agr. Le Ragnaie,info@leragnaie.com
Az. Agr. Le Macie de M. Pellegrini Terra di Seta,info@terradiseta.it
Az. Agr. La Cignozza di Roberto Del Buono,info@lacignozza.com
Az. Agr. La Lastra di Renato Spanu,staff.lalastra@gmail.com
Az. Agr. La Boscaiola di Cenci Giuliana,"infowine@laboscaiola.com, info@vigneticenci.com"
Az. Agr. La Cascina Del Colle s.s.,info@lacascinadelcolle.it
Az. Agr. La Tordera S.S. di Vettoretti Pietro e Figli,info@latordera.it
Az. Agr. Il Marroneto di Mori Alessandro,info@ilmarroneto.it
Az. Agr. La Ciarliana di Frangiosa Luigi,info@laciarliana.it
Az. Agr. IL LEBBIO dei f.lli Niccolini s.s. soc. agr.,illebbio@libero.it
Az. Agr. I LUOGHI di Stefano Granata,info@iluoghi.it
Az. Agr. Giorgio Iannoni Sebastianini Giorgio Iannoni Sebastianini,info@iannonisebastianini.wine
Az. Agr. G.D. VAJRA di Vaira Aldo,info@gdvajra.it
Az. Agr. Galasso Ettore SARL,info@cantinegalasso.com
Az. Agr. Gianfranco Alessandria,azienda.alessandria@tiscali.it
Az. Agr. Franca Contea di Cavalleri Luigi e figli S.S.,info@francacontea.it
Az. Agr. Fiamberti Giulio,info@fiambertivini.it
Az. Agr. Fossacolle di Marchetti Sergio,info@fossacolle.it
Az. Agr. Feudo Montoni di Fabio Sireci,info@feudomontoni.it
Az. Agr. Fornacina di Biliorsi Simone,info@cantinafornacina.it
AZ. AGR. ETTORE FONTANA FONTANA LIVIA,info@liviafontana.it
Az. Agr. Ferghettina di Gatti Roberto,laura@ferghettina.it
Az. Agr. Fattoria Teatina di De Lutiis Pierluigi,info@fattoriateatina.it
Az. Agr. Elisabetta di Luigi Egidio Brunetti,info@agrihotel-elisabetta.it
Az. Agr. F.lli Rabino di Rabino Andrea,info@fratellirabino.com
Az. Agr. Demarie Giovanni di Demarie Aldo,demarie@demarie.com
Az. Agr. Crociani di Susanna Crociani,info@crociani.it
Az. Agr. Crosarola di Righetti Sebastiano,crosarola@hotmail.it
AZ. AGR. CERBAIA di Pellegrini Fabio,infocerbaia@gmail.com
Az. Agr. Ca´di Frara di Bellani Luca,cadifrara@cadifrara.com
Az. Agr. Castello di Corbara SRL,info@castellodicorbara.it
Az. Agr. Conte Emo Capodilista di Giordano Emo Capodilista,lamontecchia@lamontecchia.it
Az. Agr. Cavalchina di Piona Giulietto,info@cavalchina.com
Az. Agr. Casavecchia alla Piazza di Boundonno Gabriele,buondonno@chianticlassico.com
Az. Agr. Caprili Di F.lli Bartolommei Soc. Agr. Sempl.,info@caprili.it
Az. Agr. Capannelle S.R.L.,info@capannelle.com
Az. Agr. Cantine Massimo Leone di Leone Francesco Massimo,info@cantinemassimoleone.it
Az. Agr. Cadia di Giachino Bruno,info@cadia.it
AZ. AGR. BRIC CENCIURIO S.S.A. di Pittatore A. e A.,info@briccenciurio.com
Az. Agr. Ca'Lojera di Tiraboschi Franco,info@calojera.com
Az. Agr. Ca' Brusà di Marengo Diego,info@cabrusa.com
Az. Agr. Bartoli Giusti ss,comunali@bartoligiusti.it
Az. Agr. Begali Lorenzo di Begali Lorenzo e Giordano soc. agr. s. s.,tiliana@tiscali.it
Az. Agr. Aldo Marenco di Claudio Marenco,info@marencoaldo.it
"Az. Agr. ""I POLA"" di Alessandro Rivetto & C. s.s.",Info@alessandrorivetto.it
Az. Agr. Abbona di Abbona Marziano e.C. s.s.,abbona@abbona.com
Az. Agr. Accornero Giulio e Figli,info@accornerovini.it
Az Agr Flli Pisoni,info@pisonivini.it
Axios Napa Valley,michael@axioswine.com
AXA MILLESIMES GESTION SNC,cnicolle@axamillesimes.com
Awin Barratt Siegel Wine Agencies Cranswick LLP,lg@abswineagencies.co.uk
Axial Vinos S.L.,info@axialvinos.com
Avincis Vinuri Srl,Avincis.Viniuri@avincis.ro
Avondhu Liqueur Company Ltd.,info@avondhuliqueurcompany.com
"Aveleda, SA",info@aveleda.pt
Avelino Vegas S.A.,general@avelinovegas.com
Avondale Wine Trust,wine@avondalewine.co.za
Avec Plaisir Vins et Champagnes e.K.,agesser@avecplaisir.de
Avarizza Wines,
AV Bourgogne Beaujolais,contact@a-v-bourgogne-beaujolias.com
Australian Vintage Ltd.,afurness@australianvintage.com.au
Austwine Exports Pty Ltd.,info@austwine.net.au
AURETO VIGNOBLES SARL AURETO,nmg@aureto.fr
Au Pied du Mont Chauve SARL,
Avanzi Agricola S.r.l.,info@avanzi.net
AURA WINES,
ATHANASIOS N ZACHARIAS G.P. S.E.,info@musesestate.com
August Sutter Weingut & Weinkellerei,office@weingut-sutter.at
ATF GmbH,prowein@atf.hamburg
"ASV Wines, Inc.",kray@asvwines.com
"Ataide Costa Martins Semedo Unip., Lda.",
Association Des Vins de Bandol,contact@vinsdebandol.com
Association Wines of Macedonia,elena.miloshevska@wom.mk
Associazione Grandi Cru Della Costa Toscana,segreteria@grandicru.it
Astobiza,jon@astobiza.es
Association InterLoire Interprofession des Vins Du Val de Loire -Weinverband Loireweine,s.grosman@vinsvaldeloire.fr
Associazione Culturale di ViBio,info@divibio.it
Astoria Vini s.r.l.,export@astoria.it
Atha Ruja Poderi Winery,info@atharuja.com
Association de Promotion des Crus Bourgeois du Medoc,association@crus-bourgeois.com
Ass. PJ Wines,vinectar@vinectar.fr
ASOCIACION DE BODEGAS DE RIOJA ALAVESA-ABRA,abra@riojalavesa.com
Asociacion Vinos de la Tierra de Aragon,aiaa@aiaa.es
ASPI AGRO Ltd.,office@aspiwinery.az
Askaneli Brothers Ltd.,info@askaneli.ge
Asensio Viñedos y Bodegas S.L.,info@bodegasasensio.com
Asian Wine Producers Association,awpa.secretary@gmail.com
Ashford Handels GmbH,nikaj@ashford-group.de
Asconi Winery LLC,asconi@asconi.md
Asara Wine Estate & Hotel (Pty) Ltd.,"winery-info@asara.co.za, gm@asara.co.za"
Artisan Wines - DI Franz Schneider,
Arunda Sektkellerei,info@arundavivaldi.it
"Artur Valente da Costa, Lda.",
ARPEPE S.r.l Societa Agricola,info@arpepe.com
Artemis Karamolegos Winery Hermes S.a.,dimkekas@yahoo.gr
Arte Vini spol. s r.o.,info@artevini.cz
Arnoux & Fils SA,info@arnoux-vins.com
Arômes de Saint-Estève SARL,contact@chateau-saint-esteve.com
Arnoux Père et Fils Viticulteurs,contact@arnoux-pereetfils.com
Arnaldo Caprai s.r.l.,info@arnaldocaprai.it
Armagnacs Gelas SA Maison Gelas,contact@gelas.com
Arnaud de Villeneuve Cave SCV Les Vignobles Du Rivesaltais,contact@caveadv.com
Armenia Wine Factory LLC,info@armeniawine.am
ARMAGNAC DARTIGALONGUE SAS,contact@dartigalongue.com
ARGILLAE S.r.l.,info@argillae.eu
Armagnac J. Goudoulin SAS,contact@armagnac-goudoulin.com
Armagnac Delord ETS Delord Freres SA,chai@armagnacdelord.com
Argiolas S.p.a.,info@argiolas.it
ARGENTINA - FUNDACIÒN EXPORTAR,
Aresti Chile Wine S.A.,contacto@acw.cl
Argentiera Srl,info@argentiera.eu
ARCHIVINO Inh.: Erwin Spengler,contact@archivino.ch
Arduini Luciano e C. Societa' Agricola S.S.,arduinivini@yahoo.it
Ardau Weinimport GmbH,verkauf@ardau.de
AREAL - Quinta da Pousada José Campos Reis Areal,geral@vinhoverdeareal.co.pt
Aranzabela S.A.,ruthchavarri@gmail.com
Archery Summit Winery/Double Canyon/Seven Hills Winery,abigail.smyth@crimsonwinegroup.com
Arancello SL,marc@arancellofederica.com
Arcadia S.r.l. Societa Agricola,info@lemondewine.com
"APVV - Apoio a Produtores de Vinho Verde Unipessoal, Lda.",geral@apvv.eu
Applic'Etains SAS,sales@applicetains.com
APVSA,info@apvsa.ca
APOLLONIS - Champagne - Michel Loriot,contact@champagneapollonis.com
Araex Rioja Alavesa S.L.,comunicacion@araex.com
Apimel d.o.o.,apimel@apimel.hr
Apple Paple sp. z o.o.,info@applepaple.com
Apell Weine Martin Apell,mail@apell.de
Apollonio Casa Vinicola S.r.l.,info@apolloniovini.it
APEV Romania - The Wine Exporters and Producers Association of Romania,apev@wineromania.com
AOC Vins du Bugey ODG Aoc Vins du Bugey,contact@vinsdubugey.net
Antucura S.A.,info@antucura.com
AOC Conseils SARL Immeuble Aalter,
ANUSH 1 LLC Armenian Branch,"giro71@yandex.ru, info@kataro.am"
Antonutti Casa Vinicola snc,info@antonuttivini.it
Antonio Lopez,info@bernard-massard.de
Antoine Olivier SARL,contact@antoineolivier.wine
Antonio Facchin & Figli S.S. Soc. Agr.,info@antoniofacchin.com
Antonopoulos Vineyards / Erymanthos Winery S.A.,info@antonopoulosvineyards.com
ANTONINI E CO. SRL,info@antonini.srl
Anton Bauer GmbH,office@antonbauer.at
