Fraternity Spirits World S.A. de C.V.,mailto:r.berardi@fraternityspirits.com
Frederiksdal Kirsebaervin A/S,mailto:AM@frederiksdal.com
Fratelli Martini Secondo Luigi S.P.A.,mailto:info@fratellimartini.it
Fratelli Giuliari Snc,mailto:lapiccolabotte@virgilio.it
Fratelli Ponte vini sas di Ponte Giuseppe,mailto:info@fratellipontevini.it
Frassinelli Gianluca Azienda Agricola,mailto:info@frassinelli.it
FRASCOLE SOCIETA' AGRICOLA s.s.,mailto:frascole@frascole.it
Franz Keller - Schwarzer Adler Inh. Fritz Keller,mailto:keller@franz-keller.de
Franz Haas,mailto:info@franz-haas.it
Franz Gojer Glögglhof,mailto:info@gojer.it
Fränkisches Weinkontor eG,
FRANTOIO LA PIEVE di PETRI LUCA & C. sas,mailto:info@lapievemaremmatoscana.it
Frankenwein-Frankenland GmbH - Haus des Frankenweins -,mailto:kontakt@haus-des-frankenweins.de
Frank & Serafìco S.a.r.l.,mailto:info@frankeserafico.com
FRANCOIS PLOUZEAU EARL,mailto:garreliere@orange.fr
Francois Lurton S.A.,mailto:communication@francoislurton.com
FRANCOIS JANOUEIX SARL,mailto:export@janoueixfrancois.com
Frank John Das Hirschhorner Weinkontor,mailto:info@johnwein.de
François COLLARD SARL –Château Mourgues du Grès,mailto:export@mourguesdugres.com
Francis Ford Coppola Winery,mailto:emily.putman@ffcpresents.com
Franco Mondo di Mondo Valerio,mailto:info@francomondo.net
Francesco Rinaldi e Figli s.a.s.,mailto:info@rinaldifrancesco.it
Fracastel - Comerico de vinhos soc Unip. Lda,mailto:quintas@predialferreira.pt
Franceschi Leopoldo e Livia s.s. Soc. Agr. - Il Poggione,mailto:info@ilpoggione.it
Fox Creek Wines,mailto:sales@foxcreekwines.com
Foz Gourmet Lda,mailto:info@fozgourmet.com
Fournier Pére & Fils S.A.S.,mailto:claude@fournier-pere-fils.fr
Fortuna Wines S.L.,mailto:info@fortunawines.es
Foreign Trade Chamber of Bosnia and Herzegovina,mailto:cis@komorabih.ba
Fosso Corno società agricola semplice,mailto:info@fossocornovini.it
"Foobespain, S.L.",mailto:info@foobespain.com
Fontanassa s.s.,mailto:info@fontanassa.com
Fornara GmbH,mailto:fornara@fornara.de
FOUGERAT FANNY COGNAC EURL,mailto:cognac.fougeratfanny@gmail.com
Fontana di Papa Vini d'Italia sca,mailto:info@fontanadipapa.it
Fonds de Solidarite Viticole,
Foley Family Wines Limited,mailto:info@ffw.co.nz
"FOJO - CASA AGRÍCOLA, LDA.",mailto:fojo@quintadofojo.pt
Foley Family Wines,mailto:mderr@foleyfamilywines.com
FLEURY WINES SAS,mailto:export@fleury-wines.com
Fitapreta Vinhos L.da,mailto:info@fitapreta.com
"Florent Granier ""Clos Sorian""",mailto:sorian.languedoc@gmail.com
Fluhrer Verlag GmbH,mailto:info@fluhrer-speisekarten.de
Flat Rock Cellars,mailto:jennifer@flatrockcellars.com
"Fiuza & Bright, Lda",mailto:edna.barbosa@fiuzabright.pt
FIRST EXPORT MALLORCA,mailto:marc@first-export.com
First Drop Wines,mailto:matt@firstdropwines.com
Firriato SRL,mailto:info@firriato.it
Fine Cape Wine Kobus Terblanche,
Finest Food Factory GmbH,mailto:info@finestfoodfactory.com
FIORANO Azienda Agricola di Stracci A.,mailto:info@agrifiorano.it
Firesteed Cellars,mailto:hossbach@firesteed.com
FIND IT IMPORT & EXPORT S.L. VIN BOUQUET,mailto:info@fimex.es
"Finca Villadellops Viladellops Vinicola, S.L.",mailto:md@viladellops.com
"Finca Valldosera, S.A.",mailto:general@fincavalldosera.com
Finca Ses Talaioles,mailto:info@sestalaioles.com
finch® Whiskydestillerie Hans-Gerhard Fink,mailto:info@finch-whisky.de
Finca Sophenia S.A.,mailto:consultas@sophenia.com.ar
Finca Loranque S. L.,mailto:export@fincaloranque.com
Finca Narbona SRL,mailto:fabiana.bracco@narbona.com.uy
Finca la Pintada Sophia Choursan - HAC Export-Import,mailto:schoursan@gmail.com
Finca Flichman S.A.,mailto:info@flichman.com.ar
Francesco Scanavino di Scanavino Michele & C. s.a.s.,mailto:info@francescoscanavino.com
Finca La Luz S.A.,mailto:info@fincalaluz.com.ar
exhibitor_name,email
Fastnet Brands Ltd.,
F.lli CASETTA s.a.s. di Casetta Ernesto & C.,mailto:info@flli-casetta.it
Fattoria Corzano e Paterno S.S. Agricola,mailto:info@corzanoepaterno.it
Fattoria Castelvecchio di Rocchi Filippo,mailto:info@castelvecchio.it
Fattoria del MONTICINO ROSSO di ZEOLI ANTONIO e C.,mailto:info@fattoriamonticinorosso.it
Fattoria Dei Barbi s.r.l.,mailto:info@fattoriadeibarbi.it
Fattoria Conca d´Oro,mailto:info@fattoriaconcadoro.com
FARINA S.r.l.,mailto:info@suelzu.com
Fattoria Campoperi soc agr. s.r.l.,mailto:info@casaledellosparviero.it
Farnese Vini S.r.l.,mailto:segreteria@farnesevini.com
FANTINEL S.P.A.,mailto:fantinel@fantinel.com
Family Wine Estate SUTOR,mailto:sutor@siol.net
"Famille Sumeire, Vignerons en Provence SNC Châteaux Elie Sumeire",mailto:sumeire@sumeire.com
Famille Perrin,mailto:contact@familleperrin.com
Famille Perrin,mailto:contact@familleperrin.com
Famille Valery SARL VALERY,mailto:contact@famillevalery.com
Fürstlich Castell'sches Domänenamt e.K.,mailto:weingut@castell.de
Fundacao Eugenio de Almeida Cartuxa,mailto:dir.comercial@fea.pt
FUTURA 14 SRL,mailto:info@bvfutura14.it
Funaro s.r.l. - Azienda Vinicola,mailto:info@funaro.it
Furlan ss. Società Agricola,mailto:info@furlanvini.com
"Frupor Sociedade Agro-Industrial, S.A. Vicentino / Frupor",mailto:vicentino@frupor.com
"FRORE DE CARME, S.L.",mailto:eladiopineiro@froredecarme.es
FrontPac AB,mailto:info@frontpac.se
Fritz Müller verperlt GmbH Jürgen Hofmann & Guido Walter,mailto:info@schiefer-trifft-muschelkalk.de
Fritz Windisch GmbH & Co. KG,mailto:weingut.windisch@web.de
"From Galicia Group, S.L",mailto:info@fromgaliciagroup.com
Friedrich-Wilhelm-Gymnasium GbR,mailto:info@friedrichwilhelmgymnasium.de
Friends' Cellar JSC,mailto:info@friendscellar.com
FrieslandCampina Creamy Creation B.V.,mailto:info@creamycreation.com
Friedrich Klocke GmbH & Co. KG,mailto:info@klocke-online.de
French Wines and Terroirs SARL,mailto:contact@frenchwinesterroirs.com
Friedrich Kiefer KG Privatkellerei - Weingut,mailto:info@weingutkiefer.de
French Spirit SARL,mailto:amaury@frenchspirit.cn.com
French Organic Wines (France Vin Bio),mailto:contact@france-vinbio.fr
Fratelli Ponte vini sas di Ponte Giuseppe,mailto:info@fratellipontevini.it
Fratelli Martini Secondo Luigi S.P.A.,mailto:info@fratellimartini.it
Frederiksdal Kirsebaervin A/S,mailto:AM@frederiksdal.com
Fratelli Giuliari Snc,mailto:lapiccolabotte@virgilio.it
Fraternity Spirits World S.A. de C.V.,mailto:r.berardi@fraternityspirits.com
Frassinelli Gianluca Azienda Agricola,mailto:info@frassinelli.it
Franz Keller - Schwarzer Adler Inh. Fritz Keller,mailto:keller@franz-keller.de
FRASCOLE SOCIETA' AGRICOLA s.s.,mailto:frascole@frascole.it
Frankenwein-Frankenland GmbH - Haus des Frankenweins -,mailto:kontakt@haus-des-frankenweins.de
Franz Haas,mailto:info@franz-haas.it
Franz Gojer Glögglhof,mailto:info@gojer.it
Fränkisches Weinkontor eG,
FRANTOIO LA PIEVE di PETRI LUCA & C. sas,mailto:info@lapievemaremmatoscana.it
Frank John Das Hirschhorner Weinkontor,mailto:info@johnwein.de
Frank & Serafìco S.a.r.l.,mailto:info@frankeserafico.com
FRANCOIS PLOUZEAU EARL,mailto:garreliere@orange.fr
Francois Lurton S.A.,mailto:communication@francoislurton.com
FRANCOIS JANOUEIX SARL,mailto:export@janoueixfrancois.com
Franco Mondo di Mondo Valerio,mailto:info@francomondo.net
François COLLARD SARL –Château Mourgues du Grès,mailto:export@mourguesdugres.com
Francesco Scanavino di Scanavino Michele & C. s.a.s.,mailto:info@francescoscanavino.com
Francis Ford Coppola Winery,mailto:emily.putman@ffcpresents.com
Fracastel - Comerico de vinhos soc Unip. Lda,mailto:quintas@predialferreira.pt
Franceschi Leopoldo e Livia s.s. Soc. Agr. - Il Poggione,mailto:info@ilpoggione.it
Francesco Rinaldi e Figli s.a.s.,mailto:info@rinaldifrancesco.it
Fox Creek Wines,mailto:sales@foxcreekwines.com
Fournier Pére & Fils S.A.S.,mailto:claude@fournier-pere-fils.fr
Fortuna Wines S.L.,mailto:info@fortunawines.es
Foz Gourmet Lda,mailto:info@fozgourmet.com
FOUGERAT FANNY COGNAC EURL,mailto:cognac.fougeratfanny@gmail.com
Fornara GmbH,mailto:fornara@fornara.de
Fosso Corno società agricola semplice,mailto:info@fossocornovini.it
Foreign Trade Chamber of Bosnia and Herzegovina,mailto:cis@komorabih.ba
"Foobespain, S.L.",mailto:info@foobespain.com
Fontanassa s.s.,mailto:info@fontanassa.com
Fonds de Solidarite Viticole,
Foley Family Wines Limited,mailto:info@ffw.co.nz
Fontana di Papa Vini d'Italia sca,mailto:info@fontanadipapa.it
"FOJO - CASA AGRÍCOLA, LDA.",mailto:fojo@quintadofojo.pt
Foley Family Wines,mailto:mderr@foleyfamilywines.com
Fluhrer Verlag GmbH,mailto:info@fluhrer-speisekarten.de
"Florent Granier ""Clos Sorian""",mailto:sorian.languedoc@gmail.com
FLEURY WINES SAS,mailto:export@fleury-wines.com
Fitapreta Vinhos L.da,mailto:info@fitapreta.com
First Drop Wines,mailto:matt@firstdropwines.com
Firriato SRL,mailto:info@firriato.it
"Fiuza & Bright, Lda",mailto:edna.barbosa@fiuzabright.pt
FIRST EXPORT MALLORCA,mailto:marc@first-export.com
Flat Rock Cellars,mailto:jennifer@flatrockcellars.com
Firesteed Cellars,mailto:hossbach@firesteed.com
FIORANO Azienda Agricola di Stracci A.,mailto:info@agrifiorano.it
Finest Food Factory GmbH,mailto:info@finestfoodfactory.com
Fine Cape Wine Kobus Terblanche,
finch® Whiskydestillerie Hans-Gerhard Fink,mailto:info@finch-whisky.de
"Finca Villadellops Viladellops Vinicola, S.L.",mailto:md@viladellops.com
"Finca Valldosera, S.A.",mailto:general@fincavalldosera.com
FIND IT IMPORT & EXPORT S.L. VIN BOUQUET,mailto:info@fimex.es
Finca Ses Talaioles,mailto:info@sestalaioles.com
Finca Narbona SRL,mailto:fabiana.bracco@narbona.com.uy
Finca Sophenia S.A.,mailto:consultas@sophenia.com.ar
Finca la Pintada Sophia Choursan - HAC Export-Import,mailto:schoursan@gmail.com
Finca Las Moras plc,mailto:sebastian.werthein@grupopenaflor.com.ar
Finca Loranque S. L.,mailto:export@fincaloranque.com
Finca La Luz S.A.,mailto:info@fincalaluz.com.ar
"Finca La Estacada, S.L.",mailto:export.eu@fincalaestacada.com
"Finca Campos Goticos, S.L.",mailto:clientedirecto@camposgoticos.es
Finca Flichman S.A.,mailto:info@flichman.com.ar
Finca Don Nicasio S.A. Bodega laccarini,mailto:export@bodegaiaccarini.com.ar
Finca Algarve S.A.,mailto:info@finca-algarve.com.ar
Finca Agostino Finca Agostino Hnos S.A.,mailto:info@fincaagostino.com
Finca Agnello S.A. Bodega Aniello,mailto:info@bodegaaniello.com.ar
Finca Buenaventura S.A.,mailto:fincabuenaventura@gmail.com
FILUS S.A.,mailto:jmmatas@gourvid.com
Filipe Jorge Palhoça Cabeca de Casal da Heranca de,
Feudo Solaria Aziende Vitivinicole SRL,mailto:info@feudosolaria.com
Fidora Organic Wines - Azienda Agraria Lorenzo Fidora,mailto:info@fidorawines.com
Feudi di San Gregorio Soc. Agr. S.p.A.,mailto:info@feudi.it
Feudi di Guagnano s.r.l.,mailto:sales@fudiguagnano.it
Ferrer Family Wines (Grupo Freixenet S.A.),mailto:info@ferrerfamilywines.com
Ferrero Claudia Az. Agr.,mailto:info@brunelloferrero.it
FERRO13 s.r.l.,mailto:info@ferro13.it
"Ferreira Malaquias, Lda.",mailto:geral@ferreira.malaquias.pt
Ferrer Bobet SL,mailto:ipinedo@ferrerbobet.com
Ferrand Deutschland GmbH,mailto:office@cognacferrand.de
Ferraton Père et Fils SAS,mailto:ferraton@ferraton.fr
Ferrari F.lli Lunelli S.p.A.,mailto:info@cantineferrari.it
Ferdinand Pieroth GmbH,
Ferngrove Wines,mailto:ablythe@ferngrove.com.au
Ferdinand Mayr Weine GmbH,mailto:office@ferdinand-mayr.at
Feniks Sp. z.o.o.,mailto:feniks1@feniks.biz.pl
Feravino D. D.,
Fendt Weinfamilie Maren und Jürgen Fendt,mailto:info@fendtwein.de
Femmes et Vins de Bourgogne Association,mailto:contact@fevb.net
Felsengartenkellerei Besigheim eG,mailto:info@felsengartenkellerei.de
Felsengartenkellerei Besigheim eG,mailto:info@felsengartenkellerei.de
Fèlsina S.p.a. Società Agricola,mailto:info@felsina.it
Felline soc. agr a.r.l.,mailto:info@agricolafelline.it
Feinschmecker - Jahreszeiten Verlag GmbH,mailto:jahreszeitenverlag@jalag.de
Feingeisterei Fabian Rohrwasser,mailto:post@feingeisterei.de
Felix Solis avantis S.A.,mailto:fsa@felixsolisavantis.com
Felix Lavaque S.A.,mailto:info@lavaque.com
Feinbrennerei Sasse Lagerkorn GmbH,mailto:info@sassekorn.de
Federfin Tech s.r.l.,mailto:info@federfintech.com
Federico Giuntini Antinori Masseti Fattoria Selvapiana,mailto:info@selvapiana.it
Federation des Vignerons Independants d´Aquitaine,mailto:contact@vigneron-independant-aquitaine.com
FÉDÉRATION des Vignerons Independants de Bourgogne et du JURA,mailto:frvibj@vigneron-independant.com
Fecovita Coop. Ltda.,mailto:marketing@fecovita.com
Fazio Wines srl,mailto:info@faziowines.it
Fay - Casa Vinicola Fay Snc,mailto:info@vinifay.it
FAUTOR Ltd.,mailto:fautor@fautor.md
Fausto Cardoso,mailto:alteiawines@gmail.com
Fattorie Vallona Vallona Maurizio,mailto:fattorie.vallona@gmail.com
Fattorie Parri Società Agricola di Luigi & Vilma Maria Parri S.S.,mailto:info@fattorieparri.it
Fattoria Viticcio SARL,mailto:info@viticcio.com
Fattoria San Giuliano S.S.,mailto:fattoriasangiuliano@virgilio.it
Fattoria Uccelliera di Poggianti M. Elena,mailto:info@uccelliera.com
Fattoria Terre del Marchesato di Fuselli Maurizio,mailto:info@terredelmarchesato.com
Fattoria San Francesco di Iussolini A. ec. Soc. Agr. A.S.,mailto:info@fattoriasanfrancesco.it
Fattoria San Michele a Torri Societa Agricola Srl,mailto:info@fattoriasanmichele.it
FATTORIA SALTECCHIO S.S.A. MARCHIO FASSATI,mailto:info@cantinafassati.it
Fattoria Nittardi,mailto:info@nittardi.com
Fattoria Poggerino soc. agr. di Piero e Benedetta Lanza s.s.,mailto:info@poggerino.com
Fattoria Nittardi,mailto:info@nittardi.com
Fattoria Le Pupille S.S.A.,mailto:info@fattorialepupille.it
Fattoria Mantellassi SSA,mailto:info@fattoriamantellassi.it
Fattoria La Valentina S.r.l.,mailto:lavalentina@fattorialavalentina.it
Fattoria Le Terrazze di Terni Antonio,mailto:info@fattorialeterrazze.it
Fattoria Le Fonti di Vicky Schmitt-Vitali,mailto:info@fattorialefonti.it
Fattoria La Massa Di Giampaolo Motta,mailto:info@fattorialamassa.com
Fattoria La Massa Di Giampaolo Motta,mailto:info@fattorialamassa.com
Fattoria La Lecciaia di Pacini Mauro & C. s.s.,mailto:lecciaia@pacinimauro.com
Fattoria il Muro della Famiglia Pancaro s.s. soc. agr.,mailto:info@fattoriailmuro.it
Fattoria Fibbiano società semplice agricola,mailto:wine@fattoria-fibbiano.it
Fattoria LA FIORITA Srl,mailto:info@lafiorita.com
FATTORIA FAZZUOLI s.s.,mailto:info@fattoriafazzuoli.it
FATTORIA IL CASALONE Società Agricola Semplice,mailto:amministrazione@pepilignanawine.com
Fattoria di San Quintino Soc. Agr. di Cecchi,mailto:info@fattoriasanquintino.it
Fattoria di Palazzo Vecchio Marco Sbernadori,mailto:palazzovecchio@vinonobile.it
FATTORIA DIANELLA di Veronica Billeri Passerin d'Entreves,mailto:info@fattoriadianella.it
Fattoria Di Monticello Soc. Agr. Srl,mailto:info@fattoriadimonticello.it
Fattoria di MONTECHIARI di Panattoni Moreno,mailto:info@montechiari.com
Fattoria di Luiano di A. Palombo e C – FdL – s.a.s.,mailto:info@luiano.it
Fattoria di Grignano SRL,mailto:info@fattoriadigrignano.com
FAMILLE Lieubeau EARL Domaine de la Fruitière,mailto:francois@lieubeau.com
Fattoria di Casalbosco SRL,mailto:info@fattoriacasalbosco.it
Fattoria della Talosa Sarl,mailto:info@talosa.it
FATTORIA DI MAGLIANO S.r.l.,mailto:l.scian@fattoriadimagliano.it
FAMILLE HUGEL S.A.,mailto:office@hugel.com
Famille Jourdan SARL,mailto:felinesjourdan@gmail.com
Familie Bauer Bioweingut,mailto:info@familiebauer.at
Famille Ducourt SARL Les Celliers de Bordeaux Benauge,mailto:ducourt@ducourt.com
Familia Mayol,mailto:office@familiamayol.com
"Familia Martínez Bujanda, S.L.",mailto:info@bujanda.com
Familia Schroeder Maria y Adelina S.A. Patagonia Argentina,mailto:info@familiaschroeder.com
Familia Zuccardi (La Agricola S.A.),mailto:info@familiazuccardi.com
Familia Durigutti,mailto:info@durigutti.com
Familia Cassone S.A.,mailto:bodegacassone@familiacassone.com.ar
Famiglia Cecchi Casa Vinicola Luigi Cecchi e Figli srl,mailto:cecchi@cecchi.net
Famiglia Nunzi Conti ss,mailto:info@famiglianunziconti.it
Fam. Strehn GmbH,mailto:office@strehn.at
Falstaff Deutschland GmbH,mailto:info@falstaff.de
FAIR and GREEN e.V.,mailto:info@fair-and-green.com
Factura 21 Unipessoal LDA,mailto:barbara.soares@eudoraportugal.pt
Fachingen Heil- und Mineralbrunnen GmbH,mailto:info@fachingen.de
Fachverlag Dr. Fraund GmbH WEIN+MARKT,mailto:info@wein-und-markt.de
Faber Feinkost GmbH & Co. KG,mailto:info@faber-feinkost.de
Fabre en Provence SA,mailto:rroccoli@fabre-en-provence.com
Fabrizio Forconi Podere dell´Anselmo,mailto:info@podelredellanselmo.it
F.X. Pichler GmbH,mailto:weingut@fx-pichler.at
F.lli ROVERO s.n.c. di Franco Rovero & C.,mailto:info@rovero.it
F.T.D Cognac Maxime Trijol SARL,mailto:ptrijol@maximetrijol.com
