HREF,CONAME,TEL,EMAIL,FAILMSG,BIZADD,DATE_SCRAPED
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=93576&sid=1ABA8FCE6064A8A0F24219D22A0D8A44,GHS FOOD INDUSTRIES SDN. BHD.,06 - 3353096,info@ghsfood.com,,NO.30 JALAN TTC 24 TAMAN TEKNOLOGI CHENG 75250 MELAKA,'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=7763&sid=3EF9E921B063969B26279CD2B47C0F71,G & R FOOD'S SDN BHD,05 - 4199208,grfoods@yahoo.com.my,,LOT 142 KG PASIR SIMPANG TIGA TEMOH 35350 PERAK,'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=106039&sid=7B8DF82C1F8B368FC2D2BAB4C6625060,FIDES TRADE SDN BHD,03 - 62063908,myfidestrade@gmail.com,,E-3-4 PLAZA DAMAS 60 JALAN SRI HARTAMAS 1 SRI HARTAMAS 50480 KUALA LUMPUR,'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11643&sid=C5477A9AA24DF5009F28F2080988C04B,CA FLAVOR SDN BHD,03 - 80521178,ca@flavours.com.my,,"13, JALAN BP 4/5 BANDAR BUKIT PUCHONG 47120 PUCHONG SELANGOR 47120 SELANGOR",'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=80670&sid=272EE00914635CAA28F574EBA2F697A6,TERRADUST JAYA SDN BHD,- - -,terradust.jaya@gmail.com,,"13, JALAN DAISY BUKIT BELIMBING SERI KEMBANGAN 43300 SELANGOR",'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=104546&sid=F323367D1A6E9A5B709A126E697628D6,TERASAING HOLDING SDN BHD,019 - 2633506,terasaingholding@gmail.com,,NO 18A JALAN 3/5 BANDAR BARU SELAYANG BATU CAVES 68100 SELANGOR,'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=83969&sid=1DD24DF496728A9232CD6FE1FDDCAAFE,NG KEE CONFECTIONARY (MALAYSIA) SDN BHD,019 - 4716570,ngkee12@gmail.com,,61 CINTRA STREET  10100 PULAU PINANG,'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=51261&sid=E933BF14BB9B56EE77EA525C5A57D068,HOCK XENG SDN BHD,03 - 55692582,hockxeng@gmail.com,,"18, JALAN PENDAFTAR U1/54, KWS PERINDUSTRIAN TEMASYA, SEC U1, GLENMARIE SHAH ALAM 40150 SELANGOR",'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=59365&sid=E9129EB140FB1A44263E1CE1EB3102C0,MORRIS FOOD INDUSTRIES SDN BHD,04 - 7141714,sales@morrisfood.com,,LOT 422 NO 11 JALAN PINANG JAYA KEPALA BATAS ALOR SETAR 06200 KEDAH,'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=48901&sid=BBEC57036535E505AE68EC928D0C3F88,NIBOU INDUSTRIES (M) SDN BHD,03 - 87239388,info@nibou.com,,"NO 11 JALAN 5, SEMENYIH HI-TECH 5 INDUSTRIAL PARK JALAN SG LALANG SEMENYIH, KAJANG 43500 SELANGOR",'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=78787&sid=92E060E4D5DB6D19C5BD4EA50A70DEA1,GEMILANG INTERNATIONAL HOLDINGS (M) SDN. BHD.,09 - 8423070,mz.gemilang@gmail.com,,LOT PT 13870 PULAU SERAI INDUSTRIAL ESTATE DUNGUN 23000 TERENGGANU,'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=95505&sid=66FD061D19078A3F9AD8A353A245657E,INSPIRE FUTURE SDN BHD,012 - 4209066,inspire_future@yahoo.com,,NO 9 TINGKAT 1 JALAN 5C/11 SEKSYEN 5 BANDAR BARU BANGI 43650 SELANGOR,'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=105471&sid=0930929401BE974AD0FA11AC4B26D66B,DOLUVO SDN BHD,019 - 5702107,popsmalaya@gmail.com,,D-G-3A BLOCK D JALAN PJU 1A/41B PUSAT DAGANGAN NZX ARA JAYA PETALING JAYA 47301 SELANGOR,'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=92523&sid=17E8999D386A276BFC242BF7299EEE77,SONWELL FOOD & BEVERAGE INDUSTRY SDN BHD,012 - 4839653,SONWELLFNB@GMAIL.COM,,25 LORONG 4 TAMAN MELATI SUNGAI PETANI 08000 KEDAH,'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=93910&sid=9684588CC3930A5F59A27CA8E7A3E511,MASSOS FOOD INDUSTRIES SDN BHD,012 - 2132050,massos.info@gmail.com,,NO13 JALAN CJ 1/2A CHERAS JAYA KAWASAN MIEL JALAN BALAKONG CHERAS 43200 SELANGOR,'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=94238&sid=A461676673151609042A9390DAA7CB07,NAMMI WORLD SDN. BHD.,016 - 2226578,nammiworld@hotmail.com,,NO 38 JALAN 1/140 TAMAN NAGA EMAS SALAK SOUTH GARDEN 57100 KUALA LUMPUR,'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=70366&sid=52DA260A6A429A3D3C0685BDF753693F,BUMI MASA SDN BHD,03 - 74503811,info.parabella@gmail.com,,"A-10-1, PLAZA GLOMAC JALAN SS7/19 PETALING JAYA 47301 SELANGOR",'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=78191&sid=02B706B5E6F67C4FEB2B63DBF92A4045,WORLD ECO AGRICULTURE (M) SDN BHD,03 - 92812182,worldeco18@hotmail.com,,"11, JALAN 4/91A TAMAN SHAMELIN PERKASA CHERAS 56100 KUALA LUMPUR",'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=80047&sid=BC6CAA926F9CB87F944DC8FAA5B65FBC,SEAFOOD VALLEY ENTERPRISE SDN BHD,05 - 5362979,seafoodvalley5@gmail.com,,"16, LEBUH BERCHAM SELATAN LINDUNGAN BERCHAM JAYA IPOH 31400 PERAK",'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=93831&sid=AC3A55A5A14D3424183E8AEDF3F02799,PARAS HARTAMAS SDN BHD,03 - 78037475,lisa@paras-hartamas.com,,NO. 1 JALAN PJU3/46 SUNWAY TECHNOLOGY PARK PETALING JAYA 47810 SELANGOR,'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=92109&sid=1283CAC214B160A92C333B09E01E04F4,KIN BIO SDN BHD,03 - 62744846,kinbiogroup@yahoo.com,,"NO. 55B, JALAN KIP 2, TAMAN PERINDUSTRIAN KIP, KEPONG, KUALA LUMPUR   52200 KUALA LUMPUR",'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=98948&sid=509C9A9B357DE2DD59D9D016EDA6FCA4,RONA NIAGA SDN BHD,03 - 89223782,info.ronaniaga@gmail.com,,NO 6A JALAN 4/12B SEKSYEN 4 TAMBAHAN BANDAR BARU BANGI 43650 KUALA LUMPUR,'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11006&sid=3D795BEE53EE81C5CC2D9051B1DB6096,KIMANIS FOOD INDUSTRIES SDN BHD,088 - 715888,sonia-huang@uniang.com,,"BANGUNAN UNIANG, HSK II LIGHT INDUSTRIAL CENTRE, 5TH MILE BUNDUSAN ROAD, PENAMPANG 89500 SABAH",'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=8277&sid=9FF4BE8CED87558836FA2681F3294ECE,PERNIAGAAN HABEEB,089 - 214364,phabeeb@gmail.com,,PETI SURAT 750 SANDAKAN  90708 SABAH,'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12023&sid=095C2D3974D1A8F677E7EC2C6647AC62,WOO JOO FOOD SDN BHD,088 - 435511,info@woojoofood.com.my,,P.O. BOX 21164 KOTA KINABALU  88769 SABAH,'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=79466&sid=79EF0C54E89BA8D4A15BE887CAEB52D1,LAN TING SDN BHD,03 - 55679999,vts@lanting.my,,23 JALAN KARTUNIS U1/47 SHAH ALAM 40150 SELANGOR,'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=105402&sid=4989D64520A52A857F8BAA8B2C7968D8,MADE MAPE (MALAYSIA) SDN BHD,3 - 60922629,charleschiang@mademape.com,,LOT PT 1612-1 SIMPANG JALAN KUNDANG KG SUNGAI BAKAU RAWANG 48000 SELANGOR,'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13030&sid=9A7E6A5FF0EED268FDAA8645BE2A3229,FAIZA MARKETING SDN BHD,06 - 7941068,sales@faizaspices.com.my,,"LOT 34672, LENGKOK TEKNOLOGI, TECHPARK, BANDAR BARU ENSTEK, NEGERI SEMBILAN 71760 NEGERI SEMBILAN",'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=6894&sid=DD1D286BD517E5D4521ECA5965AA839B,HAPPY ALLIANCE (M) SDN BHD,03 - 31972857,export@happyalliance.com,,"LOT 2869, KG TUMBUK TANJONG SEPAT  42800 SELANGOR",'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10661&sid=12C9472AB492DA87D28BBCF433D7C8D2,DAILY FRESH FOODS SDN BHD,07 - 7551655,info@dailyfreshfoods.com,,"PLO 16, JALAN SR/3 KAW PERINDUSTRIAN SIMPANG RENGGAM 1 SIMPANG RENGGAM 86200 JOHOR",'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=95040&sid=ADABD5F1CF72A155B37D9C4DA2BD9883,APP HOUSE SDN BHD,012 - 2636737,1270742367@qq.com,,189 TAMAN PELANGI JALAN PELANGI 6 84900 JOHOR,'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=92855&sid=15C7AB6DD390BE5324BF87A1F7847368,EZ GLOBAL SDN. BHD.,012 - 5381263,ezglobalsb@gmail.com,,NO167 JALAN KAMPAR JALAN PEMAISURI BAINUN IPOH 30250 PERAK,'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=95769&sid=57149A8E0F946DB843179D120C6B493B,SEMANTAN MODEN SDN BHD,017 - 6356437,semantanmoden@yahoo.com,,41 JALAN DATUK HJ HARUN TAMAN TAYTAN VIEW BATU 6 CHERAS 56000 SELANGOR,'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=68013&sid=512FA028FAC784C80D459DE96355144E,FM TRADE RESOURCES SDN BHD,01 - 22053702,info@fmtraderesources.com,,"B-4-4 CASA RIANA, PUJ 4/1 TMN PUNCAK JALIL BANDAR PUNCAK JALIL 43300 SELANGOR",'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=93896&sid=0552E9F1BE9AAA9DDC6A9DF4E78079D7,SYAHDU TEGUH SDN BHD,03 - 90807090,syahduteguh@gmail.com,,NO 1 3 & 5 JALAN ORKID 1 TAMAN ORKID CHERAS 43200 SELANGOR,'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=95045&sid=9F91073B7A565C9E9223EAC2DBE320AB,ROSFANIAGA SERVICES SDN BHD,85 - 422696,rosfaniaga.rssb@hotmail.com,,"LOT 1769, EASTWOOD VALLEY INDUSTRIAL ESTATE, JALAN LOPENG BY PASS,  98000 SARAWAK",'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=95488&sid=9BF269F58A0A51824FF3890B5CBFC7D1,APA CAVA SDN BHD,012 - 2817777,apacava@yahoo.com,,7-1-B JALAN 7A/3 BANDAR TASIK PUTERI 48000 SELANGOR,'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=82722&sid=3092D5C7D60E89AE3501F238689ECD73,R SEE MI HOLDINGS COMPANY SDN BHD,019 - 5893589,arseniabanglos@yahoo.com.my,,"180, BLOK 10, FELDA UMAS 04 BEG BERKUNCI 43 TAWAU 91009 SABAH",'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=96955&sid=566B5E0CF978163ED5C6F99AB3AD876E,EDUNIQUE SDN BHD,03 - 79813600,edunique.sb@gmail.com,,33 JALAN 3/108C TAMAN SUNGAI BESI  57100 KUALA LUMPUR,'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12382&sid=72A26927D73F4F649582275E73A3F7D7,KIM YAM TRADING & COLD STORAGE PRODUCTS  SDN BHD,07 - 9435886,enquiry@kimyam.com.my,,"4 & 5, JALAN MAJU 1 TAMAN KEKWA, BUKIT SIPUT SEGAMAT 85020 JOHOR",'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11736&sid=F16E8145EDA1DD11CB39F9AC39160E3F,YLF MANUFACTURING SDN BHD,03 - 78463127,chchong@iko.com.my,,"LOT 3773, JALAN 1D KAMPUNG BARU SUBANG SHAH ALAM 40000 SELANGOR",'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=52350&sid=CECA85AC9CB3DA3D080DBDCB22CA59BB,SWEETKISS FOOD TRADING (M) SDN BHD,03 - 87244188,info@sweetkissfood.com,,"36, 38 & 40, JALAN MEGA B, TAMAN INDUSTRY MEGA, SEMENYIH, 43500 SELANGOR",'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10764&sid=C384204D9F74484213A76FA05EC7FF3E,LONGSON FOOD PRODUCTS SDN BHD,03 - 79573828,josephwong@longson.com.my,,"B 9-3 PJ8 BLOCK B WEST NO 23 JALAN BARAT SEKSYEN 8, 46050 PETALING JAYA  46050 SELANGOR",'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=93839&sid=F2B4A17D5237325C2DD8FF6E3505E44A,VISESHA MANUFACTURING SDN BHD,03 - 80611199,visesha2u@hotmail.com,,3-3AA1 MEZZANINE FLOOR JALAN DESA 2/2 DESA AMAN PURI OFF BANDAR SRI DAMANSARA 52100 KUALA LUMPUR,'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=105276&sid=8959FC75AA248685D636BAEF78B76FFB,NOVOFOOD SDN BHD,011 - 28592860,ask@novofood.com.my,,4 JALAN NYAMAN 3 TAMAN GEMBIRA  58200 KUALA LUMPUR,'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=87027&sid=4A28FEE56833271C75323C03B1BE7DDA,CKT MARKETING SDN BHD,07 - 5560722,marketing@lktfood.com,,"PTD 149231, JALAN BERJAYA 8 TAMAN PERINDUSTRIAN BERJAYA JOHOR BAHRU 81200 JOHOR",'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=68802&sid=9D72BED754B4696F0281573AA730D39A,LC MAIZE MANUFACTURING SDN BHD,03 - 89644455,sally@sweet-corn.com.my,,NO 15 JALAN INDUSTRI TAMING MAS PUSAT INDUSTRI TAMING MAS 43300 SERI KEMBANGAN SELANGOR 43300 SELANGOR,'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=69174&sid=FE67A53F939916789E5DA27C1D31D69D,TSL BESTMAS MANUFACTURING SDN BHD,03 - 62771473,bestmas_22001@yahoo.com,,"212,JALAN 1 TAMAN PERINDUSTRIAN EHSAN JAYA KEPONG 52100 KUALA LUMPUR",'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=90511&sid=440A9E70C769AA66EEE42066EB7F99C2,GT SPICE MANUFACTURERS SDN BHD,013 - 2592529,globalte.sb@gmail.com,,"NO. 49, JALAN 5/KU6, KAWASAN PERINDUSTRIAN SUNGAI PULOH, KLANG, SELANGOR   42100 SELANGOR",'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=95823&sid=20436A47180DD73BE0F63C6F9C673124,PROMINENT UPFRONT SDN BHD,03 - 7822501,prominentupfront.sdnbhd@gmail.com,,15 JALAN PJU 1A 20A DATARAN ARA DAMANSARA PETALING JAYA 47301 SELANGOR,'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=94214&sid=C0C438E8FA1EB2406EF11178232F5689,GALACTIC ADVANCE ENGINEERING (M) SDN BHD,03 - 78657383,sakthi@galactic-eng.com,,NO 11 JALAN SS1/39 KAMPUNG TUNKU PETALING JAYA 47300 SELANGOR,'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=91163&sid=F1AC68BF27CE8FF0275180B2EEB29854,CHEQNA GROUP SDN BHD,019 - 2264165,roslina_yaakub@hotmail.com,,2-223 A PLAZA IDAMAN 5/21D MEDAN IDAMAN  53100 KUALA LUMPUR,'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=9904&sid=B79BC7C8822F6CEE631B2BEF5548C73D,TONGEE (KL) SDN BHD,03 - 62531111,admin@tongee.com.my,,"3 & 5, JALAN SEGAMBUT PUSAT SEGAMBUT INDUSTRIAL AREA  51200 KUALA LUMPUR",'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=84160&sid=240B170960A82F630FA753962D240384,NUTRISWIFT SDN BHD,05 - 5415691,nutriswiftsb@gmail.com,,8 LINTASAN PERAJURIT 17B TAMAN PERDAGANGAN DAN PERINDUSTRIAN 31400 PERAK,'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=105354&sid=105C1AED1C928287AB058A3950465B03,MF MAMALICIOUS RECIPE,03 - 41627041,mfmamaliciousrecipe@gmail.com,,BLOK A-U-5 PRIMA COURT JALAN UKAY PRIMA SAUJANA MELAWATI 53100 KUALA LUMPUR,'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=58071&sid=1B05FC7F99FC84CDF44A4934C0773A5E,YI XUANLI TRADING,07 - 3337044,lin_huiyuan@yahoo.com,,9 JALAN UNGU 7 TAMAN PELANGI 80400 JOHOR,'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=58370&sid=CA0EACDC10CD59E1E1C48EFCE423EC37,YEE WAH FROZEN FOOD TRADING,05 - 5364321,ping@yeewah.com.my,,48 PSN BERCHAM UTARA 1 KAW PRINDUSTRIAN PINGGIR BERCHAM 31400 PERAK,'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=98391&sid=CA37F9B8E70B85B31CBE2EE95CDE89E9,ZEES INDUSTRIES SDN BHD,03 - 78326513,zees.industries@gmail.com,,A-G-6 BLOK A JALAN PJU 1A/3 TAIPAN 2 ARA DAMANSARA PETALING JAYA 47301 SELANGOR,'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=64922&sid=1519D45EC2EA456BE7EE78A56606B4DB,YOKE TONG TRADING,012 - 2547297,peiman@hotmail.co.uk,,7 JALAN KIARA SD11/3I BANDAR SRI DAMANSARA 52200 KUALA LUMPUR,'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=90458&sid=284847FC9A2AAE8C75CF728E850986D1,MYGROW RESOURCES SDN BHD,03 - 87394579,marketing@mygrow.com.my,,"2-26, KOMPLEKS SENTRAL POINT TAMAN KAJANG SENTRAL, JALAN TKS 1 KAJANG 43000 SELANGOR",'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=15592&sid=B35EEE18544B1E46B33029B6E531C467,WAN MALINJA FOOD INDUSTRIES SDN BHD,07 - 4542798,shahir@malinja.com,,"KDB2-6, KOMPLEKS IKS PARIT RAJA PARIT RAJA BATU PAHAT 86400 JOHOR",'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=36479&sid=352DF06857794110F6A40B6B356244CA,TOPAZ FOOD HAVEN SDN BHD,03 - 62763313,topazadmin@rmlcorporation.com,,"151, JALAN SRI EHSAN 7 TAMAN SRI EHSAN KEPONG 52100 KUALA LUMPUR",'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=65767&sid=D722D6A66823EBCA23DFB3E0C0F6F06D,WIN SOON CAFE SDN BHD,03 - 80651307,hq.winsoon@gmail.com,,16-2A JALAN PUTERI 2/6  47100 SELANGOR,'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=65085&sid=6C7031E77C9858FD2D645F2663DE1F4C,WARISAN KAMPUNG LAUT ENTERPRISE SDN BHD,09 - 7437070,mohd.kamal501@gmail.com,,"PT 347, TINGKAT 1, WISMA GEMILANG SECTION 25, JALAN SULTAN YAHYA PETRA KOTA BHARU 15200 KELANTAN",'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=104595&sid=09958F3D670DE0FFD1723E820E1CA443,TRAINAID GLOBAL SDN BHD,019 - 2297652,info@tag.system.com,,NO 6A JALAN 4/12 SEKSYEN 4 TAMBAHAN HULU LANGAT 43650 SELANGOR,'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=99355&sid=4DAB28FA899D4A44BB2575A699A49A14,TMJ VENTURES SDN BHD,05 - 3112236,tmjventures13@gmail.com,,8A JALAN LAPANGAN TERBANG OFF JALAN RAJA DR NAZRIN SHAH IPOH 31350 PERAK,'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=97112&sid=D265214C288CADE263DDDAD1309C4D5A,TK MARINE RESOURCES PLT,012 - 7198733,skuweek@hotmail.com,,"LOT 1883,NO 118 JLN KANGKAR TEBRAU KAMPUNG BARU PANDAN JOHOR BAHRU 81100 JOHOR",'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=8669&sid=31771CE37FA786EBFBE9699CA23D5104,TIP TOP MEAT SDN BHD,03 - 61041031,hmdin88@gmail.com,,P.O. BOX 231 BATANG BERJUNTAI  45600 SELANGOR,'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=56365&sid=E6131177B870D61853817A3CE23806B6,TILAPIA HOUSE SDN BHD,06 - 6014021,tilapia.house@gmail.com,,"547, JALAN HARUAN 4/7 OAKLAND COMMERCIAL CENTRE SEREMBAN 70300 NEGERI SEMBILAN",'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=8565&sid=2FA351B9E80C8CFED30BA02A438F36D6,INNO FISHERIES SDN BHD,088 - 326521,info.irdsb@gmail.com,,P.O. BOX 11623 KOTA KINABALU  88817 SABAH,'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=94834&sid=083021646C2EE8A2C888964AB48936C1,THE SALMONMONGER ENTERPRISE,016 - 7873636,ongbl4422@gmail.com,,NO 10 JALAN RUMBIA TAMAN DAYA JOHOR BAHRU 81100 JOHOR,'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=40223&sid=AE558A3E99C3D1C925291039D7D205C7,THIAN YEN ENTERPRISE SDN BHD,082 - 235328,thianyenent@yahoo.com,,"LOT 921, BLOCK 7, LORONG 5 DEMAK LAUT INDUSTRIAL PARK JALAN BAKO, KUCHING 93050 SARAWAK",'2017-08-02
