EMAIL,HREF,FAILMSG,CONAME,DATE_SCRAPED,TEL,BIZADD
fiona@purewaterjb.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13659&sid=92808EAAA9E41754C23FC03ED799692C,,PURE WATER (JB) SDN BHD,'2017-08-02,07 - 2322233,"90A-1, 4TH MILE JALAN TUN ABDUL RAZAK, SUSUR 6 JOHOR BAHRU 80350 JOHOR"
nutri92@gmail.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=94642&sid=99EAD99CAD69B93C0627DC768609BDA0,,NATURES ELECTROLYTE SDN BHD,'2017-08-02,014 - 6332008,AT-02-02 GOODYEAR COURT 10 USJ15 SUBANG PERDANA SUBANG JAYA 47600 SELANGOR
heng@joolee.com.my,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=7265&sid=827D25EED3634D32D4F2E2A446A133D0,,JOO LEE IMPORT & EXPORT CO. SDN BHD,'2017-08-02,03 - 60939999,"LOT 97, JALAN INDUSTRI 3/5 RAWANG INTERGRATED INDUSTRIAL PARK RAWANG 48000 SELANGOR"
meng_1006@hotmail.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=92509&sid=5E3D0716C83C991C1AA1235DBE4CF7D2,,U GREAT NUTRITION SDN BHD,'2017-08-02,017 - 4829822,190 TINGKAT 1 JALAN TEMBIKAI TAMAN PADANG LALLANG BUKIT MERTAJAM 14000 PULAU PINANG
paklahfriedchicken@yahoo.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=93711&sid=B86F5FA092BB2514AA3510CA089E2270,,PAK LAH FOOD INDUSTRY (M) SDN BHD,'2017-08-02,012 - 6132032,NO 92 JALAN BAKRI BATU 5 3/4 MUAR 84200 JOHOR
obmintsb@yahoo.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=72175&sid=FECB3FD0EAA77504650040F877691EC2,,OBM INTERNATIONAL SDN BHD,'2017-08-02,05 - 2828862,"7 LORONG KLEDANG 7 TAMAN RASI, MENGLEMBU 31450 PERAK"
egreenzone12@yahoo.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=74594&sid=88A86560B877625340E822CB26E842CD,,E GREEN ZONE SDN BHD,'2017-08-02,04 - 5305069,27 TAMAN BINJAI TAMAN SRI RAMBAI 14000 PULAU PINANG
info@pacificblend.com.my,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=84245&sid=D38CA5B7408AEC5EEB2062D11E017EC4,,PACIFIC BLEND MARKETING SDN BHD,'2017-08-02,05 - 3122158,"BLOCK B, NO. 1 - 3RD FLOOR CANNING 18 CORPORATE AVENUE OFF JALAN RAJA DIHILIR, IPOH 31400 PERAK"
alex.ewe@bioa.net,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11940&sid=00A6B13FC57AD6973B09BCDECC231EA2,,BIOALPHA INTERNATIONAL SDN BHD,'2017-08-02,03 - 89251222,NO. 10 JALAN P/9A SEKSEN 13 BANDAR BARU BANGI 43650 SELANGOR
admin@hausboom.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=104589&sid=E0E31BB85B2BFFED91932ABABD805F53,,THE BOOM BEVERAGE SDN.BHD.,'2017-08-02,03 - 79316061,22A-3 JALAN 17/54 SEKSYEN 17 PETALING JAYA 46400 SELANGOR
TAI.TEY.02@GMAIL.COM,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=92537&sid=4ED3FFCD5B095D5EF64992AD2E9B8500,,TEY KIM SUIE HOLDINGS SDN BHD,'2017-08-02,012 - 4098815,33 JALAN PERDANA HEIGHTS 2/1 PERDANA HEIGHTS SUNGAI PETANI 08000 KEDAH
dindingslkie@gmail.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=94025&sid=67C7FCE7F8A4A7BFB438FCBE04907E88,,DINDINGS LOONG KEE IMPORT EXPORT SDN. BHD.,'2017-08-02,05 - 6883423,NO108 FASA 1C4 BANDAR BARU SERI MANJUNG 32040 PERAK
tender_agsb@yahoo.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=94097&sid=A137EFD503A5498B51A47E1872BFD543,,ADINA GLOBAL SDN BHD,'2017-08-02,019 - 7643722,"NO.12-2, PERSIARAN KLANG SENTRAL 11/KU5, TAMAN KLANG SENTRAL, KLANG.   41050 SELANGOR"
tradevectors@gmail.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=104631&sid=8612A5762D40B317FE83FD5F6E8856E0,,TRADE VECTORS,'2017-08-02,019 - 3303941,11A-2B JALAN BOLING PADANG H13/H SEKSYEN 13 SHAH ALAM 40100 SELANGOR
izdihar@eezdee.intrade.com.my,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=39866&sid=DD77655C248C8F3C768C2ACF72D42397,,EEZDEE INTRADE SDN BHD,'2017-08-02,03 - 41430966,"45-1, JALAN WANGSA DELIMA 2A PUSAT BANDAR WANGSA MAJU  53300 KUALA LUMPUR"
wlngeaw@gmail.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=99926&sid=903A9F2258DBD6C6785A0869AA7ADA90,,SAM POH TRADING SDN. BHD.,'2017-08-02,012 - 4064466,NO 62 PERSIARAN KLEDANG TIMUR 19 BANDAR BARU MENGLEMBU MENGLEMBU 31450 PERAK
derek.sales@thongguan.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=8974&sid=26100F978F143CED0F223C396C7874FE,,SYARIKAT THONG GUAN TRADING SDN BHD,'2017-08-02,04 - 4422020,"57, MAIN ROAD SG LALANG BEDONG 08100 KEDAH"
ttsint63@gmail.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=85221&sid=0BC79CC2869E89D33A396FCD02039334,,TTS INTERNATIONAL SDN BHD,'2017-08-02,04 - 4249986,55-H & 55-J JALAN SEKERAT SUNGAI PETANI 08000 KEDAH
venusfoodmanu@yahoo.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=94249&sid=9565D990C50C1D3F700AC9E6048C2191,,VENUS FOOD MANUFACTURING SDN. BHD.,'2017-08-02,013 - 3464330,36 (1ST FLR) JLN PESTA 1-2 TMN TUN DR ISMAIL 1 JLN BAKRI MUAR 84000 JOHOR
changjiang50@gmail.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=85761&sid=51FA9DD4CC41BECFD94925065BC936DD,,CHANG JIANG MANUFACTURING SDN BHD,'2017-08-02,05 - 3232702,"62, PERSIARAN KLEDANG TIMUR 19 BANDAR BARU MENGLEMBU MENGLEMBU 31450 PERAK"
wlcsource@yahoo.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=92889&sid=E8BBE43D2867C8C15D21AD0EDDA6AF26,,WLC SOURCE SDN. BHD.,'2017-08-02,018 - 6660822,NO 5 JALAN TAWAS BARU SELATAN LOKE LIM GARDEN IPOH 30010 PERAK
taste_global@yahoo.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=92896&sid=2349A563B42BFB40A8F448F65C78F31A,,TASTE GLOBAL SDN. BHD.,'2017-08-02,012 - 5511626,NO.7A JALAN MEWAH 1 GOPENG BUSINESS CENTRE GOPENG 31600 PERAK
sstarproduct@hotmail.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=82032&sid=0B5EBDC5577F3E581C6B73A70DB82F5E,,SSTAR PRODUCT SDN BHD,'2017-08-02,016 - 5559918,"95 PERSIARAN PINGGIR RAPAT 6 TAMAN SAIKAT, IPOH 31350 PERAK"
sales@lemayn.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=7067&sid=879094749C92E7B361CB62DCC8DBE610,,LEMAYN CORPORATION SDN BHD,'2017-08-02,03 - 31655772,"51, JALAN SELAT SELATAN 3 LAND PAC INDUSTRIAL PARK PORT KLANG 42000 SELANGOR"
enquiry@aloeshafy.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=84079&sid=9EA8B94473064769DB3EB7F7C422EB80,,PIJ MANUFACTURING SDN BHD,'2017-08-02,07 - 2266366,"LEVEL 2A, BANGUNAN PIJ HOLDINGS 8, JALAN BUKIT TIMBALAN JOHOR BAHRU 80000 JOHOR"
yap@oneyou.com.my,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=92883&sid=84E02DA820E26326FCADD8E6E6611074,,ONE YOU TRADING SDN BHD,'2017-08-02,06 - 2845845,NO 27 JALAN HANG JEBAT  75200 MELAKA
chemjoteoh@yahoo.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=104145&sid=643AE9F65B6D289FE8C80FCC4D39BD60,,PASARAYA T.S. MEGA (CHERAS) SDN BHD,'2017-08-02,012 - 2108844,"NO 4,6,8 & 10 JALAN 5/89A OFF JALAN SEKILAU BT 3 1/2 56000 KUALA LUMPUR"
inokimarket@gmail.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=85225&sid=BF38BEBAAF6424C0CA6725FC2564D4BF,,INOKI MARKETING SDN BHD,'2017-08-02,05 - 2826826,"10, LORONG KLEDANG TIMUR 15A TAMAN DATARAN KLEDANG INDAH MENGLEMBU 31450 PERAK"
kenchung@smartdiko.com.my,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=82872&sid=8B22167FD4E14546F4FF94AC73BFD956,,SMART TASTY INDUSTRY SDN BHD,'2017-08-02,04 - 4312922,"846, LORONG SEMARAK 1/7A TAMAN SEMARAK SUNGAI PETANI 08000 KEDAH"
allplus@pitaberry.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=97153&sid=601FF73F219968CF3082ABF6E6594612,,PITABERRY INTERNATIONAL SDN BHD,'2017-08-02,03 - 89441199,7 JALAN DESA SERDANG 3 KWS PERINDUSTRIAN DESA SERDANG SERI KEMBANGAN 43300 SELANGOR
sam.ten@phi.com.my,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=56355&sid=AE88C14A8BCDAF96E74341712AFBAE2E,,PHYTO HERBAL INDUSTRIES SDN BHD,'2017-08-02,07 - 8616628,"38 & 40, JALAN ISTIMEWA 5 TAMAN PERINDUSTRIAN CEMERLANG ULU TIRAM 81800 JOHOR"
teamcoat_management@yahoo.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=87463&sid=527C64DD4B19DCE0519570565807AFD0,,TEAMCOAT MANAGEMENT SERVICES SDN BHD,'2017-08-02,03 - 61351488,2 JALAN 6 SELAYANG PANDANG 68100 SELANGOR
albee@abrandfood.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=73777&sid=6C793FF5E62E63A3E6D87FB1790A43D4,,ABRAND FOOD MANUFACTURING SDN BHD,'2017-08-02,04 - 5489979,"51, JALAN IKS BUKIT TENGAH TAMAN IKS BUKIT TENGAH 14000 BUKIT MERTAJAM 14000 PULAU PINANG"
marketing@craftinternationals.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=104159&sid=A7732831FD0518253BC83807F5A23CCE,,MERITS INTERNATIONALS GROUP SDN BHD,'2017-08-02,03 - 92745131,18 JALAN PERDANA 10/12 PUSAT PERDAGANGAN TASIK PERDANA PANDAN PERDANA 55300 KUALA LUMPUR
vivetree@gmail.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=92526&sid=CAF0939EFF222A449D9C7D1B552A612A,,VIVE TREE LIFESTYLE SDN BHD,'2017-08-02,012 - 4839653,2202 LORONG MAK YONG 1 TAMAN RIA JAYA SUNGAI PETANI 08000 KEDAH
info@pureherbs.com.my,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=87848&sid=FFF500245A62F05856B1B8E36ED5F67B,,PUREHERBS FOOD INDUSTRIES SDN BHD,'2017-08-02,016 - 5218183,"1-04, FIRST FLOOR, DE'RENDEZVOUS JALAN PERDA SELATAN, BANDAR PERDA BUKIT MERTAJAM 14000 PULAU PINANG"
seribuceria@gmail.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=92535&sid=5391D93EE91C5BE531163E480214524A,,SERIBU CERIA SDN BHD,'2017-08-02,019 - 4411938,C/O NO1 LRG MELATI 1/1 TAMAN CEMARA SUNGAI PETANI 08000 KEDAH
hijrahwatersb@gmail.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=73770&sid=BBCEBEB48FF098D54E963349922EBBDB,,HIJRAH TOYYIBAH NETWORK,'2017-08-02,06 - 9788384,"THE GROUND FLOOR 171, 172, 173, AND 174 JALAN PUTERI 1/6 BANDAR BARU TANGKAK, LEDANG 84900 JOHOR"
muneera.malaysia@gmail.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=62987&sid=E3BB78956D0EEC57AD2BCE1B4AB9C729,,MUNEERA MARKETING SDN BHD,'2017-08-02,04 - 9769086,"1,KILANG PEMBANGUNAN USAHAWAN KG.DESA PERMAI TOK KUNING 01000 PERLIS"
GRANDFATHERTASTE@GMAIL.COM,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=92527&sid=9EEDB6A3D656C2D09A4E3ABC87426258,,GRANDFATHER TASTE INDUSTRY SDN BHD,'2017-08-02,012 - 2235228,"1 LORONG MELATI 1/1 TAMAN MELATI SUNGAI PETANI, KEDAH 08000 KEDAH"
admin@glaringventure.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=93892&sid=761CBABF88DDC36ED31F28271A3BD560,,GLARING VENTURE SDN BHD,'2017-08-02,03 - 51216994,NO 7A JALAN ANGGERIK VANILLA X 31/X KOTA KEMUNING  40460 SELANGOR
norhayatisamad@gmail.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=15113&sid=BDB9FB155CC2077C49B4A096BFABEB7C,,COFFEE OMEGA (M) SDN BHD,'2017-08-02,03 - 62765510,"19-2, JALAN KIP 8 TAMAN  PERINDUSTRIAN KIP  52200 KUALA LUMPUR"
kymoong@gmail.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=56396&sid=0A1301D4569D1DDE8515A34448A4E653,,DIC TRADING SDN BHD,'2017-08-02,05 - 5488033,"5, PERSIARAN INDUSTRI BERCHAM 6 KAW PERINDUSTRIAN RINGAN BERCHAM IPOH 31400 PERAK"
firstcentury119@yahoo.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=96180&sid=E7CF0DFBC101FB2E84E6AA158A1104EC,,FIRST CENTURY TRADING SDN. BHD.,'2017-08-02,05 - 2815364,NO43 PALMA A/6 BANDAR SERI BOTANI IPOH 31350 PERAK
CHAMPDELICIOUS@GMAIL.COM,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=92623&sid=05D7528E56137B3BEC42E252C242FD5D,,CHAMP DELICIOUS FOOD SUPPLY SDN. BHD.,'2017-08-02,012 - 4839653,67 LORONG BLM 3/12 BANDAR LAGUNA MERBOK SUNGAI PETANI 08000 KEDAH
slvirtue.hq@gmail.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=85649&sid=B777083AF1767531DC355742A664385C,,SL VIRTUE SDN BHD,'2017-08-02,03 - 40237340,"20A, JALAN 4/23B DANAU KOTA SETAPAK 53300 KUALA LUMPUR"
famosabiotech@yahoo.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=78897&sid=043DDB0573CD11041CD9778E808D6CA7,,FAMOSA BIO-TECH (M) SDN BHD,'2017-08-02,06 - 3371660,NO.16 JALAN TTC 12B TAMAN TEKNOLOGI CHENG 75250 MELAKA
info@globalcoffee-r.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=84591&sid=7D05DA3FD712E49E240EDD3BA42A07BE,,GLOBAL COFFEE RESOURCES SDN BHD,'2017-08-02,03 - 51031461,"10, I PARC 2 INDUSTRIAL PARK JALAN SERENDAH 26/39 SHAH ALAM 40400 SELANGOR"
admin@sofresh.com.my,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=7179&sid=81760A3AB6940B5A61C81E1AF3E92D39,,SOFRESH MARKETING SDN BHD,'2017-08-02,03 - 60918669,"11, JALAN BJ2 TAMAN PERINDUSTRIAN BELMAS JOHAN RAWANG 48000 SELANGOR"
dindingloongkee@yahoo.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=74632&sid=FEDC2416595DCFEF2241F36D94B40534,,DINDINGS LOONG KEE SDN BHD,'2017-08-02,05 - 6883423,"107-109, FASA 1C4 JLN. SM 15/1C, BANDAR SERI MANJUNG SERI MANJUNG 32040 PERAK"
chris@amecrown.com.my,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=85124&sid=70B2D3E06EF35206E389D36CA531AC49,,AMECROWN FOODS & BEVERAGES SDN BHD,'2017-08-02,03 - 62430908,"A-G-01, GROUND FLOOR, BLOCK A, VISTA MUTIARA 2, JALAN VISTA MUTIARA, BARU 6 1/2 OFF JALAN KEPONG 52000 KUALA LUMPUR"
tommyet1011@yahoo.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=104151&sid=9D4B0B64BFB4007FDF3C266FA3B14269,,AST GROUP SDN BHD,'2017-08-02,03 - 64129516,9 LORONG DESA MURNI SATU TAMAN DESA JALAN KELANG LAMA 58100 KUALA LUMPUR
worldfoodcity558@gmail.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=87470&sid=27E8BE75E22EC3BF90644D9A53B4F0CE,,WORLD FOOD CITY SDN BHD,'2017-08-02,016 - 5511626,"15, LALUAN PINGGIRAN SAUJANA 2 TAMAN PINGGIRAN SAUJANA BATU GAJAH 31000 PERAK"
ammay_ter@yahoo.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=9478&sid=65F2B86E69D328E4915A0C67D56AB9B7,,AMMAY ENTERPRISE SDN BHD,'2017-08-02,03 - 31656246,"23, LORONG PERMAI 1A TAMAN PANDAMARAN PERMAI PORT KLANG 42000 SELANGOR"
admin@seamineral.com.my,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=81351&sid=B1BB1C7A0C3375D07FCAC4F941B87092,,OCEANMINERAL RESOURCES,'2017-08-02,012 - 4282153,AT-02-02 GOODYEAR COURT 10 SUBANG JAYA 47600 SELANGOR
CHIAHAN87.02@GMAIL.COM,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=92513&sid=1DFFB2C5EEF8FB39FAA93FDE88158BDC,,HUNDRED NEST TRADING SDN BHD,'2017-08-02,04 - 7339908,30 TAMAN RIA 2 LORONG KAMPONG PADANG 2 OFF JALAN PEGAWAI ALOR SETAR 05050 KEDAH
admin@tongee.com.my,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=9904&sid=B79BC7C8822F6CEE631B2BEF5548C73D,,TONGEE (KL) SDN BHD,'2017-08-02,03 - 62531111,"3 & 5, JALAN SEGAMBUT PUSAT SEGAMBUT INDUSTRIAL AREA  51200 KUALA LUMPUR"
info@psfood.com.my,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=77255&sid=9CEA81D471C87D7662997866C315EA7B,,PS FOOD AND BEVERAGE SDN BHD,'2017-08-02,03 - 55195700,LOT29 JALAN LADA HITAM 16/12 SECTION16 SHAH ALAM 40000 SELANGOR
nutriswiftsb@gmail.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=84160&sid=240B170960A82F630FA753962D240384,,NUTRISWIFT SDN BHD,'2017-08-02,05 - 5415691,8 LINTASAN PERAJURIT 17B TAMAN PERDAGANGAN DAN PERINDUSTRIAN 31400 PERAK
ratasha_abdhamid@yahoo.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=98580&sid=47B744830116C1A052B32A640BF39AE3,,RANORAA INTERNATIONAL SDN. BHD.,'2017-08-02,03 - 89223782,NO 6A JALAN 4/12B SEKSYEN 4 TAMBAHAN BANDAR BARU BANGI 43650 SELANGOR
vontastesource@gmail.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=92895&sid=B46EB86E51A5EF043E0DD96A21E1C738,,VONTASTE SOURCE SDN. BHD.,'2017-08-02,012 - 7862982,NO.27 LALUAN MERU VALLEY 1 TAMAN PERANGINAN LEMBAH MERU JELAPANG IPOH 30020 PERAK
cindy@nclsolutions.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=64405&sid=178364CE60E190F502FD970B0CF342E9,,NCL GOLDEN TROVE SDN BHD,'2017-08-02,03 - 42809488,"13ACD, PERSIARAN MPAJ JALAN PANDAN UTAMA PANDAN INDAH 55100 KUALA LUMPUR"
plasproof@yahoo.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=85896&sid=F964CF8B1195A607AC26AB3FE98F0578,,PLASPROOF SDN BHD,'2017-08-02,03 - 61351488,"2, JALAN 6 SELAYANG PANDANG BATU CAVES 68100 SELANGOR"
sakinah_munira@yahoo.com.my,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=92016&sid=33075884C9AB4785D20B1E6FB226E809,,MMI MURNI MANUFACTURING SDN BHD,'2017-08-02,03 - 58850803,22 24 & 26 JALAN PERMAI 2 TAMAN PUCHONG PERMAI PUCHONG 47100 SELANGOR
dillirani.muniandi@kci.com.my,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10495&sid=58D940E963B8AB8E8D137E59457BE2DD,,KAPAR COCONUT INDUSTRIES SDN BHD,'2017-08-02,03 - 32506464,"LOT 4813, 15 1/2 MILE JALAN KAPAR KAPAR 42200 SELANGOR"
info.itm2u@gmail.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=83879&sid=0C13506628F0619D9A7BBC0AC8E09A16,,INFINITY TARGET MARKETING SDN BHD,'2017-08-02,04 - 7344288,"183, TINGKAT 1 KOMPLEKS KOMERSIAL & TERMINAL BAS SHAHAB PERDANA, JALAN SULTANAH SAMBUNGAN 05350 KEDAH"
ynlifeint@gmail.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=94018&sid=58B3D28DC5A2FF1611EE07F23F26B3AA,,YN LIFE INTERNATIONAL SDN. BHD.,'2017-08-02,012 - 5121013,"14, JALAN KILANG BUKIT MERAH KAWASAN PERINDUSTRIAN BUKIT MERAH LAHAT 31500 PERAK"
bioemas.com@gmail.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=103205&sid=AFC8C2AC552D91164415B83429DBDA44,,PERNIAGAAN PIRZA BAKTI,'2017-08-02,013 - 9696788,NO 19 LORONG 1 TAMAN MENTIGA JAYA PEKAN 26600 PAHANG
mhouseofcul@gmail.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=94026&sid=ED9CE11B9C177700EBC3CA8EDC4203A0,,M HOUSE OF CULTIVATION SDN. BHD.,'2017-08-02,04 - 7311109,NO 1010 - 1012 KOMPLEKS SRI PUTRA SEBERANG JALAN PUTRA 05150 KEDAH
wanchin@foodtake.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13657&sid=D34B16D2684DDDE756334A047C6052F4,,FOODTAKE INDUSTRIES SDN BHD,'2017-08-02,082 - 378923,"G.P.O LB 3133, SMT BOX 127 KUCHING  93250 SARAWAK"
