EMAIL,FAILMSG,TEL,HREF,CONAME,DATE_SCRAPED,BIZADD
geratekgroup@yahoo.com,,03 - 33817575,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=87343&sid=35BC16B7EF1F9E0741C5F0AAB36B4081,GERATEK SDN BHD,'2017-08-04,"14, JALAN SERI MUKA 36/27A TAMAN MENEGON INDAH SHAH ALAM 40470 SELANGOR"
cbc@ceebee.com.my,,03 - 41436688,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13904&sid=4C36332A55F1B2A293A447257D072C53,CEEBEE CHEMICALS SDN BHD,'2017-08-04,"6, JALAN WANGSA SETIA 4 WANGSA MELAWATI  53300 KUALA LUMPUR"
amita@idiaconnect.com,,03 - 20115049,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=96930&sid=BE5DD2E2DFADC40855D94A83F6D9F7FB,IDIA CONNECT SDN BHD,'2017-08-04,SUITE 1.12 FIRST FLOOR BLOCK C DAMANSARA INTAN NO 1 JALAN SS 20/27 PETALING JAYA 47400 SELANGOR
hosiewhar@chemindus.com.my,,03 - 31683333,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=4063&sid=A5884AD58CCE034B2E909C1FE3B28854,CHEMINDUS SDN BHD,'2017-08-04,"NO. 20 & 22,  JALAN SELAT SELATAN 6, OFF JLN BANTING  LANDPAC IND PARK PORT KLANG, 42000 SELANGOR"
estherelyena@airestec.com,,03 - 62031923,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=69497&sid=212A59A7894C37DEBC14CFDFB9212FA9,AIRESTEC SDN BHD,'2017-08-04,"UNIT NO. B-9/10, GATEWAY CORPORATE SUITES GATEWAY KIARAMAS, 1 JALAN DESA KIARA MONT' KIARA 50480 KUALA LUMPUR"
sheltonpuchong@hotmail.com,,03 - 58911701,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=98401&sid=C9E35300C403F2AB3C043A4C74BBAB68,SHELTON TRADING COMPANY,'2017-08-04,87 JALAN TPP 1/12 BATU 12 TAMAN INDUSTRI PUCHONG 47100 SELANGOR
jimmyong@crystalcoatings.com.my,,06 - 9858090,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=35829&sid=93596E06EC56D7D708ACD92A78CB26FD,LYL COATINGS SDN BHD,'2017-08-04,"LOT 2039, 9 BATU 3/4, KG PAYA PANJANG BKT PASIR MUAR 84300 JOHOR"
sales@ecopha.com,,04 - 5070028,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=93935&sid=4D256CF5FE5025DC165C061EEA94ADF6,ECOPHA SDN BHD,'2017-08-04,21 JALAN IKS BUKIT TENGAH TAMAN IKS BUKIT TENGAH 14000 PULAU PINANG
natalietham@yahoo.com,,03 - 77818168,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=72920&sid=18472179BEFEB9047CB86F0EF1E9A1E4,LNP SYNERGY SDN BHD,'2017-08-04,"76-G, JALAN PJS 5/30 PUSAT PERDAGANGAN PERTALING JAYA SELATAN 46150 SELANGOR"
sk@ipower.com.sg,,06 - 7620328,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=80360&sid=95F1496E6C2B029EC64E4CED481A1455,KANKYO PERMAI SDN BHD,'2017-08-04,3-61 THE SCOTT GARDEN 289 OLD KLANG ROAD KUALA LUMPUR 58100 KUALA LUMPUR
gremontagro@gmail.com,,03 - 56371367,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=4054&sid=76393CF87FED03C3B3ACA33632EB2D62,GREMONT AGROCHEM (MALAYSIA) SDN BHD,'2017-08-04,"NO.  7,  JALAN NILAM 1/8, TAMAN PERINDUSTRIAN TEKNOLOGI TINGGI, SHAH ALAM, 40000 SELANGOR"
ccmsb1@hotmail.com,,03 - 80706066,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=88451&sid=14420C79B067EB0FC40B5724E6B4B172,CALCIUM CARBONATE (MALAYSIA) SDN BHD,'2017-08-04,23-3 JALAN KENARI 19A BANDAR PUCHONG JAYA PUCHONG 47100 SELANGOR
alivirgo@katangroup.com.my,,03 - 60935301,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=93564&sid=7FC2CE00108067B60A5FBFA4D6644BE0,ALIVIRGO SDN BHD,'2017-08-04,LOT 67 JLN INDUSTRI 2/5 RAWANG INTEGRATED INDUSTRIAL PARK  48000 SELANGOR
dayaawanaind@gmail.com,,06 - 3367735,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=62088&sid=3F4458AEE83723C4AC493BDD3400F03D,DAYA AWANA INDUSTRI SDN BHD,'2017-08-04,"NO 58, 60 & 62 JALAN BP1 TAMAN BERTAM PERDANA PULAU GADONG 75250 MELAKA"
audri.loo@sealedair.com,,03 - 55696363,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=94213&sid=AC35431D5B4E220B154C5ED8017AA99C,DIVERSEY (MALAYSIA) SDN BHD,'2017-08-04,NO 6 JALAN PENGARAH U1/29 HICOM GLENMARIE INDUSTRIAL ESTATE SHAH ALAM 40150 SELANGOR
anyss_nasution@yahoo.com,,013 - 2252700,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=94050&sid=67D169685E4867674C4FAD21A6AF65C7,MUMS HEAVEN,'2017-08-04,NO 61 JALAN SG 3/1 TAMAN SRI GOMBAK BATU CAVES 68100 SELANGOR
anseemax@gmail.com,,03 - 55679288,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=94237&sid=E214E15B7738D64014BB10A8CC243873,ANSEEMAX SDN BHD,'2017-08-04,25 JALAN PENTADBIR U1/30 HICOM GLENMARIE INDUSTRIAL PARK SHAH ALAM 40150 SELANGOR
syarifah.nazliah@piezzoe.com.my,,03 - 60281052,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=40957&sid=8A5736DF74A20D11A2D04E3AD110B84A,BSSTECH CP (M) SDN BHD,'2017-08-04,"11, LOT 149, JALAN MELATI BANDAR BUKIT BERUNTUNG RAWANG 48300 SELANGOR"
enquiries@bacfree.com.my,,03 - 56338281,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=52354&sid=3744F3CC871AB94705AD4CCBCA02385E,BACTERIA FREE WATER ENGINEERING (M) SDN BHD,'2017-08-04,NO.7 JALAN SS 13/3F SUBANG JAYA INDUSTRIAL ESTATE SUBANG JAYA 47500 SELANGOR
sengliyplasticind@gmail.com,,012 - 7808730,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=87333&sid=296D95CD37C9408E6C18D20DA73D0A42,SENG LIY PLASTIC INDUSTRY (M) SDN BHD,'2017-08-04,"28, JALAN TIRAM 14 TAMAN PERINDUSTRIAN TIRAM OFF JALAN SUNGAI TIRAM,ULU TIRAM 81800 JOHOR"
famiza2006@yahoo.com,,04 - 4428515,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=54525&sid=FFA4733340B5B8864F94117FE1991C98,MUSLIMAH MANUFACTURING SDN BHD,'2017-08-04,B1-2 & B1-3 KEDAH HALAL PARK KAWASAN PERINDUSTRIAN SUNGAI PETANI SUNGAI PETANI 08000 KEDAH
celcure@celcure.com,,03 - 62742288,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12644&sid=06DBE813669AA4A525A6BA1FD4B06A25,CELCURE CHEMICALS (M) SDN BHD,'2017-08-04,"LOT 28, KEPONG INDUSTRIAL AREA LORONG KUANG BULAN TAMAN KEPONG 52100 KUALA LUMPUR"
goldchain88@gmail.com,,12 - 4788038,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=93639&sid=80872EE545E32186B4C2F63616790354,GOLD CHAIN TRADING,'2017-08-04,11A JALAN NILAM BAGAN AJAM BUTTERWORTH  13000 PULAU PINANG
adhesive@techbond.com.my,,03 - 51223333,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12119&sid=F8DAD57E8BABF010816593A2937173D3,TECHBOND MANUFACTURING SDN BHD,'2017-08-04,"NO.36 JLN ANGGERIK, MOKARA 31/59 SECTION 31 KOTA KEMUNING SHAH ALAM 40460 SELANGOR"
kcs.kembaracahaya@gmail.com,,07 - 2447719,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=90496&sid=BB1E47B9FE4E0B9C2C590C571A8A5BF2,KEMBARA CAHAYA SERVICE,'2017-08-04,10A JALAN AGGERIK 2/3 TAMAN ANGGERIK JOHOR 81200 JOHOR
euro_circuit@yahoo.com.my,,07 - 3822946,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=91234&sid=FB4F6FF6676E94820BEBA5175ED30A42,EURO-CIRCUIT TECHNOLOGY SDN BHD,'2017-08-04,NO 10A JALAN KEBUDAYAAN 1A TAMAN UNIVERSITI SKUDAI 81300 JOHOR
anisaexim@outlook.com,,019 - 7241991,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=93606&sid=CFC778E4E4593E33B3338452516EB2E8,ANISA EXIM TRADING,'2017-08-04,NO 45 JALAN D'ALPINIA 1 TAMAN D'ALPINIA PUCHONG 47120 SELANGOR
chunchiehkeong@gmail.com,,17 - 8888289,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=86291&sid=B85ABAC4230BCFD26B0A327D9E5AB3D8,NANO SHIELD SDN BHD,'2017-08-04,"B1-15-3, SPACE U8, PERSIARAN PASAK BUMI BUKIT JELUTONG  40150 SELANGOR"
yong@loftfurniture.com.my,,03 - 51318113,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=93641&sid=19979B9EB75E387F53BEB10CDE3C617F,JAMAX INDUSTRIES SDN BHD,'2017-08-04,20-1 JALAN SUNGAI BURUNG Y32/Y BUKIT RIMAU SHAH ALAM 40460 SELANGOR
enquiry@hiaphuat.com,,03 - 21069866,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=73281&sid=6561D51DB9C39AABF005FC388936E765,XIA FA HARDWARE SDN BHD,'2017-08-04,D-22-07 SUNWAY NEXIS NO 1 JALAN PJU5/1 KOTA DAMANSARA 47810 SELANGOR
rhm_business@yahoo.com,,016 - 2934895,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=91928&sid=F6200989D3878CEF6B931A97C98839B4,RHM MULTI TRADING SDN.BHD.,'2017-08-04,NO 82 LRG TANJUNG 8 KG SRI TANJUNG AMPANG 68000 SELANGOR
secretary.aar@ableace.com,,03 - 21611164,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11742&sid=731FE1FBF428B38507BD464F5EA30250,ABLEACE (M) SDN BHD,'2017-08-04,"A-5-4 MEGAN AVENUE 1 189, JLN TUN RAZAK  50400 KUALA LUMPUR"
enquiry@hiaphuat.com,,03 - 21069866,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=73280&sid=2D5976CFCE68155C02AB4444534740F9,TRANSADA CHEMICALS SDN BHD,'2017-08-04,D-22-07 SUNWAY NEXIS NO 1 JALAN PJU5/1 KOTA DAMANSARA 47810 SELANGOR
sarinaezyjb@gmail.com,,011 - 27275822,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=92541&sid=0275563AA3549B8130A21214E3CC7D40,AZFARINA ENTERPRISE,'2017-08-04,NO 1241 BLOK 2/2 FELDA BUKIT EASTER  81900 JOHOR
humibox@humibox.com,,03 - 61851898,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=56586&sid=ABC9D420A716547A7813CCA7C7C813F5,HUMIBOX (M) SDN BHD,'2017-08-04,"NO 1033 TINGKAT 3 BATU 7, JLN IPOH BATU CAVES 68100 SELANGOR"
cherie@cqtm.com.my,,03 - 20263300,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=5122&sid=A93B1EBDD8A48626F66E394C2F79740B,CHEMQUEST SDN BHD,'2017-08-04,"5TH FLOOR UBN TOWER, LETTER BOX NO. 109, NO. 10, JALAN P RAMLEE, 50250 KUALA LUMPUR"
shamsulbahr@gmail.com,,09 - 7433566,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=92784&sid=2DBC7B48A3553B35363734D1BB932919,ITQAN MAJU RESOURCES,'2017-08-04,2228-B LEVEL 1 DEPAN SEK. MEN. KEB. KOTA JALAN SALOR 15100 KELANTAN
sales@epsimpex.com,,088 - 316470,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=7683&sid=C55EA3836CBA8DD14B6D7937B4BA1369,EPS IMPEX,'2017-08-04,"P.O. BOX 21904 DAMAI PLAZA, LUYANG KOTA KINABALU 88777 SABAH"
biosagritech@yahoo.com,,06 - 9752619,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=14153&sid=C0108E6AF4C33D1047248BE81B955089,BIO-S AGRITECH INDUSTRIES SDN BHD (FORMERLY KNOWN AS BROADWAY DRAGON SDN BHD),'2017-08-04,"LOT 11428, JALAN SEROM 8 SUNGAI MATI LEDANG JOHOR 84410 JOHOR"
palmf38@gmail.com,,06 - 9512576,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=92050&sid=5EA00E7C62A969F82935AFCB1E8F362E,PALMCO FIBRE TECHNOLOGY SDN. BHD.,'2017-08-04,16A TINGKAT 1 JALAN SAKEH SATU JALAN SAKEH 84000 JOHOR
ysnsilica@gmail.com,,019 - 4205973,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=93485&sid=4BA05E761C1DB022A72CCFE21FE896FB,YSN SILICA (M) SDN. BHD.,'2017-08-04,8431 SUNGAI DUA   13800 PULAU PINANG
eossgrand@hotmail.com,,07 - 3862799,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=81502&sid=FB919DD6CA15BBEF5A05886756CFF8CA,EOSS GRAND INDUSTRIES (M) SDN BHD,'2017-08-04,"10, JLN SRI PLENTONG 10 TMN PERINDUSTRIAN SRI PLENTONG MASAI, JOHOR 81750 JOHOR"
swchan@erapoly.com,,03 - 87237988,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=37237&sid=21012DC82ECC432F0616CE00BFBFC887,ERAPOLY MARKETING SDN BHD,'2017-08-04,"LOT 4089, JLN P4/8 SECTION 4 BANDAR TEKNOLOGI KAJANG SEMENYIH 43500 SELANGOR"
andavarmetal@yahoo.co.uk,,03 - 87242802,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=93688&sid=C3DF811DC46368D581646E7830E43CC7,ANDAVAR METAL MANUFACTURING SDN BHD,'2017-08-04,NO 7A JALAN KESUMA 2/4 BANDAR TASIK KESUMA BERANANG 43700 SELANGOR
kingbond@dardanchem.com,,03 - 51912311,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13431&sid=5CD412008939CB63C7534E273CA36F79,DARDANCHEM SDN BHD,'2017-08-04,20 JALAN SEMENTA 27/91 SECTION 27 SHAH ALAM 40000 SELANGOR
khtan@greenwell.com.my,,03 - 78468625,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=36369&sid=B474CB33CF465E176A5FF550A1B0A8C7,GREENWELL OLEOCHEMICALS SDN BHD,'2017-08-04,"NO.18 JLN BULAN BT U5/BT, SEKSYEN U5  SHAH ALAM 40150 SELANGOR"
inquiry@southernlion.com.my,,07 - 3546042,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=3507&sid=E2FF07948390E0E9D064EC2F7ABCDC26,SOUTHERN LION SDN BHD,'2017-08-04,"3, JLN FIRMA 2 TEBRAU INDUSTRIAL ESTATE JOHOR BAHRU 81100 JOHOR"
sulli.lee@keesong.com,,07 - 4681325,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=93786&sid=4BB7B5D8E2BC3C8E40E50E59A11516D1,OTEMCHI BIOTECHNOLOGIES (M) SDN BHD,'2017-08-04,18A JALAN SUTERA TAMAN SUTERA 83700 JOHOR
casahijau.trading@gmail.com,,03 - 32903387,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=81585&sid=64B683C01A076ED0401AA13E30573AF6,CASA HIJAU SDN BHD,'2017-08-04,"NO. 70 A & B, JALAN SUNGAI BILAH 1/KU4, RANTAU PANJANG 42100 SELANGOR"
corporate@wpcmaxchem.com,,04 - 5060730,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=93929&sid=60BB49A905431DC691285B8BE0E15957,WPC MAX CHEM SDN. BHD.,'2017-08-04,NO 1030 LENGKOK PERINDUSTRIAN BUKIT MINYAK 2 TAMAN PERINDUSTRIAN BUKIT MINYAK SIMPANG AMPAT 14100 PULAU PINANG
sales@rovski.com.my,,03 - 56332908,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=8341&sid=E71ABD3BC39287A68C964A709F1F812C,ROVSKI SDN BHD,'2017-08-04,LOT 561 JLN SUBANG 3 SUBANG JAYA INDUSTRIAL PARK SUBANG JAYA 47100 SELANGOR
LN@kpquality.com,,03 - 80762171,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=3737&sid=9E20EBD3741102466CD28E48B6F9B92E,K.P. QUALITY PRODUCTS MANUFACTURING SDN BHD,'2017-08-04,NO.1 JLN TPK 2/3 TMN PERINDUSTRIAN KINRARA SECTION 2 58200 KUALA LUMPUR
sales.bacoff@gmail.com,,03 - 58798707,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=93888&sid=EAE1610D2A09BBF69668C22390B3C631,BACOFF (M) SDN BHD,'2017-08-04,WISMA BACOFF NO 9 JALAN PJS 5/28B PUSAT PERDAGANGAN PETALING JAYA SELATAN PETALING JAYA 46150 SELANGOR
enquiry@senadiecasting.com.my,,06 - 7971410,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=15617&sid=4290BE6F2FD39C9FDAD064D1D17E42DC,SENA DIECASTING INDUSTRIES SDN BHD,'2017-08-04,"LOT 131 JALAN PERMATA 2, KAWASAN PERINDUSTRIAN ARAB MALAYSIAN NILAI 71800 NEGERI SEMBILAN"
sales@zexxel.com,,03 - 56114410,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=94894&sid=2B1FD2CB7E8E1FE9DB5E9B0CD9ECF584,ZEXXEL INDUSTRIES SDN BHD,'2017-08-04,28 JALAN INDSUTRI USJ 1/5 TAMAN PERINDUSTRIAN USJ 1  47600 SELANGOR
danise@kldind.com.my,,04 - 5886042,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=8216&sid=5EBF648BBAE2108B511A978027BC6541,KEAN BENG LEE INDUSTRIES (M) SDN BHD,'2017-08-04,"NO.1384 ATAS LOT 841, MK-1 JLN TASEK, SIMPANG AMPAT SEBERANG PERAI SELATAN 14120 PULAU PINANG"
international@vivantechnologies.com,,03 - 80251603,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=8052&sid=FFFD283EB83B8A2EC7EA6215B71A2C27,VIVANTIS TECHNOLOGIES SDN BHD,'2017-08-04,"REVONGEN CORPORATION CENTER NO 12A JLN TP5, TMN PERINDUSTRIAN UEP SUBANG JAYA 47600 SELANGOR"
hr@kenso.com.my,,03 - 79623636,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=33583&sid=FBEB09218946088DAC3E08C76DCF60B8,KENSO CORPORATION SDN BHD,'2017-08-04,"B-9-3 PJ8 BLOCK B WEST, NO. 23 JLN BARAT SEKSYEN 8 PETALING JAYA 46050 SELANGOR"
elsa.soon@farmcochem.com,,03 - 50222283,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12045&sid=820D94D73DCC4124591A84F52A1C876E,FARMCOCHEM SDN BHD,'2017-08-04,"LOT A-05-07 EMPIRE OFFICE EMPIRE SUBANG, JLN SS16/1, SS16 SUBANG JAYA 47500 SELANGOR"
marketing@eqxglobal.com,,04 - 5057883,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10851&sid=E0FD1F84D767839D076587F2A6709AB8,EQX MATERIALS SDN BHD,'2017-08-04,"PMT 1159, LORONG PERINDUSTRIAN BUKIT MINYAK 22 PENANG SCIENCE PARK TAMAN  PERINDUSTRIAN BUKIT MINYAK, SIMPANG AMPAT 14100 PULAU PINANG"
billyyee@meridiansupplies.com,,03 - 80610080,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=70061&sid=EFE42AC459581C76035750D9E4851D34,MERIDIAN CHEM SDN BHD,'2017-08-04,"7 JALAN BP 5/8, BANDAR BUKIT PUCHONG 47100 SELANGOR"
admin@nobel.com.my,,03 - 89432882,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=85571&sid=B2BEBA11CAB9C93D09645DCB4A4380AD,NOBEL SYNTHETIC POLYMER SDN BHD,'2017-08-04,19 JALAN PERINDUSTRIAN BALAKONG JAYA 2/3 TAMAN PERINDUSTRIAN BALAKONG JAYA 2 43300 SELANGOR
hadi@technoworks.com.my,,03 - 83222780,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=94985&sid=2151CB318952EAC29CAF9882CA242C0E,TECHNOWORKS PLT,'2017-08-04,NO 5 JALAN PP2/9 TAMAN PUTRA PERDANA PUCHONG 47100 SELANGOR
sales@sbgroup.com.my,,03 - 89463600,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=4604&sid=8C9DA79D767B7FCB99E7E602A52DC158,SB TAPE INTERNATIONAL SDN BHD,'2017-08-04,"LOT 1812, JALAN KPB 1 KAW PERINDUSTRIAN KG BARU BALAKONG SERI KEMBANGAN 43300 SELANGOR"
nikom8sb@tm.net.my,,03 - 33926998,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=72586&sid=910D121ACA61CF6BAEC977BFADA687F1,NIKOM CARBON INDUSTRIES SDN BHD,'2017-08-04,"NO.17 JLN MERU INDAH 20, OFF PERSIARAN HAMZAH ALANG TMN MERU INDAH KAPAR 42200 SELANGOR"
shimabarrel@gmail.com,,03 - 80618786,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=2994&sid=F5B1DB7C353186B77237FF61B5CDA778,SHIMA BARREL FINISHING SYSTEMS (M) SDN BHD,'2017-08-04,"5 JLN UTAMA 2/30 TMN PERINDUSTRIAN PUCHONG UTAMA, BATU 14 PUCHONG 47100 SELANGOR"
anjungserihouse@yahoo.com,,017 - 2040993,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=95951&sid=C804C18201B75A401D2C63CF9BE1802E,CASA DE BRASS SDN BHD,'2017-08-04,LOT 19-ACD LEVEL 5 SUITE A MENARA PANDAN B PERSIARAN MPAJ JALAN PANDAN UTAMA PANDAN INDAH 55100 KUALA LUMPUR
hardeenjc1@yahoo.com,,03 - 22822402,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=33362&sid=40BF2F3B9C20C93B592D9083BB7CE7E9,JC SYNERGY TRADING,'2017-08-04,"15A, BANGUNAN SULTAN JALAN BANGSAR  59200 KUALA LUMPUR"
sales@kwaquatic.com,,04 - 8282613,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=75869&sid=F3B248CF6BFB78F1D83CDDFE187A1C08,KW AQUATIC SUPPLIES SDN BHD,'2017-08-04,"506, JLN AYER ITAM  11400 PULAU PINANG"
