HREF,TEL,FAILMSG,CONAME,EMAIL,DATE_SCRAPED,BIZADD
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=81692&sid=4BC61887C92B5F5411D57827828F9E63,03 - 80651088,,MYWAM SDN BHD,enquiry@wammap.com,'2017-08-02,17-2B JALAN PUTERI 2/7 BANDAR PUTERI PUCHONG 47100 SELANGOR
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=81462&sid=70364BD4A9E4E6CF23E68409609CF1C2,03 - 33232967,,D ARCH KINETIC WORLDWIDE SDN BHD,info@d-archkinetic.com,'2017-08-02,20 JALAN KASUARINA 6/KS7 BANDAR BOTANIC KLANG 41200 SELANGOR
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12097&sid=100246D82164EA0695AFE723DF436732,03 - 80263333,,BEHN MEYER INTERNATIONAL TRADING SDN BHD,bmcn@behnmeyer.com.my,'2017-08-02,NO 5 JLN TP2 TMN PERINDUSTRIAN SIME UEP SUBANG JAYA 47600 SELANGOR
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=15574&sid=605DB3A38BC7348A1159047D36F9D8A7,017 - 9473080,,MUZAMAL VENTURES SDN BHD,christopher.lim@muzamalventures.com,'2017-08-02,"LOT 21, JALAN 3A KAW PERINDUSTRIAN CHERAS JAYA CHERAS 43200 SELANGOR"
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=83202&sid=159F3200463B95F0CFE9FF35B10A210F,018 - 6222582,,FOOTSTEPS TECHNOLOGY SDN BHD,kelim@footdisc.com.my,'2017-08-02,LOT 37-3 JALAN 2/115A TAMAN PAGAR RUYONG 58200 KUALA LUMPUR
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=7531&sid=BF1B6F6BF8577952E0C3CE6FD89558E9,03 - 51226666,,TELE-PAPER (M) SDN BHD,info@telepapers.com,'2017-08-02,"LOT 1, JALAN SEJAHTERA 25/124 AXIS PREMIER INDUSTRIAL PARK, SECTION 25 SHAH ALAM 40400 SELANGOR"
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=3552&sid=D03D8DC14054FF3B992AC5E56E289187,03 - 60813626,,SAS INDUSTRIES SDN BHD,marketing@sasgloves.com,'2017-08-02,"LOT 74C, BATU 26 JALAN KL - IPOH SERENDAH 48200 SELANGOR"
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=64513&sid=CBEB63221E95FFF6ECB01D63CC750270,03 - 80682516,,INTERMEDEX (M) SDN BHD,sales@myintermedex.com,'2017-08-02,"21, JALAN PUTERI 5/16 BANDAR PUTERI PUCHONG 47100 SELANGOR"
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=40802&sid=0D653352E62AB12257BB587CC9EF9764,03 - 33935718,,MBH COSMECEUTICAL SDN BHD,csfoo@mbh.com.my,'2017-08-02,"12,JALAN MERU INDAH 20 TMN PERINDUSTRIAN MERU INDAH KAPAR KLANG 42200 SELANGOR"
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13829&sid=6BA888DCCFD871A067613B7A193F87F7,03 - 78808128,,COMPACT HYGIENE SDN BHD,help@lens-2.com,'2017-08-02,"E306, KELANA PARKVIEW NO.1, JALAN SS6/2,  47301 SELANGOR"
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=15879&sid=73A4B3B704C668EBFA7DA43063E321FA,05 - 5482723,,BIOGREEN MEDICAL SDN BHD,nora@rubberex.com.my,'2017-08-02,"LOT 138201, OFF 3/4 MILE, JALAN BERCHAM KAW PERINDUSTRIAN BERCHAM IPOH 31400 PERAK"
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=69150&sid=C5F5D8FA38820CA85E11114FDE90E996,03 - 76252525,,HEALTHTRONICS (M) SDN BHD,info@healthtronics.com.my,'2017-08-02,"SUITE (P3-03) BUILDING INFORMATION CENTRE LOT 2, JALAN51A/243, PETALING JAYA 46100 SELANGOR"
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=67425&sid=1BC88507A4EE2B093293B80ECE09A9E7,03 - 41431151,,IRIS NETWORK & RESOURCES,enquiry@royal-iris.com,'2017-08-02,"20, LORONG WANGSA SIAGA 2 WANGSA MELAWATI KUALA LUMPUR 53300 KUALA LUMPUR"
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=60270&sid=668121E7BF39760CC5D4B98F3CEA5846,03 - 80251603,,RESZON DIAGNOSTICS INTERNATIONAL SDN BHD,info@reszonics.com,'2017-08-02,"REVONGEN CORPORATION CENTER 12A, JLN TP5, TAMAN PERINDUSTRIAN UEP SUBANG JAYA 47600 SELANGOR"
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=71672&sid=B9865994A385776292E4D79C4003F5B6,03 - 56128998,,INTCO MEDICAL GROUP (MALAYSIA) SDN BHD,alicialiew@intco.com.cn,'2017-08-02,"B-10-22, EMPIRE SOHO, EMPIRE SUBANG JALAN SS16/1, SS16 INTCO MEDICAL GROUP (MALAYSIA) SDN BHD 47500 SELANGOR"
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=71894&sid=17358108A64C5A087DA46CD13BCEFD5C,05 - 2431880,,MERAH MEDICAL SDN BHD,avtar@merahmedical.com,'2017-08-02,"14A-1, 1ST FLOOR JALAN TUN SAMBANTHAN IPOH 30000 PERAK"
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=69258&sid=ADE1EFFC6CE062EAF30B8156EF9B4FAB,03 - 79717591,,RESTU PANCA SDN BHD,dheven@restupanca.com,'2017-08-02,"33-2, PLAZA DANAU 2, JALAN 109 F TAMAN DANAU DESA OFF JALAN KLANG LAMA 58100 KUALA LUMPUR"
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=7597&sid=67C184FAFB732BDD5F183811E0F5746F,03 - 87373170,,PLASFORM SDN BHD,eddie@plasform.com.my,'2017-08-02,"31-37, JALAN ASA 8 TAMAN ASA JAYA LIGHT INDUSTRIAL AREA KAJANG 43000 SELANGOR"
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=71896&sid=B0812E7C9F5F47A71939CBE56A6CB8CE,03 - 77282063,,LABCHEM SDN BHD,labchem@labchem.com.my,'2017-08-02,22 JALAN SS20/10 DAMANSARA KIM 47400 SELANGOR
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=61922&sid=0CBE6A08D692E1559C5EA1331E7031BD,603 - 78314083,,SNAA MEDIC SDN BHD,info@snaamedic.com,'2017-08-02,"37, JALAN BULAN BL, U5/BL BANDAR PINGGIRAN SUBANG SECTION U5, SHAH ALAM 40150 SELANGOR"
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=71723&sid=96836D798FA30FA34BC2897ADDE244A8,010 - 9601570,,SHOPPING POINT,salesordering8888@hotmail.com,'2017-08-02,TAMAN PULAI INDAH 12 JALAN PULAI INDAH 5/15 JOHOR BAHRU 81100 JOHOR
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=35463&sid=73579028AE3632ACB71C823C086FBE22,03 - 33239714,,NATURAL ELIXIRS SDN BHD,info@naturalelixirs.biz,'2017-08-02,"6, JALAN JASMIN 8/KS6 BANDAR BOTANIC KLANG 41200 SELANGOR"
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=14261&sid=0B5F689FBE05ED59FB93313A74AD4BB3,04 - 5080070,,MECHA-MEDIC SOLUTION SDN BHD,info@mechamedic.com,'2017-08-02,"NO.1, LORONG PERUSAHAAN MAJU 11 TAMAN PELANGI PERAI 13600 PULAU PINANG"
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=63715&sid=D6EF5A852394B69FD67D2A48E2B51ECC,082 - 243592,,TECSEN TECHNOLOGIES SDN BHD,alanwee@tecsen.com.my,'2017-08-02,"LOT 3026, SUBLOT 9 2ND FLOOR 2 1/2 MILE JALAN TUN AHMAD ZAIDI ADRUCE 93150 SARAWAK"
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=8218&sid=21882CE51B8D7275335344641DF62FE8,03 - 61889390,,FASTAID MEDICAL (M) SDN BHD,roma@fastaid.com.my,'2017-08-02,"18, JALAN DBP DOLOMITE BUSINESS PARK BATU CAVES 68100 SELANGOR"
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=42106&sid=7F0CBF75E0962E3007FF2C294D52E40A,03 - 78809787,,NEOPHARMA BIOTECH ASIA SDN BHD,info@neopharmaasia.com,'2017-08-02,"SUITE 410, BLOCK A, GLOMAC BUSINESS CENTRE 10, JLN SS 6/1, KELANA JAYA PETALING JAYA 47301 SELANGOR"
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=14904&sid=D5652B2478E460E018FF1D6059AD7C64,03 - 40233333,,HEALING CHAMBERS OF ASIA SDN BHD,info@healingchambers.com.my,'2017-08-02,3 PERSIARAN TITIWANGSA 3  53200 KUALA LUMPUR
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=42341&sid=80F3FADA56FDCB9547630286C46D8027,03 - 62503939,,ASSURTIUM SDN BHD,assurtium@gmail.com,'2017-08-02,"65-1, JALAN METRO PERDANA BARAT1 TAMAN USAHAWAN KEPONG KEPANG UTARA 52000 KUALA LUMPUR"
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=43160&sid=4D02C6A30E3A074A59BE666966A8358B,03 - 78065568,,KUALA LUMPUR ELECTRIC VEHICLES SDN BHD,mustapha.kamal@ezzyrider.com,'2017-08-02,"3-1 BLOCK D2, JALAN PJU 1/39 DATARAN PRIMA, PETALING JAYA  47301 SELANGOR"
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13325&sid=57212EF06FF25E5E26C39462F25E2164,03 - 77857677,,SERVICOM MEDICAL SDN BHD,enquiry@servicom.com.my,'2017-08-02,"43, JALAN GASING PETALING JAYA JALAN AMPANG 46000 SELANGOR"
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=8143&sid=641B0AC549217B3187A252E242FF6720,03 - 77848536,,AG WHOLESALE DISTRIBUTION CENTRE SDN BHD,gaffoor@ag-scientific.com,'2017-08-02,NO. 11 JALAN OTHMAN PETALING JAYA 46000 SELANGOR
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10881&sid=9CD502818191A1805C53C02D931FE441,04 - 4224010,,GALETAX CORPORATION SDN BHD,subramd53@gmail.com,'2017-08-02,"57, JALAN SG TUKANG 2/1 KAW PERUSAHAAN SG TUKANG SG PETANI 08000 KEDAH"
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=3235&sid=522452EA15586FA8929938A72BD93B2E,03 - 32500377,,PLEASURE LATEX PRODUCTS SDN BHD,mkt@plplatex.com,'2017-08-02,"LOT 5322, 15TH MILES JALAN PADANG GAJAH JERAM 45800 SELANGOR"
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=43768&sid=CBF0CFF3CA9D06DAD7D27F385F0FF518,09 - 5163676,,GRAND WELLNESS NETWORK SDN BHD,info@e-wellness.com.my,'2017-08-02,"GRAND WELLNESS NETWORK SDN BHD NO 18, JALAN GAMBUT, 25000 KUANTAN, 25000 PAHANG"
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13523&sid=A7255CCC5CFAAB80920BCFCA618B8099,03 - 40234702,,OMECO (M) SDN BHD,fauziah@myomeco.com,'2017-08-02,"1-3-8, BLOCK C, JALAN 1/50 DIAMOND SQUARE COMMERCIAL CENTRE OFF JALAN GOMBAK 53000 KUALA LUMPUR"
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=16567&sid=81D6BE8C5F5D594A1CD2F3D0AD7F3E5E,03 - 90562222,,SIMSON TRADING SDN BHD,simson_trading@yahoo.com,'2017-08-02,"35-2, JALAN 8/146 BANDAR TASIK SELATAN  57000 KUALA LUMPUR"
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13750&sid=335CCC901CD47F45C92AE8EFA9CCCCD1,05 - 8913158,,EPSILON MEDICAL DEVICES SDN BHD,info@epsilon-group.com,'2017-08-02,"LOT 5271, JALAN PERUSAHAAN 3 KAMUNTING INDUSTRIAL ESTATE KAMUNTING 34600 PERAK"
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13064&sid=8FCC3D1797B3CD4557AFFCE521ABA274,03 - 51212501,,SMART MEDIC MARKETING SDN BHD,leesmmktg@yahoo.com,'2017-08-02,"11, JALAN ANGGERIK MOKARA SECTION 31/58 KOTA KEMUNING SHAH ALAM 40406 SELANGOR"
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=9254&sid=A5BE9DA74D35880EAC7AE76D2B7E0988,03 - 33429999,,REMEDI PHARMACEUTICALS (M) SDN BHD,wmaster@pharmaniaga.com,'2017-08-02,"6 LEBUH KELULI KWS. PERINDUSTRIAN BKT. RAJA SELATAN LOCKED BAG 2030, KLANG 41990 SELANGOR"
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=4878&sid=ABCA30B4D87C6D7DDA2752470E2661AB,03 - 33746060,,SURIA-MEDIK SDN BHD,info@suria-medik.com,'2017-08-02," 30, LORONG RAJA NONG 1A TAMAN ALAM NYATA FASA 5 OFF JALAN RAJA NONG, KLANG 41000 SELANGOR"
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=64504&sid=4C4313B906D68A4E151CF904CA319B9E,03 - 79539877,,EDGEWISE VALLEY SDN BHD,casey@edgewisevalley.com,'2017-08-02,"UNIT 601, BLOCK A PHILEO DAMANSARA 1, 9 JALAN 16/11 PETALING JAYA 46350 SELANGOR"
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=41377&sid=B383B7AB1D6C0BD9C309958E727C229B,03 - 51225331,,ISOLAB SDN BHD,enquiry@isolab.com.my,'2017-08-02,"5, JALAN ANGGERIK MOKARA 31/46 KOTA KEMUNING  40460 SELANGOR"
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=34020&sid=A5E8B3A5D7D9D21CF315DE7B4C7FD82F,03 - 90769233,,YAKIN BIO ENGINEERING SDN BHD,info@yakin-invest.com.my,'2017-08-02,"GROUND FLOOR, ENTERPRISE 4 LEBUHRAYA PUCHONG-SG BESI BKT JALIL 57000 KUALA LUMPUR"
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=9883&sid=33A69E6180B8CCADB66A4011A749ACFE,03 - 33926192,,OLIPRO BIOTECHNOLOGY SDN BHD,info@oliprobiotech.com,'2017-08-02,LOT 5030 JALAN TERATAI 5 1/2 MILE OFF JALAN MERU KLANG 41050 SELANGOR
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=8105&sid=2F5A3C3D7DB8441AC668F1B7C2910D46,082 - 456711,,TREND-NICS SDN BHD,sales@trendnics.com.my,'2017-08-02,"LOT 13, 127D, 1ST FLOOR GREEN HEIGHTS COMMERCIAL CENTRE JLN LAPANGAN TERBANG, KUCHING 93250 SARAWAK"
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=8190&sid=D6D25DC409E5076EA690F82B3AD7D0FB,603 - 51913905,,E-PRO SYSTEMS (M) SDN. BHD.,epro.system@gmail.com,'2017-08-02,"NO. 14, JALAN KOTA RAJA J27/J SEKSYEN 27, HICOM BUSSINESS CENTRE SHAH ALAM 40400 SELANGOR"
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=63065&sid=71FF79B9798B2F6D3ED16E07A23E2E7D,04 - 6161356,,ZENIC MEDICAL DEVICES INTERNATIONAL SDN BHD,khleow@zenicmed.com,'2017-08-02,"57-G, PERSIARAN BAYAN INDAH BAYAN BAY SUNGAI NIBONG 11900 PULAU PINANG"
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=65066&sid=7F81C253B952FFFB2A9406FCAECC8064,016 - 2285361,,SAS WORLDWIDE SDN BHD,sasworld2010@gmail.com,'2017-08-02,"10, JALAN TABOH 33/22 SEKSYEN 33 SHAH ALAM 40400 SELANGOR"
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=3187&sid=56EFBD86138B30EB93E9E14C5BE51B6F,03 - 89453392,,CONSTERN MANUFACTURING SDN BHD,constern@streamyx.com,'2017-08-02,"2A, JALAN BS7/16 BUKIT SERDANG INDUSTRIAL PARK SERI KEMBANGAN 43300 SELANGOR"
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=66044&sid=D5C0DDB06C55F75932B82EEDF0F8570C,03 - 33422770,,AXISBIO DIAGNOSTICS SDN BHD,farrah@axisbio.com.my,'2017-08-02,"32-4, SETIA AVENUE JALAN SETIA PRIMA U13/S BANDAR SETIA ALAM, SHAH ALAM 40170 SELANGOR"
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=65769&sid=D64B247B3E04DC161C3D5887661A6B36,04 - 6272446,,MECHMODULE TECHNOLOGY SDN BHD,kllee@mechmodule.com,'2017-08-02,"23, LINTANG BERINGIN 6 OFF JALAN PERMATANG DAMAR LAUT BATU MAUNG, DIAMOND VALLEY LIGHT IND. PARK 11960 PULAU PINANG"
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=66722&sid=7A79F25383FC1853711BCB4667B9414B,03 - 62113120,,PIYATECH SDN BHD,info@piyatech.com,'2017-08-02,B3-5-7 SOLARIS DUTAMAS JALAN DUTAMAS1 50480 KUALA LUMPUR
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=56559&sid=2F6CB9EE857E8E926FF8E80075E65C3C,03 - 56355347,,NAZMED SMS SDN BHD,sales@smsindus.com,'2017-08-02,"12-3, JALAN USJ 21/4 SUBANG JAYA  47630 SELANGOR"
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=67206&sid=BABA5943AC787787917EAB4125F69EF3,016 - 3626779,,A1 MEDITECH SDN BHD,marianah.abwahab@gmail.com,'2017-08-02,BLOK INTRON EKSON UKM-MTDC TECHNOLOGY CENTRE UNIVERSITI KEBANGSAAN MALAYSIA 43600 SELANGOR
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=7226&sid=3B2869366D90BB511F69F57E39A5E029,03 - 55100793,,SUARNA BAKTI SDN BHD,suarnabakti2012@yahoo.com,'2017-08-02,"53B,2ND FLOOR, BLOCK 4 WORLDWIDE BUSINESS CENTRE, SECTION 13/47 SHAH ALAM 40000 SELANGOR"
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=60267&sid=BE280F65B8F3A5898A1C4B3BBEF106DB,03 - 51922913,,KEJURUTERAAN ASAS JAYA SDN BHD,adminsa@kajsb.com.my,'2017-08-02,"30, JALAN BAGAN NIRA 26/8 HICOM INDUSTRIAL PARK SECTION 26, SHAH ALAM 40000 SELANGOR"
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=57425&sid=9B31FD80E7A9B48AF21E84B408899782,03 - 80251603,,REVONGEN CORPORATION SDN BHD,ellaw@revongen.com,'2017-08-02,"12A, JALAN TP 5 TAMAN PERINDUSTRIAN UEP SUBANG JAYA 47600 SELANGOR"
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=36468&sid=C6C70825CC9443281180EBC029ED9A15,03 - 79485262,,MILLION BOARD SDN BHD,millionboard@gmail.com,'2017-08-02,SUITE 1208 LEVEL 12 AMCORP TOWER AMCORP TRADE CENTRE 18 PERSIARAN BARAT PETALING JAYA 46050 SELANGOR
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12478&sid=8A2229C4D777CAA16D370612A2E30BF4,603 - 79874011,,PREMIER OUTLOOK SDN BHD,gpakkias@tm.net.my,'2017-08-02,"15-2, JALAN 1/114 KUCHAI BUSINESS CENTRE JALAN KUCHAI LAMA 58200 KUALA LUMPUR"
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=57764&sid=A0994478AA2F9E2C30E1571EB958557A,04 - 6460926,,G SURGICAL ORTHO SDN BHD,enquiry@gsurgical.com,'2017-08-02,"188-D, JALAN SULTAN AZLAN SHAH SUNGAI TIRAM  11900 PULAU PINANG"
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=61669&sid=9C278E807DB52219578080E3CCE3A15C,03 - 80236304,,TEGUH PHARMA SDN BHD,info@teguhpharma.com.my,'2017-08-02,"38-2, JALAN USJ 1/1B REGALIA BUSINESS CENTRE SUBANG JAYA 47620 SELANGOR"
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=60292&sid=18FE4DE89BE7846715206FE832F02B8B,03 - 91717173,,CLEARPATH MARKETING SDN BHD,mazdurah@yahoo.com,'2017-08-02,"70-1, AMBER BUSINESS PLAZA 2 JALAN JELAWAT 1 CHERAS 56000 KUALA LUMPUR"
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=60878&sid=7772391FAF08418D9B40661F03245C5A,03 - 78809023,,BICC SOLUTIONS SDN BHD,raymond@biccsolutions.com,'2017-08-02,"13B-5, JALAN PJU 1/39 BLOCK D2 DATARAN PRIMA 47301 SELANGOR"
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=37372&sid=3CE40391ED5D027C75B9D069606AD9C9,03 - 62762323,,ARACHEM (M) SDN BHD,marketing@arachem.com.my,'2017-08-02,"11, PERSIARAN INDUSTRI TAMAN PERINDUSTRIAN SRI DAMANSARA BANDAR SRI DAMANSARA 52200 KUALA LUMPUR"
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=15764&sid=E7AD87D82B511E6873025E1E9FE1240D,03 - 62727625,,MEDIPLAS RESPIRATORY PRODUCTS SDN BHD,christina@mediplas.com.my,'2017-08-02,"7, JALAN KIP 3 TAMAN PERINDUSTRIAN KIP  52200 KUALA LUMPUR"
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=61593&sid=3EC282FDF4F4C39E8820E914430EAC17,012 - 3766986,,MAFA EXPERTS SDN BHD,yoges@mafa.com.my,'2017-08-02,"SUITE S-00-11, SUTRAMAS APT PERSIARAN PUCHONG JAYA SELATAN PUCHONG 47100 SELANGOR"
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=51135&sid=BB55E909F7B8B9BEAE779C731537C053,03 - 91314988,,MYORTHO REHAB SDN BHD,edmundlee@myortho.com.my,'2017-08-02,"13, JALAN MIDAH TIMOR TAMAN MIDAH, CHERAS  56000 KUALA LUMPUR"
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=70923&sid=AD634D92B13BD081698C2128BD9EC4C5,012 - 7021711,,XECAMED SDN BHD,xecamed@yahoo.com,'2017-08-02,"17, JALAN SETIA NUSANTARA U13/22U SETIA ECO PARK SHAH ALAM 40170 SELANGOR"
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=72681&sid=1D6F58801768B4A042B9FDD432AAEAAD,03 - 95450677,,IMT SCIENTIFIC RESOURCES SDN BHD,sales@imt-gasgen.com,'2017-08-02,"11 & 11A, JALAN PUJ 1/17 TAMAN PUNCAK JALIL BANDAR PUTRA PERMAI, SERI KEMBANGAN 43300 SELANGOR"
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=72843&sid=8DC70839292095A2D83FC1DFE81418A9,03 - 31013698,,CNZ BIOTECH SDN BHD,twmalaysia@yahoo.com,'2017-08-02,"66, JALAN SG.PINANG 4/7, KAWASAN PERINDUSTRION PULAU INDAH (FSSA 2) SELANGOR HALAL HUB PELABUHAN KLANG 42920 SELANGOR"
