EMAIL,DATE_SCRAPED,HREF,CONAME,BIZADD,FAILMSG,TEL,
ccb@central-cables.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=3926&sid=66A8EBE642BC0986E5AEF946F07872CB,CENTRAL CABLES BHD,7862 BATU BERENDAM P.O. BOX 313 75760 MELAKA,,06 - 2325821,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
alvin@cogebi.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=73275&sid=F762B0393A425C473BFFE9EBDB99327F,COGEBI ASIA SDN BHD,"LOT 752, 3 JALAN SUBANG 3 SG. PENAGA INDUSTRIAL PARK, SUBANG JAYA 47610 SELANGOR",,03 - 56350800,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
info@betafactors.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=51095&sid=A309D8A31878632FA7D73F55C9A2C667,BETA FACTORS SDN BHD,"A-2-22, JALAN BG 2 B&G COMMERCIAL CENTRE RAWANG 48000 SELANGOR",,03 - 60932290,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
bestronelectric@hotmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=83871&sid=96E90A3C38D497B892EC16798201843B,BESTRON ELECTRIC TRADING SDN BHD,85 JALAN 2 PANDAN INDAH INDUSTRIAL PARK 55100 KUALA LUMPUR,,03 - 42939033,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
petertean@des2u.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=37682&sid=D3BA280CC9448104A07133237C3611C6,DES ELECTRONICS SDN BHD,"NO. 11A, LORONG CERMAI 1 TAMAN CERMAI, PERMATANG PAUH BKT MERTAJAM 13500 PULAU PINANG",,04 - 3995699,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
info@dpstar.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=14611&sid=992EB7FF5BBA032D2846613CC530B694,DPSTAR THERMO ELECTRIC SDN BHD,"NO.35-G, JALAN OP 1/2 PUSAT PERDAGANGAN ONE PUCHONG OFF JALAN PUCHONG, PUCHONG 47160 SELANGOR",,03 - 80716722,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
dericeng@dpstar.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=30568&sid=C852C10FB7F5988B7755B859713C4D06,DPSTAR THERMO CONTROL ELECTRIC (PENANG) SDN BHD,"G-03-A, JALAN BARU, PERAI PLAZA PRAI  13600 PULAU PINANG",,04 - 3970686,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
rsa@aglfittings.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=36937&sid=51269D0552C08EB146AC208B5AFE0B45,DEVI IMPEX SDN BHD,"B-1-2, BLOCK B, MEGAN AVENUE 1 189 JALAN TUN RAZAK  50400 KUALA LUMPUR",,03 - 21663044,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
info@dpcontrols.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=14457&sid=FD83B327C1E7FB64F8489BB4030BDAF4,DP CONTROLS SDN BHD,"42, JALAN 10/116B KUCHAI ENTREPRENEUR PARK JALAN KUCHAI LAMA 58200 KUALA LUMPUR",,03 - 79800808,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
bluepointbusiness@gmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=16672&sid=47CCA3E51CBA4C97827FD6ED210CA16E,BLUEPOINT BUSINESS SDN BHD,1638 JALAN BUKIT BELAH  13600 PULAU PINANG,,04 - 5079798,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
info@cliptec.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=14474&sid=CC916D810E283AFC5423CB1529049134,BIZCODE INTERNATIONAL (M) SDN BHD,"3, 5, & 7, LORONG PERDA TIMUR 2 BANDAR PERDA BKT MERTAJAM 14000 PULAU PINANG",,04 - 5399199,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
ghar@dosb.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=15554&sid=5711612E85B60989C28676C6DB4457AD,DEMAND OPTIONS SDN BHD,"6 & 8, JALAN MAHIR 5 KAW PERINDUSTRIAN DESA CEMERLANG ULU TIRAM 81800 JOHOR",,07 - 8637322,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
chkoo@camwell.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13964&sid=E88991AADF7974BFE03E9AAFDC906800,CAMWELL SDN BHD,"21, JALAN MUTIARA EMAS 5/25 TAMAN MOUNT AUSTIN JOHOR BAHRU 81100 JOHOR",,07 - 3519928,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
marcowong@cincaria.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=7235&sid=A414A1CA63A9DF65302AEA9E9D4491AA,CINCARIA SDN BHD,"BLOCK 2, WISMA BLUEMETAL 106 LINTANG KAMPUNG JAWA BAYAN LEPAS, PENANG 11900 PULAU PINANG",,04 - 2221222,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
its_2006@yahoo.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=86111&sid=D7D4D8CBC7057B624CEA8EA2736300A1,ITS EDUCATIONAL SUPPLIES SDN BHD,"E-G-5A , JALAN PJU 10/9C PRIMA DAMANSARA PETALING JAYA 47830 SELANGOR",,019 - 2182368,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
enquiry@viscomtech.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=14025&sid=CE44C79B8B5297E6CD302119A2B5B2E9,VISCON SYSTEMS SDN BHD,"26-1, JALAN 2/125F TAMAN DESA PETALING  57100 KUALA LUMPUR",,03 - 90575089,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
chk285@yahoo.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=70825&sid=D1889D424EF3C046950F9D8DC8233AD8,CHK E&H TRADING,"6, JALAN 4 TAMAN PERINDUSTRIAN EHSAN JAYA KEPONG 52100 KUALA LUMPUR",,03 - 62755618,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
krishnan@mems.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=80231&sid=6736DC5BBFC22C1DEB24634200CD282C,MEMSCOM TECHNOLOGY SDN BHD,"3, JALAN TIRAM 1 TAMAN PERINDUSTRIAN TIRAM ULU TIRAM 81800 JOHOR",,07 - 8637155,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
jordan_goh@chingyi.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=60923&sid=0AE18F78FF4EB58466AAC0C7172734B7,CHING YI TECHNOLOGY SDN BHD,"NO.6, LOT 996, BLOCK 12, SAMA JAYA FREE INDUSTRIAL ZONE, MUARA TABUAN, KUCHING 93450 SARAWAK",,082 - 366611,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
datar_admin@datarmach.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=7814&sid=5A7A2891ACCD266BA76AADD1AECF9452,DATAR MACHINING MANUFACTURES SDN BHD,"1-46, JALAN PERINDUSTRIAN 3 TAMAN PERINDUSTRIAN BKT BAKRI BKT BAKRI, MUAR 84200 JOHOR",,06 - 9864999,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
cheng8462@cectrade.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=74623&sid=E485A8CEB76BBFA8213BFB3BB2D2C0C3,CETRADE (M) SDN BHD,"23, LRG IKS JURU 7 TMN PERIND RINGAN JURU S.P.T 14100 PULAU PINANG",,04 - 5083733,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
cgmsdnbhd@gmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=58758&sid=444B93924F4967FFA863D595B8A59544,CONCRETE GOLD (M) SDN BHD,"NO. 6 JALAN TP 3/2, TAMAN PERINDUSTRIAN SIME UEP SUBANG JAYA 47620 SELANGOR",,03 - 55188666,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
norazlinadab@yahoo.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11598&sid=42DC0AC25AA89757DC9CEC426512F574,DAB MANUFACTURING SDN BHD,"2A, JALAN MJ13 TAMAN INDUSTRI MERANTI JAYA PUCHONG 47120 SELANGOR",,03 - 80666872,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
lytiew@compactdynamic.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=37354&sid=946877ACAE0B580D3029FBBDBDA348BC,COMPACT DYNAMIC SDN BHD,"102, JALAN ZAPIN 3A/KU5 BANDAR BKT RAJA KLANG 41050 SELANGOR",,03 - 33488468,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
cp@cpi.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=5236&sid=ADAFAC5C42B09664297B5EF4ABC0A49C,COMMERCIAL POLYMERS SDN BHD,"LOT 11, JALAN 7 KAW PERUSAHAAN CHERAS JAYA JALAN BALAKONG, CHERAS 43200 SELANGOR",,03 - 90768851,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
enquiry@delab.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=3674&sid=9DB6BB921842A003780640249E8DC54D,DELAB SCIENTIFIC SDN BHD,"22, JALAN TEMBAGA SD5/2D BANDAR SRI DAMANSARA  52200 KUALA LUMPUR",,03 - 62726506,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
bionurture@gmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=61026&sid=0B3C656CD9B819419979C463EA391798,BIONURTURE SDN BHD,"SUITE 8.01, LEVEL 8 MENARA BINJAI NO 2, JALAN BINJAI 50450 KUALA LUMPUR",,03 - 23867809,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
mrl.eng01@gmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=79244&sid=53716AD43A103B2D929AFA47B7836E9A,MRL ENGINEERING SDN BHD,"SUITE 3.10, INKUBATOR K-EKONOMI LINGKARAN MITC AYER KEROH 75450 MELAKA",,06 - 3176828,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
vivekaramoo@crestassemblies.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=7501&sid=8CC369D4D6B46284015D045948BB166D,CREST WORLDTRADE SDN BHD,"SRI SG NIBONG COMPLEX BLK 737-2-9, JALAN SULTAN AZLAN SHAH BAYAN LEPAS 11900 PULAU PINANG",,04 - 6460448,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
teikhoe.lim@corazasystems.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=6144&sid=47EB012FECD02CE0D4C9158E971AC6B4,CORAZA SYSTEMS MALAYSIA SDN BHD,"LOT 2777, LORONG INDUSTRI 5, KAWASAN INDUSTRI BUKIT PANCHOR, NIBONG TEBAL, 14300 PULAU PINANG",,04 - 5958888,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
sales@substation.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=14428&sid=E83036021544B72361F93D4343208BEF,DELTA SAMA JAYA SDN BHD,"23G & 23 M, DSSB BUILDING JALAN PERDANA 6/8 PANDAN PERDANA 55300 KUALA LUMPUR",,03 - 92866328,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
sales@asiapcb.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11434&sid=7EB6982347B352DCBE2794770570D111,ASIA PRINTED CIRCUIT SDN BHD,"203, JALAN TEMBUSU (INDUSTRIAL AREA), TAMAN MELAYU JAYA KAMPAR 31900 PERAK",,05 - 4665611,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
info@ppktechnology.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=3226&sid=E92061511992F54DBEBD2A1EDC249D6B,PPK TECHNOLOGY SDN BHD,"WISMA PPK LOT 2354, JALAN SUNGAI PUTAT BATU BERENDAM 75350 MELAKA",,06 - 3176828,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
andy_xinweihe@yahoo.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=8040&sid=D7990AADF03BA67F02A4060BC11805C3,XINWEIHE SDN BHD,"6513, JALAN AYAM DIDIK 3 KAWASAN PERUSAHAAN RINGAN TAMAN RIA JAYA, SG PETANI 08000 KEDAH",,04 - 4485585,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
info@wec.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12872&sid=155945BC7FAB88D921D8B0F279001E52,WONG ENGINEERING INDUSTRIES SDN BHD,"LOT 24, JALAN HI-TECH 4 KULIM HI-TECH PARK, PHASE 1 KULIM 09000 KEDAH",,04 - 4271788,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
sales@scrint.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=5085&sid=9318F0A9CC3EB202895EC8B85AB8CCAD,SCRINT TECHNOLOGY (M) SDN BHD,"11, JALAN PKNK 3/7 KAW PERUSAHAAN SG. PETANI SG. PETANI 08000 KEDAH",,04 - 4421232,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
sylee@htfr.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=43937&sid=97D7C1714B8ABE1193F31181BB5D4FE0,HI TECH FULL RECOVERY (M) SDN BHD,"LOT 4169, 14, LORONG PERUSAHAAN 3 KAWASAN INDUSTRI PADANG MEHA MUKIM PADANG MEHA, KULIM 09400 KEDAH",,04 - 4851251,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
sales@supercomnet.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13230&sid=09731CA245E8517B63254657A581082A,SUPERCOMNET TECHNOLOGIES BERHAD,"LOT 172, JALAN PKNK 3/8 KAW PERUSAHAAN SUNGAI PETANI SUNGAI PETANI 08000 KEDAH",,04 - 4411822,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
info@suburtek.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=51397&sid=8F3E1775B8313677D837679729D493C3,SUBUR TEKNOLOGI (M) SDN BHD,"73 1ST FLOOR, JALAN LEGENDA 1 LEGENDA HEIGHT SUNGAI PETANI 08000 KEDAH",,04 - 4237300,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
enquiry@mccis.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=88144&sid=D69C0D458BCE03B91CA54AB5986BD47E,MCC INDUSTRIAL SYSTEMS (M) SDN BHD,"36C, JALAN PB1 TAMAN PADANG BALANG BATU BERENDAM 75350 MELAKA",,06 - 3172988,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
calvinyau@cts-caliber.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=7176&sid=C9A7613DE62FB5B69FB9F6035B9643C9,CALIBER SOLUTIONS SDN BHD,"216, JALAN KRISTAL 1 TAMAN PERINDUSTRIAN RINGAN KRISTAL ALOR SETAR 05150 KEDAH",,04 - 7311675,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
tahir_hamdan@silterra.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=6318&sid=C26991CFF129F138F9FF3947DF8ED8F2,SILTERRA MALAYSIA SDN BHD,"LOT 8, PHASE 2 KULIM HI-TECH PARK KULIM 09000 KEDAH",,04 - 4015111,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
wyman@axistar.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=88423&sid=66FA66541E97F8D85EE05A809B42C0E7,AXISTAR TWECHNOLOGY SDN BHD,"L4-E-11, ENTERPRISE 4, TECHNOLOGY PARK MALAYSIA, LEBUHRAYA PUCHONG-SG. BESI BUKIT JALIL 57000 KUALA LUMPUR",,03 - 89963363,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
info@hanshing.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12562&sid=76C440BC25D13A09E7CF01DEFC975B36,HANSHING INDUSTRIES SDN BHD,"2615, TINGKAT PERUSAHAAN 3 KAW PERUSAHAAN PERAI PERAI 13600 PULAU PINANG",,04 - 3905228,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
yveslow@gpp.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=9702&sid=A3A3A3B02F905C705E92F998AAE61BE3,GOLDPAR PRECISION SDN BHD,"NO.2 JALAN PERSIARAN TEKNOLOGI TAMAN TEKNOLOGI JOHOR, SENAI 81400 JOHOR",,012 - 7090477,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
