CONAME,BIZADD,DATE_SCRAPED,HREF,EMAIL,TEL,FAILMSG
WING FOONG TCM SDN BHD,30 JALAN 2/116B KUCHAI ENTREPRENEUR JALAN KUCHAI LAMA 58200 KUALA LUMPUR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=99700&sid=705466AA8C19841FA2486DB673A38CCC,wingfoongtcm@gmail.com,03 - 79830913,
YAN MING PLANTATION SDN BHD,NO 3 JALAN CASSIA 3A TAMAN OMNI CASSIA KAMPUNG RAJA CAMERON HIGHLANDS 39010 PAHANG,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=99675&sid=CB71259A1D8A18FAF8A5FED366415B8D,yanmingplantation@gmail.com,05 - 4981208,
MY PRODUCTS (BENTONG) SDN BHD,NO P-14-1 & P-14-2 JALAN CHUI YIN  28700 PAHANG,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=99917&sid=F01AFB4411BFB61CD4E74D87F307C223,myproductsbtg@gmail.com,09 - 2232016,
HK KITARAN SDN BHD,"LOT 2945 (PLOT A2) JALAN SUNGAI BAONG KAWASAN PERINDUSTRIAN PERABUT SUNGAI BAONG MUKIM 5 ,SEBERANG PERAI SELATAN 14200 PULAU PINANG",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=54029&sid=ED5DCBA0C9951C722AD4DA8C3126482F,ooisj@henghuat.com.my,04 - 5825888,
NELSON'S FRANCHISE (M) SDN BHD,"7, JALAN PENYELENGGARA U1/77 TAMAN PERINDUSTRIAN BATU TIGA SHAH ALAM 40150 SELANGOR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11631&sid=E8975EA2DA2C6E47D7100CC1C687F11F,franchise@nelson.com.my,03 - 55128228,
KUBA JAYA FISHERY (M) SDN BHD,TB16206 LOT 146 PHASE 4A BANDAR SRI INDAH BATU 10 JALAN APAS TAWAU 91000 SABAH,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=92907&sid=7A1242E3EFA90D30E43F13C44BE088F1,kubajaya.fishery@gmail.com,089 - 770150,
INFRATECHNIC ENTERPRISE,65 JALAN PEGAGA U12/11 TAMAN DESA ALAM SHAH ALAM 40170 SELANGOR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=93649&sid=6B3B288AD831F382DC9FC2C0EE7FD3CA,branmills60@gmail.com,03 - 33423431,
LADANG SARI INTERNATIONAL SDN BHD,NO 23 & 23-1 JALAN BULAN BZ U5/BZ BANDAR PINGGIRAN SUBANG SEK U5 SHAH ALAM 40150 SELANGOR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=73828&sid=E12BC17CF5F069026F8630DEB55EE14B,info@rhymbahills.com,03 - 78596538,
BAYU GAGAH MARKETING (M) SDN BHD,SUITE 2.08 (8) 2ND FLOOR KHTP BUSINESS CENTRE 09000 KEDAH,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=94010&sid=D82A29EECD6DE747BC4740FBDB5F7DA0,bayugagah.info@gmail.com,019 - 4242652,
PERSEPSI PERTAMA SDN. BHD.,BLOCK 6-5-1 VSQ @ PJ CITY CENTRE JALAN UTARA PETALING JAYA 46200 SELANGOR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=98490&sid=F57F8BC1E01F7540AC5E036C76630930,farida.aman@persepsipertama.com,016 - 3322993,
READYGO TRADING,14 JALAN MUHIBBAH TAMAN MUHIBBAH SERI KEMBANGAN 43300 SELANGOR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=98482&sid=50D5ECD756DD9A48E39585D7C684BC4D,readygo.my@gmail.com,016 - 9028013,
IMPERIA ASIA RESOURCES,WISMA IMPERIA ASIA RESOURCES 24 JALAN KLANG SENTRAL 2/KU5 KLANG SENTRAL 41050 SELANGOR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=73849&sid=2443336F7F2259EBDCD4521CF8B00B52,roslandmd@yahoo.com,01 - 93169008,
NORIDAH BINTI HASSAN,6B-1-9 SRI BAIDURI APARTMENT JLN BKT INDAH HUJUNG TMN BKT INDAH AMPANG 68000 SELANGOR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=98501&sid=02546C3CCFD688B5D8C2A3B98F75CEAC,norihas123@gmail.com,012 - 3934211,
KIA SHING IMPORTERS AND EXPORTERS SDN BHD,"KS82 , JALAN KG KANGKAR SENANGAR PARIT SULONG BATU PAHAT 83500 JOHOR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=61420&sid=1BA2DBC60B5D0D3DD67160F555451564,kiashing2862@yahoo.com,07 - 4188682,
TECHNO FRESH AGRO-PRODUCE SDN BHD,LOT 9155 JALAN BESAR TELOK GONG PORT KLANG 42000 SELANGOR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=98590&sid=6C0C58179E12C3C72056512F48F049D8,teeliangkwok@techno-fresh.com,03 - 31343667,
AGATE GROUP (MALAYSIA) SDN BHD,16 FLOOR MENARA SAFUAN NO 80 JALAN AMPANG  50450 KUALA LUMPUR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10868&sid=E6A7F45FD1155A16A01327D836C17BF1,nsxpower@gmail.com,012 - 2800000,
QSR TRADING SDN BHD,1 JALAN PELUKIS U1/46A TEMASYA GLENMARIE SHAH ALAM 40150 SELANGOR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=69226&sid=8EC79248407135711D8AD0A45E24A68D,sweekheng.chan@qsrbrands.com.my,03 - 55697795,
DULCE TRADE SDN BHD,NO 23 JALAN KELULI AL 7/AL SEKSYEN 7 SHAH ALAM 40000 SELANGOR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=96174&sid=BADD503D383445C8394218F8C99361B7,sales@dulce.com.my,03 - 33626008,
ZN AGRO FARM & SERVICES,MS65 KOMPLEKS KERAMAT MALL LOWER GROUND JALAN DATUK KERAMAT 54000 KUALA LUMPUR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=98587&sid=89FF9EB7C6F9B7B1E795D2C63DFBC741,zn.agrofarm@gmail.com,012 - 9227290,
SUNRICH BIOTECH SDN BHD,2236 JALAN CALEDONIA KG LADANG KALIDONIA NIBONG TEBAL 14300 PULAU PINANG,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=87507&sid=6A400095B9C1001353CB2A3C8CB0E8F8,sunrichbiotech2014@gmail.com,04 - 5935737,
ONECHILDS SEAFOOD COLDSTORAGE TRADING,NO 10 JALAN EMPAT BAGAN SUNGAI BESAR  45300 SELANGOR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=97146&sid=2B09CDC74D4EB6D016A01E1D419EA2D0,mingshaoChia_999@hotmail.com,013 - 3388939,
GUAN LIP SHENG ENTERPRISE,71 KAMPUNG CINA KUALA KEDAH  06600 KEDAH,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=97242&sid=717D2CDF87BC4FD45D1DB6061E518E10,merrickhua@hotmail.com,017 - 5860001,
ZAIYADAL AQUACULTURE SDN BHD,SUITE 5.02A MERCU PICORP LOT 10 JALAN ASTAKA U8/84 BUKIT JELUTONG SHAH ALAM 40150 SELANGOR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=97159&sid=D40D3BC158E5299A73764E67483D8685,zainahzaid@gmail.com,03 - 78456566,
BERINDA MAJU SDN BHD,"C404 3RD FLOOR BLOCK C GLOMAC BUSINESS CENTRE JALAN SS 6/1, PETALING JAYA 47301 SELANGOR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=97414&sid=BC9965F193680A3BDACC939AAFBC6DEF,berinda.maju@yahoo.com,03 - 78040291,
NAM SENG FOOD INDUSTRIES SDN BHD,"136, JALAN ARUMUGAM PILLAI BKT MERTAJAM  14000 PULAU PINANG",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=9427&sid=11C6340FEF3A55151A10CAB7599CC42E,namseng@namseng.com,04 - 5518888,
LEONG HUP (G.P.S) FARM SDN BHD,"2ND FLOOR WISMA WESTCOURT 126, JALAN KELANG LAMA 58000 KUALA LUMPUR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=8551&sid=C8DCCC6A54A65985843F685E2811C878,leeliongchin@lhhb.com,03 - 79803026,
BUKIT MERAH AROWANA FARM SDN BHD,24A JALAN MKJ/2 MEDAN KAMUNTING JAYA KAMUNTING 34600 PERAK,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=40868&sid=8AF3B27B204A715886FEEEFB82427C96,isaacyap@hotmail.com,05 - 8903333,
AGROVERY SDN BHD,"164, JALAN IMPIAN NURI 7 TAMAN IMPIAN JAYA GEMENCHEH 73200 NEGERI SEMBILAN",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=82476&sid=F72E0BA160E46FA6F9E50399129E702A,patrick@agrovery.com,06 - 4314700,
A ONE PLANTATION SDN. BHD.,1 JALAN FOO SHIN KAI VICTORIA PARK IPOH 30250 PERAK,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=93658&sid=189E4DE354216156DEBE1B0F71313FAE,yvcysoo@gmail.com,012 - 5256223,
PREMIER MUSHROOM CULTURE & PROCESSING SDN BHD,LOT 316 PASIR TUNTUNG API-API BUKIT ROTAN 45700 SELANGOR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=88506&sid=F726340167F96B284CB3230F8FEE0B06,edwinpbm@gmail.com,03 - 32648080,
ASMA AGRO (M) SDN BHD,"B-21-1A, JALAN PRIMA SAUJANA 2A, PRIMA SAUJANA KAJANG 43000 SELANGOR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=41218&sid=18D4C94A9FA35AC6543B8056C5F11291,marketing@asmaagro.com,03 - 87402701,
GOLD CHAIN TRADING,11A JALAN NILAM BAGAN AJAM BUTTERWORTH  13000 PULAU PINANG,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=93639&sid=80872EE545E32186B4C2F63616790354,goldchain88@gmail.com,12 - 4788038,
GOLDEN AGE ONE STOP CENTRE SDN BHD,"SUITE 729 7TH FLOOR SUN KOMPLEKS, JALAN BUKIT BINTANG 55100 KUALA LUMPUR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=76211&sid=908BB918DF550A416D45FFA6D13947EC,charlie_ng_nzh@qq.com,03 - 21422615,
GREENHERBS RESOURCES SDN BHD,LOT 3 JALAN RP BATU 17 JALAN IPOH 48000 SELANGOR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=93805&sid=A9B008CD4775FD38E58ED0B72A8C8801,greenherbs.r@gmail.com,03 - 60926020,
7 STARS AGRICULTURAL SDN BHD,NO 5 2ND FLOOR JALAN INDAH 2/7 TAMAN INDAH BATU 11 CHERAS 43200 SELANGOR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=94247&sid=916AB047B4496FBFCDDBC35EAACFCC46,sevenstars7069@yahoo.com,03 - 90767069,
TOP LINE FROZEN FOOD SDN BHD,"27, JALAN NANGKA 4 TAMAN RUMPUN BAHAGIA PRINGGIT BACHANG 75300 MELAKA",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10056&sid=C64AE583A207BE8B975A6013B335B18F,topline5883@gmail.com,06 - 3363885,
GLOBAL FOOD RESOURCES,72 JALAN BELIAN KEPONG BARU  52100 KUALA LUMPUR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=94388&sid=A5C09F9BFBD79688726AECC8FE1DF1EC,global.malaysia@yahoo.com,03 - 62620600,
ABLERU EXPORTS (M) SDN BHD,60 JALAN 34/38 A TAMAN SRI BINTANG KEPONG BARU 52100 KUALA LUMPUR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=94321&sid=C32F42F3088EB2AC1F1C5E80057E194F,ableruexports@gmail.com,03 - 62616846,
G GLOBE VENTURES (M) SDN BHD,SUITE 04-05 4TH FLOOR WISMA TAN KIM SAN JALAN SULTAN AZLAN SHAH (JALAN IPOH) 52100 KUALA LUMPUR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=94483&sid=566E86B86378FBFFDF9A8A7B0658875D,goldenglobemsia@gmail.com,03 - 40512789,
CAFFE BENE MALAYSIA SDN BHD,LOT 7 LORONG TEKNOLOGI 3/4A NOUVELLE INDUSTRIAL PARK 2 TAMAN SAINS SELANGOR 1 47810 SELANGOR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=93612&sid=BBAFBFF7E40022873C132B5A053712E1,info@caffebene.com.my,03 - 61435333,
DIAMONDNEXT TECHNOLOGY SDN BHD,E-1-3 PUSAT PERDAGANGAN KUCHAI NO 2 JALAN 1/127 OFF JALAN KUCHAI LAMA 58200 KUALA LUMPUR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=94616&sid=F26E1067ECA7995F77EFF9FDDF3DDAF0,kschan@diamondnext.com.my,3 - 79716133,
MING FENG MARKETING (M) SDN BHD,NO 2 FIRST FLOOR JALAN SEMENYIH KAJANG 43000 SELANGOR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=94615&sid=0316A9BE1EE47B77C4C400B7BE13CD02,bailengyen@gmail.com,018 - 9897800,
KEN MICROBES BIOTECH SDN BHD,LOT 52808 JLN SG CHANDONG 13 BDR ARMADA PUTRA PULAU INDAH 42920 SELANGOR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=94676&sid=C4C8A5613F264F3FA3D1732BAD1CF779,kenmicrobes@gmail.com,03 - 31013950,
FUTURE PAGE,NO 42-1 LALUAN KLEBANG RESTU 2 MEDAN KLEBANG RESTU CHEMOR 31200 PERAK,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=93987&sid=2B8F844870D8050E53A7C3273DB83BB3,futurepage88@gmail.com,016 - 5477796,
SWALLOWS HOUSE ENTERPRISE,NO 698D 1ST FLOOR TABUAN SQUARE COMMERCIAL CENTRE LORONG KERANJI 4F JALAN KERANJI KUCHING 93350 SARAWAK,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=95006&sid=5747F524FCD0F616C516A9D0F7BD2C39,swallowshouse@yahoo.com,082 - 368668,
MIG GREEN RESOURCES SDN BHD,25 A-3 BLOCK E1 DATARAN PRIMA JALAN PJU 1/42 PETALING JAYA 47301 SELANGOR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=94827&sid=C4EA02C53AAB80DB03F550593E883B30,mfaridz@gmail.com,03 - 78046244,
JT GREEN GOOD TRADING,"NO. 17, LORONG SULTAN MOHAMED 25D/KU18, TAMAN PERINDUSTRIAN BANDAR SULTAN SULEIMAN, PELABUHAN KLANG 42000 SELANGOR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=95051&sid=B1F8A0CE277A6A2B2307D799D9715766,june.jtmgm@gmail.com,016 - 2200743,
RICH INTERNATIONAL SDN BHD,"NO. 34, JALAN MEGA 2A TAMAN INDUSTRI MEGA SEMENYIH 43500 SELANGOR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=63620&sid=942A190F89ECDFF34F73CF5C4A5DDFA8,rich1888999@gmail.com,03 - 87238969,
KA SIN SUCCESS (M) SDN. BHD.,NO 22A LORONG BUKIT CHINA  75100 MELAKA,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=95000&sid=E373B09D48C32F1F9CFF460D13110D06,kasinsuccessm@hotmail.com,06 - 2839993,
DRS TRADING SDN BHD,NO 203A JALAN 7 TAMAN KAJANG JAYA SELANGOR 43000 SELANGOR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=64154&sid=7EAC7C3415BC17D4B3888F5558A76198,info@drstrading.com.my,03 - 87360867,
KTT PRODUCT PROCESSING SDN BHD,3 PERSIARAN PERINDUSTRIAN KANTHAN 2 KAW PERINDUSTRIAN KANTHAN CHEMOR 31200 PERAK,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=68996&sid=9714B6B1644D0252555DA36375C24786,nelsons@unifi.my,03 - 2017313,
GROW PROJECT WORKS,103 JALAN 4 TAMAN SEKAMAT KAJANG 43000 SELANGOR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=95827&sid=FD66647C9AB7E638FE7CED1CEC2478A9,growprojectindustries@gmail.com,012 - 6850993,
SITELINK (M) SDN BHD,NO 3B TINGKAT 2 BLOK 1 WORLDWIDE BUSINESS PARK JALAN 13/50 SEKSYEN 13 40100 SELANGOR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=95809&sid=2AE3A09709E952A7AC8E585957DABFEF,sitelink.la@gmail.com,03 - 55118611,
NESPURE HOLDINGS SDN BHD,"247-C, JALAN PCB KG. CINA KOTA BHARU 15350 KELANTAN",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=33521&sid=E98432C7985C4C34095E52CA9D70276F,info@nespure.com,09 - 7418599,
MALAYA BEST FOODS SDN BHD,NO 22 & 22A JALAN RAMIN 2/KS7 BANDAR BOTANIC KLANG 41200 SELANGOR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=96028&sid=01931C4BEFAEDA95D124E1B62CAFBDA5,malayabestfoods@yahoo.com.my,016 - 9783998,
AATHAWORLD SDN BHD,2 JALAN 1/38H TAMAN SRI BINTANG 52100 KUALA LUMPUR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=96132&sid=388DDE32939D7B0CA11D0751A99AA12B,info@aathaworld.com,013 - 2873218,
JC SYNERGY TRADING,"15A, BANGUNAN SULTAN JALAN BANGSAR  59200 KUALA LUMPUR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=33362&sid=40BF2F3B9C20C93B592D9083BB7CE7E9,hardeenjc1@yahoo.com,03 - 22822402,
NASADEV ENTEREPRISE,"118, GROUND FLOOR JALAN TUN SAMBANTHAN BRICKFIELDS 50470 KUALA LUMPUR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=95483&sid=784AF1F5579433DC6B268CF13EDE87FB,nasedevimex@gmail.com,016 - 2197222,
SAZIN HEALTHCARE AND ENTERPRISE,NO 21 JALAN KF 1 KOTA FESYEN MITC HANG TUAH JAYA 75450 MELAKA,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=97794&sid=E68E8EB5A92C1F6379998AE6DB50866D,sazinmy@gmail.com,016 - 3234356,
STIMULUS NATURE RESOURCES SDN BHD,"NO. 7, JALAN PALAM 34/18A, TAMAN PERINDUSTRIAN PAK CHUN, SEKSYEN 34, SHAH ALAM 40470 SELANGOR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=75937&sid=8B454EF3E78287BF346F2F3FF478ED8F,enquiries@stixfresh.com,03 - 51671694,
PT SWIFT MARKETING SDN BHD,"12,12A,16&18 JALAN PUTERI 1/8,BANDAR PUTERI PUCHONG 47100 SELANGOR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=58042&sid=92542804DCE3935426898C69DA8EF24A,ptswiftmarketing@gmail.com,03 - 80519833,
MYBIOMASS SDN. BHD.,C-06-10 LEVEL 6 ITECH TOWER JALAN IMPACT CYBER 6 CYBERJAYA 63000 SELANGOR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=98352&sid=50DE6A5025B3D5BA379A821701567F3E,arnie@mybiomass.com.my,03 - 83224466,
ZUHUD MAJU ENTERPRISE,NO.1/1088A JALAN KEMAMAN KAMPUNG ALOR LADANG KUANTAN 26100 PAHANG,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=98421&sid=FEDE076B3720A0C9E125EDA7A2A688CE,zuhudmaju@yahoo.com,019 - 9807631,
LCP SUPPLIES (M) SDN BHD,NO 10 JALAN TPP 5 TAMAN PERINDUSTRIAN PUTRA PUCHONG 47130 SELANGOR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=96131&sid=491C50ADF4454791F9D451E9F71E19E0,saidatul@lcps.com.my,03 - 80668587,
JC LAKSAMANA TRADING,15A JALAN BANGSAR   59100 KUALA LUMPUR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=96177&sid=4BAD54C92801AABADF7C9CE55A552B1F,hardeenjc1@yahoo.com,03 - 22088786,
ZHONGMA QIAOGANG INTERNATIONAL TRADING (M) SDN.BHD.,35 JALAN BU 3/2 BANDAR UTAMA PETALING JAYA 47800 SELANGOR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=96459&sid=96513703E4EED910594709E46F0E6A74,pnwongtan@gmail.com,03 - 77315817,
GREEN ORGANIC MANUFACTURERS SDN BHD,24G JALAN MARIKH SUBANG CB U5/CB KAWASAN PERINDUSTRIAN SUBANG KRISTAL 40150 SELANGOR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=94950&sid=67582803B8B521ED196F347AC8544AA2,tie@greenorganicmfc.com,03 - 78321266,
AQINA PINEAPPLE SDN BHD,"92A, JALAN UTAMA 3 TAMAN UTAMA PEKAN NANAS 81500 JOHOR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=41117&sid=F6243A204A2166AE1A2D4970229BF839,chewyee@aqina.com,07 - 6995795,
DG GLOBAL ENTERPRISE,"SUITE B-05-08, PLAZA MONT KIARA, MONT KIARA  50480 KUALA LUMPUR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=6511&sid=7598A9F24796B80E63D56090A3BB57C3,dg_global2004@yahoo.com,03 - 27262782,
AQINA HOLDINGS SDN BHD,"92A, JALAN UTAMA 3 TAMAN UTAMA PEKAN NENAS, PONTION 81500 JOHOR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=56819&sid=6F38430BE4DCCF68AA9DB23760DE75C2,syikin@aqina.com,07 - 6995795,
