HREF,DATE_SCRAPED,EMAIL,CONAME,BIZADD,FAILMSG,TEL
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=14078&sid=69ECB505F3A2E5C4F09AE815B7E50BF1,'2017-08-02,chris@engjoo.com,ENG JOO PRECISION PLASTIC SDN BHD,"82, JALAN IDAMAN 1/3 TAMAN INDUSTRI SENAI SENAI 81400 JOHOR",,07 - 5991866
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13605&sid=8787A4A0B806DB00E4CBB53D6FD74712,'2017-08-02,weidasarkc@weidasar.com.my,WEIDASAR SDN BHD,"LOT 8729, 126-B, 1ST FLOOR, GREEN HEIGHTS COMMERCIAL CENTRE JALAN LAPANGAN TERBANG KUCHING 93250 SARAWAK",,082 - 450910
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=34885&sid=B20D45A885A4E9918221B7F8FF8F12C9,'2017-08-02,sunsoonyik@gmail.com,SUN SOON YIK RECYCLE PLASTIC & METAL SDN BHD,"LOT 137249 & 137250 HALA PERUSAHAAN MENGLEMBU 16 MENGLEMBU, IPOH 31450 PERAK",,05 - 2829321
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11092&sid=1E4B01C10F5FFF8C73AC7904BEDB1294,'2017-08-02,tako@tm.net.my,TAKO ASTATIC TECHNOLOGY SDN BHD,"15, JLN KESUMA 2/2 BANDAR TASIK KESUMA BERANANG 43700 SELANGOR",,03 - 87238843
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11855&sid=5ECA5417F7ACAC675E2929913CB28396,'2017-08-02,stellar@stellarfilms.com.my,STELLAR FILMS (MALAYSIA) SDN BHD,"LOT 10,  JALAN SULTAN MUHAMED 4 KAW SELAT KLANG UTARA PELABUHAN KLANG 42000 SELANGOR",,03 - 31763419
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=6448&sid=074C828C2DD50942697EBFBBEAA63A81,'2017-08-02,sapmsb@gmail.com,SEGAMAT AGRICULTURAL PRODUCTS (M) SDN BHD,PLO 158 JALAN GENUANG SEGAMAT 85000 JOHOR,,07 - 9433118
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=34397&sid=BE05E6F3110A31EC7A4D70AEA4597108,'2017-08-02,chunhoong@silverpoly.com,SILVER POLY SDN BHD,"10-1, JLN JASMIN 8 BANDAR BOTANIC KLANG 41200 SELANGOR",,03 - 33231168
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=67123&sid=EF962863A799E1D182A0521A17C02EA6,'2017-08-02,eptew@consistentesb.com,CONSISTENT ENGINEERING SDN BHD,"7, JALAN DESA TROPIKA 1/3 TAMAN PERINDUSTRIAN TROPIKA ULU TIRAM, JOHOR BAHRU 81800 JOHOR",,07 - 8633341
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=34564&sid=A4E81AB98476F1B5F795F199FDEBF60E,'2017-08-02,seynetee@gmail.com,MEDIACE SDN BHD,"174, JALAN 5 KAW PERINDUSTRIAN OLAK LEMPIT BANTING 42700 SELANGOR",,03 - 31493881
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=15504&sid=A84D6B4D7D9C850F7101A89FDA9ABBC9,'2017-08-02,jintye@streamyx.com,JINTYE CORPORATION SDN BHD,"6,8,10 JALAN PALA 14, KAW PERINDUSTRIAN PERMATANG TINGGI BKT MERTAJAM 14100 PULAU PINANG",,04 - 5873571
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=3166&sid=AEE67383D2214FB6D8312A87E3821972,'2017-08-02,info@aritaplastic.com,ARITA PLASTICS INDUSTRIES (M) SDN BHD,"1073, MK 6, LORONG PERUSAHAAN MAJU 2 PRAI INDUSTRIAL ESTATE, PHASE 4 PRAI 13600 PULAU PINANG",,04 - 5078688
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=64972&sid=47F7CB43F77EE0678F6BE434A64B299D,'2017-08-02,andytiow@wansern.com,WANSERN TECHNOLOGY SDN BHD,"LOT 1807, BUKIT BELIMBING JLN BALAKONG SERI KEMBANGAN 43300 SELANGOR",,03 - 89614889
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=62342&sid=4133A91891EFF5219BBD5C03D0DC9CDC,'2017-08-02,km.tan@hoshenlee.com,TNL PLASTIC TRADING SDN BHD,"16101, JALAN NILAI 3/16 KAW PERINDUSTRIAN NILAI 3 NILAI 71800 NEGERI SEMBILAN",,06 - 7995135
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10612&sid=BE856460CF86786D0E57A24BE503C75D,'2017-08-02,enquiry@yesdynamic.com.my,YES DYNAMIC SDN BHD,"PLOT 182, JLN INDUSTRI 3/7 RAWANG INTEGRATED INDUSTRIAL PARK RAWANG 52100 SELANGOR",,03 - 60922163
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=15266&sid=EF6D9A1A55B950B1AC2A07850D97F6A4,'2017-08-02,sales@snasb.com,SYARIKAT NAM AH SDN BHD,"LOT 69, JALAN PORTLAND TASEK INDUSTRIAL ESTATE IPOH 31400 PERAK",,05 - 2919961
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=60449&sid=4579D30E4FE6C3E7E35D44FC172B8959,'2017-08-02,plainexus@gmail.com,PLAINEXUS RESEARCH LABORATORIES SDN BHD,"18, TINGKAT PERUSAHAAN UTAMA 1 TMN PERINDUSTRIAN BUKIT TENGAH BUKIT MERTAJAM 14000 PULAU PINANG",,04 - 5070028
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=8735&sid=B641239D57B70232031C8DA10A67E671,'2017-08-02,enquiries@mrpi.com.my,MRPI PIPES SDN BHD,"LOT 5, JALAN PERUSAHAAN 2, KAWASAN PERINDUSTRIAN BUKIT RAJA KLANG 41050 SELANGOR",,03 - 33430407
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=38416&sid=1CBA716E239BC91F355475AFDA2C7213,'2017-08-02,tessa@mtplas.com,MT-PLAS (M) SDN BHD,"50, JLN SELAT SELATAN 2 LANDPAC LIGHT INDUSTRIAL, OFF JALAN BANTING PANDAMARAN, PORT KLANG 42000 SELANGOR",,03 - 31655494
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11844&sid=195F24E8738940B4B533CBB33FC7E494,'2017-08-02,angela@logomas.com,LOGOMAS PACKAGING SDN BHD,"LOT 15796,BLOK C,BATU 6, JALAN KEBUN, SEKSYEN 32, SHAH ALAM 40460 SELANGOR",,03 - 51627990
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=15510&sid=DCC8E0AD92E3AFCB4D39D556269817D7,'2017-08-02,hmpisb@gmail.com,MUNHUA MOULDS & PLASTIC INDUSTRIES SDN BHD,"4 & 6, JALAN 35, KAW 16 SG RASA INDUSTRIAL AREA KLANG 41300 SELANGOR",,03 - 33424115
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=56588&sid=6CF6C5D80FF199793E324C427E80E686,'2017-08-02,info@the-ark.com.my,DESIGN ARK SDN BHD,"108, LEBUH MELAKA GEORGETOWN  10400 PULAU PINANG",,04 - 2292600
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=41398&sid=9EBF8511B4A207B80671B02A9A64D7C7,'2017-08-02,ccng@jadychem.net,JADY CHEMICALS SDN BHD,"11A-2, JLN USJ 10/1F UEP SUBANG JAYA  47620 SELANGOR",,03 - 56313913
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=65060&sid=C93D46D123830732F19AA711754E89DD,'2017-08-02,greenkayangan@gmail.com,GREEN ECOPOLYMER SDN BHD,37G JALAN PAHAT H 15/H DATARAN OTOMOBIL SECTION 15 40200 SELANGOR,,03 - 55234218
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=63659&sid=857DF17805F4C6FDED989F7140003EDF,'2017-08-02,peyching.wong@emico.com.my,CENTURY PLAS INDUSTRY SDN BHD,88-02-49 LINTANG SUNGAI PINANG  10150 PULAU PINANG,,04 - 6427745
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=14710&sid=12D1E0D402DFF9D9B2737AAAF6278648,'2017-08-02,chuanta@tm.net.my,CHUAN TA RESOURCES SDN BHD,"2706, TINGKAT SELAMAT 12 KG SELAMAT TASEK GELUGOR S.P.U 13300 PULAU PINANG",,04 - 5737684
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12876&sid=4045BE5B2812173009E8E5E57E2A24FA,'2017-08-02,sales@itwmeritex.com.my,ITW MERITEX SDN BHD,"57-1, PERSIARAN BAYAN INDAH BAYAN BAY, SG NIBONG  11900 PULAU PINANG",,04 - 6433311
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=33620&sid=199E804915F204FAFBAAD147ED6974D2,'2017-08-02,theanyat@gmail.com,IPOH S.Y. RECYCLE PLASTIC SDN BHD,"PT5992, OFF PERSIARAN BG. PERDANA 10 PERINDUSTRIAN BT GAJAH PERDANA PUSING 31550 PERAK",,05 - 3633668
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=39269&sid=7EC19FCB196F8D7237650A5C43E3C7A5,'2017-08-02,chitra@beq.com.my,BIOGREEN EQUATION (M) SDN BHD,LOT NO. 7441 JLN ARANG PANDAMARAN PORTKLANG 42000 SELANGOR,,03 - 31650225
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12835&sid=54F243AE7F9D61E4DE985B67D6093D3B,'2017-08-02,marketing@duniapolymer.com.my,DUNIA POLYMER EXTRUSION SDN BHD,"PT 14259, 4, JALAN PERUSAHAAN 25 KAW 11, JALAN BANTING PANDAMARAN PORT KLANG 42000 SELANGOR",,03 - 31663610
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=69809&sid=9BAC1E1EAFD6200FDC0E8B99BF7D3A95,'2017-08-02,vein87@yahoo.com,KESAN KENANGAN SDN BHD,"40, JALAN SUNGAI KERAMAT 1A SRI MEWAH LIGHT INDUSTRIAL FACTORY OFF BT 5, JLN KAPAR, KLANG 42100 SELANGOR",,03 - 32911666
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=71738&sid=72E7398D390713F42981A7A03F029619,'2017-08-02,mmmach8@gmail.com,M.M.MACHINERY AND AUTO-PART SDN BHD,16 JALAN BP 5/3 PERINDUSTRIAN BANDAR BUKIT PUCHONG SELANGOR DARUL EHSAN 47100 SELANGOR,,03 - 80624398
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=65854&sid=DEFB8EB3C586FB6E0022468C242156B1,'2017-08-02,panglima.intan@gmail.com,PANGLIMA INTAN HYGIENE PRODUCTS SDN BHD,"3, JALAN MARIKH U5/175 BANDAR PINGGIRAN SUBANG, SECTION U5 SHAH ALAM 40150 SELANGOR",,03 - 78454887
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=2559&sid=EA10E5C76C2CD11333D06CC5AB3C1A2D,'2017-08-02,info@johstar.com,JOHSTAR THE PLASTIC MAN (M) SDN BHD,"26, JALAN BKT 2 KAWASAN  MIEL,  BANDAR BARU SERI ALAM MASAI 81750 JOHOR",,07 - 3881118
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=69811&sid=B478E194768A82F16CCC899B549F5E76,'2017-08-02,meeleeg@hotmail.com,EONSARN INDUSTRY SDN BHD,"12, JALAN SUNGAI KERAMAT 1A SRI MEWAH LIGHT INDUSTRAL FACTORY OFF BT 5, JALAN KAPAR, KLANG 42100 SELANGOR",,03 - 32911531
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=72181&sid=7DF7A04355DEE335B4A3E938DB654CE5,'2017-08-02,admin@plasgard.com,PLASGARD SDN BHD,"22A, JALAN SUNGAI JELUH 32/189 BUKIT NAGA, SECTION 32 SHAH ALAM 40460 SELANGOR",,016 - 2211009
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=5926&sid=69BA4A2A32218C119F9760FB782A78A6,'2017-08-02,jebplus@jebco.com.my,JEBPLUS SDN BHD,"LOT 1569, JLN KUSTA KAW PERINDUSTRIAN KG JAYA SUNGAI BULOH 47000 SELANGOR",,03 - 61578282
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=70043&sid=2BAFDDD5980FA5430BCDEA6C12FE1CE0,'2017-08-02,lester@m3tech.com.my,M3 ASIA SDN BHD,"UNIT 809, BLOCK B PUSAT DAGANGAN PHILEO DAMANSARA 2 JALAN 16/11, PETALING JAYA 46350 SELANGOR",,03 - 79548101
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13216&sid=175CB5A6A02C45E3C480DAFC3669089F,'2017-08-02,felixho@gt-max.com.my,GT-MAX PLASTIC INDUSTRIES (M) SDN BHD,"LOT 4971, JALAN TERATAI KU/08 KAW PERINDUSTRIAN MERU TIMUR, 5 1/2 MILES OFF JALAN MERU, KLANG 41050 SELANGOR",,03 - 33926868
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13551&sid=EE574BD6B40E6F942A18B68119D8DBBD,'2017-08-02,stewart@wesglow.com,WESGLOW INDUSTRIES SDN BHD,"39 & 41, JALAN INDUSTRI 1/13 TAMAN PERINDUSTRIAN USJ 1 SUBANG JAYA 47600 SELANGOR",,03 - 80231380
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=9799&sid=8A92A8A0A360407F3176B41CC8B8E66D,'2017-08-02,crystalangel@live.com.my,DELUXE PRODUCTS TRADING,"90, JALAN KEDAH   10050 PULAU PINANG",,04 - 2298737
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=5450&sid=0E41355B64DA7C440070B99A80F63098,'2017-08-02,th_tan@guppyplasticpg.com.my,GUPPY PLASTIC INDUSTRIES SDN BHD,"PLOT 83, 1537, LORONG PERUSAHAAN UTAMA 3 KAWASAN PERUSAHAAN BUKIT TENGAH  14000 PULAU PINANG",,04 - 5032821
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=70188&sid=04E8F5FB049842121FCF77828F22234E,'2017-08-02,otaki@kys.com.sg,KYOTECH (M) SDN BHD,1 JALAN TAMPOI 2/1  81200 JOHOR,,07 - 2350121
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10512&sid=369D7AA4A78A50DDC3BABC8071E86368,'2017-08-02,kelvinlim@yahoo.com,SUNNY PACKAGING INDUSTRIES SDN BHD,"66, 68 & 70, JALAN PERDAGANGAN 16 TAMAN UNIVERSITI INDUSTRIAL PARK SKUDAI 81300 JOHOR",,07 - 5205320
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=9286&sid=E1F63F5E5D7D204271A116BF128D4DFD,'2017-08-02,khin@dsp.com.my,DSP (M) SDN BHD,"LOT 17, JALAN SULTAN MOHAMED 3 KAWASAN PERINDUSTRIAN BANDAR SULTAN SULAIMAN PORT KLANG 42000 SELANGOR",,03 - 31763232
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11778&sid=1541927E9EF46D54D0DF1350AA3BEC50,'2017-08-02,christine@iretex.com.my,IRE-TEX (MALAYSIA) SDN BHD,"PLOT 118, JALAN PERUSAHAAN BKT TENGAH INDUSTRIAL PARK BKT MERTAJAM 14000 PULAU PINANG",,04 - 5022752
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=57129&sid=0163C141047160A2D00ED6756C47D1BF,'2017-08-02,ngooileng34@yahoo.com,INDAHPACK(PK) SDN BHD,"1, LALUAN KILANG JELAPANG INDUSTRIAL ESTATE IPOH 30100 PERAK",,05 - 5262133
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=34534&sid=7C08ADB5A1B44C821926A9B4486E39E2,'2017-08-02,sales@kobe.com.my,KOBE PLASTIC INDUSTRIES SDN BHD,"17, JALAN KPK 1/3 KAW PERINDUSTRIAN KUNDANG, KUNDANG JAYA RAWANG 48020 SELANGOR",,03 - 60342699
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=37325&sid=46C8BAEFD3B172C538D09F2DA9A37BC0,'2017-08-02,info@plastec.com.my,PLAS-TEC INDUSTRIES SDN BHD,LOT 950 JLN JALONG SG SIPUT (U)  31100 PERAK,,05 - 5986014
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=43077&sid=FE776550012A0C6416D04757EDE19CA6,'2017-08-02,drlinglp@gmail.com,TT BIOTECHNOLOGIES SDN BHD,"PLOT 104, HILIR SUNGAI KELUANG 5 BAYAN LEPAS FIZ 4 PENANG 11900 PULAU PINANG",,04 - 6456294
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=43456&sid=3BBB8083785EEDDE1574FA263188D69A,'2017-08-02,malaysia.pmi@gmail.com,PMI PNEUMATIC (M) SDN BHD,"24, JLN BAGAN NIRA 26/8 HICOM INDUSTRIAL ESTATE SECTION 26, SHAH ALAM 40000 SELANGOR",,03 - 51918055
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=14418&sid=411EE08F5DA60699E5BDB9285C62B33C,'2017-08-02,ys_poly@yahoo.com,Y S POLYCARBONATE SDN BHD,"35 & 37, JALAN UTAMA 1/13 TAMAN PERINDUSTRIAN PUCHONG UTAMA, SECTION 1 PUCHONG 47100 SELANGOR",,03 - 80619299
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=8077&sid=3BE602C75C4EFD1A5E87A47222EEDAC8,'2017-08-02,natty77@streamyx.com,NATTY TEAM CORPORATION (M) SDN BHD,"15,JLN  ANGGERIK MOKARA 31/59 KOTA KEMUNING SHAH ALAM 40460 SELANGOR",,03 - 51227797
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=36814&sid=4CDD8C7871A49B72C9FBDE9647CF8E43,'2017-08-02,klpp_pack@yahoo.com,KL-PP PACKAGING SDN BHD,"LOT NO.513, JLN PERUSAHAAN 3 BANDAR BARU SG BULOH SG BULOH 47000 SELANGOR",,012 - 3245835
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=46647&sid=81C2CE8B49EAC9AFF151DF8AE4ECFD65,'2017-08-02,khkoh@mme-co.com,MODERN MATERIAL ENTERPRISES (M) SDN BHD,"3, LRG P/1B, SECTION 13 BANGI INDUSTRIAL ESTATE BANDAR BARU BANGI 43650 SELANGOR",,03 - 89261048
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=32179&sid=E7A16127549835AD665451D6B1302154,'2017-08-02,yjkhoo@huiyepm.com,HUIYE POLYMER (M) SDN BHD,"PLO 80, JLN CYBER 5 SENAI INDUSTRIAL PARK III SENAI 81400 JOHOR",,07 - 5993399
