HREF,TEL,CONAME,DATE_SCRAPED,BIZADD,FAILMSG,EMAIL
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=53210&sid=F2713465B209770D2BAFA97F644DB105,013 - 9377605,RKA MUHIBBAH TRADING,'2017-08-02,47 LORONG SETONGKOL 1 PERKAMPUNGAN CENDERAWASIH KUANTAN 25200 PAHANG,,rkamuhibbahtrading@gmail.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=5103&sid=553CB7AF74BE566318DDF24BD4B46721,03 - 79587166,TRISTAR GLOBAL SDN BHD,'2017-08-02,"3A-11, BLOCK B, PHILEO DAMANSARA II, 16111, OFF JALAN DAMANSARA PETALING JAYA 46350 SELANGOR",,shangkari@tristarglobal.com.my
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10670&sid=F2D292F26029B5316BAC9DC7973EBB72,03 - 79572588,INTERAKTIF PRIMA SDN BHD,'2017-08-02,"LOT 30, JLN 223 SECTION 51A PETALING JAYA 46100 SELANGOR",,kkchai8@yahoo.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=82470&sid=31A4AC97C8718BD00FA99ED546180271,03 - 31013500,GLOBAL SPECIALTY INGREDIENTS (M) SDN BHD,'2017-08-02,"LOT 202, JLN SG PINANG 5/7 PULAU INDAH INDUSTRIAL PARK PHASE 2A PORT KLANG. SELANGOR 42920 SELANGOR",,gsi@gsi-worldwide.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=41380&sid=04B7C04584F0992C0DC80B4BF7686EE4,03 - 78320100,EXCEL VENTURES OVERSEAS SDN BHD,'2017-08-02,"NO 4, JALAN ZUHRAH U5/154  SHAH ALAM 40150 SELANGOR",,info@excelventures.net
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=57725&sid=3965C22034E4D5934220F85893765608,07 - 2340291,SAMUDERA SWISS SDN BHD,'2017-08-02,"NO.26-01, JALAN PERSIARAN LARKIN PERDANA JOHOR BAHRU 80350 JOHOR",,samuderaswiss.ops@gmail.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=35605&sid=F50EF12080DD88941B5C5F9E27D45D41,06 - 6775091,MIGHTY OCEAN SDN BHD,'2017-08-02,"NO. 358, 1ST FLOOR TAMAN BUKIT EMAS, JALAN TAMPIN SEREMBAN 70450 NEGERI SEMBILAN",,mosb@mightyocean.com.my
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=85939&sid=5C3FCDCAA1AACB73ED1F03B18497BE6C,03 - 78597202,STAR MAESTRO DEVELOPMENT SDN BHD,'2017-08-02,"D9-6-2,BLOCK 9, PUSAT PERDAGANGAN DANA 1, JALAN PJU 1A/46, 47301 PETALING JAYA SELANGOR DARUL EHSAN 47301 SELANGOR",,info@smdg.com.my
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=65205&sid=B4CF3A3C2C3ABDA8E700054676A5CAD4,03 - 33257030,VINTAGE TRADE SDN BHD,'2017-08-02,3B JALAN BAYU TINGGI 2 BATU UNJUR 41200 SELANGOR,,vintagetrade.sdn.bhd@gmail.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13286&sid=1552257960A2626F30ED9E30E31C6F88,04 - 3235001,KHONG GUAN VEGETABLE OIL REFINERY SDN BHD,'2017-08-02,"4825, JALAN PERMATANG PAUH BUTTERWORTH  13400 PULAU PINANG",,kgveg@kg-oils.com.my
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=70633&sid=C3CDCE321893C9A421331DCD06F27329,03 - 31341081,BUDI FEED SDN BHD,'2017-08-02,"LOT 11940, JALAN PERAJURIT 1 OFF JALAN PERAJURIT, KG. TENGAH TELOK GONG, PORT KLANG 42000 SELANGOR",,budifeed@budifeed.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=2401&sid=7CDDA171D2CF9D4ECC7732423CDABBC8,089 - 616733,IOI EDIBLE OILS SDN BHD,'2017-08-02,P.O. BOX 3423 SANDAKAN  90738 SABAH,,corp@ioigroup.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=79489&sid=BF22DAB4C0E7D10A26B302CDABC3EC2D,03 - 31012830,SARAFIAH NATURAL RESOURCES SDN BHD,'2017-08-02,"LOT 212 JALAN SUNGAI PINANG 5/7 SECTION 5 PHASE 2A, PULAU INDAH INDUSTRIAL PARK 42920 SELANGOR",,zul@sarafiahoil.com.my
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=79931&sid=9EEE98A7316E3F9D6481EDF842D71ED9,03 - 87336522,DHP LUBE SDN BHD,'2017-08-02,"29, JALAN ASA 7 TAMAN ASA JAYA KAJANG 43000 SELANGOR",,mieonkyo@gmail.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=15988&sid=738C7C95DB587812710C8495D97E6FB9,04 - 5087081,BINO CONFECTIONERY SDN BHD,'2017-08-02,"20, LORONG PERUSAHAAN MAJU 12 TAMAN PERUSAHAAN PELANGI PERAI 13600 PULAU PINANG",,info@binococo.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=54897&sid=73B5BE170B1FF4BB913F3E213691311A,012 - 9302725,QIDAMM RESOURCES,'2017-08-02,LOT 1433 1(D) BT 7 3/4 LORONG HAJI MOHD NOR SG. CINCIN GOMBAK 53100 KUALA LUMPUR,,qidammresources@yahoo.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=69481&sid=6C6013F9AA7D608A8720B0D0BA031D8B,03 - 80710909,ALPHA VENTURES MANUFACTURE (M) SDN BHD,'2017-08-02,"D-1-56 KOMPLEKS SURIA KINRARA PERSIARAN KINRARA SECTION 3 TAMAN KINRARA SECTION 3, PUCHONG 47100 SELANGOR",,alphavmmsb@gmail.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=80941&sid=4FEE17C1158999E1D43FF3AFDB76D17A,03 - 33262195,OPTIMO PROCESS SDN BHD,'2017-08-02,"33 JALAN ANGSANA 6, KS 6 BANDAR BOTANIC 41200 SELANGOR",,cwyong@optiprogroup.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=80883&sid=5237EA0D46056C768129E16BD6FA20A7,03 - 80248908,SN FREIGHT,'2017-08-02,"2A, JALAN INDUSTRI 1/19 TAMAN PERINDUSTRIAN USJ 1 47610 SELANGOR",,snfreight@yahoo.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=33940&sid=45B2BB8930B2808C47F95DCF98D81FCB,03 - 60752355,WESCHEM TECHNOLOGIES SDN BHD,'2017-08-02,"LOT 1, KAW PERINDUSTRIAN ULU YAM LAMA BATANG KALI  44300 SELANGOR",,enquiry@weschemtech.org
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=53230&sid=91A96576A9D8C18C103509A524F459EB,04 - 5399322,ALMAPRO (M) SDN BHD,'2017-08-02,1 LORONG BINAJAYA 9 PERMATANG TINGGI BUKIT MERTAJAM 14100 PULAU PINANG,,admin@almapro.com.my
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=65452&sid=779BD2B3C1F4C4551DE100136B74DAEC,03 - 80628115,AL AIN GLOBAL SYNERGY & RESOURCES,'2017-08-02,NO15 JALAN PH2/4 TAMAN PUCHONG HARTAMAS PUCHONG 47100 SELANGOR,,pnesaraaj.alain@gmail.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=60285&sid=22000645A28417504B9BF03425D79F2C,03 - 92811012,ECOTREE BIOLUBE (M) SDN BHD,'2017-08-02,"NO.7, JALAN 4/93 TAMAN MIHARJA 55200 KUALA LUMPUR",,kk.ng@ecotree.com.my
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=81029&sid=0CF2B4BCFBB882B62C0BD0BAEB7A362F,03 - 55100740,MAJULIA SDN BHD,'2017-08-02,"38 JALAN TENGKU AMPUAN ZABEDAH A 9/A SECTION 9, SHAH ALAM 40100 SELANGOR",,contact@majulia.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=75253&sid=C4DE6291EBD653CE00F95B7C1500C517,016 - 2077166,PJ GROCER SDN BHD,'2017-08-02,LOT 1504 BATU 8 1/2 JALAN KLANG LAMA 46000 SELANGOR,,pjgrocer@hotmail.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=56816&sid=B8C4AC270B9BC6D822F29BC969EEFE5E,03 - 89458828,PALMERGE DISTRIBUTION (M) SDN BHD,'2017-08-02,"D-9-1 PUTRA WALK, JALAN PP 25 BANDAR PUTRA PERMAI, SEC 2 SERI KEMBANGAN 43300 SELANGOR",,palmergedistribution@yahoo.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=78673&sid=3F96E06B765536F3DDB40021AB854605,03 - 77286440,POLYGREEN CHEMICALS (MALAYSIA) SDN BHD,'2017-08-02,"24, JALAN WAN KADIR I TAMAN TUN DR. ISMAIL KUALA LUMPUR 60000 KUALA LUMPUR",,marketing@polygreen.com.my
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=64267&sid=27290D9D613503C59A4EA04BBA22FE18,03 - 90190788,GALA POWER SDN BHD,'2017-08-02,NO.30-2B JALAN TEMENGGUNG 7/9 BANDAR MAHKOTA CHERAS SEKYEN 9 43200 SELANGOR,,info@galapower.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11501&sid=0FA639FD754CC2552917D59B46FB4F3D,03 - 33241447,NUTRIX PLANTATIONS SDN BHD,'2017-08-02,"LOT 78-2, LORONG BATU NILAM 4B BANDAR BKT TINGGI KLANG 41200 SELANGOR",,marketing@nutrix.com.my
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=78044&sid=50307A55ED783A25FD31DA1956E3F283,03 - 80233722,NUTRA LIPIDS (M) SDN BHD,'2017-08-02,2A JALAN USJ/4/6B SUBANG JAYA 47600 SELANGOR,,nutralipids@gmail.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=73773&sid=94929203C7FA4F1CA9A8B8438E4E9C1F,09 - 7443649,NIKMAT PETROLEUM & GAS ENGINEERING SDN BHD,'2017-08-02,"4959-A, MEZZANINE FLOOR, KM 1/2 JALAN PENGKALAN CHEPA KOTA BHARU 15400 KELANTAN",,nikmatpsb@gmail.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=76336&sid=A7B3A64393CA6B28CB212B0346F7A957,016 - 4468468,JC CAPITAL MANAGEMENT SDN BHD,'2017-08-02,"KORIDOR UTARA BIOTECH CENTRE (BTC) NO. 114, JALAN PERINDUSTRIAN BUKIT MINYAK 18 TAMAN PERINDUSTRIAN BUKIT MINYAK 14100 PULAU PINANG",,chmoh@yanwowang.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=72804&sid=5927361001D4CD5E74C68BBE8BF3355C,03 - 80514105,PALMEKA SDN BHD,'2017-08-02,"13, JALAN TPP 6/4 TAMAN PERINDUSTRIAN PUCHONG PUCHONG 47100 SELANGOR",,azmin@palmeka.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=72591&sid=5582E8E6768FA7B435E3E0C2F84855EC,05 - 5467105,GREEN AGRO PYRAMID BUSINESS TRADINGS,'2017-08-02,"41, JALAN TEOH KIM SWEE, TAMAN HILL VIEW IPOH 31350 PERAK",,sale@greenagro.my
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=78185&sid=B5C64ABA2094E8D7A8D02839AC09AD5C,06 - 2862790,RON PLUS TECHNOLOGY SDN BHD,'2017-08-02,8 PLAZA SRI KUBU JALAN TAN CHAY YAN 75300 MELAKA,,talk2us@ronplus.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=78045&sid=B3B53B2FA81F4B46258EFC7F0AA3CC1C,03 - 33221820,GOLDEN OIL RESOURCES (M) SDN BHD,'2017-08-02,95-2 JALAN MAHOGANI 5/KS7 BANDAR BOTANIC KLANG 41200 SELANGOR,,hambali@goldenasiagroup.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=77849&sid=BA0B0C9C2A4EBE0416EF7EF94883EF63,03 - 62013133,CREWSTONE INTERNATIONAL SDN BHD,'2017-08-02,27-5 MENARA 1 MONT KIARA 1 JALAN KIARA 50480 KUALA LUMPUR,,lim@crewstoneinternational.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=34410&sid=E2C2B0CBF18F73CC4B2C9814AF1563EA,03 - 51248088,ULTRA AUTOMATION SDN BHD,'2017-08-02,"8, JALAN ANGGERIK MOKARA G31/G SECTION 31, KOTA KEMUNING SHAH ALAM 40460 SELANGOR",,sales@ultrasb.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=15841&sid=05479D064553BF6DA00C1C9A41202AE6,03 - 56317133,SIME DARBY FOODS & BEVERAGES MARKETING SDN BHD,'2017-08-02,"2, JALAN SS16/4 4TH FLOOR, WISMA CONSPLANT 1 SUBANG JAYA 47500 SELANGOR",,mohd.faris.adli@simedarby.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=67140&sid=8125E85F7FF15346AB27D61AAC721292,06 - 2321171,LITMUS EDIBLE OIL SDN BHD,'2017-08-02,"5A, JALAN KELULI AP7/AP TAMAN PERINDUSTRIAN BUKIT RAJA SELATAN SECTION 7 SHAH ALAM 40000 SELANGOR",,litmusedibleoil@gmail.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=48817&sid=975D319DCF713B7BC62E3EE212FD6BCD,03 - 78471111,JOHAWAKI TRADING & MACHINERIES SDN BHD,'2017-08-02,"WISMA JOHAWAKI LOT 3669, JALAN BATU TIGA-SG. BULOH SECTION U6, SHAH ALAM 40150 SELANGOR",,trading@johawaki.com.my
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=78564&sid=108AE143822682B739F767FB0629D854,03 - 42854900,IMK NUR HOLDING (M) SDN BHD,'2017-08-02,"D1-2, JALAN EXCELLA 2 OFF JALAN AMPANG PUTRA TAMAN AMPANG HILIR 55100 KUALA LUMPUR",,osama@alnoor-grp.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=79488&sid=1043BA72707B4E9DDE5AB7342157D37D,03 - 87411235,HARTAMAS SENTOSA SDN BHD,'2017-08-02,"1, JALAN BA/14 TAMAN BKT ANGKAT SG CHUA, KAJANG 43000 SELANGOR",,wskuak@hartamaspalmoil.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=73092&sid=41DFE1E8DB304FA45FD55FFF1ED2F37A,06 - 2841201,VIENNA RESOURCES (M) SDN BHD,'2017-08-02,5 JALAN IKS PT 2 TAMAN IKS PADANG TEMU 75050 MELAKA,,sales@viennaresources.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12611&sid=CFFA89978F9C95072E40B9321DAEF6F7,09 - 8596435,VIVID BUSINESS SDN BHD,'2017-08-02,"VIVID BUILDING 5688-B, JALAN KUBANG KURUS KEMAMAN 24000 TERENGGANU",,vividsb09@gmail.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=41866&sid=A09A6650049BE9B1AC4490A10C2EE99B,07 - 2521673,GLOBAL MULTI COMMODITIES (M) SDN BHD,'2017-08-02,24-1 JALAN SURIA 2 BANDAR SERI ALAM MASAI JOHOR BAHRU 81750 JOHOR,,mtgaba@gmail.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=68401&sid=43C0FC2A1E354345B44B446DDCAED398,018 - 3406662,AYINA SDN BHD,'2017-08-02,"NO 4-1, JALAN BUKIT KRISTAL 1, TAMAN BUKIT KRISTAL LABU HILLS, SEREMBAN 70200 NEGERI SEMBILAN",,info@ayina.com.my
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=73174&sid=41950B6FC7888475415F6822ABB22527,07 - 6522724,CHOON GUAN OIL PALM SDN BHD,'2017-08-02,"PTD8088-A, JALAN PAYA KELAPA SAWIT KULAI 81030 JOHOR",,tonyang.wong@gmail.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=73953&sid=3159F328ECE7C09114F03B3E58CCB26C,03 - 21077701,SYAKAY VENTURES SDN BHD,'2017-08-02,BT 28 WAN' CENTRAL JALAN PJU 10/3A DAMANSARA DAMAI 47830 SELANGOR,,syakayv@yahoo.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=65800&sid=9FA2B07111A19E77457F1D44544D7657,03 - 80637515,TRIGONTRADE (M) SDN BHD,'2017-08-02,4 JALAN PUTERI 2/4 BANDAR PUTERI PUCHONG 47100 SELANGOR,,info@trigontrade.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=65084&sid=2D008321605CD4D4329F5C025FAF33AF,03 - 27269901,GLOBAL GREENLAND LIMITED,'2017-08-02,"SUITE 9, LEVEL 25, ETIQA TWINS TOWER 2 11, JALAN PINANG KUALA LUMPUR 50450 SELANGOR",,doc@globalgreenland.biz
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=81591&sid=A6EE156B855FAC6884AF5F9242F856B7,018 - 3118710,XANWELLNESS SDN BHD,'2017-08-02,10G JALAN PUSAT BCH 1/2 BANDAR COUNTRY HOMES 48000 SELANGOR,,xanwellness@gmail.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=61611&sid=FC0229DC6D1F81B5084A3B8B65B66A0D,06 - 2618681,LINSENG ENTERPRISE,'2017-08-02,9404 BATU 2 1/2 JALAN SEMABOK 75050 MELAKA,,hbtan81@hotmail.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=48897&sid=CF585F3403014A7BCFDFD7E6EB95242A,03 - 21175272,PRICASPIAN DEVELOPMENT SDN BHD,'2017-08-02,"MENARA STANDARD CHARTERED LUL 20, 30 JALAN SULTAN ISMAIL, KUALA LUMPUR 50250 KUALA LUMPUR",,sdouglas51@gmail.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=53283&sid=5ADE136087A8302990B123140CE75F58,03 - 61517315,FATHOPES ENERGY SDN BHD,'2017-08-02,"6, JALAN TSB 5 SUNGAI BULOH INDUSTRIAL PARK KOTA DAMANSARA, SUNGAI BULOH 47000 SELANGOR",,info@fathopesenergy.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=75374&sid=DBFC357D1948C48674B18756B61F975A,017 - 2007538,EDSPL BUSINESS & CONSULTING SERVICES SDN BHD,'2017-08-02,BLOK G-03-09 2 JALAN 30/146 BANDAR TASIK SELATAN 57000 KUALA LUMPUR,,jimmy.yong@edspl.biz
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=79930&sid=B9ABDB85C017FB36A2C22B3DF7DC8D52,012 - 8666241,EGLOSYN SDN BHD,'2017-08-02,"6, GROUND FLOOR SHOP HOUSE TAMAN BDC PH 3 KOLOMBONG KOTA KINABALU 88450 SABAH",,cwm@eglosyn.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=59111&sid=4E71ED31C918D4892E444A472898CF23,03 - 41426516,PETROLEUM GLOBAL NETWORK SDN BHD,'2017-08-02,"53-2, JALAN WANGSA DELIMA 5, SEKSYEN 5 PUSAT BANDAR WANGSA MAJU  53300 KUALA LUMPUR",,petroleumglobalnetwork@gmail.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=15197&sid=D62BF4CF750CD2503D55231A8EC0FB3D,03 - 21667595,PIONEERFEED BIOSCIENCE SDN BHD,'2017-08-02,"D-3A-5 MEGAN AVENUE 1 189, JALAN TUN RAZAK PULAU INDAH 50400 KUALA LUMPUR",,hunboon.wong@pioneerfeed.com.my
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=8796&sid=B1B208B9CBB4A0587090A11ECD021228,05 - 6411511,UNITATA BERHAD,'2017-08-02,JENDERATA ESTATE TELUK INTAN  36009 PERAK,,marketing@unitata.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10176&sid=B0FFB235BADA19892DA682741F82CFAE,03 - 32583333,SOUTHERN ACIDS (M) BERHAD,'2017-08-02,LEVEL 29 CENTRO TOWER NO. 8 JALAN BATU TIGA LAMA KLANG 41300 SELANGOR,,oleo@southernacids.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=9109&sid=2B082905420F1246106485C5D04F40FE,03 - 51225608,ASFAH TRADE CORP. SDN BHD,'2017-08-02,"NO 22-A, JLN SUNGAI BURUNG W32/W BKT RIMAU SEKSYEN 32 SHAH ALAM 40460 SELANGOR",,info@asfah.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=60041&sid=A5B4CA8F72100CFD5D0C8741ECA8B2C6,03 - 33701301,AL-HIRAH HOLDINGS SDN BHD,'2017-08-02,"29A, JALAN TELUK PULAI KAWASAN 7 KLANG 41100 SELANGOR",,info@al-hirah.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=2560&sid=022D36D97F07C2B08DBC454A71CD2DD8,03 - 31226301,GOLDEN JOMALINA FOOD INDUSTRIES SDN BHD,'2017-08-02,9TH MILE JLN BANTING-KELANG TELOK PANGLIMA GARANG KUALA LANGAT 42500 SELANGOR,,joma.sales@simedarby.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12016&sid=9C6B99B23D7DADF90FF1ACCDF3BEFC1C,03 - 51920702,IRMAL SDN BHD,'2017-08-02,"913 BLOCK E, PHILEO DAMANSARA 1 9  JLN 16/11, OFF JLN DAMANSARA PETALING JAYA 46350 SELANGOR",,gilani@irmal.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=37460&sid=7CC3FD45A9DA57CCA4023FD114C2D8EB,03 - 87336522,DANY HOLOGRAM PRINTING SDN BHD,'2017-08-02,29 JALAN ASA 7 TAMAN ASA JAYA KAJANG 43000 SELANGOR,,hssbhologram@gmail.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12245&sid=B9E605A37D2840F8F3246B5AAC668F1A,03 - 79547059,MAC WORLD INDUSTRIES SDN BHD,'2017-08-02,"3-11 BLOCK B, PHILEO DAMANSARA 2 15 JALAN 16/11, OFF JLN DAMANSARA PETALING JAYA 46350 SELANGOR",,info@macworldinc.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12097&sid=100246D82164EA0695AFE723DF436732,03 - 80263333,BEHN MEYER INTERNATIONAL TRADING SDN BHD,'2017-08-02,NO 5 JLN TP2 TMN PERINDUSTRIAN SIME UEP SUBANG JAYA 47600 SELANGOR,,bmcn@behnmeyer.com.my
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=63957&sid=64C2C6391787BFD9D108E699CDFDF4A8,03 - 42702070,ONE CASTLE (MM2H) SDN BHD,'2017-08-02,"A7/1 BLOCK A, JALAN SELAMAN 1/1 DATARAN PALMA AMPANG POINT 68000 KUALA LUMPUR",,michele.onecastle@gmail.com
