FAILMSG,BIZADD,HREF,CONAME,DATE_SCRAPED,EMAIL,TEL
,7029 LORONG MAK MANDIN 5 BUTTERWORTH 13400 PULAU PINANG,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=89602&sid=C6756377631D28C242E78150DCD18B1B,KOSCO BAKING CUP MANUFACTURING SDN BHD,'2017-08-02,sales.kosco@gmail.com,04 - 3332028
,"PERSIARAN SELANGOR SHAH ALAM INDUSTRIAL ESTATE P.O.BOX 7033, SHAH ALAM 40910 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=2114&sid=985CA80F0DCD99E7034E229D9DF70410,NYLEX (MALAYSIA) BERHAD,'2017-08-02,victortang@nylex.com,03 - 55191706
,PLOT 468 & 482 JALAN PERUSAHAAN BARU PRAI INDUSTRIAL ESTATE PRAI 13600 PULAU PINANG,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=32354&sid=56F3EB2E5EC29F7DB581D3C79D202967,PPASIA MEDIA PACKAGING SDN BHD,'2017-08-02,rachel_wong@pph.com.my,04 - 3999508
,49 JALAN SATRIA 2 TAMAN PERINDUSTRIAN JB PERDANA 81300 JOHOR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=88032&sid=F28D17C28CAB90103643264D87294EBE,MULTI-PAC ENTERPRISE SDN BHD,'2017-08-02,multipac81@gmail.com,07 - 5115081
,39-3 JALAN KUCHAI MAJU 2 OFF JALAN KUCHAI LAMA 58200 KUALA LUMPUR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=89898&sid=4FDEC2434B97D0721736EF6E9AC8F336,COALA SDN BHD,'2017-08-02,coalasdnbhd@gmail.com,03 - 79716378
,"UNIT G-02, GROUND FLOOR BLOCK C JALAN SS 20/27, DAMANSARA UTAMA PETALING JAYA 47400 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=89932&sid=E338BF52D2EF583910D6BECB9773A29C,PAMURI TOKUTOKUYA SDN BHD,'2017-08-02,info@pamuri.com,03 - 77283384
,"NO.17, 19, 21 KLEBANG BISTARI KAWASAN PERINDUSTRIAN KLEBANG BISTARI CHEMOR 31200 PERAK",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=14379&sid=FEE74F0B60A499F9A15CA612C60C399D,WAH NGAI INDUSTRIES (M) SDN BHD,'2017-08-02,wahngai.ind@gmail.com,05 - 2916260
,NO 82 LRG TANJUNG 8 KG SRI TANJUNG AMPANG 68000 SELANGOR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=91928&sid=F6200989D3878CEF6B931A97C98839B4,RHM MULTI TRADING SDN.BHD.,'2017-08-02,rhm_business@yahoo.com,016 - 2934895
,"493, SIMPANG JURU JURU VILLAGE, MUKIM 13 BUKIT MERTAJAM 14100 PULAU PINANG",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=16413&sid=CB5B4EB6BFBB760E3984D1FFC6F01A3B,YANTA PLASTIC INDUSTRY SDN BHD,'2017-08-02,yantaplastic@yahoo.com,04 - 5072715
,"SUITE 2.02, LEVEL 2, MENARA KWSP 53, JALAN SULTAN AHMAD SHAH GEORGETOWN 10050 PULAU PINANG",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=31095&sid=B3E2991B2ADF9A4F41A7360FE795876F,MY FLEXITANK INDUSTRIES SDN BHD,'2017-08-02,fauzana@myflexitank.com,04 - 2279088
,"493 SIMPANG JURU, MK 13 SIMPANG AMPAT 14100 PULAU PINANG",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=16370&sid=94025A37D12AD2FDB357BA6C636C519B,BINSEN PLASTIC INDUSTRY SDN BHD,'2017-08-02,erdong@binsenplastic.com,04 - 5076869
,"PLOT 425,MUKIM 1, TINGKAT PERUSAHAAN 6A PRAI FREE TRADE ZONE PRAI 13600 PULAU PINANG",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=65078&sid=2CFD41BAB1E79113B4DEBE4B19E9CE42,ATTRACTIVE VENTURE SDN BHD,'2017-08-02,avp.marketing@dnoncetech.com,04 - 3996393
,"NO.6, JALAN TIAJ 2/5, TAMAN INDUSTRI ALAM JAYA, BANDAR PUNCAK ALAM 42300 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=42477&sid=C37B68FB149A13DE0E27A90836DBFCF2,RNZ GREEN BIO SDN BHD,'2017-08-02,noorasila@rgbm.com.my,03 - 60383530
,"5, JALAN TERAS 4 TAMAN INDUSTRI SELESA JAYA BALAKONG 43300 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=16009&sid=363434EDF890D360E095F03570AF95CB,FAIRPOINT PLASTIC INDUSTRIES SDN BHD,'2017-08-02,allan@fairpointplastic.com.my,03 - 89613083
,"LOT 20, JALAN CJ 1/1 KAW PERUSAHAAN CHERAS JAYA,BATU 11 43200 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=81456&sid=D65CFC2E74511137168BA5704C516E71,DNONCE KL SDN BHD,'2017-08-02,bryan.jstan@dnoncetech.com,03 - 90748646
,"PLOT 118, JALAN PERUSAHAAN BKT TENGAH INDUSTRIAL BKT MERTAJAM 14000 PULAU PINANG",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=9057&sid=4C9A444CDA044B8D7F15E1D0DDD34297,STYROTEX (ASIA PACIFIC) SDN BHD,'2017-08-02,tan_choon_jen@styrotex.com.my,04 - 5022752
,"LOT 39, 16.5 MILES JALAN IPOH, RAWANG INDUSTRIAL ESTATE RAWANG 48000 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11797&sid=13D3FDB1696F58C9CB3ECD9FEEDEC850,PRESTAR MANUFACTURING SDN BHD,'2017-08-02,info@prestar.com.my,03 - 60913288
,LEVEL 14 WISMA TUN SAMBANTHAN JALAN SULTAN SULAIMAN 50000 KUALA LUMPUR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=8391&sid=FC904968DE62EBAEBE532063C20F681F,STATUS POINT SDN BHD,'2017-08-02,vtsingam@statuspoint.com.my,03 - 22734233
,"5111, JALAN 18/63 SERI SERDANG INDUSTRIES PARK SERI KEMBANGAN 43300 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=79228&sid=B983D7A23B9C1ACDA761F3B5EB03EDC2,LTI MATERIAL SDN BHD,'2017-08-02,so@lti.my,03 - 89486652
,"NO.7A, LINTANG BERINGIN 6 PERMATANG DAMAR LAUT BATU MAUNG 11960 PULAU PINANG",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=14996&sid=1229B8FF1F19A5FF65202EF1B74FB41E,PANNYO TECHNOLOGIES SDN BHD,'2017-08-02,yvonne@pannyo.com,04 - 6383889
,"3, JALAN SEJAHTERA 25/124 TMN PERINDUSTRIAN AXIS, SRI MUDA SHAH ALAM 40400 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10299&sid=8D0E3AB3788F4FE77BA88D753F4533A8,MAYPLAS PACKAGING SDN BHD,'2017-08-02,mayplas@tm.net.my,03 - 51218130
,"31, JALAN LOMBONG EMAS 4 SEREMBAN LIGHT INDUSTRIAL PARK JALAN TUN DR. ISMAIL, SEREMBAN 70200 NEGERI SEMBILAN",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=57276&sid=BE2DDE9D993F3C2DB41BE86EA8CA4A2D,AERIES PLASTIC INDUSTRIES SDN BHD,'2017-08-02,aeriesplastic@yahoo.com,06 - 7679362
,LOT 2355-1 KPG. BARU SUNGAI BULOH SUNGAI BULOH 47000 SELANGOR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=80187&sid=B3CE9B98181664487DF19165970B8CFC,WEL-LINTAS PACKAGING INDUSTRIES SDN BHD,'2017-08-02,enquiry@fepconverter.com,03 - 61563378
,"PLOT 16, MUKIM 13, LPBM 8 BUKIT MINYAK INDUSTRIAL PARK BUKIT MERTAJAM 14100 PULAU PINANG",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12247&sid=59108005E3330B106DBF3EA58A52F52D,PAN NORTH PLASTIC INDUSTRIES SDN BHD,'2017-08-02,sales@pannorthplastic.com,04 - 5077111
,LOT 2355-1 KPG. BARU SUNGAI BULOH SUNGAI BULOH 47000 SELANGOR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=53173&sid=76DECA9C12BC5090AFF4D435E192E6DE,FAR EAST PAPER PRODUCTS SDN BHD,'2017-08-02,enquiry@fepconverter.com,03 - 61563378
,"PLO 660, JALAN PLATINIUM 1 KAW PERINDUSTRIAN PASIR GUDANG ZONE 12B, PASIR GUDANG 81700 JOHOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=78046&sid=F44ECD53CEB2FC9AE0FBB04F6DBF9015,CHAI HENG PLASTIC MFG (MALAYSIA) SDN BHD,'2017-08-02,cheelc@chaiheng.net,07 - 2888291
,"LOT 1716, JALAN RUKUN IJOK  45620 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=14932&sid=C4662B795C43029C4E23AE6E72E8AE41,OCEAN ROTO MOULDING SDN BHD,'2017-08-02,info@oceanroto.com,03 - 32793118
,29 JALAN KENT  54000 KUALA LUMPUR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=81354&sid=FFD07B8E313B13297DA1E74086ECE98D,DASLINK NETWORKS SDN BHD,'2017-08-02,daslinknetworks@gmail.com,03 - 26021386
,"LOT 4914, JALAN SEGENTING OFF JALAN KLANG BANTING BT 11, KUALA LANGAT 42500 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=80720&sid=DB93D410D203184F453C97CF9A199027,MERIT ART SDN BHD,'2017-08-02,meritartsdnbhd@gmail.com,03 - 31916813
,12-1 JALAN 3/1 TAMAN SERI MERDEKA AMPANG 68000 SELANGOR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=81048&sid=1173264A64D38477F2257C8ADCD5F1F4,ALPHA RELIANCE INDUSTRIES SDN BHD,'2017-08-02,admin@alpha-reliance.com,03 - 42927800
,"2, JALAN MARIKH U5/173 BANDAR PINGGIRAN SUBANG SHAH ALAM 40150 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=80863&sid=BBAFFA92292E2FED57C198F4B04C67E5,MAXPRO PACKAGING (MALAYSIA) SDN BHD,'2017-08-02,andymaxpro@gmail.com,03 - 78456598
,"NO 1-6-3, JALAN 1/50 DIAMOND SQUARE COMMERCIAL CENTRE OFF JALAN GOMBAK 53000 KUALA LUMPUR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=15064&sid=FB6EFF8EEFDAE2445B8DB18F01E490FD,ASKEN MARKETING & SERVICES (M) SDN BHD,'2017-08-02,jymalaysia@yahoo.com,03 - 40230257
,LOT 5-8 SENAWANG INDUSTRIAL ESTATE SEREMBAN 70450 NEGERI SEMBILAN,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13186&sid=1AE25115C4A763BE1F5DFF4939943729,TEGO SENDIRIAN BERHAD,'2017-08-02,marketing@tego.com.my,06 - 6773361
,"MENARA STANDARD CHARTERED LUL 20, 30 JALAN SULTAN ISMAIL, KUALA LUMPUR 50250 KUALA LUMPUR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=48897&sid=CF585F3403014A7BCFDFD7E6EB95242A,PRICASPIAN DEVELOPMENT SDN BHD,'2017-08-02,sdouglas51@gmail.com,03 - 21175272
,"LOT 6065, JALAN HAJI ABDUL MANAN BATU 5 1/2, JALAN MERU KLANG 41050 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=16466&sid=1B5F5E9811EC435F36FA7ABFAACA5836,PLASTIC CENTRE SDN BHD,'2017-08-02,yccho@plascentre.com,03 - 33923888
,"15, JLN KESUMA 2/2 BANDAR TASIK KESUMA BERANANG 43700 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11092&sid=1E4B01C10F5FFF8C73AC7904BEDB1294,TAKO ASTATIC TECHNOLOGY SDN BHD,'2017-08-02,tako@tm.net.my,03 - 87238843
,"LOT 6065, JALAN HAJI ABDUL MANAN BATU 5 1/2, JALAN MERU KLANG 41050 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=70046&sid=15CAB9F41C575B284E1561B14F48C458,CLC PUMP (M) SDN BHD,'2017-08-02,yccho@plascentre.com,03 - 33923888
,"31&32, JALAN BIDARA 2/6, TAMAN BIDARA SELAYANG BATU CAVES 68100 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=65797&sid=430A249544401460AA69351CB3B120D7,KOTA PAPER SDN BHD,'2017-08-02,kotapapersb@gmail.com,03 - 61367809
,"LOT 1, JALAN P/2A KAW PERUSAHAAN PKT 1 BANDAR BARU BANGI 43650 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=3695&sid=FEC4CF8D45378AA416BA968B01D6D427,PLASTICTECNIC (M) SDN BHD,'2017-08-02,spng@tecnic.com.my,03 - 89256950
,"SUITE #110, MBE 1 UTAMA, LOT LG109B, ONE UTAMA SHOPPING CENTER, LEBUH BANDAR UTAMA 47800 PETALING JAYA. SELANGOR. MALAYSIA. 47800 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13936&sid=1A04E22EBA666BA2B98BE04C7821550B,ELISSE MARKETING SDN BHD,'2017-08-02,elissemalaysia@gmail.com,12 - 4289692
,TB 03-01 KRISTAL TOWER JALAN CHANGKAT INDAH 2 BUKIT INDAH 68000 SELANGOR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=71078&sid=34F2F158F4E9ABA15105D253DAEDA7D8,DJARA CREATIVE SDN BHD,'2017-08-02,djara_creative@yahoo.com,012 - 9740787
,"7, JALAN PJS 1/17 MEDAN MAJU JAYA 3 PETALING JAYA 46000 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=72700&sid=31E08898B6EB4D7C4FBCB1560524CC41,HENG SAN MULTISORB SDN BHD,'2017-08-02,sioh@hengsan.com.my,03 - 77815987
,"10, JALAN HASIL 2 OFF JALAN TAMPOI JOHOR BAHRU 81200 JOHOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13383&sid=E0F2707E0522B3D68B5379E407CB3944,GSB PLASTECH (M) SDN BHD (FORMERLY KNOWN AS JAPANTEC INDUSTRIES (M) SDN BHD,'2017-08-02,alextan@japantec.com.my,07 - 2381818
,"39 & 41, JALAN INDUSTRI 1/13 TAMAN PERINDUSTRIAN USJ 1 SUBANG JAYA 47600 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13551&sid=EE574BD6B40E6F942A18B68119D8DBBD,WESGLOW INDUSTRIES SDN BHD,'2017-08-02,stewart@wesglow.com,03 - 80231380
,"1, JALAN PERUSAHAAN 22/KS5 KAW PERINDUSTRIAN KAMPUNG IDAMAN PANDAMARAN, KLANG 42000 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=72979&sid=90A9623B312A518B5E9749A7EB982590,SIA FLEXITANKS (ASIA) SDN BHD,'2017-08-02,stanley@siaflexitanks.com,03 - 38842807
,"LOT 8985, OFF JALAN IKAN BAWAL TELOK GONG PELABUHAN KLANG 42000 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=73220&sid=FDC687BF543BD7B88EE32475CDC47C13,CANZO SDN BHD,'2017-08-02,etlim@canzo.com.my,03 - 31343131
,"PLOT 468 & 482 JALAN PERUSAHAAN BARU PRAI INDUSTRIAL ESTATE, PRAI 13600 PULAU PINANG",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10309&sid=7CD6ADDDD3D7D628517AAC6A71523F11,PPH PRINTING & PACKAGING (PENANG) SDN BHD,'2017-08-02,solutions@pph.com.my,04 - 3901501
,"PLOT III, BAYAN LEPAS INDUSTRIAL ESTATE HALA KG JAWA 2 BAYAN LEPAS 11900 PULAU PINANG",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12233&sid=73EE55506BC5F68705BC70B05E1050F1,I.P.G. PRINTING (M) SDN BHD,'2017-08-02,cal5016@ipgshenchuan.com,04 - 6442952
,"LOT 12, JALAN RP3 TAMAN RAWANG PERDANA RAWANG 48000 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11740&sid=FA8C9F74B105FF402AB041FD9FD04DE9,LIM KET LENG TIMBER SDN BHD,'2017-08-02,hr@classicscenic.com,03 - 60917477
,LOT 54&60 KAW PERINDUSTRIAN ALOR GAJAH FASA 3 78000 MELAKA,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=63936&sid=99175DBA878E248A8F48A3D3CBDF93FB,TECKWAH PAPER PRODUCTS SDN BHD,'2017-08-02,francis@pphteckwah.com.my,06 - 5562298
,"PLOT 159, MK 13 JALAN PERINDUSTRIAN BUKIT MINYAK 7 BUKIT MINYAK INDUSTRIAL PARK, BUKIT MERTAJAM 14000 PULAU PINANG",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11185&sid=CDE293DEBB7A263DE61221AEF26C1D7F,WANGSAGA INDUSTRIES SDN BHD,'2017-08-02,export2@wangsaga.com.my,04 - 5075808
,"LOT 6, JALAN PERUSAHAAN 1, KAWASAN PERUSAHAAN PKNS, BATU 17, RAWANG 48000 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12926&sid=018B8602D8DE32B43934127F00B311B0,TTF MARKETING HOLDINGS SDN BHD,'2017-08-02,ttf@ttfgroup.com,03 - 60918800
,"10, JALAN NIBONG 33 TAMAN DAYA JOHOR BAHRU 81100 JOHOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=6248&sid=72ABD8A523D6D29344718F6A5EC44E44,IBN ENTERPRISE,'2017-08-02,tjng@ymail.com,07 - 3528568
,"1260, JALAN BARU PERAI  13700 PULAU PINANG",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11517&sid=206187B06DAC5508AA2F4F30A84A9832,TEAM PRINTERS SDN BHD(FORMERLY KNOWN AS BANTON SDN BHD),'2017-08-02,sales@teamprinters.com,04 - 3997300
,"891, JLN KG JURU JURU BKT MERTAJAM 14000 PULAU PINANG",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11237&sid=C800FBBCBE83ECBA9FA3DEBE95991484,LEAN LEE TRADING COMPANY SDN BHD,'2017-08-02,leanlee1945@gmail.com,04 - 5021888
,"PLOT 11, LORONG BEMBAN 2 ESTATE PERINDUSTRIAN BEMBAN BATU GAJAH 31000 PERAK",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=4304&sid=594D56D5685CEC60946BB3A05C008D89,CYBERSHIELD PLASTIC SDN BHD,'2017-08-02,sales@cybershieldpackaging.com,05 - 3669155
,"PLO 12, JALAN PERINDUSTRIAN KAW PERINDUSTRIAN SENAI SENAI 81400 JOHOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=3429&sid=1B1F44063262C720B8C9B064401AAA5F,UNITED PLASTICS SDN BHD,'2017-08-02,upsbrt@unicaplastics.com,07 - 5992489
,"16,  LOT 8244, JALAN PENDING, P.O.BOX 1547,  KUCHING, 93730 SARAWAK",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=4793&sid=AA9FEAC554239E2973D690580F6E7F3E,SAPLASTIC INDUSTRIES SDN BHD,'2017-08-02,saplastic.industries@gmail.com,082 - 486123
,"7009 JALAN PBR 42, FASA 5, KAW PERINDUSTRIAN BUKIT RAMBAI BUKIT RAMBAI 75250 MELAKA",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=31092&sid=358AB6E6844CFA6385D357BD853F65AA,GREEN PULP PAPER INDUSTRY SDN BHD,'2017-08-02,greenpulppaper@gmail.com,06 - 3531516
,"LOT 6395, OFF JALAN 32 KAW PERINDUSTRIAN SG RASA KLANG 41300 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=4299&sid=5B0AF8FE6F9723A6E26C4C1F24B55F94,AMRICH FOAM MANUFACTURING (M) SDN BHD,'2017-08-02,amrich@amrich.com.my,03 - 33428188
,"SUITE 0.008, KORIDOR UTARA BIOTECH CENTRE 1114, JALAN PERINDUSTRIAN BUKIT MINYAK 18 PENANG SCIENCE PARK 14100 PULAU PINANG",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=82021&sid=4170DEFFB18D52CDD9FE3D131CB2A41A,FREE THE SEED SDN BHD,'2017-08-02,ramaness@freetheseed.com.my,04 - 5041556
,"7, BLOCK D, LOT 757, PRIME SUBANG LIGHT JALAN SUBANG 3, OFF PERSIARAN SUBANG SUBANG JAYA 47100 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=6341&sid=A9390095823D6479E9E0C4DAC409749E,SUNLIGHT PACKAGING (M) SDN BHD,'2017-08-02,enquiry@sunlightpackaging.com,03 - 56210503
,"9, JALAN  PERKASA  3 TAMAN  MALURI CHERAS 55100 KUALA LUMPUR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=8601&sid=33892D51FD5A3811C8DFB4C97178819A,HAPPY GMP SYSTEM  INDUSTRIES,'2017-08-02,pimlim@happygmp.com,03 - 92827131
,"LOT 1503,  8 1/2 MILE JALAN KLANG LAMA PETALING JAYA 46000 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=4979&sid=4854D58635431CFC883B9FCF7959E0CD,CHONG WAH PLASTICS SDN BHD,'2017-08-02,general@chongwahgroup.com,03 - 78767066
,"66,  PERSIARAN SELANGOR SECTION 15 SHAH ALAM 40000 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=2505&sid=186C59FD1495304660BFF190ABD95090,SATO CHEMIFA (M) SDN BHD,'2017-08-02,sales@satosms.com.my,03 - 55108855
,35 JLN SRI WANGI 1/5 TAMAN PERINDUSTRIAN DESA PLENTONG MASAI 81750 JOHOR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=75220&sid=AA29EC16847D93FC137EE652A36C9B19,WISDOM LEAD IMPORT & EXPORT (M) SDN BHD,'2017-08-02,wisdomlead@yahoo.com.sg,07 - 3883818
,"22, JALAN URANUS U5/128D SECTION U5 SHAH ALAM 40150 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=75703&sid=9022BEEDA8B118C92905585BC14760EC,ALPHA GLOBAL RECYCLE ENTERPRISE,'2017-08-02,james.arul@yahoo.com,016 - 2149139
,"12, JALAN BK 1/12 BANDAR KINRARA INDUSTRIAL PARK BANDAR KINRARA, PUCHONG 47180 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=66772&sid=544652BC5601854BE534997291F108C8,PANMATEX TRADING SDN BHD,'2017-08-02,fc18@pmt.com.my,03 - 80758008
,"67-A JALAN BAYU TINGGI 6/KS6, BATU UNJUR 41200 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=76375&sid=B36D54DF4988A8BBF9B39871BD988F93,ISC SDN BHD,'2017-08-02,roger@isc-gfl.com.my,03 - 33246065
