HREF,CONAME,BIZADD,TEL,EMAIL,DATE_SCRAPED,FAILMSG
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=4604&sid=8C9DA79D767B7FCB99E7E602A52DC158,SB TAPE INTERNATIONAL SDN BHD,"LOT 1812, JALAN KPB 1 KAW PERINDUSTRIAN KG BARU BALAKONG SERI KEMBANGAN 43300 SELANGOR",03 - 89463600,sales@sbgroup.com.my,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=87333&sid=296D95CD37C9408E6C18D20DA73D0A42,SENG LIY PLASTIC INDUSTRY (M) SDN BHD,"28, JALAN TIRAM 14 TAMAN PERINDUSTRIAN TIRAM OFF JALAN SUNGAI TIRAM,ULU TIRAM 81800 JOHOR",012 - 7808730,sengliyplasticind@gmail.com,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=52354&sid=3744F3CC871AB94705AD4CCBCA02385E,BACTERIA FREE WATER ENGINEERING (M) SDN BHD,NO.7 JALAN SS 13/3F SUBANG JAYA INDUSTRIAL ESTATE SUBANG JAYA 47500 SELANGOR,03 - 56338281,enquiries@bacfree.com.my,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=2994&sid=F5B1DB7C353186B77237FF61B5CDA778,SHIMA BARREL FINISHING SYSTEMS (M) SDN BHD,"5 JLN UTAMA 2/30 TMN PERINDUSTRIAN PUCHONG UTAMA, BATU 14 PUCHONG 47100 SELANGOR",03 - 80618786,shimabarrel@gmail.com,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=54525&sid=FFA4733340B5B8864F94117FE1991C98,MUSLIMAH MANUFACTURING SDN BHD,B1-2 & B1-3 KEDAH HALAL PARK KAWASAN PERINDUSTRIAN SUNGAI PETANI SUNGAI PETANI 08000 KEDAH,04 - 4428515,famiza2006@yahoo.com,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=94237&sid=E214E15B7738D64014BB10A8CC243873,ANSEEMAX SDN BHD,25 JALAN PENTADBIR U1/30 HICOM GLENMARIE INDUSTRIAL PARK SHAH ALAM 40150 SELANGOR,03 - 55679288,anseemax@gmail.com,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12644&sid=06DBE813669AA4A525A6BA1FD4B06A25,CELCURE CHEMICALS (M) SDN BHD,"LOT 28, KEPONG INDUSTRIAL AREA LORONG KUANG BULAN TAMAN KEPONG 52100 KUALA LUMPUR",03 - 62742288,celcure@celcure.com,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=8216&sid=5EBF648BBAE2108B511A978027BC6541,KEAN BENG LEE INDUSTRIES (M) SDN BHD,"NO.1384 ATAS LOT 841, MK-1 JLN TASEK, SIMPANG AMPAT SEBERANG PERAI SELATAN 14120 PULAU PINANG",04 - 5886042,danise@kldind.com.my,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=94894&sid=2B1FD2CB7E8E1FE9DB5E9B0CD9ECF584,ZEXXEL INDUSTRIES SDN BHD,28 JALAN INDSUTRI USJ 1/5 TAMAN PERINDUSTRIAN USJ 1  47600 SELANGOR,03 - 56114410,sales@zexxel.com,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=8052&sid=FFFD283EB83B8A2EC7EA6215B71A2C27,VIVANTIS TECHNOLOGIES SDN BHD,"REVONGEN CORPORATION CENTER NO 12A JLN TP5, TMN PERINDUSTRIAN UEP SUBANG JAYA 47600 SELANGOR",03 - 80251603,international@vivantechnologies.com,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=33583&sid=FBEB09218946088DAC3E08C76DCF60B8,KENSO CORPORATION SDN BHD,"B-9-3 PJ8 BLOCK B WEST, NO. 23 JLN BARAT SEKSYEN 8 PETALING JAYA 46050 SELANGOR",03 - 79623636,hr@kenso.com.my,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12119&sid=F8DAD57E8BABF010816593A2937173D3,TECHBOND MANUFACTURING SDN BHD,"NO.36 JLN ANGGERIK, MOKARA 31/59 SECTION 31 KOTA KEMUNING SHAH ALAM 40460 SELANGOR",03 - 51223333,adhesive@techbond.com.my,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10851&sid=E0FD1F84D767839D076587F2A6709AB8,EQX MATERIALS SDN BHD,"PMT 1159, LORONG PERINDUSTRIAN BUKIT MINYAK 22 PENANG SCIENCE PARK TAMAN  PERINDUSTRIAN BUKIT MINYAK, SIMPANG AMPAT 14100 PULAU PINANG",04 - 5057883,marketing@eqxglobal.com,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12045&sid=820D94D73DCC4124591A84F52A1C876E,FARMCOCHEM SDN BHD,"LOT A-05-07 EMPIRE OFFICE EMPIRE SUBANG, JLN SS16/1, SS16 SUBANG JAYA 47500 SELANGOR",03 - 50222283,elsa.soon@farmcochem.com,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=70061&sid=EFE42AC459581C76035750D9E4851D34,MERIDIAN CHEM SDN BHD,"7 JALAN BP 5/8, BANDAR BUKIT PUCHONG 47100 SELANGOR",03 - 80610080,billyyee@meridiansupplies.com,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=94985&sid=2151CB318952EAC29CAF9882CA242C0E,TECHNOWORKS PLT,NO 5 JALAN PP2/9 TAMAN PUTRA PERDANA PUCHONG 47100 SELANGOR,03 - 83222780,hadi@technoworks.com.my,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=96177&sid=4BAD54C92801AABADF7C9CE55A552B1F,JC LAKSAMANA TRADING,15A JALAN BANGSAR   59100 KUALA LUMPUR,03 - 22088786,hardeenjc1@yahoo.com,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=85571&sid=B2BEBA11CAB9C93D09645DCB4A4380AD,NOBEL SYNTHETIC POLYMER SDN BHD,19 JALAN PERINDUSTRIAN BALAKONG JAYA 2/3 TAMAN PERINDUSTRIAN BALAKONG JAYA 2 43300 SELANGOR,03 - 89432882,admin@nobel.com.my,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=85226&sid=D81FEDDE356E29F01AD94B95F0A27D04,NEXTEAMWORK CORPORATION SDN BHD,22 & 24 JALAN TPP 5/5 TAMAN PERINDUSTRIAN PUCHONG 47100 SELANGOR,03 - 80603123,ANKH@NEXTEAMWORK.COM,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=4054&sid=76393CF87FED03C3B3ACA33632EB2D62,GREMONT AGROCHEM (MALAYSIA) SDN BHD,"NO.  7,  JALAN NILAM 1/8, TAMAN PERINDUSTRIAN TEKNOLOGI TINGGI, SHAH ALAM, 40000 SELANGOR",03 - 56371367,gremontagro@gmail.com,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=62088&sid=3F4458AEE83723C4AC493BDD3400F03D,DAYA AWANA INDUSTRI SDN BHD,"NO 58, 60 & 62 JALAN BP1 TAMAN BERTAM PERDANA PULAU GADONG 75250 MELAKA",06 - 3367735,dayaawanaind@gmail.com,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=33362&sid=40BF2F3B9C20C93B592D9083BB7CE7E9,JC SYNERGY TRADING,"15A, BANGUNAN SULTAN JALAN BANGSAR  59200 KUALA LUMPUR",03 - 22822402,hardeenjc1@yahoo.com,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=95951&sid=C804C18201B75A401D2C63CF9BE1802E,CASA DE BRASS SDN BHD,LOT 19-ACD LEVEL 5 SUITE A MENARA PANDAN B PERSIARAN MPAJ JALAN PANDAN UTAMA PANDAN INDAH 55100 KUALA LUMPUR,017 - 2040993,anjungserihouse@yahoo.com,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=45616&sid=5445BF7250EF15236EF40CA72F35A1BA,VATA VM SYNERGY (M) SDN BHD,"39-A LEVEL 1 JALAN ANGGERIK VANILLA T31/T, KOTA KEMUNING SEKSYEN 31, SHAH ALAM 40460 SELANGOR",03 - 55253798,general@vata-vm.com,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10565&sid=ACFDC24C820A93B566C9917B3353AD7D,R.C.S. MANUFACTURING SDN BHD,PLO 48 JALAN RANI 3 JORAK INDUSTRIES BUKIT PASIR MUAR 84600 JOHOR,06 - 9859558,zehan28@gmail.com,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=92846&sid=BF3B8FB2C0F9DD03D06050C7BBCDD35E,SMART FERT SDN BHD,PT137998 JALAN PERIGI NENAS 8/7 KAWASAN PERUSAHAAN PULAU INDAH FASA 1 PORT KLANG 42490 SELANGOR,03 - 31015931,smartfert888@gmail.com,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=35829&sid=93596E06EC56D7D708ACD92A78CB26FD,LYL COATINGS SDN BHD,"LOT 2039, 9 BATU 3/4, KG PAYA PANJANG BKT PASIR MUAR 84300 JOHOR",06 - 9858090,jimmyong@crystalcoatings.com.my,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=96523&sid=6A39F69C828039F4186F5349897DBA99,CHEMIE EDAR SDN BHD,NO 8 JALAN MUTIARA EMAS 6/5 TAMAN MOUNT AUSTIN 81100 JOHOR,07 - 3575990,chemie.edar@gmail.com,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=8520&sid=4FF160AA08136881E2927FBFD5FB7589,GRP SDN BHD,"LOT 9 SOLOK SULTAN HISHAMUDDIN 7 KAWASAN PERUSAHAAN 20 SELAT KELANG UTARA, PORT KLANG 42000 SELANGOR",03 - 31765146,"jesslyn@grp,com.my",'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=2447&sid=322A143241D545C55175F50499753117,KHAI LIEN SILK SCREEN SUPPLIERS (M) SDN BHD,"36, JLN P10/21, SECTION 10 TMN INDUSTRI SELAMAN BANDAR BARU BANGI 43650 SELANGOR",03 - 89222988,klss@khailien.com.my,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=96971&sid=9F78AB5126B98624B5951CD398CF55CB,WINSTAR ALUMINIUM MANUFACTURING SDN. BHD.,LOT 46A SECTION 92A WISMA NCK 2 3 1/2 MILES JALAN SUNGAI BESI 57100 KUALA LUMPUR,03 - 79812076,pua@yk.com.my,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13904&sid=4C36332A55F1B2A293A447257D072C53,CEEBEE CHEMICALS SDN BHD,"6, JALAN WANGSA SETIA 4 WANGSA MELAWATI  53300 KUALA LUMPUR",03 - 41436688,cbc@ceebee.com.my,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=69497&sid=212A59A7894C37DEBC14CFDFB9212FA9,AIRESTEC SDN BHD,"UNIT NO. B-9/10, GATEWAY CORPORATE SUITES GATEWAY KIARAMAS, 1 JALAN DESA KIARA MONT' KIARA 50480 KUALA LUMPUR",03 - 62031923,estherelyena@airestec.com,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=97264&sid=6ED6DCB553FE12E8588EBF79D22B8AFD,NETWORK LAUNDRY STATION,NO 13 TIARA SQUARE JALAN TIARA 2 TAMAN PERINDUSTRIAN UEP SUBANG JAYA 47600 SELANGOR,016 - 3352490,networklaundry@gmail.com,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=92845&sid=B4B03F751B699C441B282473FE0AEACC,S K SPECIALTIES SDN. BHD.,NO 2 LORONG THEN KUNG SUK 3 UPPER LANANG INDUSTRIAL ESTATE SIBU 96000 SARAWAK,084 - 213688,skspecialties01@gmail.com,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=98401&sid=C9E35300C403F2AB3C043A4C74BBAB68,SHELTON TRADING COMPANY,87 JALAN TPP 1/12 BATU 12 TAMAN INDUSTRI PUCHONG 47100 SELANGOR,03 - 58911701,sheltonpuchong@hotmail.com,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=97275&sid=2AEDCDDC5A3F98EDB39752A5EE597E89,AMCO NIAGA SDN BHD,NO 43 JALAN DESA SERDANG 4 KAWASAN PERINDUSTRIAN DESA SERDANG SERI KEMBANGAN 43300 SELANGOR,03 - 89573070,amconiaga@yahoo.com,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=96930&sid=BE5DD2E2DFADC40855D94A83F6D9F7FB,IDIA CONNECT SDN BHD,SUITE 1.12 FIRST FLOOR BLOCK C DAMANSARA INTAN NO 1 JALAN SS 20/27 PETALING JAYA 47400 SELANGOR,03 - 20115049,amita@idiaconnect.com,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=14055&sid=DAC1D91E5FB3B3BE963CF5D11FF65EAC,SIN YONG GUAN INDUSTRIES SDN BHD,8 SOLOK RISHAH 2 KAWASAN PERINDUSTRIAN SILIBIN IPOH 30100 PERAK,05 - 5267231,alfred@syg53.com,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=4063&sid=A5884AD58CCE034B2E909C1FE3B28854,CHEMINDUS SDN BHD,"NO. 20 & 22,  JALAN SELAT SELATAN 6, OFF JLN BANTING  LANDPAC IND PARK PORT KLANG, 42000 SELANGOR",03 - 31683333,hosiewhar@chemindus.com.my,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=62784&sid=39196F86CDDBCD86BD3E1CF0A28E42FA,WARIS NOVE SDN BHD,B4 BANGUNAN KILANG TABUNG HAJI JLN GEBENG 3/2 KAWASAN PERINDUSTRIAN GEBENG 26080 PAHANG,09 - 5836992,waris_nove@yahoo.com,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=43955&sid=D912B09960C5A32EBD183E19289F1113,AL ASIA CHEMICAL INDUSTRY SDN BHD,"PLOT 348,LORONG PERINDUSTRIAN BUKIT MINYAK 22 PENANG SCIENCE PARK,MUKIM 13, SEBERANG PERAI TENGAH 14100 PULAU PINANG",04 - 5062023,sales@alasiachemical.com,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=98658&sid=49A5D956E1D4E0B14153D140D477C436,CJ BIO MALAYSIA SDN BHD,LOT Q KERTEH BIO POLYMER PARK PHASE 2 MUKIM KERTIH KEMAMAN 24300 TERENGGANU,09 - 8302429,chulsung.chang@cj.net,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=58270&sid=ADC7100AEFAA2C43D17FC85B9C90DF5D,GIFTED ICON SDN BHD,LOT 2-G-51 WISMA RAMPAI JALAN 45/26 TAMAN SRI RAMPAI 53300 KUALA LUMPUR,013 - 3978031,giftediconsdnbhd@gmail.com,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=99086&sid=1E5B94210FEFABDE69F6994407C294A4,DIIZ INDUSTRIES SDN BHD,10TH FLOOR MENARA NAZA 115 JALAN RAJA MUDA ABDUL AZIZ KAMPUNG BARU 50300 KUALA LUMPUR,03 - 26177642,izham@naza.com.my,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=62787&sid=B1159C515ED8EF0C606682199B2ACF28,SHAN POORNAM METALS SDN BHD,"PLOT 34 ( NO.1479), LORONG PERUSAHAAN MAJU 6 KAW PERINDUSTRIAN PERAI FASA 4 PERAI 13600 PULAU PINANG",04 - 5084841,rose_kuan@ensspm.com,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=98392&sid=ACF777B043B42FB8F5E9B728A3516313,MICROBS (M) SDN BHD,NO 20 JALAN PJS 11/18 BANDAR SUNWAY 47500 SELANGOR,03 - 56301219,johnhansoei@microbs.com.my,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=81672&sid=CEA1A49006DFA7BB131F4FD5617FC95F,ACP-DMT SDN BHD,ALLOYMTD GROUP 1 JLN BATU CAVES BATU CAVES 68100 SELANGOR,03 - 61951348,sales.acpdmt@alloymtd.com,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12925&sid=23B3B279BA2DB98ADD2C874B0DF0FC6D,NR CHEMICAL & ORGANIC INDUSTRY (M) SDN BHD,"BLOK 18 A~D KWSN INDUSTRI MARA FASA 3 PENGKALAN CHEPA, KELANTAN  16100 KELANTAN",09 - 7713939,nr_chemical@yahoo.com,'2017-09-14,
