HREF,TEL,DATE_SCRAPED,CONAME,BIZADD,FAILMSG,EMAIL
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=15534&sid=5045974CB3DD8ABFD8898DEF4926D4E4,012 - 6324778,'2017-08-02,MASHARUM CORPORATION SDN BHD,"10-5-2, 5TH FLOOR BLOCK D, JLN SEMARAK API 3 DIAMOND SQUARE COMMERCIAL CENTRE JLN GOMBAK, SETAPAK 53000 KUALA LUMPUR",,chanbeemy@yahoo.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=35962&sid=03C298BD825D7E39BFEDA2F104117987,07 - 9370610,'2017-08-02,PERUSAHAAN PERKAYUAN WAN FENG SDN BHD,"NO. 9 JALAN PWD, BATU ANAM, SEGAMAT, JOHOR.  SEGAMAT 85100 JOHOR",,wanfeng9331@yahoo.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=85736&sid=56D038DE5D1D03D6259B646C7A6D016A,04 - 4234376,'2017-08-02,PERMATA MAKMUR SDN BHD,13-B LORONG 20 TAMAN PETANI JAYA 08000 KEDAH,,permatamakmur@gmail.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=6192&sid=E4FE9DD2306B30813434E16A0C38F47E,03 - 82101015,'2017-08-02,MIH HOLDINGS SDN BHD,"1ST FLOOR, LOT 503A JALAN MEDAN BANGI, OFF PERSIARAN BANDAR DIAMOND BUSINESS PARK, BANDAR BARU BANGI 43650 SELANGOR",,marketing@mihholding.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=14675&sid=83252B32D4EFA64B4B2F42EF80C590C6,03 - 27755879,'2017-08-02,VAKMINAY SENDIRIAN BERHAD,"C26, 2ND FLOOR PLAZA PEKELILING 2 JLN TUN RAZAK 50400 KUALA LUMPUR",,siva@vakminay.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10144&sid=395F9DEA1915C2BBB145E737D7CFCDFF,088 - 436993,'2017-08-02,KINABALU ENGINEERING MALAYSIA,"P.O. BOX 417, TAJUNG ARU KOTA KINABALU 88858 SABAH",,nora_kem@yahoo.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13334&sid=DF014B3B13EF96E1290AFC01AE5F36B8,03 - 87391670,'2017-08-02,PLEATED ROSE SDN BHD,"LOT A-02-21 JALAN SRI KENARI 10 TAMAN SRI KENARI, SUNGAI CHUA KAJANG 43000 SELANGOR",,enquiry@pleated-rose.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=76072&sid=BCAB4152EEB63962FB722F7D998A6DC3,09 - 2272641,'2017-08-02,MEGAPLY INDUSTRIES (M) SDN BHD,"LOT 21, KAWASAN PERINDUSTRIAN SONGSANG TEMERLOH  28000 PAHANG",,md@megaply.org
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=76252&sid=5814419CDD9CFAEF05AE1EA699088A5D,03 - 61575585,'2017-08-02,FOO BEE NATURAL WOOD PRODUCTS SDN BHD,LOT 2775A KAMPUNG BARU SG. BULOH 47000 SELANGOR,,ykcc@yk.com.my
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=76260&sid=E85E659E5B00D06E621D2D4FD025B368,06 - 4920048,'2017-08-02,KILANG PAPAN SAM LIM SDN BHD,1 JALAN BESAR SIMPANG PERTANG 72300 NEGERI SEMBILAN,,kpsamlim@gmail.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=6013&sid=676286D06EA278A51B77363122A1A7D9,09 - 2960773,'2017-08-02,WEXXIM HOLDINGS SDN BHD,"12,  JALAN DATO' BAHAMAN 2 LURAH TEMERLOH TEMERLOH 28000 PAHANG",,enquiry@wexxim.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=73775&sid=344F2AEA3FBB66AF66E3C2321DFBC761,017 - 6200420,'2017-08-02,GREENCRAFT LANDSCAPE SDN BHD,"LEVEL 23-1, PREMIER SUITES 1 MONT KIARA 1 JALAN KIARA, MONT KIARA 50480 KUALA LUMPUR",,info@greencraft.com.my
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11659&sid=58CB1AFDA4C77281B0A8E01437397805,09 - 6861155,'2017-08-02,LOW FATT WOOD INDUSTRIES SDN BHD,"20TH MILE, AJIL JALAN KUALA BERANG HULU TERENGGANU 21800 TERENGGANU",,lfwood@lfwood.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=77775&sid=8638D9D5F853604A078FB99ABBDCD1B2,03 - 54816601,'2017-08-02,B & C MATERIALS WORLD WAREHOUSE,"360104, KEMUNCAK JALAN TENGKU AMPUAN RAHIMAH 9/20 SHAH ALAM 40100 SELANGOR",,deliayip@bcmater.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=80909&sid=15C43033777ED2E994416013288B7875,019 - 7156818,'2017-08-02,TATEE ENTERPRISES SDN BHD,"29, JALAN WAKAF CENTURY GARDEN JOHOR BAHRU 80300 JOHOR",,ponchiahwee@gmail.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=76529&sid=427801D2B5B447539A2665E84FEFC098,07 - 4329440,'2017-08-02,BIG FIVE INDUSTRIES SDN BHD,45A JALAN MOHD AKIL BATU PAHAT 83000 JOHOR,,infobfi2014@gmail.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=4349&sid=2279E05AB8630FC4BD79AAD4C65FAA50,09 - 8591122,'2017-08-02,PESAMA TIMBER CORPORATION SDN BHD,KAW PERINDUSTRIAN JAKAR CHUKAI KEMAMAN 24000 TERENGGANU,,info@pesama.com.my
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=8142&sid=7A647C79B73F102B68EB24F7EAAE1CFC,09 - 6313157,'2017-08-02,KPMY TIMBER MART SDN BHD,"D987, BKT KUBANG JAMBU JALAN KELANTAN KUALA TERENGGANU 20050 TERENGGANU",,mohdshoki@netscape.net
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=74115&sid=951EE7A12A1C6D17B8AED9A521111570,082 - 238737,'2017-08-02,KILAUAN BINTANG LUMBER SDN BHD,"LOT 2564, 1ST FLOOR WISMA KUEH HOCK KUI JALAN SATOK, KUCHING 93400 SARAWAK",,esyasalle@gmail.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=39465&sid=E497120EA1FE77D391B3D9750237E88A,03 - 41497663,'2017-08-02,SIGNATURE POPS SDN BHD,66-1 JALAN 2/23A DANAU KOTA OFF JALAN GENTING KLANG SETAPAK 53300 KUALA LUMPUR,,rohani@sign-p.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=71729&sid=02110D184A47D609A772A1501F086950,04 - 5833220,'2017-08-02,WOOD SOLUTION SDN BHD,"PLOT A26, LORONG BAKAU KAW PERUSAHAAN PERABOT SG BOANG SUNGAI BAKAP 14200 PULAU PINANG",,sales_care4u@welleytimber.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=33328&sid=DB504C7247E07F6FADD908D776FE5A1C,07 - 2523688,'2017-08-02,WOODSFIELD TIMBER INDUSTRIES SDN BHD,"PLO 301, JALAN PEKELILING KAW PERINDUSTRIAN PASIR GUDANG PASIR GUDANG 81700 JOHOR",,roziah@woodsfieldgroup.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=73782&sid=3C0323E05BBB4261A1347D35B6E61167,07 - 4556613,'2017-08-02,AVL INDUSTRIES SDN BHD,3B JALAN WAWASAN 16 KAW PERINDUSTRIAN SRI GADING II BATU PAHAT JOHOR 83300 JOHOR,,info@avl.com.my
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=9114&sid=694205D8B3F18C95653673AFDF5D8BEE,082 - 332611,'2017-08-02,KTS TIMBER INDUSTRIES BERHAD,"LOT 1319, SECTION 66, KTLD PENDING INDUSTRIAL ESTATE P.O. BOX 1867 KUCHING 93738 SARAWAK",,wonghs55@gmail.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=72165&sid=AB39791ECCC605C1672CBA2B5097D80D,03 - 80628589,'2017-08-02,FLOOR DEPOT EXPORT SDN BHD,"92 & 94 JALAN PUTERI 5/5 BANDAR PUTERI, PUCHONG 47100 SELANGOR",,yhchan@floordepot.my
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=72172&sid=DAA1DD40DF32E1174F912773F3E1770B,03 - 80628589,'2017-08-02,FLOOR DEPOT TRADING SDN BHD,92 & 94 JALAN PUTERI 5/5 BANDAR PUTERI PUCHONG 47100 SELANGOR,,yhchan@floordepot.my
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=69159&sid=608D96501C84015521378CAD23E53E82,07 - 8613222,'2017-08-02,COMMON WOOD PRODUCTS SDN BHD,"LOT *35 & 837, BATU 13 3/4 JALAN SUNGAI TIRAM ULU TIRAM 81800 JOHOR",,commonwd@hotmail.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=32180&sid=2766257C0B04BA273B70D100B1E17614,082 - 661282,'2017-08-02,BRAVO GREEN SDN BHD,LOT 44 & 45 KOTA SAMARAHAN INDUSTRIAL ESTATE KOTA SAMARAHAN 94300 SARAWAK,,fsku@cdc.net.my
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=69199&sid=8626308A74CFEFBFED2FC3DA73B56035,03 - 32906211,'2017-08-02,SIM SENG HUAT TIMBER INDUSTRIES SDN BHD,"LOT 6543 JALAN SUNGAI PULOH OFF JALAN KAPAR BATU 5 1/4, KLANG 42100 SELANGOR",,simsenghuat8@gmail.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=70746&sid=60AF7FF58E7C489A80476880ECDE365E,085 - 423373,'2017-08-02,ECOHOME GLOBAL SDN BHD,"LOT2454, GROUND FLOOR BOULEVARD COMMERCIAL CENTRE JLN MIRI-PUJUT, MIRI 98000 SARAWAK",,ecohome.account@hotmail.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=53422&sid=4B03D0289FB101ABE18DDFAB8223D6E5,03 - 87230677,'2017-08-02,ASA DESIGN SDN BHD,"29, JALAN P2/13, SECTION 2 BANDAR TEKNOLOGI KAJANG  43500 SELANGOR",,asadesignsb@gmail.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=70745&sid=AA3CA434045E44B9B9DF971DBDE9867B,085 - 428373,'2017-08-02,ECOHOME INDUSTRIES SDN BHD,"LOT3952-3953, JALAN DATO PERMAISURI PERMY JAYA TECHNOLOGY PARK LUTONG 98100 SARAWAK",,ecohome.account@hotmail.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=60105&sid=EC79541D38DB35D50362574137870240,03 - 78452183,'2017-08-02,ASIA TIMBER HOUSE SDN BHD,"LOT 3734, LORONG 1D, OFF JALAN BUKIT BADAK KG BARU SUBANG SHAH ALAM 40150 SELANGOR",,eddie@ath.com.my
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=34877&sid=0EE49740A8B5D7FC31FFEC683CA95CC0,03 - 61888331,'2017-08-02,HADAKO TECHNOLOGY SDN BHD,"24B, JALAN 10 TAMAN BATU BATU CAVES 68100 SELANGOR",,norsu_asasra@yahoo.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=69404&sid=E1AD7BB6A4CCCF9F259C908F092C9222,05 - 8068299,'2017-08-02,SHAWATECH (M) SDN BHD,"1,(3RD FLOOR) JALAN WAYANG GAMBAR TAIPING 34000 PERAK",,cindy_shawatech@hotmail.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=6703&sid=F4FFC53C5E6CF7558E36911BCF66929E,084 - 348744,'2017-08-02,TA ANN PLYWOOD SDN BHD,"LEVEL 3B,TA ANN BUILDING 6, JALAN RAWANG SIBU 96000 SARAWAK",,lily@taann.com.my
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=3293&sid=D22AB48548112264D5D211A3AD656DA2,086 - 316700,'2017-08-02,CIPTA BRIQUETTES SDN BHD,"LOT 2604, BLOCK 32, KEMENA INDUSTRIAL ESTATE, PHASE I, BINTULU, 97000 SARAWAK",,cb_gmd@cipta.com.my
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=33558&sid=5DBEEFAE1EFF1C44A47A30F922235BB0,07 - 6561030,'2017-08-02,MW DECOR CENTRE SDN BHD,"LOT 55-56, BATU 28.3/4 JALAN AIR-HITAM, AIR BEMBAN KULAI 81020 JOHOR",,mwdecor@gmail.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=53575&sid=4F7F1457774CAA933981706CEAF9B81B,06 - 7997023,'2017-08-02,INTERPRINT DECOR (MALAYSIA) SDN BHD,"LOT 121 JALAN PERMATA 2, ARAB-MALAYSIAN INDUSTRIAL PARK, 71800 NILAI NEGERI SEMBILAN DARUL KHUSUS 71800 NEGERI SEMBILAN",,Vijaya.Shanthi@interprint.com.my
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=71085&sid=CF22C81C854F9A1C4196D6B9705892F8,04 - 5939950,'2017-08-02,KENSON TIMBER SDN BHD,"2317 JALAN SURAU, SUNGAI KECIL NIBONG TEBAL 14300 PULAU PINANG",,kerly.kensontimber@gmail.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=6497&sid=87ACC3C66A42C15CFECFB071ADE782FF,082 - 237533,'2017-08-02,TA ANN HOLDINGS BERHAD,"6TH FLOOR, WISMA NAIM 21/2 MILE ROCK ROAD KUCHING 93200 SARAWAK",,tahb1@taann.com.my
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=59991&sid=7459A3C7114E567FF2E815922F1CEA89,07 - 7723122,'2017-08-02,ASIA CARBON PRODUCTS SDN BHD,"37-38, JALAN PAYA 1/3 KAMPUNG PAYA KLUANG 86000 JOHOR",,JTanLiPeng@yahoo.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=6611&sid=AFD8A03E674A72CAFE8BCD2B4C800FB2,04 - 3992828,'2017-08-02,FIRST SPORTS EQUIPMENTS SDN BHD,"1022, JALAN BARU TAMAN BUNGA RAYA BKT MERTAJAM 14000 PULAU PINANG",,ftrading1975@gmail.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=43914&sid=22CBA754C221B9600B4E3C0FB914F628,03 - 33183547,'2017-08-02,IMPRESSWOOD SDN BHD,NO.33 JALAN KASUARINA 10/KS7 BANDAR BOTANIK KLANG 41200 SELANGOR,,impress@streamyx.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=6782&sid=631E8E721EE498DDBBC86383D6EA4F4D,03 - 31662233,'2017-08-02,MEDITERANEAN SEA TIMBER TRADING CO.,"LOT 14269, JALAN PERUSAHAAN 26 OFF JALAN BANTING, PANDAMARAN PORT KLANG 42000 SELANGOR",,mstimber@hotmail.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=58041&sid=29F13D781B10596F8B1C24A8D29362A0,084 - 333636,'2017-08-02,KOH YING INDUSTRIAL SDN BHD,"LOT 266, SG. MERAH TOWN DISTRICT SIBU  96000 SARAWAK",,kohying82@gmail.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=80912&sid=6A36DA898F44E76FE22F7B113C697DD8,03 - 31626782,'2017-08-02,NEW CHANG HUA SDN BHD,"PT 14217 , JALAN PERUSAHAAN 24, KAW PERINDUSTRIAN KAMPUNG IDAMAN, PANDAMARAN PORT KLANG,SELANGOR 42000 SELANGOR",,newchanghua@gmail.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=3416&sid=D3D9F446544403ECBFF442A7D7D8CBBC,086 - 336677,'2017-08-02,MANUPLY WOOD INDUSTRIES (S) SDN BHD,"LOT 3384, BLOCK 32, K.L.D KEMENA INDUSTRIAL ESTATE P.O.BOX 2093, BINTULU 97008 SARAWAK",,mkt@pphl-msb.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=78056&sid=B60CDBEBD6A98A8444C92B2B16EE5FED,03 - 80816012,'2017-08-02,EXCEL FLOOR SDN BHD,NO 1 LATITUDE JALAN SUBANG 7 TAMAN PERINDUSTRIAN SUBANG USJ 1 47500 SELANGOR,,kelvinboo@excelfloor.com.my
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=50332&sid=C17FA96B23F08CA062867F3B082C7F60,03 - 41490668,'2017-08-02,PIY SDN BHD,"53-3 BLOCK E, PLATINUM WALK DANAU KOTA SETAPAK 53300 KUALA LUMPUR",,info@piy.com.my
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=34460&sid=31F0B14B467E60D8C2192D2B36AE681B,06 - 7673668,'2017-08-02,LENDECOR PANEL SDN BHD,"274, PERSIARAN INDUSTRIAL GALLA 1 GALLA INDUSTRIAL PARK JALAN LABU 70200 NEGERI SEMBILAN",,info@lendecor.com.my
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11619&sid=C4BE18FE8AE04FD4CA3D2E6385C70664,03 - 61578550,'2017-08-02,ME INDUSTRIES SDN BHD,"23,  JALAN CECAWI PSB 6/19A SECTION 6, KOTA DAMANSARA PETALING JAYA 47810 SELANGOR",,info@mefloor.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=9233&sid=2A13D74333F80D85BF152E028636116D,03 - 33412000,'2017-08-02,SHINANO CORPORATION SDN BHD,NO.48C JLN PASAR KLANG  41400 SELANGOR,,dannyoh@shinano-co.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=68992&sid=5FB104CFA032109A34539B871821FE97,06 - 9531133,'2017-08-02,KD CORPORATE (M) SDN BHD,"PTD 5276,2ND FLOOR, JALAN BAKRI OFF JALAN DATO HAJI KOSAI MUAR 84000 JOHOR",,azniza2012@gmail.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=60041&sid=A5B4CA8F72100CFD5D0C8741ECA8B2C6,03 - 33701301,'2017-08-02,AL-HIRAH HOLDINGS SDN BHD,"29A, JALAN TELUK PULAI KAWASAN 7 KLANG 41100 SELANGOR",,info@al-hirah.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=4986&sid=FD3B515161692EEFEF70322A4B2EF183,03 - 20708133,'2017-08-02,SUMUR CAHAYA SDN BHD,35TH FLOOR UBN TOWER LOT 10 JLN P. RAMLEE P.O.BOX  10297 50710 KUALA LUMPUR,,mary.cham@sumitomocorp.co.jp
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12674&sid=2ACE280FA84FBDC73648058202A521C1,06 - 3519367,'2017-08-02,ADUNAN KOMERSIL (M) SDN BHD,"PLOT 8, FASA 4C JALAN PBR 33 KAW PERINDUSTRIAN BKT RAMBAI 75250 MELAKA",,adunan_88@yahoo.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=34533&sid=D7A51E24CBE3FB6B98A8E002E52B8A2E,085 - 426993,'2017-08-02,LEXIS INTERNAZINALE SDN BHD,2ND FLOOR LOT 676 PERMAISURI ROAD MIRI 98000 SARAWAK,,enquiries@lexis-international.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=7993&sid=63E9BF0BB9D8F64A7C24888545E51331,082 - 332136,'2017-08-02,ADORE PRODUCTIONS SDN BHD,"SUBLOT 18A, BLOCK C, 1ST FLOOR PEARL COMMERCIAL CENTRE JALAN TUN RAZAK, KUCHING 93450 SARAWAK",,adorepro@yahoo.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=74628&sid=F5E7B3AC7936CE63065BED7072F74A1A,07 - 3543119,'2017-08-02,SIANG FATT SDN BHD,"43 & 45, JALAN WAJA 4 TAMAN PANDAN JOHOR BAHRU 81100 JOHOR",,siangfatt@gmail.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11118&sid=9EC92D2F7828C605D1204293794AE0A0,09 - 2779876,'2017-08-02,YOLTAN CORPORATION (PAHANG) SDN BHD,"9, JALAN INDUSTRI 3 TAMAN PERINDUSTRIAN TEMERLOH MENTAKAB 28400 PAHANG",,ycp@yoltan-biofuels.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=5384&sid=674BC1E7446781E7384165011422983D,09 - 2781822,'2017-08-02,P.U. PICTURE FRAME MOULDING (M) SDN BHD,LOT 22A & 23 SONGSANG INDUSTRIAL ESTATE TEMERLOH 28000 PAHANG,,connie@pu.com.my
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=42102&sid=F30EF544B17A9AEDBD2CB07DB5005EC5,05 - 8497181,'2017-08-02,COOPAS SDN BHD,LOT 6018 KG SETIA OFF SIMPANG HALT SIMPANG TAIPING PERAK 34700 PERAK,,coopas.cfsb@gmail.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=44221&sid=6546997158D9A76D63F3A4734F582901,03 - 80628589,'2017-08-02,PROLANTA SDN BHD,"92 & 94, JALAN PUTERI 5/5 BANDAR PUTERI PUCHONG 47100 SELANGOR",,kglee@kronoloc.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=74610&sid=E4007C414C7EE709D435CDB0201552CD,03 - 61560880,'2017-08-02,ICA INNOVATION SDN BHD,"2, JALAN T.S.B.8 TAMAN INDUSTRI SG.BULOH JALAN SUBANG 47000 SELANGOR",,ericlcc66@gmail.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=61617&sid=8ADD81D5F519FF414E3CE8D8B8C0249D,013 - 3629788,'2017-08-02,OCTI QUANTUM,91 JALAN LAZAT 7 TAMAN GEMBIRA 58200 KUALA LUMPUR,,liewtv99octiquantum@gmail.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=15048&sid=1E7978FE29D252BED15B9A04E483C5D4,03 - 56316588,'2017-08-02,DAWN MATERIAL SDN BHD,"3A, LOT 765, JALAN SUBANG 4   47610 SELANGOR",,dave@dawn-asia.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=35108&sid=4086B395E6B2116FCB0530EB2DD18CD0,03 - 32905507,'2017-08-02,STANDARD WOOD PRODUCTS SDN BHD,"LOT 6504-H, JALAN KAPAR 5 3/4 MILE, KLANG  42100 SELANGOR",,standardwood2001@gmail.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=60117&sid=D0EAA244A8767B6C402404155AA77F78,01 - 66446600,'2017-08-02,T PLYWOOD FACTORY,"360104, KEMUNCAK, JALAN TENGKU AMPUAN RAHIMAH 9/20 SHAH ALAM 40100 SELANGOR",,deliayip@hotmail.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=46661&sid=B5116328CBA147680DD6A97391FFCE21,03 - 62616752,'2017-08-02,B52 TRADING SDN BHD,B29-2 MENARA CITY ONE NO.3 JALAN MUNSHI ABDULLAH KUALA LUMPUR 50100 KUALA LUMPUR,,b52trading@gmail.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=34625&sid=1AEDF4E0E6FD7B713D5607379F7F2659,07 - 9856333,'2017-08-02,GOLDEN TECH FURNITURE INDUSTRIES SDN BHD,"LOT 4769, BATU 9, KAMPUNG PAYA PANJANG BUKIT PASIR MUAR 84000 JOHOR",,fong@goldentechfurniture.com
