DATE_SCRAPED,FAILMSG,TEL,HREF,EMAIL,CONAME,BIZADD
'2017-08-04,,012 - 6992604,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=97509&sid=AEE398090C05F9291AB292BE0C194157,aliyahbarakbah@ningsalmah.com,LEGASI NING SALMAH SDN BHD,22A TINGKAT 3 JALAN 17/54 SEKSYEN 17 PETALING JAYA 46400 SELANGOR
'2017-08-04,,06 - 3351515,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=9890&sid=4405DA233956D7F907D5F961634DC0D2,eng@xepasp.com,XEPA-SOUL PATTINSON (MALAYSIA) SDN BHD,1-5 CHENG INDUSTRIAL ESTATE  75250 MELAKA
'2017-08-04,,03 - 62501168,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=64385&sid=512B5DAB7AE4916C00D09161ACF56B6D,tracy@royalwhiteskincare.com,COSPHARM LIFESTYLE SDN BHD,B-G-16 JALAN METRO PERDANA 2 TAMAN USAHAWAN KEPONG 52100 KUALA LUMPUR
'2017-08-04,,06 - 7942018,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=57275&sid=77E8AE5225105A2A0DAAFE55AF27A158,admin@hanamedicsdnbhd.com,HANA MEDIC SDN BHD,"NO. 3, JALAN NILAM 3/1, KAWASAN PERINDUSTRIAN NILAI UTAMA, NILAI 71800 NEGERI SEMBILAN"
'2017-08-04,,017 - 2496482,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=105115&sid=400E2F67240685880EBE9DFFE51ED484,jambang99@gmail.com,BIOZONE MARKETING & INDUSTRY ENTERPRISE,LOT 1939 C JALAN SUASA KAMPUNG BUKIT CHANGGANG BANTING 42700 SELANGOR
'2017-08-04,,017 - 3250568,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=65210&sid=1530E84C408998EAE745320F0956A890,zuhari@yahoo.com,BLOSSOM VIEW SDN BHD,NO. 16 LORONG PERMAI 3 KG. TASEK PERMAI 68000 SELANGOR
'2017-08-04,,03 - 92745131,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=82768&sid=F3BD4DA8704ECA2C894F46D38B5DD561,marketing@craftinternationals.com,CRAFT INTERNATIONALS GROUP SDN BHD,"18, JALAN PERDANA 10/12 PUSAT PERDAGANGAN TASIK PERDANA PANDAN PERDANA 55300 KUALA LUMPUR"
'2017-08-04,,09 - 7717611,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=67749&sid=09BDB2730B65A05AC60167863103AC43,seri_wv@yahoo.com,SERI WV SDN BHD,"BT 8, FASA 2, HALAL PARK KAW INDUSTRI MARA, PADANG TEMBAK PENGKALAN CHEPA 16100 KELANTAN"
'2017-08-04,,12 - 6496964,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=105273&sid=C3390315E98C5FA2E254D2340A7C349C,pbexenterprise@gmail.com,PBEX ENTERPRISE,RB23A-5 RIVERCITY CONDOMINIUM 3RD MILE JALAN IPOH 51200 KUALA LUMPUR
'2017-08-04,,019 - 2112025,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=73761&sid=8D0D9EB313D12F2CA9E8392C27080C76,kuemwellnesscare@gmail.com,KU EM GLOBAL SDN BHD,30 LORONG BUNGA MATAHAORI 1A TAMAN MAJU JAYA 56100 KUALA LUMPUR
'2017-08-04,,03 - 31655772,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=7067&sid=879094749C92E7B361CB62DCC8DBE610,sales@lemayn.com,LEMAYN CORPORATION SDN BHD,"51, JALAN SELAT SELATAN 3 LAND PAC INDUSTRIAL PARK PORT KLANG 42000 SELANGOR"
'2017-08-04,,03 - 77701163,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=96756&sid=85579E8858DC8FE7B42E5CC8AE8E2D10,JONAS@AVIDERM.COM.MY,DERMAC CORPORATION SDN BHD,"NO 8, 8-1 8-2 JALAN AWAN MAKMUR TAMAN OUG SQUARE JALAN KELANG LAMA 58200 KUALA LUMPUR"
'2017-08-04,,03 - 78657383,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=94214&sid=C0C438E8FA1EB2406EF11178232F5689,sakthi@galactic-eng.com,GALACTIC ADVANCE ENGINEERING (M) SDN BHD,NO 11 JALAN SS1/39 KAMPUNG TUNKU PETALING JAYA 47300 SELANGOR
'2017-08-04,,03 - 21611585,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=104335&sid=337F1662E96A84222133C8A767154576,fauzie@ajpharmaholding.com,AJ BIOLOGICS SDN BHD,LEVEL 4 MENARA ATLAN JALAN AMPANG  50300 KUALA LUMPUR
'2017-08-04,,03 - 91715329,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13530&sid=7DC888E14F9678DA92E59D2A620C509F,info@mynaturalwellness.com,NATURAL WELLNESS INDUSTRIES SDN BHD,"78, JALAN KILANG MIDAH TAMAN MIDAH CHERAS 56000 KUALA LUMPUR"
'2017-08-04,,03 - 62019690,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=100340&sid=51E64B52992B647AE28EBB621EEC3808,zrazali@inqpharm.com,INQPHARM GROUP SDN. BHD.,E-16 PLAZA MONT KIARA 2 JALAN KIARA  50480 KUALA LUMPUR
'2017-08-04,,03 - 90548186,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=98003&sid=9BD12D7D519CDB0E131E3FDECA918A40,esther@erycalifescience.com,ERYCA LIFE SCIENCE SDN BHD,NO 58-2 JALAN TASIK UTAMA 7 MEDAN NIAGA TASIK DAMAI SUNGAI BESI 57000 KUALA LUMPUR
'2017-08-04,,018 - 2051663,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=102807&sid=67A03317CB5139A540AF97CC7C82FB1C,sweetncomp@gmail.com,SWEET & COMP TRADING,NO 50 JALAN PJU 1A/1F ARA DAMANSARA PETALING JAYA 47301 SELANGOR
'2017-08-04,,03 - 62735934,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=103364&sid=2A446CC66C493FA0BEBEED857838F175,Tricholab@ymail.com,TRICHOLAB (M) SDN.BHD.,NO 22A JALAN EIP3 TAMAN EHSAN INDUSTRIAL PARK KEPONG 52100 KUALA LUMPUR
'2017-08-04,,03 - 67340046,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=103884&sid=C7320416A0335D543C843608C9E56528,nostressgalaxy@gmail.com,SADOMEN HEALTHCARE GLOBAL SDN BHD,NO 26-1 BLOK A PLATINUM WALK NO 2 JLN LANGKAWI SETAPAK 53000 KUALA LUMPUR
'2017-08-04,,019 - 8988180,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=102179&sid=FA821BD38970873A40A9BD57BCB48CBF,kennedy@sarangbaram.com,SARANG BARAM SDN BHD,NO 1-23AB JALAN DESA 1/3 DESA AMAN PURI  52100 KUALA LUMPUR
'2017-08-04,,03 - 87334213,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=82865&sid=5D1D62E065722B7C5E6200645ED29BC0,tahramajestic@gmail.com,TAHRA MAJESTIC SDN BHD,"31-1, JALAN SEKSYEN 3/4 TAMAN KAJANG UTAMA KAJANG 43000 SELANGOR"
'2017-08-04,,04 - 3700733,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12433&sid=7DEBD3355A9D93FD4CF9EBF2193A0A7F,william@mauplus.com.my,POLYGON TRADERS SDN BHD,55-11C MENARA NORTHAM JALAN SULTAN AHMAD SHAH  10050 PULAU PINANG
'2017-08-04,,03 - 27856899,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=65801&sid=1BB4118BBA9112F50F7289ACAA41BEC6,admin@divazzinternational.com,DIVAZZ INTERNATIONAL SDN BHD,"LEVEL 23-1, PREMIER SUITE ONE MONT KIARA 1, JALAN KIARA JALAN KIARA, MONT KIARA 50480 KUALA LUMPUR"
'2017-08-04,,07 - 5620222,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=99457&sid=17F2FCE6A8CD8850C96AD891131A6503,drinkforlife15@gmail.com,D RINK ENTERPRISE,NO 20 JLN IMPIAN EMAS 7 TAMAN IMPIAN EMAS SKUDAI 81300 JOHOR
'2017-08-04,,07 - 9262112,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=43267&sid=74674A1AE28411E4E47CD42886A3D6CC,ki_mipearl@hotmail.com,DE FORMULATED LAB SDN BHD,24 JALAN KELEDANG TAMAN DAMAI JAYA 2 CHAAH 85400 JOHOR
'2017-08-04,,03 - 77826308,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=56590&sid=0CFCE30F078907AA7049425582E659C2,tee@kkgroup.my,SKCC LABORATORIES SDN BHD,"17, JALAN PJS 5/26 TAMAN DESARIA PETALING JAYA 46000 SELANGOR"
'2017-08-04,,03 - 74935198,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=100912&sid=09E595977FD6282F6BE68A48E49AF6E1,shiey74@yahoo.com,HAJAROSE MALAYSIA SDN BHD,SUITE 26 E111 BLOK E PHILEO DAMANSARA 1 NO 9 JALAN 16/11 OFF JALAN DAMANSARA PETALING JAYA 46350 SELANGOR
'2017-08-04,,04 - 2827703,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=83843&sid=BCA6CB5EB9112672AA0424508CB7AC9F,pearl_elegancegroup@yahoo.com,EJ DERMA TECHNOLOGY SDN BHD,312 JALAN JELUTONG  11600 PULAU PINANG
'2017-08-04,,03 - 61431133,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=78498&sid=15A97EB3B5210584D91236AA838AEDEE,mosfacsb@gmail.com,MOSFAC SDN BHD,26-3 (3RD FLOOR) JALAN 25/70A DESA SRI HARTAMAS 50480 KUALA LUMPUR
'2017-08-04,,07 - 3885088,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=81826&sid=E782F7EAD0B74A281BB03C4F7F457619,siewcheng.see@fiffybaby.com,FIFFY SDN BHD,8 JALAN BUKIT 5 KAW PERINDUSRIAN MIEL BANDAR SERI ALAM 81750 JOHOR
'2017-08-04,,03 - 61518566,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=15643&sid=9E91B0446278330502A5D28AF343DC1F,nabisar@drnabisar.com,CAMBRIDGE BIOTECHNOLOGY SDN BHD,M6 JALAN SB JAYA 1 TAMAN PERINDUSTRIAN SUNGAI BULOH JAYA SUNGAI BULOH 47000 SELANGOR
'2017-08-04,,03 - 41617974,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=75394&sid=5A9EC2F97FF204F777E8A141402D01FC,amarylliswellness@gmail.com,MR.,"24, JALAN TIARA KEMENSAH 1, KEMENSAH HEIGHTS  53100 KUALA LUMPUR"
'2017-08-04,,03 - 89208807,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=103888&sid=7147F0E328D81C6DCA6DCAC7D2549CBA,info@qmandaofficial.com,QIESTINAMANDA INTERNATIONAL SDN BHD,NO 9B JALAN MEDAN PUSAT 2D PERSIARAN BANGI SEKSYEN 9 43650 SELANGOR
'2017-08-04,,06 - 4414808,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=72842&sid=D3B25ACC0C12EE25401ED9A401E05145,jamessew333@gmail.com,GLOBAL PROD FACTORY SDN BHD,PL75 KAW IKS PULAU SEBANG TAMPIN POS 73000 MELAKA
'2017-08-04,,03 - 62720553,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10134&sid=3A59CC8F3AAD9CDE1D1013D0A391330C,bavani@franchworld.com,FRANCH WORLD (M) SDN BHD,"5, JALAN TEMBAGA SD 5/2 BANDAR SRI DAMANSARA  52200 KUALA LUMPUR"
'2017-08-04,,017 - 2828782,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=103005&sid=DC721F80B838DC2D72D8ECC99B05166F,senghunghygiene@gmail.com,SENG HUNG HYGIENE SUPPLIES SDN BHD,NO 45 JALAN INDUSTRI USJ 1/10 TAMAN PERINDUSTRIAN USJ 1 SUBANG JAYA 47610 SELANGOR
'2017-08-04,,04 - 5072057,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=73170&sid=E8F703E9F1EDDC887E43693CDE151CF8,admin@kenprima.com,KEN PRIMA COSMECEUTICALS SDN BHD,"PLOT 22, LORONG PERUSAHAAN MAJU 2 PRAI INDUSTRIAL ESTATE, PHASE 4 PRAI 13600 PULAU PINANG"
'2017-08-04,,019 - 9560581,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=78857&sid=E03CB082D0D3A9266C3BA63008016878,prolivlifesciences@gmail.com,PROLIV LIFE SCIENCES SDN BHD,"1340, JALAN SULTAN MAHMUD KUALA IBAI KUALA TERENGGANU 20400 TERENGGANU"
'2017-08-04,,011 - 12375736,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=103882&sid=EA2536E50665966D9A7658E2BE355DBC,elyo_kyra@yahoo.com,ELL KYRA BEAUTY ENTERPRISE,LOT 12307 NO 66 JLN INDAH 49 TAMAN MEDAN 42500 SELANGOR
'2017-08-04,,016 - 8190767,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=103975&sid=69D1EA398650125FF267D333F8E84660,hello@lovelusie.com,LOVE LUSIE ENTERPRISE,44 JALAN JERIJI U8/75 BUKIT JELUTONG SHAH ALAM 40150 SELANGOR
'2017-08-04,,06 - 7992778,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=69164&sid=4720D659E97763010D0B409739CB4824,enquiry@bioe.com.my,PHYTOBIOTECH SDN BHD,"LOT 5773 BLOCK 2&5, JLN EMAS NILAI INDUSTRIAL ESTATE 71800 NEGERI SEMBILAN"
'2017-08-04,,012 - 2818841,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=93780&sid=F8B9D292C9841F563448E74150EF01EB,wellcoating@gmail.com,WELL COATING SDN BHD,34 JALAN UTAMA 2/16 TAMAN PERINDUSTRIAN PUCHONG UTAMA PUCHONG 47100 SELANGOR
'2017-08-04,,09 - 5441462,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=104044&sid=3F9ADD13C6CBDCD9BA277B54636887F8,de-eyta@outlook.com,DE EYTA SDN BHD,5/1126 KAMPUNG CHENGAL LEMPONG   26100 PAHANG
'2017-08-04,,03 - 61403602,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=103919&sid=9452E6C065AB0B16DB743844995F979F,jill@epharma.com.my,E-PHARMA (M) SDN BHD,11 JALAN SB JAYA 11 TAMAN INDUSTRI SB JAYA SUNGAI BULOH 47000 SELANGOR
'2017-08-04,,03 - 90553347,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=104149&sid=26A237C4DC6A2C4967AFBFFE91FD6FA8,ardiniessentials@gmail.com,KS TWO GLOBAL SDN BHD,NO 26-5 JALAN 3/146 METRO CENTRE BANDAR TASIK SELATAN  57000 KUALA LUMPUR
'2017-08-04,,03 - 76110226,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=72717&sid=A92BB44F7BD907DFD831F462AB9161C4,suraya@sakuramalaysia.com,SAKURA MALAYSIA SDN BHD,"MENARA MITRALAND,DATARAN CAS CADES UNIT BG 23A, LEVEL 1, JALAN PJU 5/1 KOTA DAMANSARA 47810 SELANGOR"
'2017-08-04,,03 - 61563434,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=43884&sid=7CD0A668DED4C70A694D9A776621643E,radzihk@yahoo.com.my,RAZICO ENTERPRISE SDN BHD,B201 JALAN PJU 10/2A DAMANSARA DAMAI PETALING JAYA 47830 SELANGOR
'2017-08-04,,04 - 5309133,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=76068&sid=8F1A8DB7313BD6CACF79961EFA396711,pa@mymeiko.com,GOLDLIFE MARKETING SDN BHD,"3198, 1ST FLOOR, JALAN MAJU PUSAT PERNIAGAAN MAJU UTAMA BUKIT MERTAJAM 14000 PULAU PINANG"
'2017-08-04,,05 - 8072772,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=103409&sid=8E9A225B0C46EB060502C94FFBA1E230,info@dsiincorporated.com,DIAMOND STAR GLOBAL,LOT 3734 TUPAI LIGHT INDUSTRIAL AREA TAIPING 34000 PERAK
'2017-08-04,,012 - 2977363,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=103410&sid=590A97F1ACE5111D9DF3C6D387A1FC67,megawoodsb@gmail.com,MEGA AGARWOOD TRADING (M) SDN BHD,110 JALAN MELAKA RAYA 25 TAMAN MELAKA RAYA  75000 MELAKA
'2017-08-04,,03 - 61811994,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=103414&sid=160E9A5D3FEE3C167FA186721912351F,szament@gmail.com,Z &S SUPPLIER,NO 26A-1 JALAN SM 2 SUNWAY BATU CAVES BATU CAVES 68100 SELANGOR
'2017-08-04,,03 - 62634886,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=81822&sid=16C5FCF6A70B9A815F31C157695978E5,admin@chriszen.com,MISS ROSE SDN BHD,16 JALAN IDA 1B PERINDUSTRIAN DESA AMAN KEPONG 52200 KUALA LUMPUR
'2017-08-04,,03 - 61401180,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=7913&sid=A4CEC33F37E9C2C70692B5C8747DCBF7,info@al-meswak.com.my,AL-MESWAK MU'MIN SDN BHD,"LOT 4, GATE C, JALAN TEKNOLOGI 3/6 SECTION 3, TAMAN SAINS SELANGOR 1 KOTA DAMANSARA, PETALING JAYA 47810 SELANGOR"
'2017-08-04,,05 - 2014192,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=84086&sid=349819AD8F81065DD432F163D42B880A,info@excelvite.com,EXCELVITE SDN BHD,"LOT 56442, 7 ½ MILE JALAN IPOH/CHEMOR CHEMOR 31200 PERAK"
'2017-08-04,,04 - 9161767,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11431&sid=74A67A5A7522AD0E8578DC12C6F02A1A,suriati.mokhtar@gmail.com,DARULAMAN HOMEOPATHIC LABORATORIES (M) SDN BHD,"LOT 59, 60 & 61 TAMAN INDUSTRI K.E.D.A. NAPOH JITRA 06000 KEDAH"
'2017-08-04,,06 - 9872588,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=76020&sid=7A6A2EFE07BDE25A574232D9A3880140,vincechua@biofactlife.com,TIMO INTERNATIONAL SDN BHD,LOT 5094 KAW PERINDUSTRIAN PARIT JAMIL MUAR 84150 JOHOR
'2017-08-04,,03 - 78858823,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=104392&sid=920082C0F0B1AC76C98EEB889282DEB4,perfectwealthery@hotmail.com,PERFECT WEALTHERY BEAUTY SDN. BHD.,F-2-07 JALAN PJU 1A/41B PUSAT DAGANGAN NZX ARA JAYA PETALING JAYA. 47301 SELANGOR
'2017-08-04,,030 - 0123838030,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=96089&sid=3B27F4FB72D10078BEA77906314EDED9,chencarine@gmail.com,SCIENTIST LAB,NO 35 JALAN SETIA INDAH U13/13N SETIA ALAM SHAH ALAM 40170 SELANGOR
'2017-08-04,,03 - 86053638,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=76846&sid=6A560FA5AE02DCA16D2FAB3611EF4FF3,admin@dswissbeauty.com,DSWISS SDN BHD,"A-08-06, TROPICANA AVENUE TROPICANA GOLF & COUNTRY RESORT PETALING JAYA 47410 SELANGOR"
'2017-08-04,,03 - 87333878,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=103874&sid=F319A15143137A4DABE254E99DB98626,PurchasingGroup@ginvera.com.my,ATTRACTIVE AVENUE SDN BHD,LOT 2297 KAWASAN PERUSAHAAN BUKIT ANGKAT SG CHUA KAJANG 43000 SELANGOR
'2017-08-04,,03 - 87392588,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=75427&sid=05C98E04B441446207DB45A6B0A9BF8E,info.dfmfg@gmail.com,DONG FOONG MANUFACTURING SDN BHD,42 JALAN SECTION 1/21 TAMAN KAJANG UTAMA 43000 SELANGOR
'2017-08-04,,03 - 89251222,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11940&sid=00A6B13FC57AD6973B09BCDECC231EA2,alex.ewe@bioa.net,BIOALPHA INTERNATIONAL SDN BHD,NO. 10 JALAN P/9A SEKSEN 13 BANDAR BARU BANGI 43650 SELANGOR
'2017-08-04,,016 - 2172747,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=94240&sid=94E864B49529D1A29B6979916F1DE4A5,eghealthnbeauty@gmail.com,EG HEALTH & BEAUTY SDN BHD,"B-3A-09 EMPIRE SOHO EMPIRE SUBANG, JALAN SS16/1 SS16 SUBANG JAYA 47500 SELANGOR"
'2017-08-04,,04 - 7328389,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=64766&sid=DC9BB012B6AA5F79E3EAA0E7DEE30CC1,pgkhoo@tastiway.com,DKE INNO IN BIOTECH SDN BHD,"30, KOMPLEKS PERNIAGAAN GANGSA JALAN GANGSA 1 ALOR SETAR 05150 KEDAH"
'2017-08-04,,03 - 41310160,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=61714&sid=1A14B6601A5FA88ED5A86F995227C1CF,nnaylis@yahoo.com,NORRAS RESOURCES SDN BHD,"SUITE A--0-10,SETIAWANGSA BISINESS SUITE JALAN SETIAWANGSA 11,TAMAN SETIAWANGSA KUALA LUMPUR 54200 54200 KUALA LUMPUR"
'2017-08-04,,03 - 78858823,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=104391&sid=DB5F3C02D68CD29F1896219E0380408E,cadeyrnbeautycare@hotmail.com,CADEYRN BEAUTY CARE MARKETING SDN BHD,F-2-07 JALAN PJU 1A/41B PUSAT DAGANGAN NZX ARA JAYA PETALING JAYA. 47301 SELANGOR
'2017-08-04,,603 - 55692635,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10085&sid=4A5E06F4DEA24083D4F6B7EB4930F22B,phoebe@emark.com.my,Q-PACK (M) SDN BHD,"2, JALAN U1/17, SECTION U1 HICOM GLENMARIE INDUSTRIAL PARK SHAH ALAM 40000 SELANGOR"
'2017-08-04,,03 - 61561101,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12807&sid=4AD8893DE577532FB663EA463C62A6FE,sales@eraherbal.com,ERA HERBAL PRODUCTS SDN BHD,"LOT 2218, KG JAYA INDUSTRIAL AREA JALAN KUSTA SUNGAI BULOH 47000 SELANGOR"
'2017-08-04,,03 - 89402621,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=75943&sid=B6959BC408D9BFDA25B9EFB78051E5EF,maxconnection@gmail.com,GRACEMEDIC SDN BHD,97 JALAN SURIA PUCHONG 2 PUSAT PERNIAGAAN SURIA PUCHONG 47110 SELANGOR
'2017-08-04,,03 - 79721959,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=104389&sid=46B3433619E0B481B262253DB1842718,elexia.naturals@gmail.com,DEYRNAS NATURAL ESSENCE SDN. BHD.,7-1-11 JALAN 3/109F DANAU BUSINESS CENTRE TAMAN DANAU DESA OFF JALAN KLANG LAMA 58100 KUALA LUMPUR
