BIZADD,EMAIL,DATE_SCRAPED,CONAME,FAILMSG,TEL,HREF
"LOT 6088,  JALAN HAJI ABDUL MANAN BATU 5 1/2,  JALAN MERU KLANG 41050 SELANGOR",psteoh@htgrp.com.my,'2017-08-02,HUATRACO SCAFFOLD  SDN BHD,,03 - 33778999,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=8253&sid=9894B2ABB1B098B7677B1FF981665905
"PLOT 135, JLN PERINDUSTRIAN BKT MINYAK 4 KAW PERINDUSTRIAN BKT MINYAK BKT MERTAJAM 14100 PULAU PINANG",wktan@clpg.com.my,'2017-08-02,CLPG PACKAGING INDUSTRIES SDN BHD,,04 - 5010202,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=15091&sid=9CC154FBD42904C23DBA86D67E1AC07D
"SUITE 1701 17TH. FLOOR, CITY PLAZA JALAN TEBRAU JOHOR BHARU 80300 JOHOR",ksbsales@po.jaring.my,'2017-08-02,KISWIRE SDN BHD,,07 - 3330178,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=4401&sid=25B274C7A66D6841485798A4857E9B3B
18 SS2/95 PETALING JAYA  47300 SELANGOR,info@greencyclevision.com,'2017-08-02,GREEN CYCLE VISION (MALAYSIA) SDN BHD,,04 - 5872376,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=92318&sid=65DF428CE8CA652680B7047996BD189D
"59, 1ST FLOOR, WISMA RAMPAI RAMPAI TOWN CENTRE, SETAPAK  53300 KUALA LUMPUR",ocean_ct1@hotmail.com,'2017-08-02,OCEAN COOLING TOWER SDN BHD,,03 - 41423871,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=7145&sid=749F191644AC38BA5DD360379D5A0AE4
"LOT 15, JALAN ANGGERIK MOKARA 31/63 SECTION 31, KOTA KAMUNING SHAH ALAM 40460 SELANGOR",account@lkssb.com.my,'2017-08-02,LKS (M) SDN BHD,,03 - 51240822,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=14630&sid=39F4E726B41820D1CF3D8B18DD7C212D
20 JALAN PERUSAHAAN 3 SERI KEMBANGAN 43300 SELANGOR,sales@kw-water.com,'2017-08-02,KW WATER INDUSTRIES (M) SDN BHD,,03 - 89486233,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=81458&sid=6BC79A2020DB4DE53C51928B216A985C
"5 & 7, JALAN 35/10A TAMAN PERINDUSTRIAN IKS MUKIM BATU 68100 KUALA LUMPUR",export3@greenseal.com.my,'2017-08-02,GREEN EAST WATERPROOFING SDN BHD,,03 - 61880098,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=38460&sid=DE69FE885630FC190927FDF464BA6F3B
"28, JALAN PUJ 3/4, TAMAN PUNCAK JALIL, BANDAR PUTRA PERMAI, SERI KEMBANGAN 43300 SELANGOR",ling.esareka@gmail.com,'2017-08-02,ESAREKA SDN BHD,,03 - 89401139,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12187&sid=0092AD0AB5999449C3EA86EC127660A7
"4-4, KUCHAI MAJU 10 OFF JALAN KUCHAI LAMA  58100 KUALA LUMPUR",export.archifoam@gmail.com,'2017-08-02,ARCHI-FOAM SDN BHD,,03 - 79898969,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=64579&sid=C7B89B7ADF40E6C4BA7AEC390CFBD2E5
LOT 2994 JALAN BUKIT BADONG BATANG BERJUNTAI 45600 SELANGOR,ashley@inovarfloor.com,'2017-08-02,INOVAR INDUSTRIES SDN BHD,,03 - 32717499,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11912&sid=8FA867AB78E6892A86E7FEF0E53E932F
"9 , KILANG BERKEMBAR, LORONG IKS BUKIT MINYAK PERDA FASA II, BUKIT MERTAJAM SEBERANG PERAI TENGAH 14000 PULAU PINANG",elaishawong@kfoil.com.my,'2017-08-02,K FOIL INSULATION (MALAYSIA) SDN BHD,,04 - 5024898,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=61602&sid=34F1541DAEAC52F1C1532BBBBCC38F8C
"3 & 5, JALAN BP 5/4 BANDAR BKT PUCHONG PUCHONG 47100 SELANGOR",enquiry@p-tech.com.my,'2017-08-02,P-TECH ENGINEERING SDN BHD,,03 - 80600801,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11088&sid=F9B7A1FB77FE2C131E22EBBF6F412D7B
"12, JALAN TROMPET 33/8 SEKSYEN 33 SHAH ALAM 40400 SELANGOR",sales@huatsiang.com,'2017-08-02,HUAT SIANG HARDWARE SDN BHD,,03 - 51929328,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=61829&sid=B1C44943E1440F5C906A85DEFAB8F2D2
LOT 16 JALAN PJU 3/39 SUNWAY DAMANSARA TECHNOLOY PARK PETALING JAYA 47810 SELANGOR,inaigrp@gmail.com,'2017-08-02,I-NAI VENTURE HOLDINGS SDN BHD,,03 - 77337011,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=15463&sid=F7FD3019C95F12BA22F5F4E5F3263B40
"WISMA LEOPAD, 2ND FLOOR NO. 5 BRICKFIELDS JALAN TUN SAMBANTHAN BRICKFIELDS 50470 KUALA LUMPUR",sales@durainternational.com,'2017-08-02,DURA INTERNATIONAL SDN BHD,,03 - 22723117,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=9547&sid=D2BCB6189622E4CA5815289B5C769CE5
"1586, MK11, LORONG PERUSAHAAN UTAMA 1 BKT TENGAH INDUSTRIAL PARK BKT TENGAH, BKT MERTAJAM 14000 PULAU PINANG",hr@chinwell.com.my,'2017-08-02,CHIN WELL FASTENERS CO SDN BHD,,04 - 5075858,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=3663&sid=F80DD68A2E7C3E95366E286BCF84487B
18 LORONG INDUSTRI TANAH PUTIH BARU 15 KUANTAN 25150 PAHANG,renaissanceornamental07@gmail.com,'2017-08-02,RENAISSANCE ORNAMENTAL (M) SDN. BHD.,,019 - 9879199,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=102431&sid=9551F41F1BA2ADF3EF9B585AF05C9400
315-3 (FIRST FLOOR) JALAN PERMATA TAMAN MAHARANI JALAN BAKRI MUAR 84000 JOHOR,info@lebenmark.com,'2017-08-02,LEBEN MARKETING (M) SDN BHD,,06 - 9523350,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=100306&sid=7D6149A5A2397EE82CD9FEA1E1D8CCEA
NO 9 & 10 JALAN PKNK 3/7 KAWASAN PERUSAHAAN SUNGAI PETANI SUNGAI PETANI 08000 KEDAH,nghueyyen@shijiru.com,'2017-08-02,SHIJIRU SDN. BHD.,,04 - 4102148,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=102271&sid=29B9E797A5D25CEA366E17C18DCE9EF9
"12, JALAN TANDANG PETALING JAYA  46050 SELANGOR",karen@humecemboard.com.my,'2017-08-02,HUME CEMBOARD INDUSTRIES SDN BHD,,03 - 76253880,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12386&sid=313EA92ECC019BA3EF1DD9000A457663
LOT 53 PERSIARAN SELANGOR SHAH ALAM 40200 SELANGOR,kelvintee@melewar-mig.com,'2017-08-02,MELEWAR STEEL TUBE SDN BHD,,03 - 55192455,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=79943&sid=D2B35C64F06031088560A0018E79043A
"PAKAR GO GREEN SDN BHD C-01-11, JALAN SRI KENARI 12 TAMAN SRI KENARI, KAJANG 43000 SELANGOR",info@pakar.com.my,'2017-08-02,PAKAR GO GREEN SDN BHD,,03 - 87409728,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=82759&sid=5B54C89322C9D5D64F22AFBC16F160DE
35 JALAN USJ 21/11 UEP SUBANG JAYA SUBANG JAYA 47600 SELANGOR,nets@naber.com.my,'2017-08-02,NABER ENGINEERING & TECHNOLOGY SERVICES SDN BHD,,03 - 80815655,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=70918&sid=1B2A7231B870EBA5BC7AB68CA5F640E8
12 JALAN 213 PETALING JAYA 46050 SELANGOR,wschuah@feruni.com,'2017-08-02,FERUNI CERAMICHE SDN BHD,,03 - 77847277,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10865&sid=6EDCFBFD6377DE48292B767A8AB364D9
"UNIT 8-26, KOMPLEKS MUTIARA NO. 568, JALAN IPOH KUALA LUMPUR 52100 KUALA LUMPUR",shirokiya568826@yahoo.co.jp,'2017-08-02,SHIROKIYA (M) SDN BHD,,03 - 62434663,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11304&sid=42B3B068B2C8B99A6870FAB0CB9D578F
9&11 JALAN PJS 11/20 BANDAR SUNWAY  46150 SELANGOR,myhilti@hilti.com,'2017-08-02,HILTI (MALAYSIA) SDN BHD,,00 - 1800880985,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=70930&sid=0A890AA38CFA24FC182344C9FCDD1567
LOT 26150 (NO 1) JALAN KPK 1/9 KAWASAN PERINDUSTRIAN KUNDANG JAYA KUNDANG 48020 SELANGOR,projects@nanguan.com.my,'2017-08-02,NAN GUAN HUP KEE SDN BHD,,03 - 60344048,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=101088&sid=FA7819639B4B1EF357B08DE767D98A9E
"38, JALAN SS 4C/5 PETALING JAYA  47301 SELANGOR",contactus@yising.com.my,'2017-08-02,YI SING COMPOSITE INDUSTRIES SDN BHD,,03 - 78054836,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=9724&sid=08808FB313F4DA5B93B7D0C993CB7C65
"LOT 6558, BLOCK 8, MATANG LAND DISTRICT, JALAN ALAM INDAH, OFF JALAN BATU KAWA-MATANG, KUCHING 93050 SARAWAK",inquiry@zha.com.my,'2017-08-02,ZHA ENVIRONMENTAL SDN BHD,,082 - 287599,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=59977&sid=39BED6EF4AD3D1ED72C5B6701C17028C
LOT 10700 JALAN PERMATA 1 ARAB MALAYSIAN INDUSTRIAL PARK 71800 NEGERI SEMBILAN,gan@vectoratlantic.com,'2017-08-02,VECTOR ATLANTIC SDN BHD,,06 - 7998386,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=89880&sid=770B7288A7E0DA70D2E7C97A7F4F30D5
"UNIT 8,2 LEVEL 8 BUILDING A, PEREMBA SQUARE SAUJANA RESORT SECTION U2 SHAH ALAM 40150 SELANGOR",limcl@ucable.com.my,'2017-08-02,UNIVERSAL CABLE (M) BHD,,03 - 78456699,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=6709&sid=46159FC6AD05489B8F2D2D1D1CB7B29C
"NO. 1 JALAN HAJI ABDUL MANAN 3/KU8 KAWASAN PERINDUSTRIAN MERU BARAT KAPAR, KLANG. 42200 SELANGOR",siowping@toolsdepotgroup.com,'2017-08-02,TOOLS DEPOT ENGINEERING SDN BHD,,03 - 33921887,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=70640&sid=72830685DE5660E83ACAE96AA7825862
BLOCK C NO 106 JALAN SS19/7A SUBANG JAYA 47500 SELANGOR,ansari65@gmail.com,'2017-08-02,A&H MUTIARA TRADING,,03 - 56114374,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=100911&sid=FD50E14166F208903F824BCD2F56E79E
"NO.45&47, JALAN SG. PULOH 1A/KU6 TAMAN TEKNOLOGI GEMILANG, KAWASAN PERINDUSTRIAN SG. PULOH, 42100 SELANGOR",enquiry@yaxis.com.my,'2017-08-02,DZH INDUSTRIES SDN BHD,,03 - 32920000,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=14610&sid=61EE3FF3CB56AFADFB75F3E47B64F51F
177 JALAN LAHAT IPOH 30200 PERAK,greenhouse_engineering@yahoo.com,'2017-08-02,GREENHOUSE ENGINEERING SDN BHD,,012 - 5052870,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=85633&sid=FE2B8AF39AC006675324050534E5D7E0
3 -1 JALAN SS25/41 MAYANG INDUSTRI PARK PETALING JAYA 47301 SELANGOR,kenji.mkmagnet@gmail.com,'2017-08-02,MK MAGNET SDN BHD,,03 - 78030001,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=85542&sid=BF825E95D07387BC9534E80D1C2BC0B1
"13, JALAN PJU 3/38 SUNWAY DAMANSARA TECHNOLOGY PARK ONE GASMASTER SDN BHD 47810 SELANGOR",cat@onegasmaster.com,'2017-08-02,ONE GASMASTER SDN BHD,,03 - 78850202,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=73778&sid=3040A593F8151E44F90D9A6BE84599D1
"A-1-3A & A-2-3A PUSAT PERDAGANGAN KUCHAI 2, JLN 1/127, OFF JLN KUCHAI LAMA 58200 KUALA LUMPUR",chuash@starken.com.my,'2017-08-02,G-CAST CONCRETE SDN BHD,,03 - 79838068,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=81612&sid=ADEB4B48DBB38B33913BE4028053D4E1
"1500, MK 11, LORONG PERUSAHAAN UTAMA BKT TENGAH INDUSTRIAL ESTATE BKT MERTAJAM 14000 PULAU PINANG",skgoh@chinherr.com,'2017-08-02,CHIN HERR INDUSTRIES (M) SDN BHD,,04 - 5076888,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=2847&sid=6501FC896B91BFB262B4791EFE77F3CB
"18-1A, JALAN BANDAR 9 PUSAT BANDAR PUCHONG PUCHONG 47100 SELANGOR",benson_yeoh@yahoo.com,'2017-08-02,LALANG RESOURCES SDN BHD,,03 - 58822940,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=33514&sid=00CD71BE709927DAFFE0EE06DAF1B67B
PLOT 125 JALAN INDUSTRI 10 KAW PERINDUSTRIAN ALOR GAJAH 78000 MELAKA,JiaShyan.Tsu@Lipta.com.my,'2017-08-02,LIPTA PLASTIC INDUSTRIES SDN BHD,,06 - 5561088,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13138&sid=98AEE820E9EADE3D8FA2DAA315406A50
"16TH FLOOR, SURIAN TOWER 1, JLN PJU 7/3 MUTIARA DAMANSARA 47810 SELANGOR",stephanie.teh@orientalsheetpiling.com,'2017-08-02,ORIENTAL SP STEELWORKS SDN BHD,,03 - 79496000,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=58305&sid=782D664DA7600CE4DAD84FCBC0A90BEA
"LOT 540, SUB-LOT A12, SUNGEI PENANGA INDUSTRIAL PARK, JALAN SUBANG 2 SUBANG JAYA 47500 SELANGOR",prosurfaces@gmail.com,'2017-08-02,PROFESSIONAL SURFACES SDN BHD,,03 - 80233212,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=55611&sid=73E42B37B3782C82181ACB693D45A001
46 JALAN LAKSAMANA 2 TAMAN UNGKU TUN AMINAH 81300 JOHOR,valuedotexpress@outlook.com,'2017-08-02,VALUE DOT EXPRESS SDN BHD,,016 - 7313319,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=75716&sid=8E42A0A3666BDEB85AC8053B6B31E043
"3A 09, BLOCK F, PHILEO DAMANSARA 1 9, JALAN 16/11 PETALING JAYA 46350 SELANGOR",info@sep.my,'2017-08-02,STAR ENERGY PETROLEUM SDN BHD,,03 - 79559998,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=61062&sid=9D05A0F852DB815CAE849789CC0A7D1B
"LOT 1-7 LION INDUSTRIAL PARK PERSIARAN JUBLI PERAK, SECTION 22 SHAH ALAM 40300 SELANGOR",azmi@neg.com.my,'2017-08-02,NIPPON ELECTRIC GLASS (MALAYSIA) SDN BHD,,03 - 55430000,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=57166&sid=1CFD7D5D8317FD63F74CD10AAD6B8F66
"11930, JALAN PERAJURIT TELUK GONG KLANG 42000 SELANGOR",shida@asphalt.com.my,'2017-08-02,ASPHALT TECHNOLOGY SDN BHD,,03 - 31341500,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10912&sid=73537AC29910374D7D712968EA51659F
"LOT 9896-B, JALAN KG JAWA 4TH MILE, KG JAWA SHAH ALAM 40460 SELANGOR",asnita.othman@lrc.com.my,'2017-08-02,CSL TECHNOLOGIES (M) SDN BHD,,03 - 51613799,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=5597&sid=F7554EDB0EBA06B4C69277EB0B330706
"HS(D)KA 33891, P T 3065 MUKIM SUNGAI RAIA, SIMPANG PULAI KG KEPAYANG 31300 PERAK",anticostone@gmail.com,'2017-08-02,ANTICO STONE SDN BHD,,05 - 3575052,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=6136&sid=C1DA279A9DF1439BDE2661C8145FF672
"23, JALAN TIAJ 2/1 TAMAN INDUSTRI ALAM JAYA BANDAR PUNCAK ALAM 42300 SELANGOR",carrie@marklon.com.my,'2017-08-02,MARKLON INDUSTRIES SDN BHD,,603 - 60381188,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=7905&sid=204614FD3DD0E5605AA8AE5D38960EA2
35 JALAN 2 KAW PERIND. BANDAR BARU SALAK TINGGI SEPANG 43900 SELANGOR,richard@finopeous.com,'2017-08-02,FINOPEOUS PACKAGING INDUSTRIES SDN BHD,,03 - 87066288,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=15145&sid=B364C2A09CA81DB9CC94F5AF5D9E90A7
"10F, LEVEL 6, BLOCK 1, WORLDWIDE BUSINESS CENTRE, JALAN TINJU 13/50, SHAH ALAM, SELANGOR, MALAYSIA  40675 SELANGOR",worldiverse.synergy@gmail.com,'2017-08-02,WORLDIVERSE SYNERGY SDN BHD,,03 - 5105760,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=97346&sid=32AAFAB4AEEE4E1FFC232C4E3822C52E
"1-A, JALAN PERUSAHAAN UTAM TAMAN INDUSTRI SELASA JAYA OFF JALAN BALAKONG 43300 SELANGOR",yewlum@toplineglass.net,'2017-08-02,TOPLINE SAFETY GLASS (M) SDN BHD,,03 - 89614648,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=41145&sid=8A6C10492838220961CABF59A9587882
NO 12 A DAN B LORONG PERDA SELATAN 2 BANDAR PERDA BUKIT MERTAJAM 14000 PULAU PINANG,mbemas57@yahoo.com,'2017-08-02,MUTIARA BINA EMAS SDN BHD,,04 - 5379257,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=52791&sid=8B8E2F29975C7CC606C8CEACD720D852
"LOT 1, JALAN WAJA BKT RAJA INDUSTRIAL ESTATE KLANG 41050 SELANGOR",NikNurHasanah@amsteel.com.my,'2017-08-02,AMSTEEL MILLS SDN BHD,,03 - 33412322,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12384&sid=0A816959C02510BE876E94D39877E4B0
8 JALAN SS13/6A SUBANG JAYA INDUSTRIAL ESTATE  47500 SELANGOR,info@stauff.com.my,'2017-08-02,STAUFF SOUTH EAST ASIA SDN BHD,,03 - 56377888,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=85417&sid=A3C3F25812076D3CC29C522A5949B09B
"1, JALAN BUDI 21 TAMAN WAWASAN PERINDUSTRIAN BATU PAHAT 83000 JOHOR",taishitech@yahoo.com,'2017-08-02,TAISHI-TECH MARKETING SDN BHD,,07 - 4286222,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=33932&sid=AA0ECF65EB7828D2EF7AFD4FA54EDFBE
"12-2, PLAZA DAMANSARA, MEDAN SETIA 2 BKT DAMANSARA  50490 KUALA LUMPUR",thariq@mts.my,'2017-08-02,MECHANICAL TRAINING SOLUTIONS SDN BHD,,03 - 20937010,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=39290&sid=1C39E6963F62659D66168EEE4D4B6E5D
WISMA UNIMECH 4934 JALAN CHAIN FERRY BUTTERWORTH 12100 PULAU PINANG,tony.ooi@unimechgroup.com,'2017-08-02,UNIMECH INTERNATIONAL SDN BHD,,04 - 3328823,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=97162&sid=AB2610FF5C805B82990B4EE37A407F56
219 JALAN KANGKAR BARU KAMPONG BARU PANDAN  81100 JOHOR,bpautomobiles@outlook.com,'2017-08-02,BP CAR AUTOMOBILES SDN BHD,,019 - 6380088,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=100781&sid=2F885829E8A9B1CF7F390BA4F53C37FE
"A-1-1 & A-2-1 PUSAT PERDAGANGAN KUCHAI 2, JALAN 1/127, OFF JALAN KUCHAI LAMA 58200 KUALA LUMPUR",engsk@metex.com.my,'2017-08-02,METEX STEEL SDN BHD,,03 - 79849168,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=89925&sid=F6886128C49CA1ED19DD89A1BE9588E7
NO 12 JALAN TIB 1/3 TAMAN INDUSTRI BOLTON BATU CAVES 68100 SELANGOR,work@froscoweb.com,'2017-08-02,KC ENGINEERING SDN BHD,,019 - 2815063,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=98684&sid=BD023735777FB868C53B237F528697FE
"45, JALAN NAKHODA 20 TAMAN UNGKU TUN AMINAH SKUDAI 81300 JOHOR",soyosomarketing@outlook.com,'2017-08-02,SOYOSO MARKETING SDN BHD,,016 - 796792,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=76199&sid=95FF770B886FEE2F130A8DDB83E8E660
"25-2, JALAN PANDAN PRIMA 1, DATARAN PANDAN PRIMA,  55100 KUALA LUMPUR",yjackpiletest@gmail.com,'2017-08-02,YJACK TECHNOLOGY SDN BHD,,16 - 2168129,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=89604&sid=42C219345E71309DE5BD457C2B0B71DE
"LOT3, JALAN CJ5 KAW PERINDUSTRIAN CHERAS JAYA BATU 11, BALAKONG 43200 SELANGOR",enquiry@sunnik.com.my,'2017-08-02,STEELWORKS ENGINEERING SDN BHD,,03 - 90748888,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=56481&sid=A93EF61E053E0DF1C4CA5BD1EA2DBF4B
BATU 6 JALAN MAHARAJA LELA TELUK INTAN 36000 PERAK,wm.sem@central-aluminium.com.my,'2017-08-02,PRESTILE INDUSTRIES SDN BHD,,05 - 6222113,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=72705&sid=34F32039AF83D6802F68CDCC35B175D5
"BLOCK A-6-5 (LEVEL 8),MENARA UNCANG EMAS (UE3), 85, JALAN LOKE YEW   55200 KUALA LUMPUR",garypcg@gmail.com,'2017-08-02,PCG SYSTEMS SDN BHD (FORMERLY KNOWN AS UTSCH SYSTEMS (M) SDN BHD,,03 - 92014422,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=9303&sid=1A142E0188D624372EBAF7BBE736C38C
18 JALAN LAMAN SETIA 7/8 TAMAN LAMAN SETIA SETIA BUSINESS PARK 81550 JOHOR,desmine@eriweld.com,'2017-08-02,APATITE MARKETING SDN BHD,,07 - 5097638,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=98341&sid=7791D475B89E06B6DD2AB383713D84C5
