FAILMSG,HREF,EMAIL,CONAME,DATE_SCRAPED,BIZADD,TEL
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=73778&sid=3040A593F8151E44F90D9A6BE84599D1,cat@onegasmaster.com,ONE GASMASTER SDN BHD,'2017-08-02,"13, JALAN PJU 3/38 SUNWAY DAMANSARA TECHNOLOGY PARK ONE GASMASTER SDN BHD 47810 SELANGOR",03 - 78850202
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=35990&sid=3AA3D173189A786FC0DC75A2D8A7D437,info@atex.com.my,GGS SYSTEMS (M) SDN BHD,'2017-08-02,"28, JALAN ISTIMEWA 5 TAMAN PERINDUSTRIAN CEMERLANG ULU TIRAM, JOHOR BAHRU 81800 JOHOR",07 - 8618610
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=3190&sid=068B24A1FF188EE41101C32939F8A389,topmech@topmech.com.my,TOP-MECH PROVINCIAL SDN BHD,'2017-08-02,"13, JALAN WAWASAN 3/KU7 SG KAPAR INDAH KLANG 42209 SELANGOR",03 - 32912689
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=90455&sid=81E632C50F6B3615D02FA03AED955C24,yttham@ecsteel.com.my,EC STEEL (M) SDN BHD,'2017-08-02,"PLOT 210A, JALAN PERINDUSTRIAN BUKIT MINYAK 6 KAW PERINDUSTRIAN BUKIT MINYAK SEBERANG PERAI TENGAH 14000 PULAU PINANG",04 - 5011525
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=101012&sid=23BEAF0A8A908E6150DBB8D2C4123B1B,cclow@chintech.com.my,VDROID TECHNOLOGY SDN BHD,'2017-08-02,40 GROUND FLOOR JALAN SUNGAI TIRAM 3 TAMAN TUNAS DAMAI 11900 PULAU PINANG,04 - 6110733
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=58024&sid=5EDB0C67570533E344CDC50481C5C605,info@firgee.com.my,FIRGEE ENGINEERING SDN BHD,'2017-08-02,"LOT 478, JALAN SUASA PASIR GUDANG INDUSTRIAL ESTATE PASIR GUDANG 81700 JOHOR",07 - 2526868
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=83341&sid=50EEB09C5DEE5D0FE0E5C9D8CB74ED4D,melvin@tnctech.com.my,TNC TECHNOLOGY SDN BHD,'2017-08-02,27 LINTANG BERINGIN 6 PERMATANG DAMAR LAUT 11960 PULAU PINANG,04 - 6117669
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=15626&sid=37470DB6A76EC4614346A8E49493DD35,ocechua@hotmail.com,OCE SDN BHD,'2017-08-02,"1-13, PTD 5949 KAW PERINDUSTRIAN BKT BAKRI MUAR 84200 JOHOR",012 - 6699183
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=49431&sid=186E8F4B2F1D8391C2138FFF5EB597A8,flyingmachinery88@hotmail.com,FLYING MACHINERY SDN BHD,'2017-08-02,"65, TAMAN SETIA JALAN RAJA OMAR SITIAWAN 32000 PERAK",05 - 6912563
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=85646&sid=2026FB449C537448B67913F13D5B1662,sales@shin-yo.com.my,SHIN-YO ENGINEERING SDN BHD,'2017-08-02,"86 JALAN MEGA MENDUNG BANDAR PARK, OFF JALAN KELANG LAMA 58200 KUALA LUMPUR",03 - 79848401
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=97337&sid=1344EF075AB71F104EF3C0E5035936A7,jctan999@yahoo.com,INNOWEST OFFICE AUTOMATION,'2017-08-02,NO 433 JALAN PJU 1/10 KAMPUNG CHEMPAKA PETALING JAYA 47301 SELANGOR,03 - 78807658
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=8542&sid=EBCA7622CF3B9803042948B18D184541,kuan@rhombus.com.my,RHOMBUS CASTORS (MALAYSIA) SDN BHD,'2017-08-02,LOT 70 KULIM INDUSTRIAL ESTATE KULIM 09000 KEDAH,04 - 4891266
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=97792&sid=C03B74D1D3752CD443295CFD82437748,aishah@pcentrifuge.com,PIONEER CENTRIFUGE SDN BHD,'2017-08-02,NO 4 JALAN ANGGERIK MOKARA 31/53 SEKSYEN 31 KOTA KEMUNING SHAH ALAM 40460 SELANGOR,03 - 51214373
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=8873&sid=5CB45AE077A4DF9BC6924D7630A2C36C,info@brac.com.my,BRAC ENGINEERING (M) SDN BHD,'2017-08-02,"B-30, 1ST & 2ND FLOOR,PUSAT PERDAGANGAN BKT SERDANG, JALAN BS 14/1, TAMAN BUKIT SERDANG, SEKSYEN 14, SERI KEMBANGAN 43300 SELANGOR",03 - 89385063
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=53281&sid=A924FE233DE49D709B1061A63F7BF5A4,solidteh@gmail.com,SOLID COOL MARKETING (KLANG) SDN BHD,'2017-08-02,2658 & 2660 PERSIARAN TENGKU AMPUAN RAHIMAH KLANG 41200 SELANGOR,03 - 33733370
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=98329&sid=681B0CDA0E7A76F8AA05186EDD66EBF5,alanwong@prinnpack.com.my,PRINT & PACK SOLUTION SDN BHD,'2017-08-02,NO 23 JALAN TPK 1/5 TAMAN PERINDUSTRIAN KINRARA 47180 SELANGOR,03 - 80759982
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=56663&sid=8640D39C705AD6C8C640E15C6257D8CB,accounts@mawea.com.my,MAWEA INDUSTRIES SDN BHD,'2017-08-02,"30A, JALAN PJS 1/46 PETALING UTAMA PETALING JAYA 46150 SELANGOR",03 - 77833459
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=53368&sid=288D04EA4F22759553486C0DEB74043D,info@tsmwelding.com.my,TSM WELDING TECHNOLOGY SDN BHD,'2017-08-02,"44, JALAN PENGASAH 3 BATU 4, JALAN KAPAR KLANG 42100 SELANGOR",03 - 32903311
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=60503&sid=9F00B2F0250AE7CCDA6C36FC7A65E381,khlee@irs.com.my,IRS SOFTWARE SDN BHD,'2017-08-02,12A & 16 JALAN PUTERI 7/15 BANDAR PUTERI PUCHONG 47100 SELANGOR,01 - 548407888
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=76915&sid=D3ED483B8F6840A745105B021C5467E0,gtinst8@gmail.com,GT INSTRUMENTS SDN BHD,'2017-08-02,"2A, JALAN PTP 1/4 TAMAN PERINDUSTRIAN TASIK PERDANA PUCHONG 47100 SELANGOR",03 - 80663277
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=98367&sid=14D0B16159FAB745887FBF7B1573E079,MSE_INDUSTRIES@YAHOO.COM,MSE INDUSTRIES SDN BHD,'2017-08-02,NO 11-1 JALAN BANDAR 16 PUSAT BANDAR PUCHONG 47100 SELANGOR,03 - 58825224
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10715&sid=3011BE45DDFE1E0561341397EE295721,ss.yap@ykcomponents.my,YK COMPONENTS SDN BHD,'2017-08-02,9 JALAN BP 4/8 BANDAR BKT PUCHONG PUCHONG 47100 SELANGOR,03 - 80617051
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=99067&sid=AFC51079F703A216DAE3150DF0140849,enquiry@adhoist.com,AD HOIST SDN BHD,'2017-08-02,NO 13 JALAN KARBURETOR 34/25 SEKSYEN 34 MUKIM KLANG 40470 SELANGOR,03 - 51313553
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=57428&sid=FED1EBA1314089FB4F8DDB2974E6D7FA,torsion.eng.sales@gmail.com,TORSION ENGINEERING SDN BHD,'2017-08-02,"LOT 8, BLOCK I, BANDAR LETAT JAYA SANDAKAN  90000 SABAH",089 - 228071
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=15003&sid=FECA63F156FA4DC3BDBA99DE75A2DE2F,sales@exis-tech.com,EXIS TECH SDN BHD,'2017-08-02,"LOT 26209,  JALAN TJ 2/2 TUANKU JAAFAR INDUSTRIAL PARK SEREMBAN 71450 NEGERI SEMBILAN",606 - 6797420
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=83845&sid=0D3E6E8C3B80B800FC3FEED4149F0780,info@outdoordynamics.com.my,OUTDOOR DYNAMICS SDN BHD,'2017-08-02,97-G-18 THE PALLAZIA JALAN BUKIT GAMBIR 11700 PULAU PINANG,04 - 6563345
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=70023&sid=F612397E6601A4C169DB89FF87EDF730,we_sales@hotmail.com,W E SALES & SERVICES SDN BHD,'2017-08-02,"NO.2, JLN PLATINUM, OFF JLN PERINDUSTRIAN BJ2T 1, KWS PRINDUSTRIAN BALAOKONG JAYA 2 TAMBAHAN, SERI KEMBANGAN 43300 SELANGOR",03 - 1700818866
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=41467&sid=9AF5DCDE31CED704B20B8DD82A344D14,janicelee@pmt-grp.com,PMT-DONG YUAN INDUSTRIES SDN BHD,'2017-08-02,"LOT 1929, JALAN BUKIT KEMUNING SECTION 32 SHAH ALAM 40460 SELANGOR",03 - 51225522
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=16646&sid=892178985F79322BE79BC51274130BFD,nsw@nswautomation.com,NSW AUTOMATION SDN BHD,'2017-08-02,"25, LINTANG BERINGIN 3 DIAMOND VALLEY INDUSTRIAL PARK BATU MAUNG 11960 PULAU PINANG",04 - 6266963
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=68517&sid=3DD20ED307A4A4F051050C95A1B33CDE,penang.solidcool@gmail.com,SOLID COOL MARKETING (PENANG) SDN BHD,'2017-08-02,"1270 JALAN BARU, TAMAN EMAS PERAI, BUTTERWORTH PENANG 13600 PULAU PINANG",04 - 3982228
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=96248&sid=C6B7F4E9058FEB1AC5BBA77853B37FB2,alland168@163.com,HLD INNOVATION INDUSTRIES SDN BHD,'2017-08-02,915&917 BLOCK A KELANA CENTRE POINT NO 3 JALAN SS7/19 KELANA JAYA 47300 KUALA LUMPUR,010 - 2424877
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=50410&sid=C17AAD3D07212C4CA6B4A9FE1DDAF8EF,enquiry@vgmtsb.com,VG METAL TECHNOLOGY (M) SDN BHD,'2017-08-02,"LOT 66, SECTION 8, JALAN PERIGI NENAS 8/10 PHASE 1B, TAMAN PERINDUSTRIAN PULAU INDAH PELABUHAN KLANG 42920 SELANGOR",03 - 31013388
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=77663&sid=EF76A9CDC140A2A8DFE5A1A8C23E15B7,info@kuka.com.my,KUKA ROBOT AUTOMATION (M) SDN BHD,'2017-08-02,"NO. 5, JALAN PPU 2A TAMAN PERINDUSTRIAN PUCHONG UTAMA I32 PUCHONG 47100 SELANGOR",03 - 80660788
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=3259&sid=5E53D6F3B8C9F53DF99E91EE7A50D6E5,ahmaddaumi@gmail.com,TEKNO LOGAM SDN BHD,'2017-08-02,"PLOT 3, KAW PERUSAHAAN SUNGAI PETANI (LPK), FASA 4 SUNGAI PETANI 08000 KEDAH",04 - 4413770
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=15653&sid=AFFA1A4BA065AFB19E95EDA409BC0C75,sales@ld-micro.com,LD MICRO PRECISION SDN BHD (FORMERLY KNOWN AS COSMIC MODEL SDN BHD),'2017-08-02,"16B, JALAN PERMATANG DAMAR LAUT BAYAN LEPAS  11960 PULAU PINANG",04 - 6266120
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=71733&sid=AC8EDA8BFF55C2CCC56217901D9796A2,tochew@plascrew.com,PLASCREW INDUSTRIAL SDN BHD,'2017-08-02,50 JALAN TSB 3 TAMAN INDUSTI SUNGAI BULOH SUNGAI BULOH 47000 SELANGOR,03 - 61563910
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=96743&sid=6E9ADD14B51A3B7E72D5D5101FB9C7FF,stw@dkls.com.my,DKLS MARKETING SDN BHD,'2017-08-02,51E 1ST FLOOR JALAN RAJA OMAR SITIAWAN 32000 PERAK,05 - 6914660
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=96454&sid=82AA1F3412787CCB12777338DF87DFC2,eh.tan@treehouz.asia,TREEHOUZ ASIA SDN BHD,'2017-08-02,NO 76 JALAN KAPAR 27/89 TAMAN ALAM MEGAH SEKSYEN 27 40400 SELANGOR,03 - 51039865
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=80221&sid=69D0CFFF015886ECAA2171ADB3C58558,sales@asianmac.com.my,ASIANMAC (M) SDN BHD,'2017-08-02,"29, JALAN LOKE YEW   55200 KUALA LUMPUR",03 - 87239626
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=9214&sid=39F52CDD2413B490B38D6642247ADEBE,sam@glasfil.com,GLASFIL POLYMER SDN BHD,'2017-08-02,"NO. 24, JALAN PERUSAHAAN 3 SERI KEMBANGAN  43300 SELANGOR",03 - 89488509
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=96531&sid=640A74F06B090DCF411B4B543FBB25F2,marcusloo@compactmt.com,COMPACT MT ENGINEERING SDN BHD,'2017-08-02,32B JALAN BPU 9 BANDAR PUCHONG UTAMA  47100 SELANGOR,03 - 58821870
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=96640&sid=26D7DDEC15295AC5E46D0018CCD8427B,christopheranth@gmail.com,UB SOLUTIONS BERHAD,'2017-08-02,SUITE A-5-10 EMPIRE TOWER JALAN SS16/1 SUBANG JAYA 47500 SELANGOR,03 - 50331722
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=96741&sid=BFD833932237A2BF5FF548C0CA449696,lyteh@estechs.com,ESTEK SOLUTIONS SDN BHD,'2017-08-02,12A JALAN SUNGAI TIRAM 7 BAYAN LEPAS 11900 PULAU PINANG,04 - 6371162
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=2447&sid=322A143241D545C55175F50499753117,klss@khailien.com.my,KHAI LIEN SILK SCREEN SUPPLIERS (M) SDN BHD,'2017-08-02,"36, JLN P10/21, SECTION 10 TMN INDUSTRI SELAMAN BANDAR BARU BANGI 43650 SELANGOR",03 - 89222988
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=96960&sid=556D113F2B89D0DF2E7DF1A89D93A138,itp@itportlink.com,IT PORTLINK SDN BHD,'2017-08-02,9 JALAN PENDAMAR CEMPAKA EMAS INDUSTRIAL ESTATE PANDAMARAN PORT KLANG 42000 SELANGOR,03 - 31682324
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=96645&sid=E8A4B62452FB1AE4488FF151725A6BAD,bhlsktan@gmail.com,PHPE ENGINEERING SDN BHD,'2017-08-02,48 JALAN UTAMA 2/28 TAMAN PERINDUSTRIAN PUCHONG UTAMA PUCHONG 47130 SELANGOR,03 - 86597551
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=96740&sid=F0C3892F47030AB7990E50901CFB1775,jacky@estechs.com,ESTEK AUTOMATION SDN BHD,'2017-08-02,12A JALAN SUNGAI TIRAM 7 BAYAN LEPAS  11900 PULAU PINANG,04 - 6371162
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=35550&sid=C8C6F182C834F3A29D274A36B51E1CF4,yiwol@yiwol.com,YIWOL SDN BHD,'2017-08-02,"1,3,5 & 7, LORONG PERUSAHAAN RINGAN JURU 3 KAW PERINDUSTRIAN RINGAN JURU BKT MERTAJAM 14000 PULAU PINANG",04 - 5085881
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=38947&sid=A2CF652A80914A47E464C2702B536A7B,jeffconjeffrey@yahoo.com,JEFFCON ENGINEERING SDN BHD,'2017-08-02,"4, JALAN ANGGERIK MOKARA 31/53 SECTION 31, KOTA KEMUNING SHAH ALAM 40460 SELANGOR",03 - 51214373
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=97079&sid=CDF4BB89DAE654F0292699B12B08D7C0,SALES@CONTROLEZ.COM,CONTROL EASY TECHNOLOGY SDN BHD,'2017-08-02,NO28G BLOCK C THE ATMOSPHERE JLN ATMOSPHERE 5 BANDAR PUTRA PERMAI 43000 SELANGOR,03 - 0123053798
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=97164&sid=31EE25494C432A27B786589559C7B850,sales_vgsm@vgstech.com.my,VGS TECHNOLOGY (M) SDN. BHD.,'2017-08-02,38 LORONG PERDA SELATAN 1 BANDAR PERDA BUKIT MERTAJAM 14000 PULAU PINANG,04 - 5381998
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=30684&sid=48920582C6DFB5FA92D9E20C7D5F21BB,reela@aabco-my.com,AABCO MACHINE TECHNOLOGY SDN BHD,'2017-08-02,"LOT 3702, PLOT B JALAN 7/1, INDUSTRI SELESA JAYA SERI KEMBANGAN 43300 SELANGOR",03 - 89621070
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=97182&sid=B8C0BF8C233233AE6210FCF3AE479572,biometro@outlook.com,BIO METRO FUSION SDN BHD,'2017-08-02,145 JALAN ISMAIL MUAR  84000 JOHOR,06 - 9532398
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=87017&sid=9231AE5969386C72CB34BF25967988A2,sk@witspump.com,WITS ENGINEERING SDN BHD,'2017-08-02,1145 LRG PERUSAHAAN BUKIT MINYAK 22 TAMAN PERUSAHAAN BUKIT MINYAK PENANG SCIENCE PARK 14100 PULAU PINANG,04 - 5057233
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=97264&sid=6ED6DCB553FE12E8588EBF79D22B8AFD,networklaundry@gmail.com,NETWORK LAUNDRY STATION,'2017-08-02,NO 13 TIARA SQUARE JALAN TIARA 2 TAMAN PERINDUSTRIAN UEP SUBANG JAYA 47600 SELANGOR,016 - 3352490
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=90384&sid=8BCB4314C7F9170F7D7FE1733CCF13FA,chtan@lanhoe.com.my,LAN HOE HOLDINGS (1979) SDN BHD,'2017-08-02,".24, JALAN 6/91 TAMAN SHAMELIN PERKASA CHERAS 56100 KUALA LUMPUR",03 - 92811323
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=97275&sid=2AEDCDDC5A3F98EDB39752A5EE597E89,amconiaga@yahoo.com,AMCO NIAGA SDN BHD,'2017-08-02,NO 43 JALAN DESA SERDANG 4 KAWASAN PERINDUSTRIAN DESA SERDANG SERI KEMBANGAN 43300 SELANGOR,03 - 89573070
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=97262&sid=2B9CCE51A01B846C22DFAD03E98F5607,info@hx.com.my,HX THERMAL SOLUTION SDN BHD,'2017-08-02,NO 13A JALAN BK 1/17 TAMAN PERINDUSTRIAN KINRARA PUCHONG 47180 SELANGOR,03 - 80755513
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=97293&sid=91414D767022CBE1485FD647AA9455C2,cwcheang@hasilkarya.com.my,HASIL KARYA SDN BHD,'2017-08-02,LOT PT 25998 & 25999 JALAN PERUSAHAAN DUA TAMAN INDUSTRI SELESA JAYA BALAKONG 43300 SELANGOR,03 - 89614673
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12284&sid=64EE265FD8FBD60EC459137AD6A41E0E,thomas@kewpump.com.my,KEWPUMP (M) SDN BHD,'2017-08-02,"PT. 14515, PERSIARAN BATU GAJAH PERDANA 8, TAMAN PERINDUSTRIAN BATU GAJAH PERDANA, PUSING 31500 PERAK",05 - 3667468
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=99158&sid=CD1C7580D580F390BEF7174E46E5FCC8,yaponn_mui@solidpoint.com.my,SOLID POINT RESOURCES SDN BHD,'2017-08-02,5 LOT 9342 JALAN PT HULU KAW PERINDUSTRIAN PT HULU MUAR 84200 JOHOR,06 - 9864618
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=77772&sid=273990CD91CA219E4A628FCD1EA0109B,siva@fajar.com.my,FAJAR SAINTIFIK SDN BHD,'2017-08-02,"B-0213, BLOCK B SERDANG PERDANA SELATAN, SECTION 1 SERI KEMBANGAN 43300 SELANGOR",03 - 89451450
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=5945&sid=A71569661A519AF07C23FAA3D54D7206,yeohata@qci.com.my,YEOHATA MACHINERIES SDN BHD,'2017-08-02,LOT 25278 MAMBANG DIAWAN KAMPAR 31950 PERAK,05 - 4652771
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=43569&sid=E4878891584634420F74623823DCBD59,benkhquah@cllse.com.my,CLLSE SDN BHD,'2017-08-02,"LOT 530 PERSIARAN SUBANG PERMAI SG PENAGA INDUSTRIAL PARK USJ 1, SUBANG 47500 SELANGOR",03 - 56321577
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=78727&sid=A74E2021EF5B41D4E97169B97ECB0753,mae@maeko.com.my,MENTARI ALAM EKO (M) SND BHD,'2017-08-02,"192, JALAN LP7/4, KINRARA UPTOWN TAMAN LESTARI PERDANA, SERI KEMBANGAN 43300 SELANGOR",03 - 80748639
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12061&sid=BE46E60D56AFBAD84AF76F15A8C0A429,info@bnfgroup.net,B & F TRADING SDN BHD,'2017-08-02,"LOT 35384, JALAN RAJA DR NAZRIN SHAH (8KM) (JALAN GOPENG) IPOH 31300 PERAK",05 - 3127777
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=101080&sid=B75C8E846E90880DE12E2EA21CA41326,uteamfood@gmail.com,U TEAM FOOD MACHINERY (M) SDN BHD,'2017-08-02,NO 1 JALAN MEGA A TAMAN INDUSTRI MEGA 43500 SELANGOR,03 - 87238228
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=61153&sid=B1774AEDEF69D83EC6A621439FC7A343,info@twistertech.com.my,TWISTER TECHNOLOGIES SDN BHD,'2017-08-02,91A JALAN 8/1 SECTION 8 BANDAR BARU BANGI  43650 SELANGOR,03 - 89264833
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=9383&sid=7E471FF6178C0B942F3105AB910CB490,info@megajouder.com,MEGA JOUDER INDUSTRIES SDN BHD,'2017-08-02,"21, JALAN PADU KAW PERINDUSTRIAN TAMPOI JOHOR BAHRU 80350 JOHOR",07 - 2365292
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=92596&sid=CB2927421E0B569E40D4CC960DDF363F,ACCOUNT@SEMICRO.COM.MY,SE MICRO ENGINEERING SDN BHD,'2017-08-02,"NO.6 LOT 996 BLOCK 12,SAMA JAYA FIZ JALAN MUARA TABUAN,KUCHING  93450 SARAWAK",08 - 2366611
