EMAIL,DATE_SCRAPED,HREF,CONAME,BIZADD,FAILMSG,TEL
goldp@streamyx.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=37750&sid=B57401B324D2DAD37161312CC63DB8BD,GOLDREIGN PLASTIC(M) SDN BHD,23 JALAN KESUMA 2/1 BANDAR TASIK KESUMA BERANANG 43700 SELANGOR,,03 - 87233600
wooyau88@yahoo.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=100806&sid=D899AA82CEBEDF620B45035E7CD39E0A,WOOYAU MACHINERY (M) SDN. BHD,NO 8 JALAN SMS 1 SMS RAWANG PERDANA INDUSTRIAL PARK RAWANG 48000 SELANGOR,,014 - 3233363
marketing1@terusmaju.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=96075&sid=6128AE44D5EDF52E9E1DE601965186D4,TERUS MAJU SERVICES SDN BHD,NO 29 JALAN P4/6 BANDAR TEKNOLOGI KAJANG SEMENYIH 43500 SELANGOR,,03 - 87235131
sambawangauto@hotmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=97075&sid=E13FF9876A6DD89D130F447753C0835F,SAMBAWANG AUTO MARKETING SDN.BHD,8-1 JALAN 3/18D TAMAN MASTRIA 51200 KUALA LUMPUR,,03 - 62433359
asri@seginiaga.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=9088&sid=6149EB50BB467E6B0D01547AA2434474,SEGINIAGA RUBBER INDUSTRIES SDN BHD,LOT 1562 BERJUNTAI BISTARI BATANG BERJUNTAI 45600 SELANGOR,,03 - 32710200
admin@aegismalinnov.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=89918&sid=DC3189C062FDF2B456C12E1462672B58,AEGIS MALINNOV SDN BHD,"LOT 1-6, INNOVATION HOUSE TECHNOLOGY PARK MALAYSIA BUKIT JALIL 57000 KUALA LUMPUR",,03 - 89965536
wongwaikeong22@yahoo.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=97024&sid=C6E62725FC7D0E9E32FBDC8D12675BFF,AUTOMOTIVE FRICTION PARTS SDN BHD,16 JALAN BRP 8/1C TAMAN BUKIT RAHMAN PUTRA SUNGAI BULOH 47000 SELANGOR,,03 - 61569553
alexleong@polyworld.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=3746&sid=14ECDF0AFE431ACEC5AB95C00B9E815E,POLYWORLD SDN BHD,"NO.15-17, JALAN P6/2, SECTION 6 BANDAR TEKNOLOGI KAJANG SEMENYIH 43500 SELANGOR",,03 - 87242933
hot@hot-engineering.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=76127&sid=76720496E59ABFF4EB8CAA56D365E069,HOT ENGINEERING (MALAYSIA) SDN BHD,14 JALAN TTC 12A TAMAN TEKNOLOGI CHENG 75250 MELAKA,,06 - 3362318
twrmarketing@twrind.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=2262&sid=EE7CF89751E24855974E7C96A9B7B895,T.W.R.INDUSTRIES (M) SDN BHD,"8 & 9,  PERSIARAN PERINDUSTRIAN KANTHAN 5,  KWS.  PERINDUSTRIAN KANTHAN,  CHEMOR 31200 PERAK",,05 - 2015190
jeffleong.aai@xadacorp.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=83592&sid=55671A29377AC756B551E6FBFCA0C6B2,AUTO MECHANICAL SYSTEM SDN BHD,"THE LIGHT HOUSE 1, PERSIARAN SUNGAI HAMPAR, SECTION 32 SHAH ALAM 40460 SELANGOR",,03 - 51618111
jeffleong.aai@xadacorp.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=83593&sid=2AEADA1F686DFA9E8C0B444E21FD528A,ADVANCE AUTOTRONICS INDUSTRIES SDN BHD,"THE LIGHTHOUSE, NO 1 PERSIARAN SUNGAI HAMPAR SECTION 32 40460 SELANGOR",,03 - 51618111
sales@iprometal.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=93981&sid=710BEC70611E7ED4CE043F25443B4FE2,IPRO PRECISION SDN BHD,LOT 7 JALAN P 4/6 SEKSYEN 4 BANDAR TEKNOLOGI KAJANG 43500 SELANGOR,,03 - 87240987
angred@angred.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=93947&sid=9AAFDB0E6AB534F235539AF8028DAB5F,ANGRED MARKETING AND SERVICES SDN BHD,SUITE 212 LEVEL 2 BLOCK B3 LEISURE COMMERCE SQUARE JALAM PJS 8/9 PETALING JAYA 46150 SELANGOR,,03 - 78652734
johnny@iprometal.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=93982&sid=11C358FC4D5819C5A783A513722212F6,IPRO METAL SDN BHD,NO 48 JALAN SL 9/8G BANDAR SG LONG 43000 SELANGOR,,016 - 3778848
machtech@machtech.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=15413&sid=F2F34EB6082B80DF11E86B257DA74A32,MACH TECHNOLOGY SDN BHD,"12, 2ND FLOOR CHURCH STREET  10200 PULAU PINANG",,04 - 2617642
mani8@lotuscable.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=41446&sid=56938E4DA1AF43015356745E12418071,LOTUS CABLE INDUSTRIES SDN BHD,LOT 5400 LINTANG SG KERAMAT 2A TAMAN PERINDUSTRIAN KLANG UTAMA KLANG 42100 SELANGOR,,03 - 32911828
sales@gp-lubricants.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=92772&sid=F8F5D833C0B318F7486B6D1AC0ACDFD4,GP LUBRICANTS SDN BHD,"BLOK Y 03-01 SOLOK JENAHAK 2 TAMAN TUN HUSSEIN ONN, PERAI 13700 PULAU PINANG",,012 - 5897495
info@wsacim.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=14037&sid=C9613BF776120A16601D062EBAECEE16,WSA CAPITAL CORPORATION SDN BHD,"LOT 33, JALAN RP2, RAWANG PERDANA INDUSTRIAL ESTATE RAWANG 48000 SELANGOR",,03 - 60931510
wsagroup@wsacim.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=8327&sid=8F6109A4FAA93B4E044A07BB37585FDC,WSA ENGINEERING SDN BHD,"LOT 33, JALAN RP 2, RAWANG PERDANA INDUSTRIAL ESTATE 48000 RAWANG, SELANGOR 48000 SELANGOR",,03 - 60935233
salam100269@gmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=92315&sid=9C9665A555D3CDC1EFFDF521D681281D,RS ADVANCED TECHNOLOGY SDN BHD,35G JALAN MUTIARA SUBANG 1 TAMAN MUTIARA SUBANG  47500 SELANGOR,,03 - 56370064
info@wsacim.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12653&sid=B5900F3E348538650E95881C6B9C292C,CARPETS INTERNATIONAL MALAYSIA MANUFACTURING SDN BHD,"LOT 32 & 33, JALAN RP 2 RAWANG PERDANA INDUSTRIAL ESTATE RAWANG 48000 SELANGOR",,03 - 60931510
gloryautomal@gmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=92554&sid=5B47BF69DDB1CEA06DC39F9468AC80D9,GLORY COMPONENTS (M) SDN. BHD.,LOT 0026 GROUND FLOOR BLOCK C RESOURCE COMPLEX 33 JALAN SEGAMBUT ATAS 51200 KUALA LUMPUR,,03 - 62572211
mohd.rizal@fbk.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=64041&sid=1B81ADEAC4D9C82019549C07E1BA4CAF,DJ AUTO COMPONENTS MANUFACTURING SDN BHD,LOT 6 JALAN PERUSAHAAN 1 KAW PERINDUSTRIAN BERANANG 43700 SELANGOR,,03 - 87667611
alivirgo@katangroup.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=93564&sid=7FC2CE00108067B60A5FBFA4D6644BE0,ALIVIRGO SDN BHD,LOT 67 JLN INDUSTRI 2/5 RAWANG INTEGRATED INDUSTRIAL PARK  48000 SELANGOR,,03 - 60935301
contact@advanceauto.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=36731&sid=39FD6D34E228CD27A3037E0FD5E79C22,ADVANCE AUTO TRANSMISSION PARTS SDN BHD,"LOT 1, JALAN 1/57A, OFF BATU TIGA JALAN IPOH  51200 KUALA LUMPUR",,03 - 40432212
joo_leong@hotmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=8136&sid=8915A3D1CB11B824ABCE85E6446E261B,JOO LEONG AUTO ACCESSORIES & AUDIO SDN BHD,"38, JALAN MUTIARA EMAS 5/14 TAMAN MOUNT AUSTIN JOHOR BAHRU 81100 JOHOR",,07 - 3577900
topline1@gmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=42256&sid=5BDCA95496D17F966FEBEE9ED11B7ECC,TOPLINE AUTO INDUSTRY SDN BHD,"12, JALAN IKS. M6 TAMAN IKS MERDEKA BATU BERENDAM 75350 MELAKA",,06 - 3361101
general@furniweb.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=93629&sid=0767161A12067D4618CAEBD7DE8FDDD3,FURNIWEB SAFETY WEBBING SDN BHD,LOT 208 JALAN SG. BESI BT 12 KG BHARU BALAKONG SERI KEMBANGAN 43300 SELANGOR,,03 - 89612278
enquiries@banngai.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10896&sid=2ED8EB378550DBEC1878C8F28B8BB4A3,BAN NGAI COMPONENTS SDN BHD,"LOT 4934, BATU 5 3/4, JALAN MERU, KLANG  41050 SELANGOR",,03 - 33923813
info@niitsu-turbo.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=93916&sid=0B0415F7CA2C2BBC7FAD01DE958F2EBC,NIITSU TURBO INDUSTRIES (M) SDN. BHD,2B JALAN 3/32A OFF BATU 6 1/2 JALAN KEPONG KEPONG 52100 KUALA LUMPUR,,03 - 62539362
plentong@momentummotors.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=92807&sid=434C8D567CD2873D24E9D5EE2C9A9020,MOMENTUM MOTORS SDN BHD,29219 JALAN MASAI BARU TAMAN SAUJANA  81750 JOHOR,,07 - 073535382
aeroilbiz@gmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=93986&sid=C34C4F94EDBE4F20E28579401EF06E1B,AEROIL MARKETING SDN BHD,NO. 23 JALAN PERINDUSTRIAN 5 OFF JALAN HAJI ABDUL MANAN BATU 5 1/2 JALAN MERU KLANG 41050 SELANGOR,,03 - 33928699
kengyeowkoh@gmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=84967&sid=4383B9BB24EA898C43AC93E5DEDCA0D4,SWJ INDUSTRIES SDN BHD,LOT P.T. 37623 JALAN 2/37A TAMAN BUKIT MALURI INDUSTRIAL PARK 52100 KUALA LUMPUR,,03 - 62802200
sales@hmlauto.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=14278&sid=4D1BEC02D2D011369F0D2126CCE38E92,H.M.L. AUTO INDUSTRIES SDN BHD,"18, JALAN KIP 4 KEPONG INDUSTRIAL PARK KEPONG 52100 KUALA LUMPUR",,03 - 62802323
satautopart@yahoo.com.au,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=94215&sid=9C5B9662093B184C5C636E5345098EE3,SAT ENTERPRISE,NO 9 JALAN USJ 9/3E SUBANG JAYA  47620 SELANGOR,,03 - 56325905
belauto1978@gmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=36782&sid=AC7ABD8D4B294F717D7DABBA96A83FA6,B.E.L AUTO SPARES SDN BHD,"LOT 1, JALAN 1/57A, OFF 3 MILE JALAN IPOH KUALA LUMPUR 51200 KUALA LUMPUR",,03 - 40400655
nagaglobaltrade@yahoo.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=6832&sid=956C02B2B5F0075F24F76AAEA8BAFC33,NAGA GLOBAL TRADE (M) SDN BHD,13A WISMA KERINGAT 2 LORONG BATU CAVES 2 BATU CAVES 68100 SELANGOR,,03 - 61873857
info@gaido.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=94469&sid=27649131A0633E6EAF4E3464D7DFB2F9,GAIDO (M) SDN BHD,NO19 JALAN SEGAMBUT ATAS SEGAMBUT INDUSTRIAL AREA  51200 KUALA LUMPUR,,03 - 62520606
sales@moltec.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=8101&sid=FC1E0B2154AAAAADA8C66055A9DA6161,MOLTEC PRECISION SDN BHD,"NO 7, JALAN EMPAT KAWASAN PERINDUSTRIAN SELAYANG BARU BATU CAVES 68100 SELANGOR",,03 - 61387110
manfarglobal@gmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=94221&sid=17C70833E531DC0A20FD00C23A01E09C,MANFAR GLOBAL MARKETING,LOT 4251 JALAN PENGKALAN CHEPA KAWASAN PEINDUSTRIAN DUA KOTA BHARU 16100 KELANTAN,,09 - 7714592
codi.hoyu@gmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=94493&sid=D65426E85465ABEB881E78A37574068C,HOYU TAYAR SDN BHD,"A694, JALAN KIANSOM KAMPUNG KIAMBALANG  88450 SABAH",,014 - 6992247
wmleong@waxco.net,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=3356&sid=CA825E1752592BBC5C0A905D2EE29D19,SUNNY SALES SDN BHD,"30, JALAN SERINDIT 2, BANDAR PUCHONG JAYA SELATAN, PUCHONG 47100 SELANGOR",,03 - 58822059
sitisofiah.quasasnr@gmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=77904&sid=0DDE9EE6471ECD91A0606FD334F15534,QUASA SCIENCE & RESEARCH,"2, JALAN SRI AMPANG 2 TAMAN SRI AMPANG IPOH 31350 PERAK",,03 - 3130852
enquiry@nbmotors.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=72520&sid=606E39A628C53C954EF63EDDCDF4B33F,N. B. MOTORS TRADING SDN BHD,"LOT 11722 BLOCK 16, KCLD JALAN SHERIP MASAHOR 93350 SARAWAK",,082 - 452771
ecrsb186@gmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=95291&sid=253270633D7AD17A2FCA91ACC1440311,EC RESOURCES SDN BHD,NO 58 JALAN BULAN U5/172 BANDAR PINGGIRAN SUBANG SEKSYEN U5 SHAH ALAM 40150 SELANGOR,,03 - 77341367
info@quantumbattery.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=76970&sid=4E692BAD8ECA636B993C64BABAD5CDB1,CAMAR KLASIK SDN BHD,"LOT A-18, KAW INDUSTRI MARA (KIM) KM 13 OFF JALAN BATU CAVES 68100 KUALA LUMPUR",,03 - 61896364
yinglee.low@gmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=95511&sid=7F08DDF0A661526898CF75BE74FDC214,NEUTRINOS ENGINEERING SDN BHD,5 JALAN KEMPAS UTAMA 3/8 TAMAN KEMPAS UTAMA JOHOR BAHRU 81200 JOHOR,,07 - 5599500
sales@uppacking.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=3101&sid=827383967EED36C22D045DE4A25ED819,UP-PACKING SDN BHD,"483, KAW INDUSTRIAL  SG SIPUT (U) 31100 PERAK",,05 - 5981006
hadi@technoworks.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=94985&sid=2151CB318952EAC29CAF9882CA242C0E,TECHNOWORKS PLT,NO 5 JALAN PP2/9 TAMAN PUTRA PERDANA PUCHONG 47100 SELANGOR,,03 - 83222780
exmobis_khoo@yahoo.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=95607&sid=1E8976D7022B226B099C511CE95DB703,EXPRESS MOBIS SDN BHD,185 JALAN SEGAMBUT  51200 KUALA LUMPUR,,03 - 62580010
marketing@pgbume.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=94385&sid=1191FD4A0B3E4B4FDBABF5CBE3003A93,PG BUME TECHNOLOGIES SDN BHD,2783 TINGKAT SELAMAT 5 KAMPUNG SELAMAT TASEK GELUGOR 13300 PULAU PINANG,,04 - 5737897
shahar@kesb.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=95255&sid=7D7529714FE4CD7F07B746B9F3D29248,KEJURUTERAAN EMAS SENDIRIAN BERHAD,23-2 NO 8 JALAN ANGGERIK VANILLA BE31/BE SINARAN 2 KOTA KEMUNING SHAH ALAM 40460 SELANGOR,,03 - 51314495
iglobalsb@gmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=85674&sid=CEA36331E1E097DFCA9C041E38304385,IMBANGAN GLOBAL SDN BHD,"21, JALAN P/8 SECTION 13 BANDAR BARU BANGI 43650 SELANGOR",,03 - 89262289
info@brac.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=8873&sid=5CB45AE077A4DF9BC6924D7630A2C36C,BRAC ENGINEERING (M) SDN BHD,"B-30, 1ST & 2ND FLOOR,PUSAT PERDAGANGAN BKT SERDANG, JALAN BS 14/1, TAMAN BUKIT SERDANG, SEKSYEN 14, SERI KEMBANGAN 43300 SELANGOR",,03 - 89385063
admin@tomcare.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=87126&sid=A62CAE9E38B4BFEF8810CF44F1F38634,TOMCARE RESOURCES SDN BHD,"89-1, JALAN PUTERI 5/7 BANDAR PUTERI PUCHONG 47100 SELANGOR",,03 - 80627661
shyanglih.toh@symphony-mfg.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=95002&sid=64B01C6C5FADA549BF21C5DF11B7C834,SYMPHONY MANUFACTURING & SERVICES SDN BHD,NO 9 JALAN ANGGERIK MOKARA 31/56 KOTA KEMUNING SEKSYEN 31 40460 SELANGOR,,03 - 51224199
limitless.sv.md@gmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=97331&sid=C1ECA70F4DCB90A984C93D259A8F6CA8,LIMITLESS SPECIAL VEHICLES SDN BHD,NO 4 JALAN PENYELENGGARA U1/77 HICOM GLENMARIE INDUSTRIAL PARK 40150 SELANGOR,,03 - 55237804
eesbesm@gmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=4820&sid=6180BBEBFE32B9076669D67FC0401915,EVERBRIGHT ELECTRONICS SDN BHD,"NO. 50, JALAN SATRIA 2 TAMAN TITIWANGSA KLUANG 86000 JOHOR",,607 - 7729785
ishkandar@robotics-malaysia.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=87968&sid=65DFED73786C0C1EFC22058A6E48623B,TECHCAPITAL SOLUTIONS SDN BHD,"C-15-12, ZETA PARK JALAN GENTING KLANG  53100 KUALA LUMPUR",,016 - 5326043
azliwati@spclube.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=62181&sid=83D1E5B2544AE15F35453244390A1A8C,SUMBER PETROLEUM CEMERLANG SDN BHD,"LOT 6107, JALAN HAJI SALLEH, 5 1/2 MILES, OFF JALAN MERU KLANG 41050 SELANGOR",,03 - 33921919
enquiry@otter.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12267&sid=9169A3B972CF995D4C2920986FD2CA11,WOOD-KARE (M) SDN BHD,"1, JALAN P10/21 TAMAN INDUSTRI SELAMAN BANDAR BARU BANGI 43650 SELANGOR",,03 - 89223288
gyntec.united@gmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=98336&sid=EB89A7C7F09491722859BBDB4AF614D4,GYNTEC UNITED SDN BHD,163-D-4 WISMA SERI PERAK JALAN PERAK GEORGETOWN 10150 PULAU PINANG,,04 - 8902377
sharimah@suria-grp.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=88143&sid=EAB29A99F9F3B9AA5215F567F0185135,SURIA COMPONENT MANUFACTUIRNG (M) SDN BHD,"10 & 12, JALAN ZUHAL U5/178 KAW PERINDUSTRIAN SUBANG KRISTAL SHAH ALAM 40150 SELANGOR",,03 - 78326474
khairul@epmb.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=48567&sid=128A44449B58ADD77A8C246C975BE348,FUNDWIN SDN BHD,"8 & 10, JALAN JURUTERA U1/23, SEKSYEN U1, KAWASAN PERINDUSTRIAN HICOM GLENMARIE, SHAH ALAM 40150 SELANGOR",,03 - 78036663
info@hardexworld.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=44380&sid=DD49CF728F7FC5AFAEE59214F347AAD8,API PETROLEUM SDN BHD,"2A, JALAN IM 3/6, KAWASAN PERINDUSTRIAN IM 3 BANDAR INDERA MAHKOTA, KUANTAN 25200 PAHANG",,09 - 5721063
accounts@redsprings.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=87254&sid=FC3061A58F6C01A5854307FD01945D0D,RED SPRINGS SDN BHD,"30-1, JALAN MERANTI SD 13/5 BANDAR SRI DAMANSARA  52200 KUALA LUMPUR",,012 - 2175567
amagtive@gmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=98663&sid=075FBED2649BBF3E328900F16B9FFAB8,AMAGTIVE SDN BHD,LOT PT 9881 (GUDANG B) JALAN WELFARE KAMPUNG BARU SUNGAI BULOH 47000 SELANGOR,,03 - 61511855
