HREF,CONAME,EMAIL,PHONE,FAX,ADDRESS,PROFILE,FAILMSG
http://www.thegreenbook.com/companies/aver-advance-pte-ltd/,Aver Advance Pte Ltd,,+65 68623373,+65 68621171,14 Benoi Pl S(629953),,
http://www.thegreenbook.com/companies/aron-lifts-international-pte-ltd/,Aron Lifts International Pte Ltd,,+65  62428567,+65  62422767,3018 Bedok Nth St 5 #06-45 Eastlink S(486132),,
http://www.thegreenbook.com/companies/amx-engineering-pte-ltd/,AMX Engineering Pte Ltd,,+65  62599011,+65  62598919,39 Jln Pemimpin #02-03 Tai Lee Ind Bldg S(577182),"
										


											 
										


                                        


                                            
                                        


                                        


                                            

AMX Group

 is a company characterized by dynamic growth with a strong presence across ASEAN, South Asia and the Middle East. AMX Group is divided into 5 Business Divisions, mainly: Material Handling Division, Hoist & Crane Division, Drum Handling Division, Lifting Accessories Division, and lastly, Service & Spare Division. We are a Manufacturer, Sole Agent, One of the Largest Stockist and One-Stop Centre for many major brands. 


                                        
                                    ",
http://www.thegreenbook.com/companies/aly-energy-singapore-pte-ltd/,Aly Energy Singapore Pte Ltd,,+65  62668558,+65  62665885,23 Tuas Ave 8   S(639238),"
										


											 
										


                                        


                                            
                                        


                                        


                                            

aly energy

 is all about providing sales, rental and diagnosis services for industrial equipment across array of industries.




 




we are strategically located to provide our customers with the most efficient and economical service possible, and keep it simple!




 













simplicity is entrenched in all our processes:










enquiry







Surf our Website, Fax-on-demand or just call us!













ordering







SMS, Email, Fax or just give us a tinkle!













logistics




Live tracking & update from our alyCare consultants










helpdesk







24/7 response from our alyCare specialists
















 




Our vision:

to be a world-class energy rental company that is widely recognised and respected in the field of energy rental market.




 




Our mission:

to deliver simplified energy solutions with technical expertise to satisfy the needs and wants of the communities we served.




 




Our values:




Excellence

excellence is to be the best that we can be. We are highly committed to deliver professional services that meet the needs of our customers.




 




Respect

we respect people as individuals and welcome diversity in capability and background.




 




Partnership

we see our customers as partners in a common endeavor, that is, to provide the best value that is acknowledged and best for the partnership.




 


                                        
                                    ",
http://www.thegreenbook.com/companies/alimak-hek-pte-ltd/,,,+65  62620078,+65  62622068,18 Boon Lay Way #03-123/124/125/126 TradeHub 21 S(609966),,
http://www.thegreenbook.com/companies/acer-lift-pte-ltd/,Acer-Lift Pte Ltd,,+65 62619532,+65 62616352,5 Tuas Basin Cl S(638804),,
http://www.thegreenbook.com/companies/access-systems-technology-pte-ltd/,Access Systems Technology Pte Ltd,,+65  67778884,+65  67773314,8 Tuas Sth St 12   S(637088),,
http://www.thegreenbook.com/companies/access-safety-technologies-pte-ltd/,Access Safety Technologies Pte Ltd,,+65  67485535,+65  67487797,Blk 1085 Eunos Ave 7A #01-26/#02-26 S(409535),,
http://www.thegreenbook.com/companies/a-g-equipment-pte-ltd/,A & G Equipment Pte Ltd,,+65  65196905,+65  67591803,1A Kranji Loop   S(739536),"
										


											 
										


                                        


                                            
                                        


                                        


                                            

A&G Equipment Pte Ltd

 specialises in heavy ground support machinery, providing reliable professional rental services. Headed by a young and dynamic management, 

A&G Equipment Pte Ltd

 aims to provide reliable and quality rental of machinery and equipment with a view towards excellent service. We provide machinery and equipment to the Construction, Marine, Oil & Gas / Offshore industries, specializing in Boom Lifts, Scissors Lift, Forklifts, Telehandlers, Skid-Steer Loaders, Air Compressors, Generators. 

We offer both short-term and long-term rental services. Through constant upgrading of our workforce and machinery, we strive to attain a reputable and prominent market position.




A&G Equipment Pte Ltd

 

supplies rental machinery to:




Construction Industry




Integrated resorts




Hotels




Residences




Painting industry




Shipping Sector




Subway




Marine sector




Interior design and Renovation companies




Solar manufacturing complex




Other industrial and Manufacturing sectors




Offshore / Oil & Gas Industry


                                        
                                    ",
http://www.thegreenbook.com/companies/wah-kok-professional-engineering-contractor/,Wah Kok Professional Engineering Contractor,,+65  65703722,+65  65703724,50 Tuas Ave 11 #03-13/14 Tuas Lot S(639107),"
										


											 
										


                                        


                                            
                                        


                                        


                                            

Wah Kok Professional Engineering Contractor

 is in the business of structural steel works, civil & mechanical engineering. It is also a Building & Construction Authority (BCA) registered contractor and a certified bizSAFE company.




 




Mr. Tan Kock Wah founded the company in 1985 as a small engineering workshop with commitment to provide focused support to the engineering industries. Through the years, the management and its team have been able to provide high quality standard and total customer satisfaction through dedicated commitment in meeting the stringent requirement and high expectation. These have resulted in substantial growth for the business and we have successfully expanded by taking bold strides forward to diversify our services in many areas. We have a pool of highly trained professionals who are committed to provide all the necessary expertise and services for your industrial needs, thus ensuring your satisfaction.




 




Our industrial engineering services include:




• Steel products fabrication

• Mechanical engineering works

• Civil engineering works

• PVC, stainless steel, copper, M/S pipes installation




 




Business Partners




We have a team of well-trained, dedicated and experienced staff to provide services from design, fabrication, set up till final testing & commissioning. Over the years, we have established a reputation for quality and reliability in the domestic (Singapore) market. Our achievements have gained the recognition, tremendous support and trust from our customers, and they have benefit from our accumulated experience in solving industrial engineering problems and also our ability to recommend solutions. Our customer base includes industries from the marine, oil & gas, petrochemical, offshore & food in Singapore.


                                        
                                    ",
http://www.thegreenbook.com/companies/tvh-singapore-pte-ltd/,TVH Singapore Pte Ltd,,+65  62761450,+65  62761452,6 Gul St 3   S(629264),"
										


											 
										


                                        


                                            
                                        


                                        


                                            

COMPANY : 

TVH Singapore is part of TVH Group, the leading worldwide supplier of spare parts for industrial vehicles. We are your one-stop shop in material handling, industrial and agricultural equipment.

The incorporation of TVH Singapore Pte Ltd in 2006 enhanced our local presence in the market, offering our customers a better and faster service. Our sales team at TVH Singapore is welcome to serve you at our counter, via telephone/fax/email, or via MyTotalSource, our webshop for all your parts. You can inquire, look-up and order parts 24/7 with MyTotalSource at your convenience.

TRADE COUNTER : 

We operate a trade counter area with our Singapore facility for collection of goods and for assistance in parts identification.

WAREHOUSE : 

Situated in Jurong, our warehouse of 11,000 sq ft carries 6,000 fast-moving stock items, ensuring immediate delivery to our customers in Singapore. With another 600,000 stock items at our Belgian headquarters, we can guarantee being your one-stop solution.


                                        
                                    ",
http://www.thegreenbook.com/companies/haulotte-singapore-pte-ltd/,Haulotte Singapore Pte Ltd,,+65  65460123,+65  65363969,26 Changi Nth Way   S(498812),"
										


											 
										


                                        


                                            
                                        


                                        


                                            

Haulotte Singapore Pte Ltd

 is a world-class and successful manufacturer and supplier of material lifting equipment specializing in aerial work platforms. We are also identified as the hub for equipment sales, spare parts and services support for Haulotte machines all over Asia.




Haulotte Singapore Pte Ltd was established in the year 2001 as a representative office for Haulotte Group. It was in the year 2005, when we became an official subsidiary of Haulotte Group. We can provide accommodation for large inventory of machine and spare parts in our 30,000 square ft facility located at Changi North.




Haulotte Singapore Pte Ltd is backed by highly qualified sales and customer support team in parts and services. We cater directly to the Singapore market for rental companies and end users. Our company has a broad distribution network for sales and after sales activities for Haulotte machines outside Singapore, included companies are Hong Kong, Taiwan, South Korea, Vietnam, Thailand, Indonesia and Philippines.




We aim to continually provide a customer-centric approach to deliver reliable equipment and services that meet specific and diverse market/industrial needs.




Products:

• Aerial Work Platform

• Articulating Booms

• Push Around

• Scissor Lifts

• Telehandlers

• Telescopic Booms




For business and product information you may directly contact our team or post inquiries below.


                                        
                                    ",
http://www.thegreenbook.com/companies/atc-equipments-pte-ltd/,ATC Equipments Pte Ltd,,+65  66369919,+65  66369929,9 Tuas South Ave 10 #04-09/10  S(637014),"
										


											 
										


                                        


                                            
                                        


                                        


                                            

ATC Equipments Pte Ltd

 is an emerging and enterprising equipment service provider specialized in Mobile Elevated Work Platforms (MEWPs). We are equipped with a full range of services including a fleet of reliable and quality brand new machines, coupled with comprehensive maintenance package, spare parts and repair services.

In addition, we also provide Rental Services for Construction Equipments & Material Handling Equipment (MHE) in order to offer a cost effective and one-stop solution for our customers.

Lead by an experience team, we are committed to relentlessly carrying out our services to a professional level and constantly upgrading our machines to satisfy our clients. We strongly believe that with our commitment, we are able to optimize your business values which are the vital factors to success.
                                        


                                    ",
http://www.thegreenbook.com/companies/alniff-industries-pte-ltd/,Alniff Industries Pte Ltd,,+65  67444288,+65  67442298,33 Kaki Bt View  Kaki Bt Techpark II S(415965),"
										


											 
										


                                        


                                            
                                        


                                        


                                            

Alniff Industries Pte Ltd

 is established in 1992. A Company specialized in Material Handling Equipments, Racking & Shelving and Magnetic Products.

 Throughout these years, Alniff Industries has grown tremendously despite that we are a young company. With our enthusiasm, aggressiveness and flexibility, Alniff is keeping a good name in this industry and has out stand from out competitors, as we believe in providing the best quality of goods, solutions and services to every single customer. As such, we have established good contact base with reputable companies like Energizer Singapore Pte Ltd, IBM International Holdings, Hewlett Packard Singapore Pte Ltd, SBS Transit Pte Ltd, Grundfos Singapore Pte Ltd, Jurong Shipyard Pte Ltd, government bodies and etc. Our customer base is not only in Singapore, but we also supply goods and equipments to overseas market such as Malaysia, Indonesia, Philippines, Thailand and etc. 

Our philosophy is to assist all our valued customers by tailor solutions to suit their individual applications, in helping them to increase their productivity, minimize overhead cost and wok load. We are always aiming at improving efficiency and overall performance to achieve maximize customer satisfaction with the most efficient and best back-up service you ever find in this market! 

We guarantee that Alniff is certainly a name you can rely on!


                                        
                                    ",
http://www.thegreenbook.com/companies/kim-san-machinery-co/,,,+65  62929767,+65  62960742,478 Serangoon Rd   S(218147),,
http://www.thegreenbook.com/companies/horme-hardware-pte-ltd/,Horme Hardware Pte Ltd,,+65  68408888,+65  68408899,1 Ubi Cres #02-01 Number One Bldg S(408563),,
http://www.thegreenbook.com/companies/hua-hng-trading-co-pte-ltd/,Hua Hng Trading Co Pte Ltd,,+65  67520500,+65  67522413,15 Bah Soon Pah Rd   S(769962),,
http://www.thegreenbook.com/companies/equitchem-s-pte-ltd/,Equitchem (S) Pte Ltd,,+65  63652622,+65  67946683,54 Tuas Sth Ave 2   S(637530),,
http://www.thegreenbook.com/companies/enta-manufacture-industries/,Enta Manufacture Industries,,+65  67441010,+65  67438969,Blk 3021 Ubi Ave 2 #04-193 S(408897),,
http://www.thegreenbook.com/companies/bentz-jaz-singapore-pte-ltd/,Bentz Jaz Singapore Pte Ltd,,+65  68412986,+65  68412026,48 Toh Guan Rd East #06-139 Enterprise Hub S(608586),,
http://www.thegreenbook.com/companies/agro-technic-pte-ltd/,Agro Technic Pte Ltd,,+65  64821828,+65  64812631,32 Ang Mo Kio Ind Pk 2 #01-01 Sing Ind Complex S(569510),"
										


											 
										


                                        


                                            
                                        


                                        


                                            AGRO TECHNIC PTE LTD is the leading supplier dedicated to providing public health and plant care industries with the highest quality products and customer service and we are continually bringing new, innovative products and services for the customers.
                                        


                                    ",
http://www.thegreenbook.com/companies/bio-flora-singapore-pte-ltd/,Bio-Flora (Singapore) Pte Ltd,,+65 65820896,+65 62420556,9 YISHUN INDUSTRIAL ST 1 #04-74/75 NORTH SPRING BIZHUB S(768163),"
										


											 
										


                                        


                                            
                                        


                                        


                                            

Providing unique and value driven products through the years, 

Bio-Flora (Singapore) Pte Ltd

 is one of the leading companies for new generation farming. Our company is in the industry of agriculture and horticulture trade, supplying high quality products to farms, government agencies, gardens and also retail sale. Our business operates both in Singapore and Peninsula Malaysia. We are backed by highly qualified and motivated staff that ensures all our products are with the highest standard possible.




We have wide range of products to suit our customers’ need. Bio-Flora (Singapore) Pte Ltd aims to value every client’s requirements specified to produce high quality products that will not compromise our environment. Acquiring the support from our partners, we understand your needs better than the most.




Our company is awarded with Singapore Green Label which is the only type I label in Singapore. It is the most reliable label that certifies that our products have lesser impacts on the environment. We have acquired BizSAFE Level 3, engaging to Workplace Safety and Health Auditing Organisation (WSHAO).




Our mission is to be The Gardener’s Choice Towards Healthy Trees and Plants without harming Mother Earth.




Our wide array of products includes:

• Bio Stimulants

     o Wuxal

• Fertilizer

     o Inorganic Fertilizer

     o Organic Fertilizer

     o Slow Release

• Planting Media

     o Bioflora Compost & Potting Mix

     o BVB Products

     o Horti Perlite

     o PlantaFlor Products

• Mulch and Bark

    o Sierschors Pine Chip

    o Franse_Schors Pine Bark

    o Plantaflor Pine Bark

• Garden Accessories

    o Bokashi Bin

    o Compost Tumbler


                                        
                                    ",
http://www.thegreenbook.com/companies/john-deere-asia-singapore-pte-ltd/,,,+65  68798801,+65  62780363,438 Alexandra Rd #06-02/03 Alexandra Pt S(119958),,
http://www.thegreenbook.com/companies/at-besquip-asia-pacific-pte-ltd/,AT & Besquip (Asia Pacific) Pte Ltd,,+65  65552512,+65  65552513,8B Admiralty St #08-20 8B @ Admiralty S(757440),"
										


											 
										


                                        


                                            
                                        


                                        


                                            

AT & Besquip was incorporated in 2005 and has since became a preferred equipment supplier to most of the golf courses, landscape contractors, government bodies and commercial sectors.

We have a team of 12 experienced technical executives, technical specialists, mechanics and 3 teams of mobile mechanics.

Our Services include: - Periodic Maintenance of John Deere Turf Equipment - Immediate Response to Emergency Technicalities - Scheduling and Planning of Periodic Equipment Servicing - Repairs and Overhaul of John Deere Turf Equipment - Providing Technical Training for John Deere Turf Equipment - Parts Management Services

We also provide Fleet Management Services to equipment owners whom do not require our daily presence and assistance. 

Our Fleet Management Services will help owners to reduce equipment downtime, excessive headcounts and significant cost saving.




 


                                        
                                    ",
http://www.thegreenbook.com/companies/stamford-tyres-international-pte-ltd-tampines-/,Stamford Tyres International Pte Ltd (Tampines),,+65  62863355,+65  67844202,Blk 9006 Tampines St 93 #01-196  S(528840),,
http://www.thegreenbook.com/companies/stamford-tyres-international-pte-ltd-macpherson-/,Stamford Tyres International Pte Ltd (MacPherson),,+65  68413355,+65  67428167,455 MacPherson Rd   S(368173),,
http://www.thegreenbook.com/companies/stamford-tyres-international-pte-ltd-loyang-way-/,Stamford Tyres International Pte Ltd (Loyang Way),,+65  65423355,+65  65431403,31 Loyang Way   S(508729),,
http://www.thegreenbook.com/companies/stamford-tyres-international-pte-ltd-hougang-/,,,+65 62863355,+65 62866553,,,
http://www.thegreenbook.com/companies/stamford-tyres-international-pte-ltd-east-coast-/,,,+65  63420981,+65  63451547,355 East Coast Rd   S(428972),,
http://www.thegreenbook.com/companies/stamford-tyres-international-pte-ltd-bukit-batok-/,,,+65  62613355,+65  65671870,50 Bt Batok St 23 #02-19 Midview Bldg S(659578),,
http://www.thegreenbook.com/companies/stamford-tyres-international-pte-ltd-balestier-road-/,,,+65 62563337,+65 62568467,207 Balestier Rd #01-13 Balestier Towers S(329683),,
http://www.thegreenbook.com/companies/stamford-tyres-international-pte-ltd-amk-/,Stamford Tyres International Pte Ltd (AMK),,+65  64833355,+65  65554776,10 Ang Mo Kio Ind Pk 2A #01-14 AMK Autopoint S(568047),,
http://www.thegreenbook.com/companies/stamford-tyres-international-pte-ltd/,Stamford Tyres International Pte Ltd,,+65  62683111,+65  62640148,19 Lok Yang Way S(628635),"
										


											 
										


                                        


                                            
                                        


                                        


                                            Established in the 1930s, Stamford Tyres has built a reputation for our steadfast commitment to service and product excellence over the years. From a humble tyre retailer cum petrol service station in Stamford Road, Stamford Tyres is today an international tyre and wheel supply and service provider with strong growth potential.
                                        


                                    ",
http://www.thegreenbook.com/companies/duxtera-s-pte-ltd/,Duxtera (S) Pte Ltd,,+65  65361220,+65  65366272,3 Shenton Way #20-05 Shenton Hse S(068805),,
http://www.thegreenbook.com/companies/dunlop-singapore-raffles-blvd-/,,,63379149,63379149,6  raffles blvd  #03-306/306A marina square,,
http://www.thegreenbook.com/companies/dunlop-singapore/,,,+65  62682066,+65  62622789,81 Tuas Sth Ave 1   S(637783),,
http://www.thegreenbook.com/companies/chin-seng-hin-pte-ltd/,Chin Seng Hin (Pte) Ltd,,+65  68616106,+65  68616891,59 Joo Koon Circle   S(629072),,
http://www.thegreenbook.com/companies/binter-co-pte-ltd/,,,+65 63457611,+65 63454817,12 East Coast Rd S(428723),,
http://www.thegreenbook.com/companies/mecomb-singapore-ltd/,Mecomb Singapore Ltd,,+65  65721200,+65  62656160,6 Jurong Pier Rd   S(619158),,
http://www.thegreenbook.com/companies/macallan-pumps-equipment-pte-ltd/,Macallan Pumps & Equipment Pte Ltd,,+65 68626281,+65 68621360,22 Chin Bee Dr S(619870),,
http://www.thegreenbook.com/companies/k-l-fluid-technology-pte-ltd/,K & L Fluid Technology Pte Ltd,,+65 68615646,+65 68615647,1 Bt Batok Cres #03-03 WCEGA Plaza S(658064),"
										


											 
										


                                        


                                            
                                        


                                        


                                            

K & l Fluid Technology

 was established in 2002 as a one-stop service center that offers innovative solutions for various pumping needs or requirements. We are committed in serving clients from industries like water & wastewater, contracting, marine and offshore industries.




Backed by different well-known and trusted manufacturers of leading brands, we were able to achieve well-balanced coverage in serving our clients with comprehensive product listings – in-stock and ready for delivery! We make sure to provide fastest turn-around period for pump brands like DUDEK-PUMPEN Rotary Gear Pumps, ANDRITZ RITZ Centrifugal & Submersible Pumps and SEEPEX Progressive Cavity Pumps which are all renowned brands from Germany. We also serve DANFOSS Duplex SS High Pressure Pumps from Denmark and MCM Mud Transfer Pumps from USA.




Serving our clients promptly with internationally recognized names in manufacturing the most cost-effective products, we also take pride in improving pumping process with innovative and top-of-the-line technologies. We have as much reliable after sales service and we guarantee to handle all your inquiries relevant to pumping needs. We have our well-trained staff to do preliminary stage of testing and commissioning the pumps with close supervision.




To put our dedication on delivering sustainable pumping solutions with emphasis on cost effectiveness, reliability and quality along with commitment and visionary, is one of the key factors on how we have built relationship with loyal customers all throughout Singapore. We are successful and still making ways on how to improve our means of addressing every client’s concerns, needs and problems. We believe that to be able to do this, we must address our very own technical needs first by constantly innovating our approach, technology and our manpower.


                                        
                                    ",
http://www.thegreenbook.com/companies/flowquip-pte-ltd/,FlowQuip Pte Ltd,,+65  67486353,+65  67481190,8 Lor Bakar Batu #01-07 Kolam Ayer Ind Pk S(348743),,
http://www.thegreenbook.com/companies/dynamic-machine-co-pte-ltd/,Dynamic Machine Co Pte Ltd,,+65  62642922,+65  62640202,23 Tuas Ave 2 S(639454),,
http://www.thegreenbook.com/companies/calpeda-asia-pacific-pte-ltd/,Calpeda Asia Pacific Pte Ltd,,+65  68984111,+65  68984222,48 Toh Guan Rd East #06-146 Enterprise Hub S(608586),"
										


											 
										


                                        


                                            
                                        


                                        


                                            Calpeda Asia Pacific Pte Ltd specializes in Pumps Product and Services.
                                        


                                    ",
