restname,address,opening hours,contact,rating,conclusion
Ah Li Japanese Fusion Mee Pok,"Blk 710 Clementi West St 2, Singapore 120710","
Opening hours:
Lunch: 10:00AM to 2:00PM
Dinner: 6:00PM to 9:00PM
Closed:
Sat/Sun",97306670,,"The Japanese are famous for being able to put a distinctly Japanese touch to foreign cuisines.  Thanks to the Kuribara family, now we are able to have a taste of the Japanese take on our
.  Let’s see if they are able to win over the hardcore
fans!"
Wah Kee Big Prawn Noodle,"8 Raffles Avenue Esplanade Mall #01-13C, Singapore 039802","
Opening hours:
Lunch: 11:00AM to 2:30PM
Dinner : 5:30PM to 11:30PM",63279187,,"Exciting to see another heritage hawker expanding beyond the traditional hawker space, but apprehensive that they might go the same way as other heritage brands.  The prawn broth has been very well executed but the menu’s hotchpotch offering of izakaya style dishes seems oddly placed."
Hong Yuan Seafood,"Blk 124 Toa Payoh Lor 1, Singapore 310124","
Opening hours:
Lunch: 10:30AM to 1:30PM
Dinner: 5:00PM to 10:30PM",8463 8011,"4.5/5
4.25/5
4/5
3.75/5","Most of the dishes are good overall and their signature white bee hoon is quite unique and satisfying.  On top of that, they have an air-con area where you can enjoy the food!"
Hoshino Coffee,"118 Holland Avenue 2,    #02-02,, Singapore 278997","
Opening hours:
Mon-Thurs: 11:00AM to 10:00PM
Fri-Sat: 10:00AM to 11:00PM
Sun: 10:00AM to 10:00PM",(65) 6262 4290,,This was a media invited review.  This means that the meal was free but there was no fee paid nor was there any obligation for me to write unless I felt the food was worth writing about.
Ye Shang Hai Teochew Porridge,"Blk 116 Bukit Merah View, Singapore 151116","
Opening hours:
10:00AM to 5:00AM
Closed:
Tues",,4.5/5,"Ye Shang Hai has become one of my top picks for economical Teochew porridge.  Best of all, it is opened till the wee hours of the morning!"
Joël Robuchon Restaurant,"Level 1, Hotel Michael 8 Sentosa Gateway, Singapore  098269","
Opening hours:
Lunch: 12:00PM to 2:30PM
Dinner: 6:00PM to 11:00PM
Closed:
Mon",(65) 6577 6688 or 6577 7888,,This was a media tasting review.  The meals were provided but there were no obligations or fees received for the write up.
Legendary Bak Kut Teh,"42, 46 South Bridge Road, , Singapore  058676","
Opening hours:
11:00AM to 12:00AM",6292 0938,(4.5/5),"With so many Bak Kut Teh places opening up, it is good to be able to find restaurants like Legendary which are still making Bak Kut Teh with passion!  There has been some comments on the internet that their Bak Kut Teh is a slightly more pricey.  However, one has to consider that frozen pork at the market is $8/kg compared to fresh Indonesian pork which is $15/kg.  So if a restaurant like Legendary still insists on using fresh pork, then the slight increase in price is more than justified."
Chao Shan Cuisine,"#01-01, Grand Building, 17 Phillip Street, , Singapore 048695","
Opening hours:
Lunch: 11:30AM to 2:30PM
Dinner: 6:00PM to 10:00PM","63362390, Nancy 92472227","4.5/5
4.5/5","Good to see our Teochew Ah Hia doing well at this new location.  The restaurant is bigger and brighter and the food is still very good.  Ah Liang always has a few surprises up his sleeves but in the end he exemplifies the Teochew mantra —  The most important thinga bout food is that it must be fresh, fresh, fresh!  (chngee chngee)."
Roast Paradise,"51 Old Airport Road, Stall 121, Singapore 390051","
Opening hours:
Lunch: 11:30AM to 2:30PM
Dinner: 4:30PM to 6:00PM
Sun: 11:30AM to 2:00PM
Closed:
Mon",91891017,,Great to see two young hawkerpreneurs passionately pursuing charsiew perfection!  The charsiew here is very different from what you find at other Cantonese roasts and it behooves any charsiew lover to at least give it a try.
Joo Heng Restaurant,"360 Joo Chiat Road, Singapore 427605","
Opening hours:
Lunch: 11:00AM to 2:00PM
Dinner: 5:00PM to 10:00PM
Closed:
Mon",63451503,"
4.5/5
4.25/5
3.5/5","People who have eaten at Joo Heng a long time ago would have you know that they were much better in the past.  That may be true, but there is no way to be objective about such platitudes. The tastiest ingredients of any given dish are always a ravenous appetite garnished with a sprinkling of nostalgia.  But if you are looking for a satisfying meal of rice and several dishes, then Joo Heng will still deliver the goods, and very quickly, I might add."
Kuroya Sukiyaki,"33 Mohd Sultan Road, Singapore 238977","
Opening hours:
Dinner: 5:30PM to 11:00PM
Closed:
Sun",67344740,,
Roxy Laksa,"73A Ayer Rajah Crescent, JTC LaunchPad @ one-north, #01-17, Singapore 139957","
Opening hours:
9:99AM to 6:00PM
Closed:
Sun",96302321,,Chef Willin and I are good friends.
The Coconut Club,"No. 6 Ann Siang Hill , Singapore 069787","
Opening hours:
Lunch: 11:00AM to 3:00PM
Closed:
Mon",+65 6635 2999,4.5/5,"So, is it worth $12.80?  In my opinion, yes, the price can be justified by its location and quality.  However, if the question is whether this is the best that Nasi Lemak can be, then even Eng Su admits that it is still a work in progress.  But with the amount of energy and passion that he is putting into it, I think it shouldn’t be too long before The Coconut Club becomes THE PLACE to go for nasi lemak."
Ho Guan Satay Bee Hoon,"2 Changi Village Rd, Singapore 500002","
Opening hours:
11:00AM to 9:00PM
Closed:
Tues, Wed",,,"Old school satay bee hoon prepared by a Pioneer Generation couple!  If you are a fan of satay beehoon, it behooves you to make a pilgrimage to Changi Village to see if this will trigger a flashback to the 50’s!"
Hougang Fried Oyster,"Blk 435 Hougang Ave 8, Singapore  530435","
Opening hours:
12:00PM to 9:30PM
Closed:
Mon",91110702,4.5/5,"So glad to be able to find another hidden gem!  Their big and creamy oysters, pork lard and home made chilli sauce should be good enough reasons for any lovers of oyster omelette to make a trip down to see if it has what it takes to become their new favourite stall."
KEK,"200 Pandan Gardens #01-12 , Singapore 609336","
Opening hours:
Lunch: 11:30AM to 2:30PM
Dinner: 5:00PM to 10:00PM",67320383,4.25/5,"Here is my
."
Ye Lai Xiang Tasty Barbeque,"Maxwell Food Centre  1 Kadayanallur Street #01-94 , Singapore 069184","
Opening hours:
Lunch: 12:00PM to 2:00PM
Dinner: 6:00PM to 10:00PM
Closed:
Sat, Sun",,,Old school Hainanese Western food is still alive and well at Maxwell Food Centre.  Many of the newer Western food stalls have gone the way of serving more modern Western food which is why stalls like Ye Lai Xiang are a real gem that is keeping tradition alive!
Seafood White Beehoon,"Blk 628, Ang Mo Kio Ave 4, Stall 49, Singapore 560628","
Opening hours:
Lunch: 11:30AM to 2:00PM
Dinner: 4:00PM to 8:00PM
Closed:
Mon",84088526,,Have you been caught up in the Seafood White Beehoon trend yet? Please do share with us your favourite stall!
Dashi Master Marusaya,"Address: 86 Robertson Quay, #01-01 , Singapore 238245","
Opening hours:
Lunch: 11:30AM to 2:30PM
Dinner: 5:00PM to 12:00AM
Sundays: 11:30AM to 11:00PM",67320383,"4.5/5
4.25/5
4.5/5",
The Pantree,"114 Lavender street #01-19 CT Hub 2 , Singapore 338729","
Opening hours:
8:30AM to 4:30PM
Closed:
Sundays",91083280,,"Great to see this young couple bringing the humble
to the next level.  And why not.  We already have so many hipster cafes serving waffles, pancakes and crepes!  It’s about time we see more cafes taking something local and revving it up a few notches!"
Ha Ha Bin Hokkien Mee,"335 Smith St, Chinatown Complex FC, Stall 137, Singapore 050335","
Opening hours:
10:00AM to 8:30PM
Closed:
Thurs",98681818,4.25/5,"It is good to see a Gen Z hawker with such passion for
! Right now Yida is able to fry a plate of
which would give the masters a run for the money.  The only real problem may be a lack of consistency when there is a crowd.  But I am confident that if this young man is persistent, he will become a hawker master in due course."
Candlenut,"Dorsett Residences,  331 New Bridge Road  #01-03  , Singapore 088764","
Opening hours:
Lunch: 12:00PM to 2:30PM
Dinner: 6:00PM to 10:00PM
Closed:
Sat lunch, Sun and PH",+65 8121 4107,,Note:  Candlenut will be moving to Dempsey in Nov 2016
Curate,"Resorts World Sentosa, The Forum, Level 1, Singapore 098269","
Opening hours:
Dinner: 6:30PM to 10:30PM
Closed:
Sun, Mon","+65 6577 7288, +65 6577 6688",,This is a media invited review
Aliff Nasi Lemak,"Stall 27, 49A Serangoon Gardens Way, Singapore 555945","
Opening hours:
7:00AM to 7:00PM
Closed:
Mon and Fri",90910807,4.25/5,"Not many places sell nasi lemak made from basmati rice and freshly squeezed coconut milk.  The rice is light and fragrant but the casual customer used to jasmine rice made with the addition of flavour essences might find that that the aroma is not strong enough.  But it will appeal to those looking for a healthier, all natural version of the dish!"
Teochew Meat Puffs,"Pasar Malam , Singapore","
Opening hours:
12:30PM to 10:00PM",98799874,,"For updates on the location of the stall, please check their facebook page:  h"
Beni,"333A Orchard Road #02-37 Mandarin Gallery , Singapore 238897","
Opening hours:
Lunch: 12:00PM to 3:00PM
Dinner: 7:00PM to 11:00PM
Closed:
Sun",(65) 6235 2285,4.5/5,Thanks to Beni for hosting this media review
Hong Heng Fried Sotong Prawn Mee,"83 Seng Poh Rd, Tiong Bahru Food Centre, #02-01, Singapore 168898","
Opening hours:
11:00AM to 7:30PM
Closed:
Mon",81861056,,"Many people have been expressing their concerns about long queues, lowering of standards and increased prices of the award winners.  I too have these concerns.  However, do spare a thought for the hawkers who have laboured so long to provide cheap and good food for us.  Let’s take a step back and look at the bigger picture and ask not how the Michelin Guide will affect you,  but ask how it will benefit the hawkers, the chefs and Singapore as a whole. We have the ambition to become the culinary centre of Asia and this is a significant milestone along the path to that goal. Let’s consider how the Michelin Stars might play a part in preserving our hawker heritage in the long term rather than how it will affect our own pockets and conveniences in the short term.  This is our hawkers’ finest hour, let’s not rob them of their well deserved honour!"
Heavenly Snacks,"Blk 79A, Circuit Road #01-106, Singapore 371079","
Opening hours:
Lunch: 11:30AM to 3:00PM
Dinner: 5:00PM to 10:00PM
Closed:
Mon",87004566,,
Chin Lee Restaurant,"Blk 115, Bedok North Road, #01-285, Singapore","
Opening hours:
Lunch: 11:30AM to 2:30PM
Dinner: 6:00PM to 10:30PM","6444 5554, 6449 5454","4.5/5
4.25/5.
4.5/5
4/5
4.5/5
Special discount for Ieatishootipost fans!",10% discount for lunch from Mon-Fri for all ieatishootipost fans! Just show them this blogpost! Valid till 15 Sep 2016!
Yong Kee Seafood Fish Soup,"Blk 133 Ang Mo Kio Ave 3, #01-1635, Singapore 560133","
Opening hours:
9:00AM to 3:00PM
Closed:
Monday",84272579,Have just been informed that they are in the midst of moving. The new address will be updated once it is confirmed,If you are trying to find fish head yam soup in Singapore in a hawker setting then this is the place!  The owner is so passionate about the quality of the fish that he visits Senoko fish market in the wee hours of the morning to ensure he gets a good catch for the day!
Teck Soon Soya Bean Milk,"#02-69, Tiong Bahru Market, 30 Seng Poh Road, Singapore 168898","
Opening hours:
5:00AM to 12:00PM
Closed:
Monday",+65 97865103,4.5/5,"Artisanal beancurd stalls like Teck Seng which are still making bean curd the traditional way are fast disappearing.  It is good to see the stall still attracting long queues.  It just goes to show that customers know a good thing when they eat one, even if they can’t really explain why!"
Ali Khan Restaurant,"508 Macpherson Road, Singapore 368207","
Opening hours:
12:00AM to 12:00AM
Closed:
Open 24 hours",67440786,4.5/5,The coin prata with mutton curry is one of those things that will surely hit the spot if you have a craving.  This is one of the few 24 hour places which still bothers to make their own prata dough which is a good indicator that the owner is still passionate about providing good food!
Xiao Chen Dim Sum,"Blk 68 Kallang Bahru, Singapore 330068","
Opening hours:
7:00AM to 8:00PM
Closed:
Alternate Wed",,"
3.5/5
3.75/5",
Sinaran Chahaya Bedok Corner,"Stall 01-64, Bedok Corner Food Centre, Singapore 469572","
Opening hours:
11:00AM to 4:00PM
Closed:
Mon",,,"Not quite an epoch making epok epok, but good for a quick and cheap snack together with a cup of Teh Tarik!"
An Ji,"335 Smith Street, #02-193/194, Singapore 050335","
Opening hours:
Lunch: 10:30AM to 2:30PM
Dinner: 4:30PM to 10:30PM
Closed:
Wed",83078162,"4/5
4/5",
Soon Lee Loh Mee,"79 Circuit Road Food Centre, #01-07, Singapore 370079","
Opening hours:
12:00PM to 9:00PM
Closed:
Mon, Tues",83838122,4.25/5,"Great place to find a bowl of
with that
(
.  I love the braised pork and the fritters here.  The only thing I couldn’t quite understand is why they use plain hard boiled eggs instead of braised eggs.  It is heartwarming to find pioneer hawkers like this couple who have been cooking the same dish for over four decades!"
Chui Xiang Kitchen,"126 Casuarina Road, Singapore 579514","
Opening hours:
Lunch: 11:00AM to 2:30PM
Dinner: 5:00PM to 10:30PM",64584567,"4.25/5
4.5/5
4.25/5
4/5
4.25/5
4.25/5",
88 Hong Kong Roast,"153 Tyrwitt Road, Singapore 207566","
Opening hours:
11:00AM to 8:30PM",8225 2495,4/5,The stall has shifted to 153 Tyrwitt Road.
Ashino,"CHIJMES, 30 Victoria Street #01-23 , Singapore 187996","
Opening hours:
Lunch: 12:00PM to 2:00PM
Dinner: 6:00PM to 11:00PM
Closed:
Mon",+65 6684 4567,,"Thanks to Chef Ashino for helping me with this photography session. Chef Ashino specializes in aged sushi and his restaurant is one of the top spots for an authentic sushi experience!  Read about Ashino
."
The Catch,"Block 106, Clementi Street 12, #01-54/56 Singapore, Singapore 120106","
Opening hours:
Lunch: 12:00PM to 2:30PM
Dinner: 5:00PM to 11:00PM",6546 2155,"4.25/5
4.5/5
4.25/5
4/5
4.25/5",
Char Kway Teow,"Blk 79, Circuit Road Food Centre, Singapore 370079","
Opening hours:
2:30PM to 10:00PM
Closed:
Sat/Sun",96679142,,"It is good to see hawkers enjoying their work!   The Char Kway Teow is well fried but it won’t appeal to those looking for classic Char Kway Teow.  It is good for those who enjoy a healthier, no pork, no lard version without too much of a compromise on taste.  Mr Chee tells me that he plans to retire in four years’ time and he is now actively looking for a disciple to take over the stall.  Ability to dance is optional.  Any takers?"
Crabmeat Wanton Mee,"560 Macpherson road, Singapore 368233","
Opening hours:
7:30AM to 11:00PM
Closed:
Sundays",91255748,,"NB: The $4 portion comes with 2 boiled and 2 fried crabmeat wantons, charsiew and a few pieces of crabmeat.  The $5 portion comes with three of each."
Taste of Thailand,"Stall 12, 18 Sin Ming Lane, Midview City,, Singapore 573960","
Opening hours:
Lunch: 11:30AM to 2:00PM
Dinner: 5:30PM to 10:30PM
Closed:
Mon",62620626,"4/5
3.75/5
3/5","Some hits and some misses, but I think that overall, it is a Zi Char worth trying especially if you are looking for Thai style Zi Char.  It is located just at the entrance to the car park of Midview city and there is ample free parking on weekends so it is a very convenient place for a family meal.  The prices are also quite competitive.  My experience wasn’t quite as stellar as when I first ate it at Sembawang Shopping Centre.   It should get better once the wok gets more seasoned."
,,,,"4.25/5
4/5
4/5
4/5

4/5
3.5/5
3.5/5",Aston is a good friend and this burger is named after me!
BBQ Chicken Wings,"Berseh Food Centre #01-02, Singapore 208877","
Opening hours:
6:00PM to 11:00PM",,4.5/5,"Stall owner, Mr Sham told me that they had been hawkers for over 40 years!  They used to run a very popular Yong Tau Foo stall at the food centre called Guangzhou Yong Tau Foo, but had to close that down due to the lack of manpower.  They decided to open a BBQ grill instead as they don’t need any extra hands to run it.  It goes to show that once you are passionate about food, you can cook anything and it will be up to a certain standard! The chicken wings are really good and the next time I am going to order at least five wings all for myself!"
Lim's Fried Oyster Omelette,"Stall 32, Berseh Food Centre, 166 Jalan Besar, Singapore 208877","
Opening hours:
6:00PM to 12:00AM
Closed:
Ad Hoc",93860732,4.5/5,"Our pioneer hawkers are simply amazing!  These are the Singaporeans who have laboured tirelessly to feed a generation of nation builders and they embody a work ethic that has propelled our country to what it is today.  Although they have lived through the development of a nation from third world to first, they are still very much the gatekeepers of a nation’s past.    Most of them are nearing retirement age now and within a decade or two, all of our original street hawkers would have retired.  So, we have precious little time to still enjoy their craft while they are still around!"
Royal J's Seafood,"30 Foch Road, Singapore 209276","
Opening hours:
Lunch: 11:00AM to 2:30PM
Dinner: 5:00PM to 11:00PM",93573993,"4/5
4.25./5",
Ponggol Seafood,"3 Punggol Point Road #01-08/09 The Punggol Settlement, Singapore 828694","
Opening hours:
Lunch: 11:30AM to 2:30PM
Dinner: 5:50PM to 10:30PM
Sat, Sun: 11:30AM to 10:30PM",644-88-511,"4.25/5
4.5/5
3.5/5",
Wanji Seafood Restaurant,"45 Syed Alwi Road, #01-01, Wangfa Coffeeshop, Singapore 207636","
Opening hours:
3:00PM to 1:00AM",93856196,"4.25/5
4.25/5
4.25/5
3.5/5
3/5","Our makan session was held at their previous place at 45 Sims Drive.  Since then, the Zi Char has shifted to its new location in Syed Alwi"
,,,,,"Happy New Year everyone! May you always have good food to eat and if you find something great, do write in and tell me about it, yeah?"
KEK (Keng Eng Kee),"200 Pandan Gardens #01-12 , Singapore 609336","
Opening hours:
Lunch: 11:30AM to 2:30PM
Dinner: 5:00PM to 10:00PM",66943044,"4.25/5
3.75/5
3.75/5
4/5
3/5",Thanks to Chef Wayne for hosting our tasting session.
Ushidoki,"57 Tras Street, Singapore 078996","
Opening hours:
Lunch: 12:00PM to 2:30PM
Dinner: 6:00PM to 10:30PM",6221 6379,,"This one is for the serious beef lovers!  It really does takes a bit of creativity to be able to serve approximately 250g of beef in so many courses! We really enjoyed the experience overall, but felt that a true tongue-to-tail experience should include some innards like tripe or intestines.  It is too bad that they are not allowed to be imported to Singapore.  As I mentioned in the post, the
is the beef sukiyaki which is now available as part of a set lunch course!  A double serving of the beef
and a bowl of
rice is my ticket to an oasis of ecstasy that transcends all the paltry problems of the day!"
U Hakka Niang Tou Fu,"Blk 79, Circuit Road, #01-46, Singapore 370079","
Opening hours:
6:00AM to 12:00PM
Closed:
Mon",97267764,,"Food Hometown, Wawa Pictures, Popular Book Company 2010."
Nan Xiang Chicken Rice,"271 Tanjong Katong Road, Singapore 437054","
Opening hours:
9:30AM to 3:00PM
Closed:
Tues",97523448 Jimmy,4.25/5,In the evenings the stall is manned by another hawker.  They occupy the same premises but use their own recipes.
One Kueh At A Time,"02-61 Berseh Food Centre, 166 Jalan Besar, Singapore 208877","
Opening hours:
8:00AM to 2:00PM
Closed:
Mon",9795-6119,,"Mid life hawkers like Nick are playing an important role in keeping our hawker traditions alive!  He tries to stay true to his mother’s traditional kuehs by making them in small batches and preserving that home made quality.   However, artisanal hawkers like him are finding it difficult to stay competitive with increasing ingredient and manpower costs.  The future of traditional foods like this will really depend on the public’s willingness to pay for handmade quality. Hopefully we will be able to find a sustainable equilibrium soon."
Kok Kee Wanton Mee 国记云吞面,"27 Foch Road, Hoe Nam Building, Singapore 209264","
Opening hours:
12:00PM to 1:00AM",,"4/5  (Sauce 4.75, Charsiew 1)","Love it or hate it,  you will need make up your own mind about this stall if you want to call yourself a fan of  Wanton Mee."
Ryu's Japanese Restaurant,"Capitol Piazza, 15 Stamford Road, #01-87, Singapore 178884","
Opening hours:
12:00PM to 12:00AM",6384 9087,"4/5
4.25/5","Rockett girl and I visited Ryu’s on a separate occasion to experience their omakase meal on our own account.  The $120++ omakase set was excellent.  All the dishes were well executed and in particular, we really enjoyed the
neck which was stewed with daikon and sake lees for seven hours.  The daikon was translucent all the way through and infused with a very nice miso, sake flavour!
She agreed with me that the food at Ryu’s is comparable or even better than some of the omakase meals we’ve had that cost more than $200.  We will be looking forward to other regional dishes that they will be showcasing  with the change of the season."
Warung Nasi Pariaman,"736/738 North Bridge Road , Singapore 198704","
Opening hours:
7:30AM to 6:00PM",6292 2374 / 6292 5958,,
Koung's Wan Tan Mee,"205 Sims Avenue (Lor 21A), Singapore 387506","
Opening hours:
7:30AM to 8:00PM
Closed:
Mon",67480305,4.25/5,"For some, this wonton mee is the best in the world.  For others, it may just be another good wanton mee.  I feel that it really all depends on your fondest childhood memories of wanton mee.  I think it is fair to say that they are certainly one of our pioneer wonton mee stalls which means that any self confessed wonton mee fan will something to say about it."
Fu Zhou Poh Hwa Oyster Cake,"Berseh Food Centre, 166 Jalan Besar #02-34, Singapore 208877","
Opening hours:
10:00AM to 6:00PM","81125286, 90299718",4.5/5,"NB:
You can also order Fuzhou Fishballs from the stall! They are 40cents each and the minimum order is 30 fishballs."
Armenian Street Char Kway Teow,"Blk 303 Anchorvale Link, Singapore 540303","
Opening hours:
11:30AM to 7:30PM
Closed:
Thurs",,,"If you love Char Kway Teow, do eat up now because all the Char Kway Teow masters are nearing retirement age! And parents, the next time you visit the hawker centre, do take the opportunity to introduce your kids to the dish. Who knows, we might still be able to experience a Char Kway Teow renaissance that will secure its place in the hawker centre of the future!"
,,,,,
,,,,,This post was sponsored by Esso Singapore
Fatty Cheong ABC Char Siew Rice,"Blk 190 Toa Payoh Lor 6, #01-528, Singapore 310190","
Opening hours:
11:30AM to 7:00PM",94281983,4.25/5,"It is really good to see a young generation of roasters stepping into the hawker scene.  Fatty Cheong serves some of the best charsiew in Singapore, so I am confident that it’s just a matter of time before Lachron becomes a master roaster like his dad!  I am also glad that I don’t have to travel across he island to enjoy my favourite char siew anymore!"
Crab At Bay,"548 Macpherson Road, Singapore 368227","
Opening hours:
Lunch: 11:00AM to 2:30PM
Dinner: 4:30PM to 11:00PM",67438366,"4.25/5

4.25/5
4/5","Great place for Crab Bee Hoon and HK Style steamed seafood! The place is air-conditioned and they don’t charge service or GST.  It is a great place for a quick lunch if you are working around the area as they have some really good lunch deals!  The place is still quite new so it is still relatively quiet, but I expect that it should get quite popular very soon."
Kanda Wadatsumi,"50 Tras Street, Singapore  , Singapore 078989","
Opening hours:
lunch: 12:00PM to 3:00PM
Dinner: 6:00PM to 11:00PM
Closed:
Sun/PH",6221 6264,,
Ashino,"CHIJMES, 30 Victoria Street #01-23 , Singapore 187996","
Opening hours:
Lunch: 12:00PM to 2:30PM
Dinner: 6:00PM to 11:00PM
Closed:
Mon",+65 6684 4567,,Thanks to Chef Ashino for hosting the photography and tasting session
Ah Hoe Mee Pok,"Blk 710, Clementi West St 2, Singapore 120710","
Opening hours:
7:00AM to 4:00PM
Closed:
Sundays",97306670,4.5/5,"A very good bowl of bak chor mee made by a Japanese family.  On one hand I am very glad that they have managed to master the authentic flavour of our bak chor mee.  However, I must admit that there is a part of me which wanted to see bak chor mee that has been given that special Japanese makeover to bring it to the next level.  Perhaps this is something that our next generation Japanese Mee Pok girl might be able to do in the future?  Let’s wait and see!"
Grouper King,"SAF Yacht Club Sembawang , Singapore 759962","
Opening hours:
11:30AM to 9:30PM",64839697,,"Note:  They have just opened another branch at SAF Yacht Club, Tanah Merah"
To-Ricos Guo Shi,"Stall 30 Ci Yuan Food Centre, 51 Hougang Avenue 9, , Singapore 530917","
Opening hours:
12:00PM to 8:30PM
Closed:
Monday",96201166,4/5,"The kway chap is very good.  The brothers make a concerted effort in the washing process, so the intestines taste clean without any off putting stench.  The kway is nice and smooth.  I guess the real question is whether it is as good as the main stall at Old Airport Road?  Well, I can’t give an objective answer as I have not eaten at the original stall for a while.  My feel is that the new place needs a bit more time for the pots to become seasoned before it develops that bold, rustic flavour of the father’s stall.  However, with the smarts, determination and great facilities, there is no reason why this next generation stall can’t surpass that of the old stall. I think right now, the most important ingredient is patience and persistence and for Singaporean foodies to give them a chance to succeed."
Malaysian Fried Porridge,"30 Foch Road, Singapore 209276","
Opening hours:
11:00AM to 11:00PM",93573993,,"Fried porridge is a great marketing idea.  Nothing attracts more attention than an outrageous culinary concept.  However, I feel this is more than just one of those fad dishes.  It has a familiar flavour and a character with potential staying power.   The stuff actually tastes good even though it looks like gruel.  I think that we might just be seeing the beginning of a new Zi Char fad in Singapore!"
Mr Fish,"Smith Street Food Centre, 335 Smith Street #02-073 (Green zone), Singapore 050335","
Opening hours:
10:00AM to 4:00PM
Closed:
Sunday",90297508,,This is an excellent place for a bowl of hearty Cantonese style fish head bee hoon soup and it is very reasonably priced too!  The only complain I anticipate most people will have is the long waiting time during peak periods since every dish is only made to order.  I guess that is the price to pay for quality!
Dashi Master Marusaya,"86 Robertson Quay, #01-01, Singapore 238245","
Opening hours:
Lunch: 11:30AM to 2:30PM
Dinner: 5:00PM to 12:00AM
Sun: 11:30AM to 11:00PM",67320383,4.25/5,
CUT,"2 Bayfront Avenue, B1-71, Galleria Level, Marina Bay Sands,  , Singapore 018956","
Opening hours:
Sun-Thur: 6:00PM to 10:00PM
Fri: 6:00PM to 11:00PM",6688 8517,,
Jin Fine Dining,"Amoy Hotel, 01-02 Far East Square, 74 Telok Ayer St, , Singapore 048464","
Opening hours:
Breakfast: 7:00AM to 10:00AM
Lunch: 10:30AM to 2:30PM
Dinner: 6:00PM to 10:00PM",65366258,,Many thanks to Chef Thomas for sharing his recipe with us!  He learnt it as a young chef in the 80’s from his Japanese sifu!
Chef Kang's Kitchen,"25 McKenzie Road, Singapore 228681","
Opening hours:
Lunch: 11:30AM to 2:30PM
Dinner: 6:00PM to 10:30PM
Closed:
Mondays",62386263,"4.5/5
4.5/5
4.5/5
4.25/5
4.5/5",
