restname,address,opening hours,contact
Kuroya Sukiyaki,"33 Mohd Sultan Road, Singapore 238977","
Opening hours:
Dinner: 5:30PM to 11:00PM
Closed:
Sun",67344740
,,,
Aliff Nasi Lemak,"Stall 27, 49A Serangoon Gardens Way, Singapore 555945","
Opening hours:
7:00AM to 7:00PM
Closed:
Mon and Fri",90910807
,,,
Hougang Fried Oyster,"Blk 435 Hougang Ave 8, Singapore  530435","
Opening hours:
12:00PM to 9:30PM
Closed:
Mon",91110702
,,,
The Coconut Club,"No. 6 Ann Siang Hill , Singapore 069787","
Opening hours:
Lunch: 11:00AM to 3:00PM
Closed:
Mon",+65 6635 2999
,,,
Teochew Meat Puffs,"Pasar Malam , Singapore","
Opening hours:
12:30PM to 10:00PM",98799874
,,,
Ye Lai Xiang Tasty Barbeque,"Maxwell Food Centre  1 Kadayanallur Street #01-94 , Singapore 069184","
Opening hours:
Lunch: 12:00PM to 2:00PM
Dinner: 6:00PM to 10:00PM
Closed:
Sat, Sun",
,,,
KEK,"200 Pandan Gardens #01-12 , Singapore 609336","
Opening hours:
Lunch: 11:30AM to 2:30PM
Dinner: 5:00PM to 10:00PM",67320383
,,,
Dashi Master Marusaya,"Address: 86 Robertson Quay, #01-01 , Singapore 238245","
Opening hours:
Lunch: 11:30AM to 2:30PM
Dinner: 5:00PM to 12:00AM
Sundays: 11:30AM to 11:00PM",67320383
,,,
Seafood White Beehoon,"Blk 628, Ang Mo Kio Ave 4, Stall 49, Singapore 560628","
Opening hours:
Lunch: 11:30AM to 2:00PM
Dinner: 4:00PM to 8:00PM
Closed:
Mon",84088526
,,,
Ha Ha Bin Hokkien Mee,"335 Smith St, Chinatown Complex FC, Stall 137, Singapore 050335","
Opening hours:
10:00AM to 8:30PM
Closed:
Thurs",98681818
,,,
The Pantree,"114 Lavender street #01-19 CT Hub 2 , Singapore 338729","
Opening hours:
8:30AM to 4:30PM
Closed:
Sundays",91083280
,,,
Curate,"Resorts World Sentosa, The Forum, Level 1, Singapore 098269","
Opening hours:
Dinner: 6:30PM to 10:30PM
Closed:
Sun, Mon","+65 6577 7288, +65 6577 6688"
,,,
Candlenut,"Dorsett Residences,  331 New Bridge Road  #01-03  , Singapore 088764","
Opening hours:
Lunch: 12:00PM to 2:30PM
Dinner: 6:00PM to 10:00PM
Closed:
Sat lunch, Sun and PH",+65 8121 4107
,,,
Chin Lee Restaurant,"Blk 115, Bedok North Road, #01-285, Singapore","
Opening hours:
Lunch: 11:30AM to 2:30PM
Dinner: 6:00PM to 10:30PM","6444 5554, 6449 5454"
,,,
An Ji,"335 Smith Street, #02-193/194, Singapore 050335","
Opening hours:
Lunch: 10:30AM to 2:30PM
Dinner: 4:30PM to 10:30PM
Closed:
Wed",83078162
,,,
Soon Lee Loh Mee,"79 Circuit Road Food Centre, #01-07, Singapore 370079","
Opening hours:
12:00PM to 9:00PM
Closed:
Mon, Tues",83838122
,,,
Chui Xiang Kitchen,"126 Casuarina Road, Singapore 579514","
Opening hours:
Lunch: 11:00AM to 2:30PM
Dinner: 5:00PM to 10:30PM",64584567
,,,
Yong Kee Seafood Fish Soup,"Blk 133 Ang Mo Kio Ave 3, #01-1635, Singapore 560133","
Opening hours:
9:00AM to 3:00PM
Closed:
Monday",84272579
,,,
Heavenly Snacks,"Blk 79A, Circuit Road #01-106, Singapore 371079","
Opening hours:
Lunch: 11:30AM to 3:00PM
Dinner: 5:00PM to 10:00PM
Closed:
Mon",87004566
,,,
Hong Heng Fried Sotong Prawn Mee,"83 Seng Poh Rd, Tiong Bahru Food Centre, #02-01, Singapore 168898","
Opening hours:
11:00AM to 7:30PM
Closed:
Mon",81861056
,,,
Teck Soon Soya Bean Milk,"#02-69, Tiong Bahru Market, 30 Seng Poh Road, Singapore 168898","
Opening hours:
5:00AM to 12:00PM
Closed:
Monday",+65 97865103
,,,
Beni,"333A Orchard Road #02-37 Mandarin Gallery , Singapore 238897","
Opening hours:
Lunch: 12:00PM to 3:00PM
Dinner: 7:00PM to 11:00PM
Closed:
Sun",(65) 6235 2285
,,,
Ali Khan Restaurant,"508 Macpherson Road, Singapore 368207","
Opening hours:
12:00AM to 12:00AM
Closed:
Open 24 hours",67440786
,,,
The Catch,"Block 106, Clementi Street 12, #01-54/56 Singapore, Singapore 120106","
Opening hours:
Lunch: 12:00PM to 2:30PM
Dinner: 5:00PM to 11:00PM",6546 2155
,,,
Lim's Fried Oyster Omelette,"Stall 32, Berseh Food Centre, 166 Jalan Besar, Singapore 208877","
Opening hours:
6:00PM to 12:00AM
Closed:
Ad Hoc",93860732
,,,
Royal J's Seafood,"30 Foch Road, Singapore 209276","
Opening hours:
Lunch: 11:00AM to 2:30PM
Dinner: 5:00PM to 11:00PM",93573993
,,,
88 Hong Kong Roast,"153 Tyrwitt Road, Singapore 207566","
Opening hours:
11:00AM to 8:30PM",8225 2495
,,,
Taste of Thailand,"Stall 12, 18 Sin Ming Lane, Midview City,, Singapore 573960","
Opening hours:
Lunch: 11:30AM to 2:00PM
Dinner: 5:30PM to 10:30PM
Closed:
Mon",62620626
,,,
Ashino,"CHIJMES, 30 Victoria Street #01-23 , Singapore 187996","
Opening hours:
Lunch: 12:00PM to 2:00PM
Dinner: 6:00PM to 11:00PM
Closed:
Mon",+65 6684 4567
,,,
Char Kway Teow,"Blk 79, Circuit Road Food Centre, Singapore 370079","
Opening hours:
2:30PM to 10:00PM
Closed:
Sat/Sun",96679142
,,,
Crabmeat Wanton Mee,"560 Macpherson road, Singapore 368233","
Opening hours:
7:30AM to 11:00PM
Closed:
Sundays",91255748
,,,
Ponggol Seafood,"3 Punggol Point Road #01-08/09 The Punggol Settlement, Singapore 828694","
Opening hours:
Lunch: 11:30AM to 2:30PM
Dinner: 5:50PM to 10:30PM
Sat, Sun: 11:30AM to 10:30PM",644-88-511
,,,
Wanji Seafood Restaurant,"45 Syed Alwi Road, #01-01, Wangfa Coffeeshop, Singapore 207636","
Opening hours:
3:00PM to 1:00AM",93856196
,,,
Ushidoki,"57 Tras Street, Singapore 078996","
Opening hours:
Lunch: 12:00PM to 2:30PM
Dinner: 6:00PM to 10:30PM",6221 6379
,,,
Ryu's Japanese Restaurant,"Capitol Piazza, 15 Stamford Road, #01-87, Singapore 178884","
Opening hours:
12:00PM to 12:00AM",6384 9087
,,,
KEK (Keng Eng Kee),"200 Pandan Gardens #01-12 , Singapore 609336","
Opening hours:
Lunch: 11:30AM to 2:30PM
Dinner: 5:00PM to 10:00PM",66943044
,,,
Nan Xiang Chicken Rice,"271 Tanjong Katong Road, Singapore 437054","
Opening hours:
9:30AM to 3:00PM
Closed:
Tues",97523448 Jimmy
,,,
U Hakka Niang Tou Fu,"Blk 79, Circuit Road, #01-46, Singapore 370079","
Opening hours:
6:00AM to 12:00PM
Closed:
Mon",97267764
,,,
One Kueh At A Time,"02-61 Berseh Food Centre, 166 Jalan Besar, Singapore 208877","
Opening hours:
8:00AM to 2:00PM
Closed:
Mon",9795-6119
,,,
Fu Zhou Poh Hwa Oyster Cake,"Berseh Food Centre, 166 Jalan Besar #02-34, Singapore 208877","
Opening hours:
10:00AM to 6:00PM","81125286, 90299718"
,,,
Koung's Wan Tan Mee,"205 Sims Avenue (Lor 21A), Singapore 387506","
Opening hours:
7:30AM to 8:00PM
Closed:
Mon",67480305
,,,
Warung Nasi Pariaman,"736/738 North Bridge Road , Singapore 198704","
Opening hours:
7:30AM to 6:00PM",6292 2374 / 6292 5958
,,,
Mr Fish,"Smith Street Food Centre, 335 Smith Street #02-073 (Green zone), Singapore 050335","
Opening hours:
10:00AM to 4:00PM
Closed:
Sunday",90297508
,,,
Fatty Cheong ABC Char Siew Rice,"Blk 190 Toa Payoh Lor 6, #01-528, Singapore 310190","
Opening hours:
11:30AM to 7:00PM",94281983
,,,
Dashi Master Marusaya,"86 Robertson Quay, #01-01, Singapore 238245","
Opening hours:
Lunch: 11:30AM to 2:30PM
Dinner: 5:00PM to 12:00AM
Sun: 11:30AM to 11:00PM",67320383
,,,
Ah Hoe Mee Pok,"Blk 710, Clementi West St 2, Singapore 120710","
Opening hours:
7:00AM to 4:00PM
Closed:
Sundays",97306670
,,,
Kanda Wadatsumi,"50 Tras Street, Singapore  , Singapore 078989","
Opening hours:
lunch: 12:00PM to 3:00PM
Dinner: 6:00PM to 11:00PM
Closed:
Sun/PH",6221 6264
,,,
Crab At Bay,"548 Macpherson Road, Singapore 368227","
Opening hours:
Lunch: 11:00AM to 2:30PM
Dinner: 4:30PM to 11:00PM",67438366
,,,
Grouper King,"SAF Yacht Club Sembawang , Singapore 759962","
Opening hours:
11:30AM to 9:30PM",64839697
,,,
Ashino,"CHIJMES, 30 Victoria Street #01-23 , Singapore 187996","
Opening hours:
Lunch: 12:00PM to 2:30PM
Dinner: 6:00PM to 11:00PM
Closed:
Mon",+65 6684 4567
,,,
Malaysian Fried Porridge,"30 Foch Road, Singapore 209276","
Opening hours:
11:00AM to 11:00PM",93573993
,,,
To-Ricos Guo Shi,"Stall 30 Ci Yuan Food Centre, 51 Hougang Avenue 9, , Singapore 530917","
Opening hours:
12:00PM to 8:30PM
Closed:
Monday",96201166
,,,
818 Durians and Pastries,"201 Telok Kurau Road #01-02 , Singapore  423910","
Opening hours:
Season: 11:00AM to 11:00PM
Off Season: 11:00AM to 8:00PM
Closed:
Off Season Closed Monday",96932727
,,,
Plank Sourdough Pizza,"1 Swan Lake, Singapore 455700","
Opening hours:
Lunch: 12:00PM to 2:00PM
Dinner: 6:00PM to 10:00PM",6448 9288
,,,
Cheng's @ 27,"27 Yong Siak Street, Singapore 168654","
Opening hours:
Lunch: 10:00AM to 3:00PM
Dinner: 5:30PM to 9:00PM
Closed:
Tues",6223 7883
,,,
Jin Fine Dining,"Amoy Hotel, 01-02 Far East Square, 74 Telok Ayer St, , Singapore 048464","
Opening hours:
Breakfast: 7:00AM to 10:00AM
Lunch: 10:30AM to 2:30PM
Dinner: 6:00PM to 10:00PM",65366258
,,,
Springfield Prata Place,"57B Jalan Tua Kong, Singapore 457251","
Opening hours:
7:00AM to 12:00AM",86935393
,,,
Coffee Break,"Amoy Street Food Centre, 7 Maxwell Road , Singapore 069111","
Opening hours:
7:30AM to 2:30PM
Closed:
Sat/Sun",81006218
,,,
Jin Cuisine,"Amoy Hotel, 01-02 Far East Square, 74 Telok Ayer St, Singapore 048464","
Opening hours:
Breakfast: 7:00AM to 10:00AM
Lunch: 10:30AM to 2:30PM
Dinner: 6:00PM to 10:00PM",65366258
,,,
CUT,"2 Bayfront Avenue, B1-71, Galleria Level, Marina Bay Sands,  , Singapore 018956","
Opening hours:
Sun-Thur: 6:00PM to 10:00PM
Fri: 6:00PM to 11:00PM",6688 8517
,,,
Chef Kang's Kitchen,"25 McKenzie Road, Singapore 228681","
Opening hours:
Lunch: 11:30AM to 2:30PM
Dinner: 6:00PM to 10:30PM
Closed:
Mondays",62386263
,,,
Kanda Wadatsuni,"50 Tras Street, , Singapore 078989","
Opening hours:
Lunch: 12:00PM to 3:00PM
Dinner: 6:00PM to 11:00PM
Closed:
Sun",6221 6264
,,,
Shanghai Xiao Long Bao,"Old Airport Road Food Centre, 19 Old Airport Rd, Stall 109, Singapore 390019","
Opening hours:
12:00PM to 10:00PM
Closed:
Mon",82463160
,,,
HarriAnns Nonya Table,"230 Victoria Street #01-01A Bugis Junction Towers, Singapore 188024","
Opening hours:
8:00AM to 9:00PM","97367449, 62730852, 91917277, 62381200"
,,,
Wee's Family Coffee Shop,"Blk 117, Bedok Reservoir Road, #01-50, Singapore 470117","
Opening hours:
11:30AM to 11:00PM",6743 7482/9049 0199
,,,
Long Ji Zi Char,"Blk 251 & 253 Outram Road, Singapore 169049","
Opening hours:
Dinner: 5:00PM to 10:45PM
Closed:
Alternate Tues",97905682
,,,
Jiale (H.K.) Roasted Food,"383 Upper Aljunied Road, Teck Huat Eating House, Singapore 367868","
Opening hours:
10:00AM to 8:00PM",97653779
,,,
The Durian Tree,"Blk 278 Bukit Batok East Ave 4, Singapore 650278","
Opening hours:
2:00PM to 11:00PM
Closed:
Open daily during durian season",98124148
,,,
Lau Ah Tee Bak Kut Teh Eating House,"Blk 34 Whampoa West #01-67, Singapore 330034","
Opening hours:
7:00AM to 3:00PM",9755 5250
,,,
Ubin Kitchen,"357 Joo Chiat Road, Singapore 427602","
Opening hours:
Lunch: 11:30AM to 2:30PM
Dinner: 6:00PM to 11:00PM",63482002
,,,
Good Chance Popiah,"No. 1 Jalan Berseh, #01-15, New World Centre, Singapore 209037","
Opening hours:
11:00AM to 9:30PM",96229445
,,,
Motorino,"Merchant's Court #01-01A, 3A River Valley Rd, , Singapore 179020","
Opening hours:
11:30AM to 12:00AM",6334 4968
,,,
Kanda Wadatsumi,"50 Tras Street, Singapore 078989","
Opening hours:
Lunch: 12:00PM to 3:00PM
Dinner: 6:00PM to 11:00PM
Closed:
Sun/PH",6221 6264
,,,
Hong Seng Curry Rice,"Blk 85 Redhill Lane #01-74, Singapore 150085","
Opening hours:
10:30AM to 11:00PM
Closed:
Thursday",98762288  Lim Jia Han
,,,
Cafe de Hong Kong,"586 Balestier Rd, Singapore 329898","
Opening hours:
Lunch: 11:30AM to 3:00PM
Dinner: 5:30PM to 12:00AM
Closed:
Mon",6255 3865
,,,
Kok Sen Restaurant,"30-32 Keong Saik Road, Singapore 089137","
Opening hours:
Lunch: 12:00PM to 2:30PM
Dinner: 5:00PM to 11:30PM",62232005
,,,
Sixties Chaozhou Traditional Minced Meat Noodle,"Seng Poh Road Blk 71 #01-49, Singapore 160071","
Opening hours:
7:30AM to 2:00PM
Closed:
Thurs",83723913
,,,
Jin Ji Teochew Braised Duck,"Blk 335, Smith Street #02-156 , Singapore 005335","
Opening hours:
10:30AM to 6:30PM
Closed:
Friday",9018 9052
,,,
Tiong Hoe Specialty Coffee,"170 Stirling Road #01-1133, Singapore 140170","
Opening hours:
8:30AM to 5:30PM",6473 1133
,,,
Swee Kee Fish Head Noodle House,"96 Amoy Street, Singapore 069916","
Opening hours:
Lunch: 11:45AM to 2:30PM
Dinner: 5:30PM to 10:45PM",62249920
,,,
29 Delights,"Blk 29 Bendemeer Food Centre Stall 29,  29 Bendemeer Road 330029, Singapore 330029","
Opening hours:
7:30AM to 2:30PM
Closed:
Wed",91763093  Lim Poh Choo
,,,
Teru Sushi,"50, Tiong Bahru Road, #01-01 Singapore (Link Hotel), Singapore 168733","
Opening hours:
lunch: 12:00AM to 2:30PM
Dinner: 6:30PM to 3:00AM
Closed:
Sunday lunch as usual, dinner 6.30pm to 10.30pm",6438 5394
,,,
Wang Yuan Fish Soup,"866A Tampines St 83, Tampines Central Community Complex, Singapore 520866","
Opening hours:
9:30AM to 8:00PM
Closed:
Alternate Fridays",81124033
,,,
Food Glossary,"JTC Summit, 8 Jurong Town Hall Rd, #02-01, Singapore 609434","
Opening hours:
8:00AM to 5:00AM
Closed:
Sat, Sun",81331882
,,,
Jane's Cake Station,"265 Jalan Kayu, Singapore 799493","
Opening hours:
Mon-Sat: 12:00PM to 6:30PM
Sun & Ph: 12:00PM to 4:00PM",64811322
,,,
Anson Town,"324P Changi Road, Singapore 419799","
Opening hours:
7:00AM to 6:00PM
Closed:
Tuesdays",63459689
,,,
Master Prata.com,"109 Bukit Purmei Road, #01-157 	, Singapore 090109","
Opening hours:
7:00AM to 9:15PM",91424201
,,,
Medan Town,"253 Tanjong Katong Road, Singapore 437041","
Opening hours:
11:00AM to 10:00PM
Closed:
Mondays","63489227, 91862026"
,,,
Hai Chang Fish Head Steamboat,"Blk 137, Tampines St 11, Tampines Round Market, Singapore 521137","
Opening hours:
Dinner: 5:00PM to 9:00PM
Closed:
Mondays",96637994 (Mike)
,,,
The Naked Finn,"41 Malan Road, Gillman Barracks, Singapore 108454","
Opening hours:
Lunch: 12:00PM to 2:00PM
Dinner: 6:00PM to 10:00PM
Closed:
Sundays",+ 65 66940807
,,,
Sushi Mieda,"Tong Le Private Dining, Level 10 OUE Tower, 60 Collyer Quay;, Singapore 049322","
Opening hours:
Lunch: 11:30AM to 3:00PM
Dinner: 6:00PM to 11:00PM",8425 7835
,,,
Da Tau Xia,"Block 418, Bedok North Ave 2, #01-97, , Singapore 460418","
Opening hours:
Lunch: 8:30AM to 2:30PM
Dinner: 5:00PM to 9:00PM",98868750
,,,
Jin Fine Dining,"Amoy Hotel, 01-02 Far East Square, 74 Telok Ayer St, Singapore 048464","
Opening hours:
Breakfast: 7:00AM to 10:00AM
Lunch: 10:30AM to 2:30PM
Dinner: 6:00PM to 10:00PM",65366258
,,,
Wild Rocket,"10A Upper Wilkie Road, Singapore 228119","
Opening hours:
lunch: 12:00PM to 3:00PM
Dinner: 6:30PM to 10:30PM
Closed:
Sunday",63399448
,,,
Hau Chu Seafood (Chop Lian Hin Coffeeshop),"Blk 39 Teban Garden Road, Singapore 600039","
Opening hours:
11:30AM to 1:45PM
5:00PM to 11:00PM
Closed:
Closed for lunch on Saturday/Public Holidays",65611405
,,,
The Famous Kitchen,"54 Sembawang Road, Singapore 779085","
Opening hours:
Lunch: 11:30AM to 2:30PM
Dinner: 5:30PM to 10:30PM","62571843, 64573081"
,,,
Geylang Laksa,"Blk 45 Sims Drive #01-150, Singapore 380045","
Opening hours:
6:30AM to 1:00PM
Closed:
Tuesdays","96715549, 93672011"
,,,
Fragrant Garden,"756 Upper Serangoon Road, Upper Serangoon Shopping Centre #01-15/16, Singapore 534626","
Opening hours:
Lunch: 11:00AM to 2:30PM
Dinner: 5:00PM to 10:00PM
Closed:
Monday","62897301, 96213361"
,,,
Makan Melaka,"Blk 1 Changi Village Road, 01-2046, Singapore 500001","
Opening hours:
10:30AM to 10:00PM
Closed:
Mondays unless Public Holiday",65421246
,,,
Fishball Story,"2 College Avenue West #02-01, Stephen Riady Center, University Town , Singapore 138607","
Opening hours:
8:30AM to 8:00PM",98005036
,,,
Peng Catering Services Restaurant,"30 Lorong 1 Realty Park, Singapore 536953","
Opening hours:
Lunch: 11:00AM to 2:00PM
Dinner: 5:30PM to 10:00PM
Closed:
Thursdays except Public Holidays","62896975, 62821048"
,,,
Lai Huat Sambal Fish Restaurant,"17 Upper East Coast Road, Singapore 455208","
Opening hours:
lunch: 11:00AM to 2:30PM
Dinner: 5:00PM to 11:00PM",64489077
,,,
Tang Tang Hokkien Mee,"Blk 532 Ang Mo Kio Ave 10, Singapore 560532","
Opening hours:
12:00AM to 10:00PM
Closed:
Monday",94599330
,,,
Hao Ji Handmade Pau,"Blk 210, Toa Payoh Lor 8 Market and Food Centre, #01-33, Singapore 310210","
Opening hours:
Breakfast: 5:30AM to 10:00AM
Closed:
Sunday, Monday",96613077
,,,
Lee Fun Nam Kee Soya Sauce Chicken,"Blk 94 Toa Payoh Lor 4 #01-04, Singapore 310094","
Opening hours:
Lunch: 11:00AM to 3:00PM
Dinner: 5:00PM to 9:00PM",62550891
,,,
Mitzi 美食之家,"Blk 335, Smith Street Food Centre #02-153, Singapore","
Opening hours:
Lunch: 11:00AM to 2:30PM
Dinner: 5:00PM to 9:00PM
Closed:
Mondays",82631733
,,,
Seletar Shen Mian,"Blk 210, Toa Payoh Lor 8 Market and Food Centre, #01-05, Singapore 310210","
Opening hours:
6:00AM to 2:30PM
Closed:
Wed, Thurs",81018311
,,,
Simple Delite,"Tekka Food Centre, 665 Buffalo Road, Singapore 210665, Singapore","
Opening hours:
Daily: 6:30AM to 2:00PM",96977474
,,,
Keng Eng Kee Seafood,"Blk 124 Bukit Merah Lane 1 #01-136, Singapore 150124, Singapore","
Opening hours:
11:30AM to 1:45PM
5:00PM to 10:45PM",62721038
,,,
Restaurant Home,"27 Cosford Road, Singapore 499549","
Opening hours:
Lunch: 12:00PM to 3:00PM
Dinner: 6:00PM to 11:00PM",6465 1698
,,,
Char Cantonese Restaurant,"363 Jalan Besar, Singapore 208994","
Opening hours:
11:30AM to 2:00PM
6:00PM to 10:00PM
Closed:
Mondays",68427759
,,,
Rahmath Muslim Food,"1 Telok Kurau Road, Singapore 423756","
Opening hours:
7:00AM to 10:00PM
Closed:
Alt Tuesdays","9800 6173, 9061 4684"
,,,
Ru Ji Kitchen,"Old Airport Road Food Centre #01-37 51 Old Airport Road, Singapore, 390051 , Singapore","
Opening hours:
7:30AM to 1:00PM
Closed:
Monday",94350820 Joanne/Daniel
,,,
Diamond Kitchen,"5000F Marine Parade Road Laguna Park Condos 01-22/23, Singapore 449289, Singapore","
Opening hours:
(Not available)",6448 0629
,,,
Eastern House of Seafood Delicacy,"55 Chai Chee Drive, Singapore 460055, Singapore","
Opening hours:
Daily: 10:30AM to 11:00PM",91508172
,,,
Lee Wee & Bros’ Foodstuff,"42 Lor 1 Realty Park, Singapore","
Opening hours:
Daily: 9:00AM to 5:00PM",
,,,
New Mahamoodiya Restaurant,"335 Bedok Rd, Singapore 469510, Singapore","
Opening hours:
(Not available)",62432086
,,,
Ocean Curry Fish Head,"Blk 92, Toa Payoh Lor 4 #01-264, Singapore 310092","
Opening hours:
(Not available)",62522168
,,,
Kim Keat Hokkien Mee,"Toa Payoh Lor 4, Blk 92 #01-264, Singapore 310092","
Opening hours:
11:15AM to 10:00PM
Closed:
Tuesdays",94280805
,,,
Sik Bao Sin (Desmond’s Creations),"592 Geylang Road (Between Lor 34 and 36), Singapore 389531, Singapore","
Opening hours:
11:45AM to 2:30PM
5:45PM to 9:30PM
Closed:
Monday",67443757
,,,
Catalunya,"The Fullerton Pavilion 82 Collyer Quay, Singapore 049327 , Singapore","
Opening hours:
12:00PM to 2:00AM",6534 0886 (Reservations)
,,,
Lim Soup,"Dong Fong Fatt kopishop Blk 161 Bukit Merah Central, Singapore 150161, Singapore","
Opening hours:
11:30AM to 8:00PM
Closed:
Sundays and PH",83837687
,,,
Sushi Kuu,"390 Orchard Road Palais Renaissance #01-06/07, Singapore 238871, Singapore","
Opening hours:
(Not available)",67360100
,,,
Bar-roque,"165 Tanjong Pagar Road #01-00, Singapore 088539 (Just beside entrance of Car Park of Amara Hotel) , Singapore","
Opening hours:
(Not available)
Closed:
Monday",64449672
,,,
The Naked Finn,"41 Malan Road, Gillman Barracks, Singapore 109454, Singapore","
Opening hours:
(Not available)
Closed:
Sunday",6694 0807
,,,
Soon Huat Bak Kut Teh,"302 Bedok Road, Bedok Shopping Complex (Simpang Bedok), Singapore 469460, Singapore","
Opening hours:
Daily: 11:00AM to 9:30PM",62733338
,,,
Shisen Hanten,"Level 35, Orchard Wing Mandarin Orchard Singapore, 333 Orchard Road, Singapore 238867, Singapore","
Opening hours:
(Not available)",
,,,
A1 Penang Chendol,"Blk 822, Tampines St 81 #01-186, Singapore 520822, Singapore","
Opening hours:
Mon-Fri : 11:30AM to 8:00PM
Sat,Sun,PH: 11:30AM to 5:00PM",98519477 Kenny Yeo
,,,
Yap Kee Wanton Mee,"Holland Drive Food Centre 44 Holland Drive, #02-04 Singapore 270044, Singapore","
Opening hours:
Daily: 6:00AM to 2:00PM","8337 3755, 9644 3265"
,,,
"Lynda Ann, Cakes for Friends","122 Bedok North St 2 #01-98 Singapore 460122, Singapore","
Opening hours:
Tues-Fri: 12:00PM to 7:00PM
Sat: 10:00AM to 4:00PM",96792041
,,,
Aji Ichi,"4 Stadium Place, Kallang Wave #02-01, Singapore 397628","
Opening hours:
11:30AM to 10:00PM",67023015
,,,
Goldleaf Taiwan Restaurant,"110 Amoy Street, Singapore 069930, Singapore","
Opening hours:
11:30AM to 2:30PM
6:00PM to 11:00PM",63248310/ 63243268
,,,
